Precios marginales locales del MTR (Calculo ExPost) 
Sistema Interconectado Nacional
Reporte diario
Fecha: 27/Enero/2017
Archivo descargado desde el Sitio Web del Mercado Electrico Mayorista creado el 02/Febrero/2017 18:24:02 hrs.
Nota: Los acentos de este reporte se omiten intencionalmente por sistema
Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
1,01AAN-85,719.83,674.62,47.7,-2.49
2,01AAN-85,664.45,625.16,40,-.7
3,01AAN-85,655.68,619.15,37.12,-.59
4,01AAN-85,636.11,599.94,36.17,0
5,01AAN-85,641.65,604.43,37.22,0
6,01AAN-85,648.34,607.28,41.1,-.05
7,01AAN-85,734.31,682.95,53.72,-2.37
8,01AAN-85,857.14,793.53,65.33,-1.72
9,01AAN-85,930.16,862.36,70.65,-2.85
10,01AAN-85,994.15,919.55,78.59,-3.99
11,01AAN-85,1337.24,1249,104.28,-16.04
12,01AAN-85,1505.04,1406.82,115.87,-17.64
13,01AAN-85,974.07,896.83,79.49,-2.25
14,01AAN-85,1500.42,1405.78,111.51,-16.87
15,01AAN-85,1557.97,1453.84,121.87,-17.74
16,01AAN-85,1878.3,1756.13,144.99,-22.82
17,01AAN-85,2024.97,1887.01,159.92,-21.97
18,01AAN-85,1691.53,1574.13,141.27,-23.87
19,01AAN-85,1349.82,1227.5,133.84,-11.53
20,01AAN-85,1721.5,1554.86,187.04,-20.41
21,01AAN-85,1554,1405.33,165.55,-16.88
22,01AAN-85,1107.85,1005.85,111.45,-9.46
23,01AAN-85,906.22,825.32,83.83,-2.93
24,01AAN-85,794.1,727.74,66.36,0
1,01AAP-85,697.19,674.62,24.56,-1.98
2,01AAP-85,645.33,625.16,20.73,-.56
3,01AAP-85,636.81,619.15,18.14,-.47
4,01AAP-85,616.54,599.94,16.61,0
5,01AAP-85,622.39,604.43,17.96,0
6,01AAP-85,627.46,607.28,20.22,-.04
7,01AAP-85,708.44,682.95,27.56,-2.08
8,01AAP-85,826.18,793.53,34.16,-1.51
9,01AAP-85,896.85,862.36,36.99,-2.5
10,01AAP-85,956.28,919.55,40.24,-3.51
11,01AAP-85,1284.15,1249,49.25,-14.1
12,01AAP-85,1446.39,1406.82,54.62,-15.04
13,01AAP-85,934.3,896.83,39.39,-1.92
14,01AAP-85,1443.07,1405.78,51.7,-14.41
15,01AAP-85,1499.67,1453.84,60.97,-15.14
16,01AAP-85,1812.43,1756.13,75.95,-19.65
17,01AAP-85,1956.88,1887.01,89.05,-19.19
18,01AAP-85,1634.08,1574.13,80.34,-20.39
19,01AAP-85,1292.63,1227.5,74.97,-9.84
20,01AAP-85,1635.25,1554.86,97.85,-17.45
21,01AAP-85,1473.81,1405.33,82.95,-14.47
22,01AAP-85,1052.26,1005.85,54.48,-8.08
23,01AAP-85,866.55,825.32,43.72,-2.5
24,01AAP-85,762.91,727.74,35.17,0
1,01ACC-85,686.94,674.62,14.69,-2.37
2,01ACC-85,635.9,625.16,11.41,-.67
3,01ACC-85,627.51,619.15,8.92,-.57
4,01ACC-85,608.21,599.94,8.28,0
5,01ACC-85,613.71,604.43,9.28,0
6,01ACC-85,619.61,607.28,12.37,-.04
7,01ACC-85,699.08,682.95,18.45,-2.33
8,01ACC-85,815.15,793.53,23.31,-1.69
9,01ACC-85,884.28,862.36,24.73,-2.8
10,01ACC-85,942.89,919.55,27.27,-3.93
11,01ACC-85,1265.98,1249,32.78,-15.79
12,01ACC-85,1425.59,1406.82,35.55,-16.78
13,01ACC-85,923.02,896.83,28.33,-2.14
14,01ACC-85,1424.08,1405.78,34.35,-16.05
15,01ACC-85,1480.6,1453.84,43.64,-16.87
16,01ACC-85,1787.68,1756.13,53.33,-21.77
17,01ACC-85,1929.48,1887.01,63.54,-21.08
18,01ACC-85,1612.69,1574.13,61.27,-22.71
19,01ACC-85,1279.79,1227.5,63.26,-10.96
20,01ACC-85,1615.56,1554.86,80.17,-19.47
21,01ACC-85,1456.68,1405.33,67.49,-16.15
22,01ACC-85,1040.68,1005.85,43.84,-9.02
23,01ACC-85,855.59,825.32,33.06,-2.79
24,01ACC-85,753.47,727.74,25.74,0
1,01ACM-85,688.19,674.62,15.91,-2.34
2,01ACM-85,637.32,625.16,12.82,-.66
3,01ACM-85,628.89,619.15,10.3,-.56
4,01ACM-85,609.42,599.94,9.48,0
5,01ACM-85,615.01,604.43,10.57,0
6,01ACM-85,620.5,607.28,13.26,-.04
7,01ACM-85,699.96,682.95,19.31,-2.3
8,01ACM-85,816.31,793.53,24.46,-1.67
9,01ACM-85,885.43,862.36,25.85,-2.77
10,01ACM-85,943.65,919.55,27.99,-3.89
11,01ACM-85,1266.78,1249,33.41,-15.62
12,01ACM-85,1426.45,1406.82,36.24,-16.61
13,01ACM-85,923.48,896.83,28.77,-2.12
