Centro Nacional de Control de Energia
Precios Marginales Locales del MDA 
Sistema Interconectado Baja California
Reporte diario
Fecha: 20/Junio/2017
Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 19/Junio/2017 12:03:36 hrs.
Nota: Los acentos de este reporte se omiten intencionalmente por sistema
Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
1,07ACU-115,706.77,704.27,2.5,0
2,07ACU-115,714.71,711.49,3.22,0
3,07ACU-115,674.91,671.98,2.93,0
4,07ACU-115,485.91,483.57,2.34,0
5,07ACU-115,475.28,472.41,2.88,0
6,07ACU-115,455.4,452.18,3.22,0
7,07ACU-115,457.01,453.53,3.48,0
8,07ACU-115,502.16,498.87,3.29,0
9,07ACU-115,509.96,506.72,3.24,0
10,07ACU-115,725.27,720.49,4.78,0
11,07ACU-115,741.47,737.81,3.66,0
12,07ACU-115,1028.5,1022.33,6.18,0
13,07ACU-115,826.4,822.52,3.89,0
14,07ACU-115,833.81,829.71,4.1,0
15,07ACU-115,948.67,943.75,4.92,0
16,07ACU-115,740.39,738.02,2.37,0
17,07ACU-115,740.23,738.04,2.2,0
18,07ACU-115,874.39,870.45,3.94,0
19,07ACU-115,914.67,910.19,4.48,0
20,07ACU-115,829.93,826.73,3.2,0
21,07ACU-115,835.86,831.52,4.33,0
22,07ACU-115,835.32,831.18,4.14,0
23,07ACU-115,862.35,858.67,3.68,0
24,07ACU-115,801.68,800.72,.95,0
1,07APD-230,747.49,704.27,43.22,0
2,07APD-230,743.8,711.49,32.31,0
3,07APD-230,695.63,671.98,23.64,0
4,07APD-230,496.77,483.57,13.2,0
5,07APD-230,480.28,472.41,7.88,0
6,07APD-230,455.91,452.18,3.73,0
7,07APD-230,455.29,453.53,1.76,0
8,07APD-230,504.43,498.87,5.56,0
9,07APD-230,513.06,506.72,6.34,0
10,07APD-230,735.49,720.49,15,0
11,07APD-230,760.21,737.81,22.4,0
12,07APD-230,1055.47,1022.33,33.15,0
13,07APD-230,850.22,822.52,27.7,0
14,07APD-230,887.95,829.71,58.24,0
15,07APD-230,1018.48,943.75,74.74,0
16,07APD-230,801.25,738.02,63.23,0
17,07APD-230,803.87,738.04,65.83,0
18,07APD-230,945.73,870.45,75.28,0
19,07APD-230,986.36,910.19,76.16,0
20,07APD-230,894.53,826.73,67.8,0
21,07APD-230,893.49,831.52,61.96,0
22,07APD-230,894.16,831.18,62.98,0
23,07APD-230,928.26,858.67,69.59,0
24,07APD-230,872.3,800.72,71.58,0
1,07BJO-69,726.29,704.27,22.02,0
2,07BJO-69,729.54,711.49,18.05,0
3,07BJO-69,687.56,671.98,15.58,0
4,07BJO-69,493.93,483.57,10.36,0
5,07BJO-69,481.4,472.41,9,0
6,07BJO-69,460.39,452.18,8.21,0
7,07BJO-69,460.94,453.53,7.41,0
8,07BJO-69,508.63,498.87,9.76,0
9,07BJO-69,517.91,506.72,11.19,0
10,07BJO-69,738.94,720.49,18.45,0
11,07BJO-69,761.17,737.81,23.36,0
12,07BJO-69,1056.25,1022.33,33.93,0
13,07BJO-69,849.46,822.52,26.95,0
14,07BJO-69,862.21,829.71,32.51,0
15,07BJO-69,980.4,943.75,36.65,0
16,07BJO-69,766.47,738.02,28.45,0
17,07BJO-69,766.83,738.04,28.79,0
18,07BJO-69,903.35,870.45,32.9,0
19,07BJO-69,943.74,910.19,33.55,0
20,07BJO-69,857.23,826.73,30.5,0
21,07BJO-69,861.41,831.52,29.89,0
22,07BJO-69,861.25,831.18,30.07,0
23,07BJO-69,890.46,858.67,31.79,0
24,07BJO-69,830.9,800.72,30.18,0
1,07CAE-69,712.04,704.27,7.77,0
2,07CAE-69,718.26,711.49,6.78,0
3,07CAE-69,677.76,671.98,5.78,0
4,07CAE-69,487.4,483.57,3.84,0
5,07CAE-69,475.8,472.41,3.4,0
6,07CAE-69,455.19,452.18,3.01,0
7,07CAE-69,456.44,453.53,2.91,0
8,07CAE-69,502.73,498.87,3.86,0
9,07CAE-69,511.02,506.72,4.3,0
10,07CAE-69,727.32,720.49,6.83,0
11,07CAE-69,745.66,737.81,7.85,0
12,07CAE-69,1033.42,1022.33,11.09,0
13,07CAE-69,831.31,822.52,8.79,0
14,07CAE-69,840.49,829.71,10.78,0
15,07CAE-69,956.21,943.75,12.46,0
16,07CAE-69,747.87,738.02,9.85,0
17,07CAE-69,747.95,738.04,9.91,0
18,07CAE-69,882.08,870.45,11.63,0
19,07CAE-69,922.36,910.19,12.17,0
20,07CAE-69,837.87,826.73,11.13,0
21,07CAE-69,842.7,831.52,11.18,0
22,07CAE-69,842.45,831.18,11.27,0
23,07CAE-69,870.33,858.67,11.66,0
24,07CAE-69,811.65,800.72,10.93,0
1,07CES-69,712.37,704.27,8.11,0
2,07CES-69,718.5,711.49,7.01,0
3,07CES-69,677.94,671.98,5.95,0
4,07CES-69,487.49,483.57,3.93,0
5,07CES-69,475.81,472.41,3.4,0
6,07CES-69,455.15,452.18,2.98,0
7,07CES-69,456.42,453.53,2.89,0
8,07CES-69,502.76,498.87,3.9,0
9,07CES-69,511.04,506.72,4.32,0
10,07CES-69,727.36,720.49,6.87,0
11,07CES-69,745.74,737.81,7.93,0
12,07CES-69,1033.49,1022.33,11.17,0
13,07CES-69,831.39,822.52,8.87,0
14,07CES-69,840.8,829.71,11.09,0
15,07CES-69,956.57,943.75,12.82,0
16,07CES-69,748.19,738.02,10.17,0
17,07CES-69,748.29,738.04,10.26,0
18,07CES-69,882.49,870.45,12.04,0
19,07CES-69,922.71,910.19,12.52,0
20,07CES-69,838.06,826.73,11.33,0
21,07CES-69,842.68,831.52,11.15,0
22,07CES-69,842.4,831.18,11.22,0
23,07CES-69,870.67,858.67,11.99,0
24,07CES-69,812.17,800.72,11.44,0
1,07CHQ-230,746,704.27,41.74,0
2,07CHQ-230,742.42,711.49,30.93,0
3,07CHQ-230,694.3,671.98,22.32,0
4,07CHQ-230,495.8,483.57,12.23,0
5,07CHQ-230,479.36,472.41,6.95,0
6,07CHQ-230,454.93,452.18,2.76,0
7,07CHQ-230,454.16,453.53,.63,0
8,07CHQ-230,503.18,498.87,4.32,0
9,07CHQ-230,510.44,506.72,3.72,0
10,07CHQ-230,730.79,720.49,10.3,0
11,07CHQ-230,754.24,737.81,16.42,0
12,07CHQ-230,1046.89,1022.33,24.56,0
13,07CHQ-230,842.97,822.52,20.45,0
14,07CHQ-230,885.69,829.71,55.99,0
15,07CHQ-230,1015.75,943.75,72,0
16,07CHQ-230,799.09,738.02,61.07,0
17,07CHQ-230,801.54,738.04,63.51,0
18,07CHQ-230,942.95,870.45,72.5,0
19,07CHQ-230,983.4,910.19,73.21,0
20,07CHQ-230,891.79,826.73,65.06,0
21,07CHQ-230,890.76,831.52,59.24,0
22,07CHQ-230,891.65,831.18,60.47,0
23,07CHQ-230,925.89,858.67,67.22,0
24,07CHQ-230,870.21,800.72,69.48,0
1,07CIP-115,706.14,704.27,1.87,0
2,07CIP-115,714.57,711.49,3.08,0
3,07CIP-115,674.65,671.98,2.67,0
4,07CIP-115,485.87,483.57,2.3,0
5,07CIP-115,475.52,472.41,3.11,0
6,07CIP-115,456.01,452.18,3.83,0
7,07CIP-115,457.75,453.53,4.22,0
8,07CIP-115,502.44,498.87,3.58,0
