Centro Nacional de Control de Energia
Precios Marginales Locales del MDA 
Sistema Interconectado Baja California Sur
Reporte diario
Fecha: 20/Junio/2017
Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 19/Junio/2017 14:13:08 hrs.
Nota: Los acentos de este reporte se omiten intencionalmente por sistema
Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
1,07ASJ-115,1780.16,1717.42,62.75,0
2,07ASJ-115,1824.98,1762.2,62.78,0
3,07ASJ-115,1683.25,1627.65,55.61,0
4,07ASJ-115,1557.37,1508.3,49.07,0
5,07ASJ-115,1756.62,1702.79,53.83,0
6,07ASJ-115,1743.14,1690.19,52.95,0
7,07ASJ-115,1743.9,1690.78,53.12,0
8,07ASJ-115,1759.01,1703.33,55.69,0
9,07ASJ-115,1594.3,1539.01,55.29,0
10,07ASJ-115,1745.85,1680.19,65.66,0
11,07ASJ-115,1835.57,1762.82,72.75,0
12,07ASJ-115,1733.09,1663.96,69.13,0
13,07ASJ-115,1777.13,1705.23,71.9,0
14,07ASJ-115,1833,1759.11,73.89,0
15,07ASJ-115,1852.58,1779.86,72.72,0
16,07ASJ-115,1942.08,1864.98,77.1,0
17,07ASJ-115,2255.51,2165.69,89.82,0
18,07ASJ-115,3262.56,3138.9,123.65,0
19,07ASJ-115,2107.53,2029.85,77.68,0
20,07ASJ-115,2061.09,1985.25,75.84,0
21,07ASJ-115,2251.06,2165.62,85.44,0
22,07ASJ-115,3354.61,3230.63,123.98,0
23,07ASJ-115,2088.91,2012.77,76.14,0
24,07ASJ-115,1927.72,1859.24,68.48,0
1,07BLE-115,1730.15,1717.42,12.74,0
2,07BLE-115,1772.79,1762.2,10.59,0
3,07BLE-115,1638.43,1627.65,10.79,0
4,07BLE-115,1519.25,1508.3,10.95,0
5,07BLE-115,1710.48,1702.79,7.69,0
6,07BLE-115,1698.02,1690.19,7.83,0
7,07BLE-115,1698.47,1690.78,7.69,0
8,07BLE-115,1710.25,1703.33,6.92,0
9,07BLE-115,1548.29,1539.01,9.28,0
10,07BLE-115,1688.47,1680.19,8.28,0
11,07BLE-115,1770.4,1762.82,7.58,0
12,07BLE-115,1674.22,1663.96,10.26,0
13,07BLE-115,1715.78,1705.23,10.55,0
14,07BLE-115,1770.66,1759.11,11.55,0
15,07BLE-115,1793.09,1779.86,13.23,0
16,07BLE-115,1878.6,1864.98,13.62,0
17,07BLE-115,2181.67,2165.69,15.99,0
18,07BLE-115,3164.96,3138.9,26.06,0
19,07BLE-115,2046.04,2029.85,16.19,0
20,07BLE-115,1999.58,1985.25,14.33,0
21,07BLE-115,2180.62,2165.62,15,0
22,07BLE-115,3256.32,3230.63,25.69,0
23,07BLE-115,2028.61,2012.77,15.85,0
24,07BLE-115,1873.82,1859.24,14.58,0
1,07CAB-115,1783.21,1717.42,65.8,0
