Centro Nacional de Control de Energia
Precios Marginales Locales del MDA 
Sistema Interconectado Nacional
Reporte diario
Fecha: 20/Junio/2017
Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 19/Junio/2017 14:30:05 hrs.
Nota: Los acentos de este reporte se omiten intencionalmente por sistema
Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
1,01AAN-85,4144.44,3942.82,201.63,0
2,01AAN-85,3525.71,3343.6,182.11,0
3,01AAN-85,2542.82,2405.82,137,0
4,01AAN-85,1399.91,1324.2,75.71,0
5,01AAN-85,2632.82,2497.89,134.94,0
6,01AAN-85,1565.95,1477.36,88.59,0
7,01AAN-85,3075.67,2879.73,195.94,0
8,01AAN-85,2458.38,2309.77,148.6,0
9,01AAN-85,4961.07,4677.74,283.33,0
10,01AAN-85,4217.52,3988.79,228.72,0
11,01AAN-85,4223.73,4026.56,197.18,0
12,01AAN-85,4240.42,4002.69,237.73,0
13,01AAN-85,2638.37,2523.5,114.87,0
14,01AAN-85,4221.91,4025.46,196.46,0
15,01AAN-85,4217.27,4025.12,192.14,0
16,01AAN-85,4282.7,4101.78,180.93,0
17,01AAN-85,4422.7,4230.28,192.43,0
18,01AAN-85,4371.26,4183.65,187.61,0
19,01AAN-85,3388.08,3241.9,146.17,0
20,01AAN-85,4169.85,3953.12,218.15,-1.42
21,01AAN-85,3619.55,3395.57,223.97,0
22,01AAN-85,4246.96,3961.37,285.6,0
23,01AAN-85,4255.14,3980.48,275.66,-1
24,01AAN-85,2588.04,2449.97,138.07,0
1,01AAP-85,4006.72,3942.82,63.91,0
2,01AAP-85,3418.13,3343.6,74.53,0
3,01AAP-85,2467.33,2405.82,61.52,0
4,01AAP-85,1364.72,1324.2,40.51,0
5,01AAP-85,2566.08,2497.89,68.19,0
6,01AAP-85,1528.74,1477.36,51.38,0
7,01AAP-85,2988.22,2879.73,108.49,0
8,01AAP-85,2392.31,2309.77,82.54,0
9,01AAP-85,4831.83,4677.74,154.09,0
10,01AAP-85,4089.37,3988.79,100.57,0
11,01AAP-85,4102.68,4026.56,76.12,0
12,01AAP-85,4082.35,4002.69,79.66,0
13,01AAP-85,2570.16,2523.5,46.67,0
14,01AAP-85,4086.96,4025.46,61.51,0
15,01AAP-85,4078.56,4025.12,53.44,0
16,01AAP-85,4141.25,4101.78,39.47,0
17,01AAP-85,4268.06,4230.28,37.78,0
18,01AAP-85,4236.53,4183.65,52.88,0
19,01AAP-85,3292.09,3241.9,50.19,0
20,01AAP-85,4052.11,3953.12,99.39,-.41
21,01AAP-85,3503.95,3395.57,108.38,0
22,01AAP-85,4057.4,3961.37,96.04,0
23,01AAP-85,4070.05,3980.48,89.86,-.29
24,01AAP-85,2491.1,2449.97,41.13,0
1,01ACC-85,3934.92,3942.82,-7.89,0
2,01ACC-85,3359.72,3343.6,16.12,0
3,01ACC-85,2425.69,2405.82,19.87,0
4,01ACC-85,1342.45,1324.2,18.25,0
5,01ACC-85,2522.17,2497.89,24.29,0
6,01ACC-85,1501.35,1477.36,23.99,0
7,01ACC-85,2934.37,2879.73,54.64,0
8,01ACC-85,2349.11,2309.77,39.33,0
9,01ACC-85,4744.65,4677.74,66.91,0
10,01ACC-85,4008.83,3988.79,20.03,0
11,01ACC-85,4024.92,4026.56,-1.64,0
12,01ACC-85,4022.16,4002.69,19.47,0
13,01ACC-85,2523.99,2523.5,.49,0
14,01ACC-85,4028.13,4025.46,2.67,0
15,01ACC-85,4012.73,4025.12,-12.4,0
16,01ACC-85,4076.41,4101.78,-25.37,0
17,01ACC-85,4199.56,4230.28,-30.72,0
18,01ACC-85,4169.76,4183.65,-13.89,0
19,01ACC-85,3232.73,3241.9,-9.18,0
20,01ACC-85,3973.09,3953.12,21.13,-1.16
21,01ACC-85,3438.58,3395.57,43.01,0
22,01ACC-85,3994.36,3961.37,32.99,0
23,01ACC-85,4006.3,3980.48,26.64,-.82
24,01ACC-85,2446.4,2449.97,-3.57,0
1,01ACM-85,3937.99,3942.82,-4.83,0
2,01ACM-85,3361.43,3343.6,17.83,0
3,01ACM-85,2426.58,2405.82,20.76,0
4,01ACM-85,1343.02,1324.2,18.81,0
5,01ACM-85,2524.41,2497.89,26.52,0
6,01ACM-85,1501.86,1477.36,24.5,0
7,01ACM-85,2933.87,2879.73,54.14,0
8,01ACM-85,2348.42,2309.77,38.65,0
9,01ACM-85,4742.58,4677.74,64.84,0
10,01ACM-85,4007.5,3988.79,18.7,0
11,01ACM-85,4024.46,4026.56,-2.1,0
12,01ACM-85,4020.07,4002.69,17.38,0
13,01ACM-85,2524,2523.5,.51,0
14,01ACM-85,4027.31,4025.46,1.85,0
15,01ACM-85,4013.37,4025.12,-11.76,0
16,01ACM-85,4077.1,4101.78,-24.68,0
17,01ACM-85,4200.15,4230.28,-30.13,0
18,01ACM-85,4169.93,4183.65,-13.72,0
19,01ACM-85,3233.77,3241.9,-8.13,0
20,01ACM-85,3974.46,3953.12,22.46,-1.12
21,01ACM-85,3437.87,3395.57,42.3,0
22,01ACM-85,3992.09,3961.37,30.73,0
23,01ACM-85,4004.93,3980.48,25.24,-.79
24,01ACM-85,2447.48,2449.97,-2.49,0
1,01ACN-85,3952.33,3942.82,9.52,0
2,01ACN-85,3373.32,3343.6,29.72,0
3,01ACN-85,2435.05,2405.82,29.23,0
4,01ACN-85,1347.64,1324.2,23.43,0
5,01ACN-85,2532.92,2497.89,35.04,0
6,01ACN-85,1507.45,1477.36,30.09,0
7,01ACN-85,2947.26,2879.73,67.53,0
8,01ACN-85,2359.68,2309.77,49.9,0
9,01ACN-85,4766.91,4677.74,89.17,0
10,01ACN-85,4028.61,3988.79,39.81,0
11,01ACN-85,4046.15,4026.56,19.59,0
12,01ACN-85,4042.47,4002.69,39.78,0
13,01ACN-85,2537.99,2523.5,14.5,0
14,01ACN-85,4050.09,4025.46,24.64,0
15,01ACN-85,4036,4025.12,10.88,0
16,01ACN-85,4099.4,4101.78,-2.38,0
17,01ACN-85,4223.22,4230.28,-7.06,0
18,01ACN-85,4193.18,4183.65,9.54,0
19,01ACN-85,3250.68,3241.9,8.78,0
20,01ACN-85,3995.84,3953.12,43.83,-1.12
21,01ACN-85,3456.5,3395.57,60.92,0
22,01ACN-85,4012.17,3961.37,50.81,0
23,01ACN-85,4022.85,3980.48,43.15,-.79
24,01ACN-85,2457.51,2449.97,7.54,0
1,01ACO-230,3890.2,3942.82,-52.61,0
2,01ACO-230,3325.2,3343.6,-18.4,0
3,01ACO-230,2401.92,2405.82,-3.9,0
4,01ACO-230,1330.32,1324.2,6.12,0
5,01ACO-230,2499.06,2497.89,1.18,0
6,01ACO-230,1485.36,1477.36,8,0
7,01ACO-230,2898.6,2879.73,18.87,0
8,01ACO-230,2319.05,2309.77,9.28,0
9,01ACO-230,4680.3,4677.74,2.56,0
10,01ACO-230,3951.5,3988.79,-37.29,0
11,01ACO-230,3968.23,4026.56,-58.33,0
12,01ACO-230,3972.39,4002.69,-30.3,0
13,01ACO-230,2488.4,2523.5,-35.09,0
14,01ACO-230,3975.61,4025.46,-49.85,0
15,01ACO-230,3957.9,4025.12,-67.23,0
16,01ACO-230,4022.48,4101.78,-79.3,0
17,01ACO-230,4143.61,4230.28,-86.67,0
18,01ACO-230,4116.01,4183.65,-67.64,0
19,01ACO-230,3191.79,3241.9,-50.11,0
20,01ACO-230,3920.53,3953.12,-31.1,-1.49
21,01ACO-230,3391.38,3395.57,-4.19,0
22,01ACO-230,3942.75,3961.37,-18.62,0
23,01ACO-230,3958.02,3980.48,-21.41,-1.05
24,01ACO-230,2417.65,2449.97,-32.32,0
1,01ACS-230,3893.89,3942.82,-48.92,0
2,01ACS-230,3328.18,3343.6,-15.43,0
3,01ACS-230,2400,2405.82,-5.82,0
4,01ACS-230,1331.03,1324.2,6.83,0
5,01ACS-230,2501.07,2497.89,3.18,0
6,01ACS-230,1484.87,1477.36,7.51,0
7,01ACS-230,2898.72,2879.73,19,0
8,01ACS-230,2322.34,2309.77,12.57,0
