Centro Nacional de Control de Energia
Precios Marginales Locales del MTR (Calculo ExPost) 
Sistema Interconectado Baja California
Reporte diario
Fecha: 12/Junio/2017
Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 19/Junio/2017 13:51:04 hrs.
Nota: Los acentos de este reporte se omiten intencionalmente por sistema
Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
1,07ACU-115,464.19,461.73,2.45,0
2,07ACU-115,433.71,431.18,2.54,0
3,07ACU-115,434.3,431.86,2.44,0
4,07ACU-115,434.58,432.32,2.26,0
5,07ACU-115,435.13,432.85,2.28,0
6,07ACU-115,436.62,434.27,2.35,0
7,07ACU-115,470.84,468.68,2.16,0
8,07ACU-115,470.3,467.58,2.71,0
9,07ACU-115,471.44,468.39,3.05,0
10,07ACU-115,471.57,468.47,3.1,0
11,07ACU-115,485.16,481.97,3.19,0
12,07ACU-115,507.57,503.98,3.59,0
13,07ACU-115,480.27,476.88,3.39,0
14,07ACU-115,461.83,458.33,3.49,0
15,07ACU-115,455.06,451.75,3.31,0
16,07ACU-115,460.4,457.29,3.12,0
17,07ACU-115,470.28,466.99,3.29,0
18,07ACU-115,498.39,495.07,3.33,0
19,07ACU-115,487.48,484.05,3.43,0
20,07ACU-115,512.32,508.55,3.77,0
21,07ACU-115,490.21,486.17,4.04,0
22,07ACU-115,494.59,490.79,3.81,0
23,07ACU-115,487.63,485.04,2.59,0
24,07ACU-115,482.41,480.09,2.32,0
1,07APD-230,452.28,461.73,-9.46,0
2,07APD-230,422.03,431.18,-9.15,0
3,07APD-230,421.85,431.86,-10.02,0
4,07APD-230,421.42,432.32,-10.91,0
5,07APD-230,421.28,432.85,-11.56,0
6,07APD-230,421.44,434.27,-12.83,0
7,07APD-230,456.61,468.68,-12.07,0
8,07APD-230,452.02,467.58,-15.56,0
9,07APD-230,453.21,468.39,-15.18,0
10,07APD-230,452.73,468.47,-15.74,0
11,07APD-230,466.48,481.97,-15.49,0
12,07APD-230,488.67,503.98,-15.32,0
13,07APD-230,463.19,476.88,-13.69,0
14,07APD-230,444.74,458.33,-13.59,0
15,07APD-230,440.72,451.75,-11.03,0
16,07APD-230,449.88,457.29,-7.41,0
17,07APD-230,460.88,466.99,-6.11,0
18,07APD-230,487.63,495.07,-7.43,0
19,07APD-230,476.05,484.05,-8,0
20,07APD-230,499.16,508.55,-9.4,0
21,07APD-230,477.35,486.17,-8.82,0
22,07APD-230,482.68,490.79,-8.11,0
23,07APD-230,476.96,485.04,-8.08,0
24,07APD-230,472.75,480.09,-7.34,0
1,07BJO-69,464.17,461.73,2.44,0
2,07BJO-69,433.26,431.18,2.08,0
3,07BJO-69,433.91,431.86,2.05,0
4,07BJO-69,434.32,432.32,2,0
5,07BJO-69,434.98,432.85,2.13,0
6,07BJO-69,436.87,434.27,2.6,0
7,07BJO-69,472.75,468.68,4.07,0
8,07BJO-69,471.66,467.58,4.08,0
9,07BJO-69,471.86,468.39,3.47,0
10,07BJO-69,473.56,468.47,5.09,0
11,07BJO-69,487.46,481.97,5.49,0
12,07BJO-69,509.53,503.98,5.54,0
13,07BJO-69,482,476.88,5.12,0
14,07BJO-69,462.87,458.33,4.53,0
15,07BJO-69,456.7,451.75,4.96,0
16,07BJO-69,463.14,457.29,5.85,0
17,07BJO-69,472.97,466.99,5.99,0
18,07BJO-69,500.8,495.07,5.73,0
19,07BJO-69,489.48,484.05,5.44,0
20,07BJO-69,514.4,508.55,5.85,0
21,07BJO-69,492.2,486.17,6.03,0
22,07BJO-69,496.97,490.79,6.19,0
23,07BJO-69,490.83,485.04,5.8,0
24,07BJO-69,485.36,480.09,5.27,0
1,07CAE-69,463.48,461.73,1.74,0
2,07CAE-69,432.63,431.18,1.46,0
3,07CAE-69,433.26,431.86,1.4,0
4,07CAE-69,433.77,432.32,1.45,0
5,07CAE-69,434.31,432.85,1.46,0
6,07CAE-69,435.76,434.27,1.49,0
7,07CAE-69,470.72,468.68,2.04,0
8,07CAE-69,469.67,467.58,2.08,0
9,07CAE-69,470.69,468.39,2.3,0
10,07CAE-69,471.23,468.47,2.76,0
11,07CAE-69,485.06,481.97,3.09,0
12,07CAE-69,507.33,503.98,3.35,0
13,07CAE-69,479.91,476.88,3.03,0
14,07CAE-69,461.13,458.33,2.8,0
15,07CAE-69,454.72,451.75,2.98,0
16,07CAE-69,460.83,457.29,3.54,0
17,07CAE-69,470.63,466.99,3.64,0
18,07CAE-69,498.65,495.07,3.58,0
19,07CAE-69,487.36,484.05,3.32,0
20,07CAE-69,512.02,508.55,3.46,0
21,07CAE-69,489.75,486.17,3.58,0
22,07CAE-69,494.54,490.79,3.75,0
23,07CAE-69,488.41,485.04,3.38,0
