Centro Nacional de Control de Energia
Precios Marginales Locales del MTR (Calculo ExPost) 
Sistema Interconectado Baja California Sur
Reporte diario
Fecha: 12/Junio/2017
Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 19/Junio/2017 15:52:20 hrs.
Nota: Los acentos de este reporte se omiten intencionalmente por sistema
Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
1,07ASJ-115,1985.98,1924.17,61.81,0
2,07ASJ-115,1927.32,1868.57,58.76,0
3,07ASJ-115,1822.86,1769.56,53.3,0
4,07ASJ-115,1870.45,1814.97,55.48,0
5,07ASJ-115,1871.23,1816.57,54.66,0
6,07ASJ-115,1871.23,1816.57,54.66,0
7,07ASJ-115,1869.95,1814.89,55.07,0
8,07ASJ-115,1873.86,1816.27,57.58,0
9,07ASJ-115,1876.62,1815.51,61.12,0
10,07ASJ-115,2042.46,1926.08,116.38,0
11,07ASJ-115,2133.11,2007.33,125.77,0
12,07ASJ-115,2285.54,2147.55,137.99,0
13,07ASJ-115,3514.84,3302.61,212.24,0
14,07ASJ-115,2324.37,2197.32,127.05,0
15,07ASJ-115,2407.17,2275.37,131.8,0
16,07ASJ-115,3798.83,3666.19,132.64,0
17,07ASJ-115,4030.74,3895.71,135.03,0
18,07ASJ-115,4072.52,3942.44,130.08,0
19,07ASJ-115,4026.18,3908.31,117.87,0
20,07ASJ-115,3996.72,3879.89,116.83,0
21,07ASJ-115,3920.4,3809.35,111.05,0
22,07ASJ-115,4150.21,4031.45,118.76,0
23,07ASJ-115,4026.42,3908.24,118.19,0
24,07ASJ-115,3545.3,3433.7,111.59,0
1,07BLE-115,1934.29,1924.17,10.12,0
2,07BLE-115,1878.26,1868.57,9.69,0
3,07BLE-115,1779.39,1769.56,9.83,0
4,07BLE-115,1823.02,1814.97,8.05,0
5,07BLE-115,1823.99,1816.57,7.42,0
6,07BLE-115,1823.99,1816.57,7.42,0
7,07BLE-115,1823.11,1814.89,8.22,0
8,07BLE-115,1823.5,1816.27,7.22,0
9,07BLE-115,1822.86,1815.51,7.35,0
10,07BLE-115,1930.97,1926.08,4.89,0
11,07BLE-115,2012.67,2007.33,5.34,0
12,07BLE-115,2153.29,2147.55,5.74,0
13,07BLE-115,3313.04,3302.61,10.43,0
14,07BLE-115,2208.3,2197.32,10.98,0
15,07BLE-115,2287.22,2275.37,11.85,0
16,07BLE-115,3688.77,3666.19,22.58,0
17,07BLE-115,3921.16,3895.71,25.45,0
18,07BLE-115,3970.57,3942.44,28.13,0
19,07BLE-115,3942.06,3908.31,33.75,0
20,07BLE-115,3911.35,3879.89,31.46,0
21,07BLE-115,3843.53,3809.35,34.18,0
22,07BLE-115,4067.51,4031.45,36.06,0
23,07BLE-115,3940.77,3908.24,32.53,0
24,07BLE-115,3455.29,3433.7,21.58,0
1,07CAB-115,1987.29,1924.17,63.12,0
2,07CAB-115,1929.66,1868.57,61.1,0
3,07CAB-115,1825.09,1769.56,55.53,0
4,07CAB-115,1874.15,1814.97,59.19,0
5,07CAB-115,1875.06,1816.57,58.49,0
6,07CAB-115,1875.06,1816.57,58.49,0
7,07CAB-115,1874.16,1814.89,59.28,0
8,07CAB-115,1878.04,1816.27,61.77,0
9,07CAB-115,1879.49,1815.51,63.98,0
10,07CAB-115,2050.51,1926.08,124.43,0
11,07CAB-115,2140.52,2007.33,133.18,0
12,07CAB-115,2294.05,2147.55,146.5,0
13,07CAB-115,3527.16,3302.61,224.56,0
14,07CAB-115,2327.36,2197.32,130.04,0
15,07CAB-115,2409.96,2275.37,134.59,0
16,07CAB-115,3795.59,3666.19,129.4,0
17,07CAB-115,4023.79,3895.71,128.08,0
18,07CAB-115,4064.75,3942.44,122.31,0
19,07CAB-115,4018.11,3908.31,109.8,0
20,07CAB-115,3990.68,3879.89,110.79,0
21,07CAB-115,3909.8,3809.35,100.45,0
22,07CAB-115,4136.71,4031.45,105.26,0
23,07CAB-115,4014.95,3908.24,106.72,0
24,07CAB-115,3543.7,3433.7,110,0
1,07CAD-115,1986.43,1924.17,62.25,0
2,07CAD-115,1929.14,1868.57,60.57,0
3,07CAD-115,1824.6,1769.56,55.04,0
4,07CAD-115,1873.98,1814.97,59.01,0
5,07CAD-115,1874.88,1816.57,58.31,0
6,07CAD-115,1874.88,1816.57,58.31,0
7,07CAD-115,1873.96,1814.89,59.07,0
8,07CAD-115,1877.67,1816.27,61.4,0
9,07CAD-115,1878.65,1815.51,63.15,0
10,07CAD-115,2049.55,1926.08,123.47,0
11,07CAD-115,2139.09,2007.33,131.75,0
12,07CAD-115,2292.5,2147.55,144.95,0
13,07CAD-115,3524.65,3302.61,222.04,0
14,07CAD-115,2324.61,2197.32,127.29,0
15,07CAD-115,2406.94,2275.37,131.56,0
16,07CAD-115,3790.61,3666.19,124.42,0
17,07CAD-115,4017.41,3895.71,121.69,0
18,07CAD-115,4057.96,3942.44,115.52,0
19,07CAD-115,4011.07,3908.31,102.77,0
20,07CAD-115,3984.31,3879.89,104.42,0
21,07CAD-115,3902.51,3809.35,93.16,0
22,07CAD-115,4128.94,4031.45,97.49,0
23,07CAD-115,4008.6,3908.24,100.36,0
24,07CAD-115,3540.78,3433.7,107.08,0
1,07CAF-115,1986.95,1924.17,62.78,0
2,07CAF-115,1929.9,1868.57,61.33,0
3,07CAF-115,1825.3,1769.56,55.74,0
4,07CAF-115,1874.96,1814.97,60,0
5,07CAF-115,1875.86,1816.57,59.29,0
6,07CAF-115,1875.86,1816.57,59.29,0
7,07CAF-115,1874.94,1814.89,60.06,0
8,07CAF-115,1878.6,1816.27,62.33,0
9,07CAF-115,1879.3,1815.51,63.8,0
10,07CAF-115,2050.3,1926.08,124.22,0
11,07CAF-115,2139.57,2007.33,132.24,0
12,07CAF-115,2293.06,2147.55,145.51,0
13,07CAF-115,3525.37,3302.61,222.77,0
14,07CAF-115,2324.09,2197.32,126.77,0
15,07CAF-115,2406.3,2275.37,130.92,0
16,07CAF-115,3789.48,3666.19,123.29,0
17,07CAF-115,4015.21,3895.71,119.49,0
18,07CAF-115,4055.4,3942.44,112.96,0
19,07CAF-115,4008.15,3908.31,99.84,0
20,07CAF-115,3981.9,3879.89,102.01,0
21,07CAF-115,3899.24,3809.35,89.89,0
22,07CAF-115,4125.42,4031.45,93.98,0
23,07CAF-115,4006.04,3908.24,97.8,0
24,07CAF-115,3540.69,3433.7,106.99,0
1,07CAR-115,1935.8,1924.17,11.62,0
2,07CAR-115,1880.3,1868.57,11.73,0
3,07CAR-115,1782.8,1769.56,13.25,0
4,07CAR-115,1825.66,1814.97,10.69,0
5,07CAR-115,1826.11,1816.57,9.55,0
6,07CAR-115,1826.11,1816.57,9.55,0
7,07CAR-115,1825.46,1814.89,10.57,0
8,07CAR-115,1825.71,1816.27,9.44,0
9,07CAR-115,1825.68,1815.51,10.18,0
10,07CAR-115,1936.17,1926.08,10.09,0
11,07CAR-115,2017.02,2007.33,9.69,0
12,07CAR-115,2157.04,2147.55,9.49,0
13,07CAR-115,3319.15,3302.61,16.54,0
14,07CAR-115,2213.41,2197.32,16.09,0
15,07CAR-115,2291.93,2275.37,16.56,0
16,07CAR-115,3688.69,3666.19,22.5,0
17,07CAR-115,3922.01,3895.71,26.3,0
18,07CAR-115,3967.24,3942.44,24.79,0
19,07CAR-115,3939.99,3908.31,31.68,0
20,07CAR-115,3908.9,3879.89,29.01,0
21,07CAR-115,3841.7,3809.35,32.35,0
22,07CAR-115,4067.54,4031.45,36.09,0
23,07CAR-115,3940.45,3908.24,32.21,0
24,07CAR-115,3454.95,3433.7,21.24,0
1,07CAS-115,1982.97,1924.17,58.79,0
2,07CAS-115,1925.26,1868.57,56.7,0
3,07CAS-115,1821.02,1769.56,51.47,0
4,07CAS-115,1869.64,1814.97,54.67,0
5,07CAS-115,1870.6,1816.57,54.03,0
6,07CAS-115,1870.6,1816.57,54.03,0
7,07CAS-115,1869.51,1814.89,54.62,0
8,07CAS-115,1873.18,1816.27,56.91,0
9,07CAS-115,1874.68,1815.51,59.18,0
10,07CAS-115,2044.98,1926.08,118.9,0
11,07CAS-115,2134.76,2007.33,127.42,0
12,07CAS-115,2287.7,2147.55,140.15,0
13,07CAS-115,3517.53,3302.61,214.92,0
14,07CAS-115,2322.47,2197.32,125.15,0
15,07CAS-115,2404.97,2275.37,129.59,0
16,07CAS-115,3787.55,3666.19,121.36,0
17,07CAS-115,4016.57,3895.71,120.86,0
18,07CAS-115,4058.01,3942.44,115.57,0
19,07CAS-115,4012.28,3908.31,103.98,0
20,07CAS-115,3984.43,3879.89,104.54,0
21,07CAS-115,3905.03,3809.35,95.68,0
22,07CAS-115,4132.17,4031.45,100.73,0
23,07CAS-115,4009.96,3908.24,101.72,0
24,07CAS-115,3536.75,3433.7,103.05,0
1,07COR-230,1916.12,1924.17,-8.05,0
2,07COR-230,1860.8,1868.57,-7.76,0
3,07COR-230,1762.26,1769.56,-7.29,0
4,07COR-230,1807.72,1814.97,-7.25,0
5,07COR-230,1809.53,1816.57,-7.04,0
6,07COR-230,1809.53,1816.57,-7.04,0
7,07COR-230,1807.64,1814.89,-7.25,0
8,07COR-230,1808.99,1816.27,-7.29,0
9,07COR-230,1808,1815.51,-7.51,0
10,07COR-230,1918,1926.08,-8.08,0
11,07COR-230,1998.83,2007.33,-8.51,0
12,07COR-230,2138.38,2147.55,-9.17,0
13,07COR-230,3288.35,3302.61,-14.26,0
14,07COR-230,2188.15,2197.32,-9.17,0
15,07COR-230,2265.87,2275.37,-9.51,0
16,07COR-230,3650.45,3666.19,-15.74,0
17,07COR-230,3878.99,3895.71,-16.72,0
18,07COR-230,3925.5,3942.44,-16.94,0
19,07COR-230,3899.39,3908.31,-8.92,0
20,07COR-230,3871.05,3879.89,-8.84,0
21,07COR-230,3800.69,3809.35,-8.67,0
22,07COR-230,4022.32,4031.45,-9.12,0
23,07COR-230,3899.38,3908.24,-8.86,0
24,07COR-230,3425.88,3433.7,-7.82,0
1,07CRE-115,1979.25,1924.17,55.08,0
2,07CRE-115,1921.3,1868.57,52.74,0
3,07CRE-115,1817.27,1769.56,47.71,0
4,07CRE-115,1865.38,1814.97,50.41,0
5,07CRE-115,1866.36,1816.57,49.79,0
6,07CRE-115,1866.36,1816.57,49.79,0
7,07CRE-115,1865.01,1814.89,50.12,0
8,07CRE-115,1868.43,1816.27,52.16,0
9,07CRE-115,1870.24,1815.51,54.73,0
10,07CRE-115,2039.82,1926.08,113.74,0
11,07CRE-115,2129.45,2007.33,122.12,0
12,07CRE-115,2281.67,2147.55,134.12,0
13,07CRE-115,3508.31,3302.61,205.71,0
14,07CRE-115,2318.04,2197.32,120.72,0
15,07CRE-115,2400.47,2275.37,125.09,0
16,07CRE-115,3780.51,3666.19,114.32,0
17,07CRE-115,4010.78,3895.71,115.07,0
18,07CRE-115,4052.76,3942.44,110.32,0
19,07CRE-115,4007.82,3908.31,99.52,0
20,07CRE-115,3979.47,3879.89,99.58,0
21,07CRE-115,3901.88,3809.35,92.53,0
22,07CRE-115,4129.63,4031.45,98.18,0
23,07CRE-115,4006.99,3908.24,98.75,0
24,07CRE-115,3531.23,3433.7,97.53,0
1,07DLC-115,1986.22,1924.17,62.05,0
2,07DLC-115,1929.33,1868.57,60.76,0
3,07DLC-115,1824.78,1769.56,55.23,0
4,07DLC-115,1874.55,1814.97,59.58,0
5,07DLC-115,1875.44,1816.57,58.87,0
6,07DLC-115,1875.44,1816.57,58.87,0
7,07DLC-115,1874.53,1814.89,59.64,0
8,07DLC-115,1878.23,1816.27,61.95,0
9,07DLC-115,1878.82,1815.51,63.31,0
10,07DLC-115,2049.75,1926.08,123.68,0
11,07DLC-115,2138.87,2007.33,131.54,0
12,07DLC-115,2292.28,2147.55,144.73,0
13,07DLC-115,3524.07,3302.61,221.46,0
14,07DLC-115,2322.91,2197.32,125.59,0
15,07DLC-115,2404.98,2275.37,129.6,0
16,07DLC-115,3787.19,3666.19,121,0
17,07DLC-115,4012.44,3895.71,116.73,0
18,07DLC-115,4052.47,3942.44,110.03,0
19,07DLC-115,4005.24,3908.31,96.93,0
20,07DLC-115,3979.19,3879.89,99.3,0
21,07DLC-115,3896.08,3809.35,86.73,0
22,07DLC-115,4121.86,4031.45,90.42,0
23,07DLC-115,4002.85,3908.24,94.61,0
24,07DLC-115,3538.62,3433.7,104.92,0
1,07DOM-115,1926.67,1924.17,2.5,0
2,07DOM-115,1866.12,1868.57,-2.44,0
3,07DOM-115,1763.93,1769.56,-5.63,0
4,07DOM-115,1804.72,1814.97,-10.25,0
5,07DOM-115,1806.16,1816.57,-10.41,0
6,07DOM-115,1806.16,1816.57,-10.41,0
7,07DOM-115,1806.88,1814.89,-8.01,0
8,07DOM-115,1812.5,1816.27,-3.77,0
9,07DOM-115,1822.33,1815.51,6.82,0
10,07DOM-115,1936.87,1926.08,10.79,0
11,07DOM-115,2032.11,2007.33,24.78,0
12,07DOM-115,2178.38,2147.55,30.83,0
13,07DOM-115,3356.09,3302.61,53.49,0
14,07DOM-115,2242.78,2197.32,45.46,0
15,07DOM-115,2323.92,2275.37,48.54,0
16,07DOM-115,3755.91,3666.19,89.72,0
17,07DOM-115,3938.18,3895.71,42.47,0
18,07DOM-115,3985.41,3942.44,42.97,0
19,07DOM-115,4000.21,3908.31,91.91,0
20,07DOM-115,3964.34,3879.89,84.45,0
21,07DOM-115,3910.32,3809.35,100.97,0
22,07DOM-115,4119.65,4031.45,88.21,0
23,07DOM-115,3999.79,3908.24,91.55,0
24,07DOM-115,3484.22,3433.7,50.52,0
1,07ELP-230,1966.52,1924.17,42.35,0
2,07ELP-230,1909.24,1868.57,40.68,0
3,07ELP-230,1806.41,1769.56,36.86,0
4,07ELP-230,1853.96,1814.97,38.99,0
5,07ELP-230,1855.06,1816.57,38.5,0
6,07ELP-230,1855.06,1816.57,38.5,0
7,07ELP-230,1853.69,1814.89,38.81,0
8,07ELP-230,1856.61,1816.27,40.34,0
9,07ELP-230,1857.65,1815.51,42.15,0
10,07ELP-230,2024.42,1926.08,98.34,0
11,07ELP-230,2112.82,2007.33,105.49,0
12,07ELP-230,2263.46,2147.55,115.91,0
13,07ELP-230,3480.39,3302.61,177.79,0
14,07ELP-230,2301.34,2197.32,104.03,0
15,07ELP-230,2383.13,2275.37,107.76,0
16,07ELP-230,3753.47,3666.19,87.28,0
17,07ELP-230,3983.08,3895.71,87.37,0
18,07ELP-230,4026.17,3942.44,83.73,0
19,07ELP-230,3983.94,3908.31,75.63,0
20,07ELP-230,3955.73,3879.89,75.84,0
21,07ELP-230,3879.46,3809.35,70.11,0
22,07ELP-230,4105.72,4031.45,74.27,0
23,07ELP-230,3983.15,3908.24,74.91,0
24,07ELP-230,3508.42,3433.7,74.71,0
1,07ETR-115,1952.78,1924.17,28.61,0
2,07ETR-115,1896.16,1868.57,27.59,0
3,07ETR-115,1797.13,1769.56,27.58,0
4,07ETR-115,1840.59,1814.97,25.62,0
5,07ETR-115,1841.07,1816.57,24.5,0
6,07ETR-115,1841.07,1816.57,24.5,0
7,07ETR-115,1840.47,1814.89,25.58,0
8,07ETR-115,1842.13,1816.27,25.86,0
9,07ETR-115,1843.47,1815.51,27.96,0
10,07ETR-115,1963.49,1926.08,37.41,0
11,07ETR-115,2046.73,2007.33,39.39,0
12,07ETR-115,2189.8,2147.55,42.25,0
13,07ETR-115,3369.41,3302.61,66.81,0
14,07ETR-115,2244.42,2197.32,47.1,0
15,07ETR-115,2323.86,2275.37,48.49,0
16,07ETR-115,3728.58,3666.19,62.39,0
17,07ETR-115,3963.49,3895.71,67.78,0
18,07ETR-115,4007.47,3942.44,65.03,0
19,07ETR-115,3977.57,3908.31,69.27,0
20,07ETR-115,3945.98,3879.89,66.09,0
21,07ETR-115,3878.65,3809.35,69.3,0
22,07ETR-115,4107.58,4031.45,76.13,0
23,07ETR-115,3978.71,3908.24,70.48,0
24,07ETR-115,3488.23,3433.7,54.53,0
1,07GAO-115,1880.53,1924.17,-43.64,0
2,07GAO-115,1821.25,1868.57,-47.31,0
3,07GAO-115,1721.75,1769.56,-47.81,0
4,07GAO-115,1761.65,1814.97,-53.32,0
5,07GAO-115,1763.58,1816.57,-52.99,0
6,07GAO-115,1763.58,1816.57,-52.99,0
7,07GAO-115,1763.92,1814.89,-50.97,0
8,07GAO-115,1768.77,1816.27,-47.51,0
9,07GAO-115,1777.49,1815.51,-38.02,0
10,07GAO-115,1887.88,1926.08,-38.2,0
11,07GAO-115,1979.74,2007.33,-27.59,0
12,07GAO-115,2121.85,2147.55,-25.7,0
13,07GAO-115,3268.52,3302.61,-34.09,0
14,07GAO-115,2184,2197.32,-13.32,0
15,07GAO-115,2262.89,2275.37,-12.48,0
16,07GAO-115,3657.18,3666.19,-9.01,0
17,07GAO-115,3834.24,3895.71,-61.48,0
18,07GAO-115,3880.04,3942.44,-62.41,0
19,07GAO-115,3895.13,3908.31,-13.17,0
20,07GAO-115,3860.99,3879.89,-18.9,0
21,07GAO-115,3809.07,3809.35,-.28,0
22,07GAO-115,4007.71,4031.45,-23.73,0
23,07GAO-115,3895.66,3908.24,-12.57,0
