Centro Nacional de Control de Energia
Precios Marginales Locales del MTR (Calculo ExPost) 
Sistema Interconectado Nacional
Reporte diario
Fecha: 12/Junio/2017
Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 19/Junio/2017 15:53:13 hrs.
Nota: Los acentos de este reporte se omiten intencionalmente por sistema
Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
1,01AAN-85,2286.25,2114.11,172.14,0
2,01AAN-85,1430.9,1328.59,102.31,0
3,01AAN-85,1214.28,1129.97,84.32,0
4,01AAN-85,1289.33,1198.05,91.29,0
5,01AAN-85,1258.21,1168.83,89.38,0
6,01AAN-85,1216.57,1124.05,92.52,0
7,01AAN-85,1586.15,1459.34,126.81,0
8,01AAN-85,2455.85,2263.33,192.53,0
9,01AAN-85,2655.28,2467.91,187.37,0
10,01AAN-85,2601.38,2434.36,167.02,0
11,01AAN-85,2963.32,2772.97,190.35,0
12,01AAN-85,2961.4,2769.26,192.15,0
13,01AAN-85,2587.32,2413,174.31,0
14,01AAN-85,2989.96,2790.45,199.51,0
15,01AAN-85,3162.42,2936.67,225.75,0
16,01AAN-85,3455.99,3207.34,248.66,0
17,01AAN-85,3776.99,3503.28,273.71,0
18,01AAN-85,3416.89,3166.75,250.14,0
19,01AAN-85,2842.06,2634.21,207.85,0
20,01AAN-85,2391.92,2212.98,178.94,0
21,01AAN-85,2848.4,2603.48,244.92,0
22,01AAN-85,3138.86,2859.27,279.59,0
23,01AAN-85,2921.13,2692.28,228.85,0
24,01AAN-85,2486.48,2303.78,182.7,0
1,01AAP-85,2196.12,2114.11,82.02,0
2,01AAP-85,1376.96,1328.59,48.37,0
3,01AAP-85,1169.45,1129.97,39.49,0
4,01AAP-85,1240.98,1198.05,42.93,0
5,01AAP-85,1213.92,1168.83,45.09,0
6,01AAP-85,1171.86,1124.05,47.81,0
7,01AAP-85,1523.29,1459.34,63.95,0
8,01AAP-85,2354.73,2263.33,91.41,0
9,01AAP-85,2541.48,2467.91,73.57,0
10,01AAP-85,2485.34,2434.36,50.98,0
11,01AAP-85,2814.04,2772.97,41.08,0
12,01AAP-85,2806.32,2769.26,37.06,0
13,01AAP-85,2452.37,2413,39.37,0
14,01AAP-85,2836.91,2790.45,46.46,0
15,01AAP-85,2998.1,2936.67,61.43,0
16,01AAP-85,3275.39,3207.34,68.05,0
17,01AAP-85,3579.11,3503.28,75.83,0
18,01AAP-85,3241.99,3166.75,75.24,0
19,01AAP-85,2701.02,2634.21,66.81,0
20,01AAP-85,2280.06,2212.98,67.09,0
21,01AAP-85,2691.33,2603.48,87.85,0
22,01AAP-85,2948.84,2859.27,89.58,0
23,01AAP-85,2751.89,2692.28,59.61,0
24,01AAP-85,2345.32,2303.78,41.54,0
1,01ACC-85,2167.97,2114.11,53.87,0
2,01ACC-85,1360.92,1328.59,32.33,0
3,01ACC-85,1156.34,1129.97,26.37,0
4,01ACC-85,1227.81,1198.05,29.76,0
5,01ACC-85,1198.68,1168.83,29.85,0
6,01ACC-85,1157.22,1124.05,33.17,0
7,01ACC-85,1501.02,1459.34,41.68,0
