Hora,Zona de Carga,Precio Zonal,Energía,Pérdidas,Congestión,timestamp,tipo,sistema
1,ENSENADA,732.66,704.27,28.39,0.0,2017-06-20 01:00:00,MDA,BCA
2,ENSENADA,740.88,711.49,29.39,0.0,2017-06-20 02:00:00,MDA,BCA
3,ENSENADA,699.22,671.98,27.23,0.0,2017-06-20 03:00:00,MDA,BCA
4,ENSENADA,502.72,483.57,19.15,0.0,2017-06-20 04:00:00,MDA,BCA
5,ENSENADA,491.96,472.41,19.55,0.0,2017-06-20 05:00:00,MDA,BCA
6,ENSENADA,472.01,452.18,19.83,0.0,2017-06-20 06:00:00,MDA,BCA
7,ENSENADA,473.41,453.53,19.87,0.0,2017-06-20 07:00:00,MDA,BCA
8,ENSENADA,520.48,498.87,21.62,0.0,2017-06-20 08:00:00,MDA,BCA
9,ENSENADA,529.22,506.72,22.5,0.0,2017-06-20 09:00:00,MDA,BCA
10,ENSENADA,753.13,720.49,32.64,0.0,2017-06-20 10:00:00,MDA,BCA
11,ENSENADA,772.13,737.81,34.32,0.0,2017-06-20 11:00:00,MDA,BCA
12,ENSENADA,1075.04,1022.33,52.71,0.0,2017-06-20 12:00:00,MDA,BCA
13,ENSENADA,865.84,822.52,43.32,0.0,2017-06-20 13:00:00,MDA,BCA
14,ENSENADA,875.65,829.71,45.95,0.0,2017-06-20 14:00:00,MDA,BCA
15,ENSENADA,996.92,943.75,53.17,0.0,2017-06-20 15:00:00,MDA,BCA
16,ENSENADA,776.75,738.02,38.73,0.0,2017-06-20 16:00:00,MDA,BCA
17,ENSENADA,775.72,738.04,37.68,0.0,2017-06-20 17:00:00,MDA,BCA
18,ENSENADA,917.71,870.45,47.26,0.0,2017-06-20 18:00:00,MDA,BCA
19,ENSENADA,957.93,910.19,47.74,0.0,2017-06-20 19:00:00,MDA,BCA
20,ENSENADA,867.99,826.73,41.26,0.0,2017-06-20 20:00:00,MDA,BCA
21,ENSENADA,875.67,831.52,44.15,0.0,2017-06-20 21:00:00,MDA,BCA
22,ENSENADA,874.1,831.18,42.92,0.0,2017-06-20 22:00:00,MDA,BCA
23,ENSENADA,900.62,858.67,41.95,0.0,2017-06-20 23:00:00,MDA,BCA
24,ENSENADA,834.42,800.72,33.7,0.0,2017-06-21 00:00:00,MDA,BCA
1,MEXICALI,749.34,704.27,45.07,0.0,2017-06-20 01:00:00,MDA,BCA
2,MEXICALI,745.93,711.49,34.44,0.0,2017-06-20 02:00:00,MDA,BCA
3,MEXICALI,697.85,671.98,25.87,0.0,2017-06-20 03:00:00,MDA,BCA
4,MEXICALI,498.58,483.57,15.01,0.0,2017-06-20 04:00:00,MDA,BCA
5,MEXICALI,482.25,472.41,9.85,0.0,2017-06-20 05:00:00,MDA,BCA
6,MEXICALI,457.98,452.18,5.8,0.0,2017-06-20 06:00:00,MDA,BCA
7,MEXICALI,457.6,453.53,4.07,0.0,2017-06-20 07:00:00,MDA,BCA
