Fecha,Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
01/04/2016,1,07APD-230,308.7,321.45,-12.75,0
01/04/2016,2,07APD-230,308.34,321.83,-13.49,0
01/04/2016,3,07APD-230,308.22,321.07,-12.84,0
01/04/2016,4,07APD-230,308.19,320.58,-12.39,0
01/04/2016,5,07APD-230,307.89,319.42,-11.53,0
01/04/2016,6,07APD-230,308.02,320.36,-12.34,0
01/04/2016,7,07APD-230,308.22,320.01,-11.79,0
01/04/2016,8,07APD-230,308.68,318.94,-10.26,0
01/04/2016,9,07APD-230,309.72,320.35,-10.64,0
01/04/2016,10,07APD-230,310.62,321.78,-11.16,0
01/04/2016,11,07APD-230,398.16,412.45,-14.29,0
01/04/2016,12,07APD-230,399.25,412.43,-13.18,0
01/04/2016,13,07APD-230,401.67,414.28,-12.61,0
01/04/2016,14,07APD-230,403.11,414.97,-11.85,0
01/04/2016,15,07APD-230,405.36,416.79,-11.44,0
01/04/2016,16,07APD-230,785.71,807.84,-22.12,0
01/04/2016,17,07APD-230,333.55,343.5,-9.94,0
01/04/2016,18,07APD-230,327.52,337.58,-10.06,0
01/04/2016,19,07APD-230,311.04,320.79,-9.76,0
01/04/2016,20,07APD-230,405.06,415.25,-10.19,0
01/04/2016,21,07APD-230,406.84,416.5,-9.66,0
01/04/2016,22,07APD-230,405.28,417.25,-11.97,0
01/04/2016,23,07APD-230,310.73,321.02,-10.29,0
01/04/2016,24,07APD-230,310.31,323.19,-12.87,0
01/04/2016,1,07CES-69,322.77,321.45,1.32,0
01/04/2016,2,07CES-69,323.16,321.83,1.34,0
01/04/2016,3,07CES-69,322.4,321.07,1.34,0
01/04/2016,4,07CES-69,321.94,320.58,1.37,0
01/04/2016,5,07CES-69,320.83,319.42,1.41,0
01/04/2016,6,07CES-69,321.73,320.36,1.37,0
01/04/2016,7,07CES-69,321.28,320.01,1.28,0
01/04/2016,8,07CES-69,320.06,318.94,1.12,0
01/04/2016,9,07CES-69,321.42,320.35,1.07,0
01/04/2016,10,07CES-69,322.76,321.78,0.98,0
01/04/2016,11,07CES-69,413.73,412.45,1.28,0
01/04/2016,12,07CES-69,413.86,412.43,1.43,0
01/04/2016,13,07CES-69,415.7,414.28,1.42,0
01/04/2016,14,07CES-69,416.44,414.97,1.47,0
01/04/2016,15,07CES-69,418.32,416.79,1.53,0
01/04/2016,16,07CES-69,810.74,807.84,2.9,0
01/04/2016,17,07CES-69,344.67,343.5,1.18,0
01/04/2016,18,07CES-69,338.64,337.58,1.07,0
01/04/2016,19,07CES-69,321.79,320.79,1,0
01/04/2016,20,07CES-69,416.73,415.25,1.49,0
01/04/2016,21,07CES-69,417.94,416.5,1.45,0
01/04/2016,22,07CES-69,418.57,417.25,1.32,0
01/04/2016,23,07CES-69,321.95,321.02,0.93,0
01/04/2016,24,07CES-69,324.24,323.19,1.06,0
01/04/2016,1,07CHQ-230,310.51,321.45,-10.94,0
01/04/2016,2,07CHQ-230,310.24,321.83,-11.58,0
01/04/2016,3,07CHQ-230,310.16,321.07,-10.91,0
01/04/2016,4,07CHQ-230,310.1,320.58,-10.48,0
01/04/2016,5,07CHQ-230,309.82,319.42,-9.59,0
01/04/2016,6,07CHQ-230,309.87,320.36,-10.49,0
01/04/2016,7,07CHQ-230,310.06,320.01,-9.95,0
01/04/2016,8,07CHQ-230,310.37,318.94,-8.57,0
01/04/2016,9,07CHQ-230,311.38,320.35,-8.97,0
01/04/2016,10,07CHQ-230,312.25,321.78,-9.53,0
01/04/2016,11,07CHQ-230,400.23,412.45,-12.22,0
01/04/2016,12,07CHQ-230,401.28,412.43,-11.15,0
