Fecha,Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
2016-08-16,1,07APD-230,924.73,865.45,59.28,0
2016-08-16,2,07APD-230,859.55,813.92,45.63,0
2016-08-16,3,07APD-230,772.1,737.36,34.74,0
2016-08-16,4,07APD-230,713.99,686.59,27.4,0
2016-08-16,5,07APD-230,558.51,539.96,18.55,0
2016-08-16,6,07APD-230,791.49,769.23,22.26,0
2016-08-16,7,07APD-230,766.34,749.63,16.71,0
2016-08-16,8,07APD-230,771.19,749.44,21.75,0
2016-08-16,9,07APD-230,846.33,813.92,32.41,0
2016-08-16,10,07APD-230,925,890.59,34.4,0
2016-08-16,11,07APD-230,930.82,890.61,40.21,0
2016-08-16,12,07APD-230,936.4,890.59,45.81,0
2016-08-16,13,07APD-230,911.19,865.36,45.83,0
2016-08-16,14,07APD-230,915.69,865.47,50.22,0
2016-08-16,15,07APD-230,918.04,865.06,52.97,0
2016-08-16,16,07APD-230,919.59,865.22,54.37,0
2016-08-16,17,07APD-230,920.87,865.37,55.49,0
2016-08-16,18,07APD-230,955.42,890.58,64.84,0
2016-08-16,19,07APD-230,922.74,865.51,57.24,0
2016-08-16,20,07APD-230,949.45,890.61,58.84,0
2016-08-16,21,07APD-230,890.71,839.73,50.98,0
2016-08-16,22,07APD-230,917.92,865.31,52.6,0
2016-08-16,23,07APD-230,920.6,865.28,55.32,0
2016-08-16,24,07APD-230,893.2,839.89,53.31,0
2016-08-16,1,07CES-69,875.8,865.45,10.35,0
2016-08-16,2,07CES-69,822.66,813.92,8.74,0
2016-08-16,3,07CES-69,744.72,737.36,7.37,0
2016-08-16,4,07CES-69,692.98,686.59,6.4,0
2016-08-16,5,07CES-69,544.75,539.96,4.79,0
2016-08-16,6,07CES-69,776.17,769.23,6.94,0
2016-08-16,7,07CES-69,756.05,749.63,6.42,0
2016-08-16,8,07CES-69,756.47,749.44,7.02,0
2016-08-16,9,07CES-69,821.86,813.92,7.94,0
2016-08-16,10,07CES-69,899.26,890.59,8.67,0
2016-08-16,11,07CES-69,899.3,890.61,8.69,0
2016-08-16,12,07CES-69,899.26,890.59,8.66,0
2016-08-16,13,07CES-69,873.75,865.36,8.39,0
2016-08-16,14,07CES-69,874.13,865.47,8.66,0
2016-08-16,15,07CES-69,873.78,865.06,8.72,0
2016-08-16,16,07CES-69,875.03,865.22,9.8,0
2016-08-16,17,07CES-69,875.22,865.37,9.85,0
2016-08-16,18,07CES-69,901.15,890.58,10.57,0
2016-08-16,19,07CES-69,875.65,865.51,10.15,0
2016-08-16,20,07CES-69,901.04,890.61,10.43,0
2016-08-16,21,07CES-69,849.23,839.73,9.5,0
2016-08-16,22,07CES-69,875.28,865.31,9.97,0
2016-08-16,23,07CES-69,875.51,865.28,10.23,0
2016-08-16,24,07CES-69,849.97,839.89,10.08,0
2016-08-16,1,07CHQ-230,922.67,865.45,57.22,0
2016-08-16,2,07CHQ-230,857.75,813.92,43.83,0
2016-08-16,3,07CHQ-230,770.54,737.36,33.18,0
2016-08-16,4,07CHQ-230,712.42,686.59,25.84,0
2016-08-16,5,07CHQ-230,557.22,539.96,17.26,0
2016-08-16,6,07CHQ-230,789.46,769.23,20.23,0
2016-08-16,7,07CHQ-230,764.11,749.63,14.48,0
2016-08-16,8,07CHQ-230,768.95,749.44,19.51,0
2016-08-16,9,07CHQ-230,843.9,813.92,29.98,0
2016-08-16,10,07CHQ-230,922.62,890.59,32.03,0
2016-08-16,11,07CHQ-230,928.57,890.61,37.96,0
2016-08-16,12,07CHQ-230,934.53,890.59,43.94,0
2016-08-16,13,07CHQ-230,909.46,865.36,44.1,0
2016-08-16,14,07CHQ-230,914.18,865.47,48.7,0
2016-08-16,15,07CHQ-230,916.42,865.06,51.36,0
