Fecha,Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
2016-12-01,1,07APD-230,581.11,605.57,-24.46,0
2016-12-01,2,07APD-230,532.81,550.38,-17.58,0
2016-12-01,3,07APD-230,537.43,549.1,-11.67,0
2016-12-01,4,07APD-230,535.31,547.05,-11.75,0
2016-12-01,5,07APD-230,540.17,551.26,-11.09,0
2016-12-01,6,07APD-230,558.61,566.84,-8.23,0
2016-12-01,7,07APD-230,579.33,591.93,-12.6,0
2016-12-01,8,07APD-230,581.22,598.29,-17.07,0
2016-12-01,9,07APD-230,583.65,603.43,-19.78,0
2016-12-01,10,07APD-230,586.6,607.63,-21.03,0
2016-12-01,11,07APD-230,581.69,595.18,-13.49,0
2016-12-01,12,07APD-230,588.91,607.56,-18.65,0
2016-12-01,13,07APD-230,590.37,611.34,-20.97,0
2016-12-01,14,07APD-230,589.21,607.82,-18.61,0
2016-12-01,15,07APD-230,589.11,608.14,-19.04,0
2016-12-01,16,07APD-230,589.01,607.64,-18.63,0
2016-12-01,17,07APD-230,618.45,638.24,-19.8,0
2016-12-01,18,07APD-230,589.8,602.34,-12.54,0
2016-12-01,19,07APD-230,618.97,634.7,-15.73,0
2016-12-01,20,07APD-230,589.82,603.3,-13.48,0
2016-12-01,21,07APD-230,585.36,595.82,-10.46,0
2016-12-01,22,07APD-230,589.76,608.18,-18.42,0
2016-12-01,23,07APD-230,550.27,559.25,-8.98,0
2016-12-01,24,07APD-230,546.73,552.52,-5.8,0
2016-12-01,1,07CES-69,607.5,605.57,1.93,0
2016-12-01,2,07CES-69,552.42,550.38,2.04,0
2016-12-01,3,07CES-69,551.61,549.1,2.52,0
2016-12-01,4,07CES-69,549.51,547.05,2.46,0
2016-12-01,5,07CES-69,553.83,551.26,2.57,0
2016-12-01,6,07CES-69,569.85,566.84,3.01,0
2016-12-01,7,07CES-69,594.86,591.93,2.93,0
2016-12-01,8,07CES-69,601.29,598.29,2.99,0
