Fecha,Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
27/01/2016,1,07APD-230,310.95,325.2,-14.25,0
27/01/2016,2,07APD-230,310.79,324.06,-13.27,0
27/01/2016,3,07APD-230,310.73,323.35,-12.63,0
27/01/2016,4,07APD-230,310.8,323.06,-12.25,0
27/01/2016,5,07APD-230,311.27,323.68,-12.41,0
27/01/2016,6,07APD-230,311.26,324.71,-13.44,0
27/01/2016,7,07APD-230,311.16,325.18,-14.01,0
27/01/2016,8,07APD-230,310.26,321.02,-10.75,0
27/01/2016,9,07APD-230,315.36,329.49,-14.13,0
27/01/2016,10,07APD-230,315.6,332.26,-16.66,0
27/01/2016,11,07APD-230,317.48,333.61,-16.13,0
27/01/2016,12,07APD-230,317.77,334.59,-16.82,0
27/01/2016,13,07APD-230,317.69,334.23,-16.54,0
27/01/2016,14,07APD-230,316.25,332.56,-16.31,0
27/01/2016,15,07APD-230,316.04,332.45,-16.41,0
27/01/2016,16,07APD-230,317.73,333.82,-16.09,0
27/01/2016,17,07APD-230,315.91,331.76,-15.85,0
27/01/2016,18,07APD-230,318.37,333.06,-14.69,0
27/01/2016,19,07APD-230,356.47,374.9,-18.43,0
27/01/2016,20,07APD-230,319.77,335.67,-15.9,0
27/01/2016,21,07APD-230,318.45,333.51,-15.06,0
27/01/2016,22,07APD-230,315.83,329.28,-13.45,0
27/01/2016,23,07APD-230,311.15,321.89,-10.74,0
27/01/2016,24,07APD-230,310.47,322.52,-12.05,0
27/01/2016,1,07CES-69,326.68,325.2,1.49,0
27/01/2016,2,07CES-69,325.55,324.06,1.49,0
27/01/2016,3,07CES-69,324.85,323.35,1.5,0
27/01/2016,4,07CES-69,324.56,323.06,1.5,0
27/01/2016,5,07CES-69,325.17,323.68,1.5,0
27/01/2016,6,07CES-69,326.17,324.71,1.47,0
27/01/2016,7,07CES-69,326.64,325.18,1.46,0
27/01/2016,8,07CES-69,322.51,321.02,1.49,0
27/01/2016,9,07CES-69,330.98,329.49,1.49,0
27/01/2016,10,07CES-69,333.71,332.26,1.45,0
27/01/2016,11,07CES-69,335.11,333.61,1.5,0
27/01/2016,12,07CES-69,336.04,334.59,1.45,0
27/01/2016,13,07CES-69,335.68,334.23,1.45,0
27/01/2016,14,07CES-69,334.02,332.56,1.46,0
27/01/2016,15,07CES-69,333.92,332.45,1.46,0
27/01/2016,16,07CES-69,335.3,333.82,1.49,0
27/01/2016,17,07CES-69,333.04,331.76,1.27,0
27/01/2016,18,07CES-69,334.3,333.06,1.24,0
27/01/2016,19,07CES-69,376.16,374.9,1.26,0
27/01/2016,20,07CES-69,336.91,335.67,1.24,0
27/01/2016,21,07CES-69,334.76,333.51,1.24,0
27/01/2016,22,07CES-69,330.6,329.28,1.32,0
27/01/2016,23,07CES-69,323.24,321.89,1.36,0
27/01/2016,24,07CES-69,323.9,322.52,1.39,0
27/01/2016,1,07CHQ-230,311.44,325.2,-13.76,0
27/01/2016,2,07CHQ-230,311.29,324.06,-12.77,0
27/01/2016,3,07CHQ-230,311.24,323.35,-12.11,0
27/01/2016,4,07CHQ-230,311.34,323.06,-11.72,0
27/01/2016,5,07CHQ-230,311.77,323.68,-11.9,0
27/01/2016,6,07CHQ-230,311.78,324.71,-12.93,0
27/01/2016,7,07CHQ-230,311.6,325.18,-13.58,0
27/01/2016,8,07CHQ-230,310.64,321.02,-10.38,0
27/01/2016,9,07CHQ-230,315.71,329.49,-13.78,0
27/01/2016,10,07CHQ-230,315.83,332.26,-16.43,0
27/01/2016,11,07CHQ-230,317.66,333.61,-15.95,0
27/01/2016,12,07CHQ-230,317.9,334.59,-16.69,0
27/01/2016,13,07CHQ-230,317.81,334.23,-16.42,0
27/01/2016,14,07CHQ-230,316.48,332.56,-16.08,0
27/01/2016,15,07CHQ-230,316.33,332.45,-16.12,0
27/01/2016,16,07CHQ-230,318.02,333.82,-15.8,0
27/01/2016,17,07CHQ-230,316.21,331.76,-15.55,0
27/01/2016,18,07CHQ-230,318.72,333.06,-14.34,0
27/01/2016,19,07CHQ-230,356.84,374.9,-18.07,0
27/01/2016,20,07CHQ-230,320.08,335.67,-15.59,0
27/01/2016,21,07CHQ-230,318.73,333.51,-14.79,0
27/01/2016,22,07CHQ-230,316.14,329.28,-13.14,0
27/01/2016,23,07CHQ-230,311.5,321.89,-10.39,0
27/01/2016,24,07CHQ-230,310.83,322.52,-11.68,0
27/01/2016,1,07CIP-115,329.23,325.2,4.03,0
27/01/2016,2,07CIP-115,328,324.06,3.94,0
27/01/2016,3,07CIP-115,327.21,323.35,3.85,0
27/01/2016,4,07CIP-115,326.92,323.06,3.86,0
27/01/2016,5,07CIP-115,327.54,323.68,3.86,0
27/01/2016,6,07CIP-115,328.74,324.71,4.03,0
27/01/2016,7,07CIP-115,329.39,325.18,4.21,0
27/01/2016,8,07CIP-115,325.58,321.02,4.56,0
27/01/2016,9,07CIP-115,334.27,329.49,4.78,0
27/01/2016,10,07CIP-115,337.21,332.26,4.95,0
27/01/2016,11,07CIP-115,338.58,333.61,4.97,0
27/01/2016,12,07CIP-115,339.63,334.59,5.05,0
27/01/2016,13,07CIP-115,339.27,334.23,5.04,0
27/01/2016,14,07CIP-115,337.56,332.56,5,0
27/01/2016,15,07CIP-115,337.33,332.45,4.88,0
27/01/2016,16,07CIP-115,338.68,333.82,4.86,0
27/01/2016,17,07CIP-115,336.61,331.76,4.84,0
27/01/2016,18,07CIP-115,338.34,333.06,5.28,0
27/01/2016,19,07CIP-115,381.35,374.9,6.45,0
27/01/2016,20,07CIP-115,341.42,335.67,5.74,0
27/01/2016,21,07CIP-115,339.01,333.51,5.5,0
27/01/2016,22,07CIP-115,334.38,329.28,5.1,0
27/01/2016,23,07CIP-115,326.48,321.89,4.59,0
27/01/2016,24,07CIP-115,326.76,322.52,4.24,0
27/01/2016,1,07CME-115,329.54,325.2,4.34,0
27/01/2016,2,07CME-115,328.31,324.06,4.24,0
27/01/2016,3,07CME-115,327.49,323.35,4.14,0
27/01/2016,4,07CME-115,327.11,323.06,4.06,0
27/01/2016,5,07CME-115,327.82,323.68,4.14,0
27/01/2016,6,07CME-115,329.02,324.71,4.32,0
27/01/2016,7,07CME-115,329.7,325.18,4.53,0
27/01/2016,8,07CME-115,325.95,321.02,4.93,0
27/01/2016,9,07CME-115,334.63,329.49,5.14,0
27/01/2016,10,07CME-115,337.58,332.26,5.32,0
27/01/2016,11,07CME-115,338.96,333.61,5.35,0
27/01/2016,12,07CME-115,340.03,334.59,5.44,0
27/01/2016,13,07CME-115,339.66,334.23,5.43,0
27/01/2016,14,07CME-115,337.96,332.56,5.41,0
27/01/2016,15,07CME-115,337.72,332.45,5.26,0
27/01/2016,16,07CME-115,339.04,333.82,5.22,0
27/01/2016,17,07CME-115,336.99,331.76,5.23,0
27/01/2016,18,07CME-115,338.77,333.06,5.71,0
27/01/2016,19,07CME-115,381.84,374.9,6.94,0
27/01/2016,20,07CME-115,341.86,335.67,6.18,0
27/01/2016,21,07CME-115,339.45,333.51,5.93,0
27/01/2016,22,07CME-115,334.77,329.28,5.49,0
27/01/2016,23,07CME-115,326.83,321.89,4.95,0
27/01/2016,24,07CME-115,327.08,322.52,4.56,0
27/01/2016,1,07CNA-69,325.59,325.2,0.39,0
27/01/2016,2,07CNA-69,324.41,324.06,0.35,0
27/01/2016,3,07CNA-69,323.67,323.35,0.31,0
27/01/2016,4,07CNA-69,323.36,323.06,0.3,0
27/01/2016,5,07CNA-69,323.99,323.68,0.31,0
27/01/2016,6,07CNA-69,325.07,324.71,0.36,0
27/01/2016,7,07CNA-69,325.57,325.18,0.39,0
27/01/2016,8,07CNA-69,321.42,321.02,0.4,0
27/01/2016,9,07CNA-69,329.91,329.49,0.42,0
27/01/2016,10,07CNA-69,332.72,332.26,0.46,0
27/01/2016,11,07CNA-69,334.07,333.61,0.46,0
27/01/2016,12,07CNA-69,335.07,334.59,0.48,0
27/01/2016,13,07CNA-69,334.7,334.23,0.47,0
27/01/2016,14,07CNA-69,333.02,332.56,0.46,0
27/01/2016,15,07CNA-69,332.93,332.45,0.48,0
27/01/2016,16,07CNA-69,334.3,333.82,0.48,0
27/01/2016,17,07CNA-69,333.74,331.76,1.98,0
27/01/2016,18,07CNA-69,335.14,333.06,2.08,0
27/01/2016,19,07CNA-69,377.27,374.9,2.37,0
27/01/2016,20,07CNA-69,337.05,335.67,1.37,0
27/01/2016,21,07CNA-69,334.9,333.51,1.39,0
27/01/2016,22,07CNA-69,330.56,329.28,1.28,0
27/01/2016,23,07CNA-69,323.07,321.89,1.19,0
27/01/2016,24,07CNA-69,323.62,322.52,1.1,0
27/01/2016,1,07CNT-230,316.81,325.2,-8.39,0
27/01/2016,2,07CNT-230,316.66,324.06,-7.4,0
27/01/2016,3,07CNT-230,316.59,323.35,-6.76,0
27/01/2016,4,07CNT-230,316.66,323.06,-6.4,0
27/01/2016,5,07CNT-230,317.03,323.68,-6.65,0
27/01/2016,6,07CNT-230,316.92,324.71,-7.78,0
27/01/2016,7,07CNT-230,316.78,325.18,-8.4,0
27/01/2016,8,07CNT-230,315.72,321.02,-5.3,0
27/01/2016,9,07CNT-230,320.63,329.49,-8.86,0
27/01/2016,10,07CNT-230,320.93,332.26,-11.33,0
27/01/2016,11,07CNT-230,322.91,333.61,-10.7,0
27/01/2016,12,07CNT-230,323.34,334.59,-11.25,0
27/01/2016,13,07CNT-230,323.28,334.23,-10.95,0
27/01/2016,14,07CNT-230,321.56,332.56,-11,0
27/01/2016,15,07CNT-230,321.35,332.45,-11.1,0
27/01/2016,16,07CNT-230,323.01,333.82,-10.81,0
27/01/2016,17,07CNT-230,321.13,331.76,-10.64,0
27/01/2016,18,07CNT-230,323.45,333.06,-9.61,0
27/01/2016,19,07CNT-230,361.97,374.9,-12.93,0
27/01/2016,20,07CNT-230,324.74,335.67,-10.94,0
27/01/2016,21,07CNT-230,323.49,333.51,-10.02,0
27/01/2016,22,07CNT-230,321.05,329.28,-8.23,0
27/01/2016,23,07CNT-230,316.29,321.89,-5.6,0
27/01/2016,24,07CNT-230,315.78,322.52,-6.74,0
27/01/2016,1,07CNZ-161,316.87,325.2,-8.33,0
27/01/2016,2,07CNZ-161,316.57,324.06,-7.5,0
27/01/2016,3,07CNZ-161,316.42,323.35,-6.94,0
27/01/2016,4,07CNZ-161,316.49,323.06,-6.57,0
27/01/2016,5,07CNZ-161,317.02,323.68,-6.66,0
27/01/2016,6,07CNZ-161,317.07,324.71,-7.64,0
27/01/2016,7,07CNZ-161,317.24,325.18,-7.94,0
27/01/2016,8,07CNZ-161,316.26,321.02,-4.76,0
27/01/2016,9,07CNZ-161,321.36,329.49,-8.13,0
27/01/2016,10,07CNZ-161,321.77,332.26,-10.49,0
27/01/2016,11,07CNZ-161,323.73,333.61,-9.88,0
27/01/2016,12,07CNZ-161,324.07,334.59,-10.52,0
27/01/2016,13,07CNZ-161,324.02,334.23,-10.22,0
27/01/2016,14,07CNZ-161,322.21,332.56,-10.35,0
27/01/2016,15,07CNZ-161,322,332.45,-10.46,0
27/01/2016,16,07CNZ-161,323.61,333.82,-10.21,0
27/01/2016,17,07CNZ-161,321.74,331.76,-10.02,0
27/01/2016,18,07CNZ-161,324.43,333.06,-8.63,0
27/01/2016,19,07CNZ-161,363.17,374.9,-11.73,0
27/01/2016,20,07CNZ-161,325.79,335.67,-9.89,0
27/01/2016,21,07CNZ-161,324.36,333.51,-9.15,0
27/01/2016,22,07CNZ-161,321.83,329.28,-7.44,0
27/01/2016,23,07CNZ-161,316.82,321.89,-5.07,0
27/01/2016,24,07CNZ-161,316.05,322.52,-6.47,0
27/01/2016,1,07COE-115,342.74,325.2,17.54,0
27/01/2016,2,07COE-115,341.3,324.06,17.24,0
27/01/2016,3,07COE-115,340.52,323.35,17.17,0
27/01/2016,4,07COE-115,342.42,323.06,19.37,0
27/01/2016,5,07COE-115,341.25,323.68,17.58,0
27/01/2016,6,07COE-115,343.14,324.71,18.43,0
27/01/2016,7,07COE-115,343.49,325.18,18.32,0
27/01/2016,8,07COE-115,341.02,321.02,20,0
27/01/2016,9,07COE-115,349.65,329.49,20.17,0
27/01/2016,10,07COE-115,353.3,332.26,21.04,0
27/01/2016,11,07COE-115,354.49,333.61,20.88,0
27/01/2016,12,07COE-115,355.39,334.59,20.81,0
27/01/2016,13,07COE-115,355.36,334.23,21.13,0
27/01/2016,14,07COE-115,353.16,332.56,20.6,0
27/01/2016,15,07COE-115,352.55,332.45,20.1,0
27/01/2016,16,07COE-115,354.44,333.82,20.62,0
27/01/2016,17,07COE-115,352.1,331.76,20.34,0
27/01/2016,18,07COE-115,355.2,333.06,22.14,0
27/01/2016,19,07COE-115,401.96,374.9,27.06,0
27/01/2016,20,07COE-115,359.86,335.67,24.19,0
27/01/2016,21,07COE-115,356.33,333.51,22.81,0
27/01/2016,22,07COE-115,350.46,329.28,21.18,0
27/01/2016,23,07COE-115,341.36,321.89,19.47,0
27/01/2016,24,07COE-115,340.72,322.52,18.21,0
27/01/2016,1,07CPC-161,313.12,325.2,-12.08,0
27/01/2016,2,07CPC-161,312.94,324.06,-11.12,0
27/01/2016,3,07CPC-161,312.87,323.35,-10.48,0
27/01/2016,4,07CPC-161,312.95,323.06,-10.11,0
27/01/2016,5,07CPC-161,313.37,323.68,-10.31,0
27/01/2016,6,07CPC-161,313.33,324.71,-11.38,0
27/01/2016,7,07CPC-161,313.22,325.18,-11.95,0
27/01/2016,8,07CPC-161,312.23,321.02,-8.79,0
27/01/2016,9,07CPC-161,317.22,329.49,-12.27,0
27/01/2016,10,07CPC-161,317.57,332.26,-14.68,0
27/01/2016,11,07CPC-161,319.44,333.61,-14.17,0
27/01/2016,12,07CPC-161,319.71,334.59,-14.88,0
27/01/2016,13,07CPC-161,319.63,334.23,-14.6,0
27/01/2016,14,07CPC-161,317.96,332.56,-14.6,0
27/01/2016,15,07CPC-161,317.84,332.45,-14.62,0
27/01/2016,16,07CPC-161,319.51,333.82,-14.31,0
27/01/2016,17,07CPC-161,317.66,331.76,-14.1,0
27/01/2016,18,07CPC-161,320.15,333.06,-12.92,0
27/01/2016,19,07CPC-161,358.34,374.9,-16.56,0
27/01/2016,20,07CPC-161,321.46,335.67,-14.21,0
27/01/2016,21,07CPC-161,320.13,333.51,-13.39,0
27/01/2016,22,07CPC-161,317.67,329.28,-11.61,0
27/01/2016,23,07CPC-161,312.96,321.89,-8.93,0
27/01/2016,24,07CPC-161,312.31,322.52,-10.21,0
27/01/2016,1,07CPD-230,310.42,325.2,-14.78,0
27/01/2016,2,07CPD-230,310.3,324.06,-13.76,0
27/01/2016,3,07CPD-230,310.27,323.35,-13.08,0
27/01/2016,4,07CPD-230,310.36,323.06,-12.7,0
27/01/2016,5,07CPD-230,310.77,323.68,-12.91,0
27/01/2016,6,07CPD-230,310.72,324.71,-13.99,0
27/01/2016,7,07CPD-230,310.5,325.18,-14.68,0
27/01/2016,8,07CPD-230,309.57,321.02,-11.45,0
27/01/2016,9,07CPD-230,314.62,329.49,-14.87,0
27/01/2016,10,07CPD-230,314.82,332.26,-17.43,0
27/01/2016,11,07CPD-230,316.63,333.61,-16.98,0
27/01/2016,12,07CPD-230,316.86,334.59,-17.73,0
27/01/2016,13,07CPD-230,316.77,334.23,-17.46,0
27/01/2016,14,07CPD-230,315.33,332.56,-17.23,0
27/01/2016,15,07CPD-230,315.19,332.45,-17.26,0
27/01/2016,16,07CPD-230,316.86,333.82,-16.96,0
27/01/2016,17,07CPD-230,315.05,331.76,-16.72,0
27/01/2016,18,07CPD-230,317.45,333.06,-15.61,0
27/01/2016,19,07CPD-230,355.36,374.9,-19.54,0
27/01/2016,20,07CPD-230,318.79,335.67,-16.89,0
27/01/2016,21,07CPD-230,317.5,333.51,-16.01,0
27/01/2016,22,07CPD-230,315,329.28,-14.28,0
27/01/2016,23,07CPD-230,310.45,321.89,-11.43,0
27/01/2016,24,07CPD-230,309.84,322.52,-12.68,0
27/01/2016,1,07CPT-230,310.35,325.2,-14.85,0
27/01/2016,2,07CPT-230,310.23,324.06,-13.83,0
27/01/2016,3,07CPT-230,310.2,323.35,-13.15,0
27/01/2016,4,07CPT-230,310.29,323.06,-12.77,0
27/01/2016,5,07CPT-230,310.7,323.68,-12.98,0
27/01/2016,6,07CPT-230,310.65,324.71,-14.06,0
27/01/2016,7,07CPT-230,310.43,325.18,-14.75,0
27/01/2016,8,07CPT-230,309.51,321.02,-11.51,0
27/01/2016,9,07CPT-230,314.58,329.49,-14.91,0
27/01/2016,10,07CPT-230,314.78,332.26,-17.48,0
27/01/2016,11,07CPT-230,316.59,333.61,-17.02,0
27/01/2016,12,07CPT-230,316.82,334.59,-17.77,0
27/01/2016,13,07CPT-230,316.73,334.23,-17.5,0
27/01/2016,14,07CPT-230,315.29,332.56,-17.27,0
27/01/2016,15,07CPT-230,315.15,332.45,-17.31,0
27/01/2016,16,07CPT-230,316.82,333.82,-17,0
27/01/2016,17,07CPT-230,315,331.76,-16.76,0
27/01/2016,18,07CPT-230,317.39,333.06,-15.67,0
27/01/2016,19,07CPT-230,355.29,374.9,-19.61,0
27/01/2016,20,07CPT-230,318.73,335.67,-16.95,0
27/01/2016,21,07CPT-230,317.45,333.51,-16.06,0
27/01/2016,22,07CPT-230,314.95,329.28,-14.33,0
27/01/2016,23,07CPT-230,310.41,321.89,-11.47,0
27/01/2016,24,07CPT-230,309.8,322.52,-12.72,0
27/01/2016,1,07CPU-161,313.45,325.2,-11.75,0
27/01/2016,2,07CPU-161,313.27,324.06,-10.79,0
27/01/2016,3,07CPU-161,313.21,323.35,-10.15,0
27/01/2016,4,07CPU-161,313.29,323.06,-9.77,0
27/01/2016,5,07CPU-161,313.7,323.68,-9.97,0
