Fecha,Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
01/07/2016,1,07APD-230,961.58,902.75,58.83,0
01/07/2016,2,07APD-230,932.72,875.58,57.14,0
01/07/2016,3,07APD-230,895.88,848.77,47.11,0
01/07/2016,4,07APD-230,835.73,794.85,40.89,0
01/07/2016,5,07APD-230,772.43,741.1,31.33,0
01/07/2016,6,07APD-230,741.5,714.68,26.82,0
01/07/2016,7,07APD-230,768.5,741.3,27.2,0
01/07/2016,8,07APD-230,911.23,875.64,35.59,0
01/07/2016,9,07APD-230,907.17,875.92,31.26,0
01/07/2016,10,07APD-230,943.91,902.42,41.5,0
01/07/2016,11,07APD-230,948.46,902.38,46.09,0
01/07/2016,12,07APD-230,951.13,902.71,48.42,0
01/07/2016,13,07APD-230,925.07,875.8,49.27,0
01/07/2016,14,07APD-230,956.48,902.58,53.9,0
01/07/2016,15,07APD-230,960.28,902.64,57.63,0
01/07/2016,16,07APD-230,962.87,902.82,60.05,0
01/07/2016,17,07APD-230,994.38,929.35,65.03,0
01/07/2016,18,07APD-230,969,902.48,66.51,0
01/07/2016,19,07APD-230,967.94,902.9,65.05,0
01/07/2016,20,07APD-230,960.86,902.91,57.96,0
01/07/2016,21,07APD-230,956.94,902.39,54.55,0
01/07/2016,22,07APD-230,959.05,902.79,56.26,0
01/07/2016,23,07APD-230,958.04,902.55,55.49,0
01/07/2016,24,07APD-230,956.49,902.48,54,0
01/07/2016,1,07CES-69,913.46,902.75,10.72,0
01/07/2016,2,07CES-69,885.85,875.58,10.27,0
01/07/2016,3,07CES-69,858.12,848.77,9.36,0
01/07/2016,4,07CES-69,803.12,794.85,8.27,0
01/07/2016,5,07CES-69,748.27,741.1,7.18,0
01/07/2016,6,07CES-69,721.35,714.68,6.67,0
01/07/2016,7,07CES-69,748.27,741.3,6.97,0
01/07/2016,8,07CES-69,884.84,875.64,9.19,0
01/07/2016,9,07CES-69,885.21,875.92,9.29,0
01/07/2016,10,07CES-69,912.29,902.42,9.87,0
01/07/2016,11,07CES-69,912.05,902.38,9.67,0
01/07/2016,12,07CES-69,912.51,902.71,9.8,0
01/07/2016,13,07CES-69,885.34,875.8,9.54,0
01/07/2016,14,07CES-69,912.64,902.58,10.06,0
01/07/2016,15,07CES-69,912.94,902.64,10.29,0
01/07/2016,16,07CES-69,913.12,902.82,10.3,0
01/07/2016,17,07CES-69,940.05,929.35,10.7,0
01/07/2016,18,07CES-69,912.73,902.48,10.25,0
01/07/2016,19,07CES-69,913.15,902.9,10.25,0
01/07/2016,20,07CES-69,913.16,902.91,10.25,0
01/07/2016,21,07CES-69,911.94,902.39,9.55,0
01/07/2016,22,07CES-69,912.76,902.79,9.97,0
01/07/2016,23,07CES-69,912.71,902.55,10.16,0
01/07/2016,24,07CES-69,912.88,902.48,10.39,0
01/07/2016,1,07CHQ-230,958.83,902.75,56.09,0
01/07/2016,2,07CHQ-230,930.04,875.58,54.46,0
01/07/2016,3,07CHQ-230,893.18,848.77,44.41,0
01/07/2016,4,07CHQ-230,833.03,794.85,38.19,0
01/07/2016,5,07CHQ-230,770.01,741.1,28.91,0
01/07/2016,6,07CHQ-230,738.96,714.68,24.28,0
01/07/2016,7,07CHQ-230,765.7,741.3,24.4,0
01/07/2016,8,07CHQ-230,907.88,875.64,32.24,0
01/07/2016,9,07CHQ-230,904.04,875.92,28.13,0
01/07/2016,10,07CHQ-230,940.37,902.42,37.95,0
01/07/2016,11,07CHQ-230,945.16,902.38,42.79,0
01/07/2016,12,07CHQ-230,948.01,902.71,45.3,0
01/07/2016,13,07CHQ-230,922.17,875.8,46.38,0
01/07/2016,14,07CHQ-230,953.92,902.58,51.34,0
01/07/2016,15,07CHQ-230,958.05,902.64,55.41,0
01/07/2016,16,07CHQ-230,960.93,902.82,58.11,0
01/07/2016,17,07CHQ-230,992.27,929.35,62.92,0
01/07/2016,18,07CHQ-230,966.65,902.48,64.17,0
01/07/2016,19,07CHQ-230,965.17,902.9,62.28,0
01/07/2016,20,07CHQ-230,957.7,902.91,54.79,0
01/07/2016,21,07CHQ-230,953.85,902.39,51.46,0
01/07/2016,22,07CHQ-230,956.21,902.79,53.42,0
01/07/2016,23,07CHQ-230,955.15,902.55,52.6,0
01/07/2016,24,07CHQ-230,953.64,902.48,51.16,0
01/07/2016,1,07CIP-115,919.15,902.75,16.4,0
01/07/2016,2,07CIP-115,890.78,875.58,15.2,0
01/07/2016,3,07CIP-115,863.21,848.77,14.44,0
01/07/2016,4,07CIP-115,808.33,794.85,13.48,0
01/07/2016,5,07CIP-115,754.07,741.1,12.97,0
01/07/2016,6,07CIP-115,727.32,714.68,12.63,0
01/07/2016,7,07CIP-115,754.84,741.3,13.54,0
01/07/2016,8,07CIP-115,893.13,875.64,17.49,0
