Fecha,Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
01/05/2016,1,07APD-230,299.93,308.4,-8.48,0
01/05/2016,2,07APD-230,299.92,309.41,-9.49,0
01/05/2016,3,07APD-230,299.81,309.78,-9.97,0
01/05/2016,4,07APD-230,299.52,309.25,-9.74,0
01/05/2016,5,07APD-230,299.39,309.2,-9.81,0
01/05/2016,6,07APD-230,298.75,309.73,-10.99,0
01/05/2016,7,07APD-230,298.96,309.7,-10.74,0
01/05/2016,8,07APD-230,298.61,309.81,-11.2,0
01/05/2016,9,07APD-230,298.83,310.33,-11.5,0
01/05/2016,10,07APD-230,299.19,309.83,-10.64,0
01/05/2016,11,07APD-230,299.43,309.16,-9.72,0
01/05/2016,12,07APD-230,299.63,308.8,-9.17,0
01/05/2016,13,07APD-230,299.79,308.29,-8.5,0
01/05/2016,14,07APD-230,299.89,307.9,-8.02,0
01/05/2016,15,07APD-230,299.98,307.26,-7.28,0
01/05/2016,16,07APD-230,300.1,306.96,-6.86,0
01/05/2016,17,07APD-230,301.95,312.21,-10.25,0
01/05/2016,18,07APD-230,303.2,315.92,-12.72,0
01/05/2016,19,07APD-230,303.04,316.19,-13.15,0
01/05/2016,20,07APD-230,303.21,314.88,-11.67,0
01/05/2016,21,07APD-230,303.47,314.04,-10.57,0
01/05/2016,22,07APD-230,303.34,314.01,-10.67,0
01/05/2016,23,07APD-230,301.89,311.58,-9.69,0
01/05/2016,24,07APD-230,299.83,307.77,-7.93,0
01/05/2016,1,07CES-69,309.31,308.4,0.91,0
01/05/2016,2,07CES-69,310.39,309.41,0.98,0
01/05/2016,3,07CES-69,310.78,309.78,1,0
01/05/2016,4,07CES-69,310.25,309.25,1,0
01/05/2016,5,07CES-69,310.22,309.2,1.02,0
01/05/2016,6,07CES-69,310.69,309.73,0.96,0
01/05/2016,7,07CES-69,310.65,309.7,0.95,0
01/05/2016,8,07CES-69,310.72,309.81,0.9,0
01/05/2016,9,07CES-69,311.23,310.33,0.89,0
01/05/2016,10,07CES-69,310.59,309.83,0.76,0
01/05/2016,11,07CES-69,309.79,309.16,0.63,0
01/05/2016,12,07CES-69,309.43,308.8,0.63,0
01/05/2016,13,07CES-69,308.92,308.29,0.63,0
01/05/2016,14,07CES-69,308.5,307.9,0.6,0
01/05/2016,15,07CES-69,307.87,307.26,0.61,0
01/05/2016,16,07CES-69,307.56,306.96,0.6,0
01/05/2016,17,07CES-69,312.83,312.21,0.62,0
01/05/2016,18,07CES-69,316.62,315.92,0.7,0
01/05/2016,19,07CES-69,316.85,316.19,0.66,0
01/05/2016,20,07CES-69,315.43,314.88,0.55,0
01/05/2016,21,07CES-69,314.49,314.04,0.45,0
01/05/2016,22,07CES-69,314.49,314.01,0.48,0
01/05/2016,23,07CES-69,312.21,311.58,0.63,0
01/05/2016,24,07CES-69,308.51,307.77,0.74,0
01/05/2016,1,07CHQ-230,300.41,308.4,-7.99,0
01/05/2016,2,07CHQ-230,300.35,309.41,-9.06,0
01/05/2016,3,07CHQ-230,300.28,309.78,-9.5,0
01/05/2016,4,07CHQ-230,299.98,309.25,-9.27,0
