Fecha,Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
2016-11-01,1,07APD-230,464.84,477.19,-12.35,0
2016-11-01,2,07APD-230,594.8,606.46,-11.66,0
2016-11-01,3,07APD-230,664.72,672.3,-7.58,0
2016-11-01,4,07APD-230,613.74,622.99,-9.25,0
2016-11-01,5,07APD-230,612.84,622.88,-10.04,0
2016-11-01,6,07APD-230,663.3,672.49,-9.19,0
2016-11-01,7,07APD-230,657.39,672.21,-14.83,0
2016-11-01,8,07APD-230,433.83,447.18,-13.36,0
2016-11-01,9,07APD-230,459,475.41,-16.42,0
2016-11-01,10,07APD-230,458.97,472.82,-13.85,0
2016-11-01,11,07APD-230,464.2,479.98,-15.78,0
2016-11-01,12,07APD-230,556.21,573.31,-17.1,0
2016-11-01,13,07APD-230,608.32,623.66,-15.33,0
2016-11-01,14,07APD-230,660.95,673.09,-12.14,0
2016-11-01,15,07APD-230,649.3,656.79,-7.49,0
2016-11-01,16,07APD-230,601.96,607.04,-5.08,0
2016-11-01,17,07APD-230,584.33,589.91,-5.57,0
2016-11-01,18,07APD-230,467.21,472.57,-5.37,0
2016-11-01,19,07APD-230,631.84,640.03,-8.19,0
2016-11-01,20,07APD-230,651.58,656.66,-5.08,0
2016-11-01,21,07APD-230,622.03,627.75,-5.72,0
2016-11-01,22,07APD-230,495.12,501.45,-6.34,0
2016-11-01,23,07APD-230,615.23,627.57,-12.34,0
2016-11-01,24,07APD-230,631.12,649.16,-18.04,0
2016-11-01,1,07CES-69,479.04,477.19,1.85,0
2016-11-01,2,07CES-69,609.11,606.46,2.65,0
2016-11-01,3,07CES-69,675.72,672.3,3.42,0
2016-11-01,4,07CES-69,625.94,622.99,2.95,0
2016-11-01,5,07CES-69,625.79,622.88,2.9,0
2016-11-01,6,07CES-69,675.76,672.49,3.27,0
2016-11-01,7,07CES-69,675.18,672.21,2.97,0
2016-11-01,8,07CES-69,449.11,447.18,1.93,0
2016-11-01,9,07CES-69,477.42,475.41,2.01,0
2016-11-01,10,07CES-69,475.08,472.82,2.26,0
2016-11-01,11,07CES-69,482.22,479.98,2.24,0
2016-11-01,12,07CES-69,576.07,573.31,2.76,0
2016-11-01,13,07CES-69,627.02,623.66,3.36,0
2016-11-01,14,07CES-69,677.1,673.09,4.01,0
2016-11-01,15,07CES-69,660.91,656.79,4.13,0
2016-11-01,16,07CES-69,610.95,607.04,3.91,0
2016-11-01,17,07CES-69,593.58,589.91,3.68,0
2016-11-01,18,07CES-69,475.39,472.57,2.82,0
2016-11-01,19,07CES-69,644.19,640.03,4.16,0
2016-11-01,20,07CES-69,661.18,656.66,4.52,0
2016-11-01,21,07CES-69,631.94,627.75,4.19,0
2016-11-01,22,07CES-69,504.52,501.45,3.07,0
2016-11-01,23,07CES-69,630.77,627.57,3.21,0
2016-11-01,24,07CES-69,651.79,649.16,2.63,0
2016-11-01,1,07CHQ-230,463.27,477.19,-13.92,0
2016-11-01,2,07CHQ-230,592.81,606.46,-13.65,0
2016-11-01,3,07CHQ-230,662.5,672.3,-9.8,0
2016-11-01,4,07CHQ-230,611.65,622.99,-11.33,0
2016-11-01,5,07CHQ-230,610.77,622.88,-12.11,0
2016-11-01,6,07CHQ-230,661.02,672.49,-11.48,0
2016-11-01,7,07CHQ-230,654.96,672.21,-17.26,0
2016-11-01,8,07CHQ-230,432.1,447.18,-15.08,0
2016-11-01,9,07CHQ-230,457.19,475.41,-18.22,0
2016-11-01,10,07CHQ-230,457.17,472.82,-15.66,0
2016-11-01,11,07CHQ-230,462.35,479.98,-17.63,0
2016-11-01,12,07CHQ-230,554.04,573.31,-19.28,0
2016-11-01,13,07CHQ-230,605.93,623.66,-17.73,0
2016-11-01,14,07CHQ-230,658.29,673.09,-14.8,0
2016-11-01,15,07CHQ-230,646.54,656.79,-10.25,0
2016-11-01,16,07CHQ-230,599.44,607.04,-7.6,0
2016-11-01,17,07CHQ-230,581.87,589.91,-8.03,0
2016-11-01,18,07CHQ-230,465.24,472.57,-7.34,0
2016-11-01,19,07CHQ-230,629.7,640.03,-10.33,0
2016-11-01,20,07CHQ-230,649.39,656.66,-7.27,0
2016-11-01,21,07CHQ-230,619.93,627.75,-7.82,0
2016-11-01,22,07CHQ-230,493.37,501.45,-8.09,0
2016-11-01,23,07CHQ-230,612.97,627.57,-14.59,0
2016-11-01,24,07CHQ-230,628.85,649.16,-20.31,0
2016-11-01,1,07CIP-115,484.88,477.19,7.69,0
2016-11-01,2,07CIP-115,616.04,606.46,9.58,0
2016-11-01,3,07CIP-115,682.7,672.3,10.4,0
2016-11-01,4,07CIP-115,632.59,622.99,9.6,0
2016-11-01,5,07CIP-115,632.55,622.88,9.67,0
2016-11-01,6,07CIP-115,683.28,672.49,10.79,0
2016-11-01,7,07CIP-115,683.59,672.21,11.37,0
2016-11-01,8,07CIP-115,455.26,447.18,8.08,0
2016-11-01,9,07CIP-115,484.42,475.41,9.01,0
2016-11-01,10,07CIP-115,482,472.82,9.17,0
2016-11-01,11,07CIP-115,489.59,479.98,9.6,0
2016-11-01,12,07CIP-115,584.93,573.31,11.61,0
2016-11-01,13,07CIP-115,636.02,623.66,12.36,0
2016-11-01,14,07CIP-115,686.45,673.09,13.36,0
2016-11-01,15,07CIP-115,669.78,656.79,12.99,0
2016-11-01,16,07CIP-115,618.92,607.04,11.88,0
2016-11-01,17,07CIP-115,601.42,589.91,11.51,0
2016-11-01,18,07CIP-115,481.77,472.57,9.2,0
2016-11-01,19,07CIP-115,653.44,640.03,13.41,0
2016-11-01,20,07CIP-115,670.54,656.66,13.88,0
2016-11-01,21,07CIP-115,640.72,627.75,12.97,0
2016-11-01,22,07CIP-115,511.27,501.45,9.82,0
2016-11-01,23,07CIP-115,638.96,627.57,11.39,0
2016-11-01,24,07CIP-115,660.22,649.16,11.06,0
2016-11-01,1,07CME-115,485.41,477.19,8.21,0
2016-11-01,2,07CME-115,616.69,606.46,10.23,0
2016-11-01,3,07CME-115,683.4,672.3,11.1,0
2016-11-01,4,07CME-115,633.23,622.99,10.25,0
2016-11-01,5,07CME-115,633.21,622.88,10.33,0
2016-11-01,6,07CME-115,684,672.49,11.51,0
2016-11-01,7,07CME-115,684.37,672.21,12.16,0
2016-11-01,8,07CME-115,455.82,447.18,8.63,0
2016-11-01,9,07CME-115,485.04,475.41,9.63,0
2016-11-01,10,07CME-115,482.61,472.82,9.79,0
2016-11-01,11,07CME-115,490.21,479.98,10.23,0
2016-11-01,12,07CME-115,585.67,573.31,12.35,0
2016-11-01,13,07CME-115,636.79,623.66,13.13,0
2016-11-01,14,07CME-115,687.28,673.09,14.19,0
2016-11-01,15,07CME-115,670.54,656.79,13.75,0
2016-11-01,16,07CME-115,619.62,607.04,12.58,0
2016-11-01,17,07CME-115,602.09,589.91,12.18,0
2016-11-01,18,07CME-115,482.31,472.57,9.74,0
2016-11-01,19,07CME-115,654.28,640.03,14.25,0
2016-11-01,20,07CME-115,671.42,656.66,14.76,0
2016-11-01,21,07CME-115,641.56,627.75,13.81,0
2016-11-01,22,07CME-115,511.91,501.45,10.46,0
2016-11-01,23,07CME-115,639.69,627.57,12.13,0
2016-11-01,24,07CME-115,660.94,649.16,11.78,0
2016-11-01,1,07CNA-69,479.38,477.19,2.19,0
2016-11-01,2,07CNA-69,609.16,606.46,2.7,0
2016-11-01,3,07CNA-69,675.21,672.3,2.91,0
2016-11-01,4,07CNA-69,625.61,622.99,2.62,0
2016-11-01,5,07CNA-69,625.52,622.88,2.63,0
2016-11-01,6,07CNA-69,675.44,672.49,2.95,0
2016-11-01,7,07CNA-69,675.38,672.21,3.16,0
2016-11-01,8,07CNA-69,449.43,447.18,2.25,0
2016-11-01,9,07CNA-69,477.92,475.41,2.51,0
2016-11-01,10,07CNA-69,475.4,472.82,2.58,0
2016-11-01,11,07CNA-69,482.67,479.98,2.69,0
2016-11-01,12,07CNA-69,576.65,573.31,3.34,0
2016-11-01,13,07CNA-69,627.39,623.66,3.74,0
2016-11-01,14,07CNA-69,677.15,673.09,4.07,0
2016-11-01,15,07CNA-69,660.76,656.79,3.97,0
2016-11-01,16,07CNA-69,610.76,607.04,3.72,0
2016-11-01,17,07CNA-69,593.49,589.91,3.58,0
2016-11-01,18,07CNA-69,475.42,472.57,2.85,0
2016-11-01,19,07CNA-69,644.24,640.03,4.21,0
2016-11-01,20,07CNA-69,661.06,656.66,4.4,0
2016-11-01,21,07CNA-69,631.88,627.75,4.13,0
2016-11-01,22,07CNA-69,504.57,501.45,3.12,0
2016-11-01,23,07CNA-69,631.11,627.57,3.55,0
2016-11-01,24,07CNA-69,652.4,649.16,3.23,0
2016-11-01,1,07CNT-230,463.85,477.19,-13.34,0
2016-11-01,2,07CNT-230,593.92,606.46,-12.54,0
2016-11-01,3,07CNT-230,664.06,672.3,-8.24,0
2016-11-01,4,07CNT-230,613.36,622.99,-9.62,0
2016-11-01,5,07CNT-230,612.59,622.88,-10.29,0
2016-11-01,6,07CNT-230,662.86,672.49,-9.64,0
2016-11-01,7,07CNT-230,656.61,672.21,-15.61,0
2016-11-01,8,07CNT-230,433.4,447.18,-13.78,0
2016-11-01,9,07CNT-230,458.5,475.41,-16.91,0
2016-11-01,10,07CNT-230,458.3,472.82,-14.52,0
2016-11-01,11,07CNT-230,463.39,479.98,-16.59,0
2016-11-01,12,07CNT-230,554.85,573.31,-18.47,0
2016-11-01,13,07CNT-230,606.52,623.66,-17.13,0
2016-11-01,14,07CNT-230,658.46,673.09,-14.63,0
2016-11-01,15,07CNT-230,646.14,656.79,-10.65,0
2016-11-01,16,07CNT-230,598.86,607.04,-8.18,0
2016-11-01,17,07CNT-230,581.38,589.91,-8.53,0
2016-11-01,18,07CNT-230,465.01,472.57,-7.56,0
2016-11-01,19,07CNT-230,629.29,640.03,-10.74,0
2016-11-01,20,07CNT-230,648.67,656.66,-7.99,0
2016-11-01,21,07CNT-230,619.32,627.75,-8.43,0
2016-11-01,22,07CNT-230,493.11,501.45,-8.34,0
