Fecha,Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
2016-10-01,1,07APD-230,828.43,805.11,23.31,0
2016-10-01,2,07APD-230,704.28,689.83,14.45,0
2016-10-01,3,07APD-230,711.21,709.47,1.74,0
2016-10-01,4,07APD-230,522.8,522.97,-.17,0
2016-10-01,5,07APD-230,522.86,522.47,.39,0
2016-10-01,6,07APD-230,520.35,520.58,-.23,0
2016-10-01,7,07APD-230,520.37,521.42,-1.05,0
2016-10-01,8,07APD-230,521.94,527.28,-5.34,0
2016-10-01,9,07APD-230,726.4,733.37,-6.96,0
2016-10-01,10,07APD-230,522.34,522.66,-.32,0
2016-10-01,11,07APD-230,741.64,737.54,4.1,0
2016-10-01,12,07APD-230,824.59,813.18,11.42,0
2016-10-01,13,07APD-230,854.13,839.81,14.32,0
2016-10-01,14,07APD-230,842.76,821.9,20.86,0
2016-10-01,15,07APD-230,841.07,817.62,23.45,0
2016-10-01,16,07APD-230,845.43,817.57,27.86,0
2016-10-01,17,07APD-230,847.19,821.34,25.85,0
2016-10-01,18,07APD-230,848.28,820.18,28.1,0
2016-10-01,19,07APD-230,846.26,821.25,25.01,0
2016-10-01,20,07APD-230,846.33,824.36,21.98,0
2016-10-01,21,07APD-230,840.52,820.34,20.19,0
2016-10-01,22,07APD-230,840.9,821,19.9,0
2016-10-01,23,07APD-230,783.84,765.95,17.89,0
2016-10-01,24,07APD-230,764.79,752.61,12.18,0
2016-10-01,1,07CES-69,812.31,805.11,7.2,0
2016-10-01,2,07CES-69,695.28,689.83,5.45,0
2016-10-01,3,07CES-69,713.76,709.47,4.29,0
2016-10-01,4,07CES-69,525.98,522.97,3.01,0
2016-10-01,5,07CES-69,525.49,522.47,3.03,0
2016-10-01,6,07CES-69,523.58,520.58,3,0
2016-10-01,7,07CES-69,524.37,521.42,2.95,0
2016-10-01,8,07CES-69,530.11,527.28,2.83,0
2016-10-01,9,07CES-69,736.7,733.37,3.33,0
2016-10-01,10,07CES-69,525.45,522.66,2.79,0
2016-10-01,11,07CES-69,741.9,737.54,4.36,0
2016-10-01,12,07CES-69,818.46,813.18,5.28,0
2016-10-01,13,07CES-69,845.39,839.81,5.57,0
2016-10-01,14,07CES-69,827.89,821.9,5.99,0
2016-10-01,15,07CES-69,823.67,817.62,6.05,0
2016-10-01,16,07CES-69,825.14,817.57,7.57,0
2016-10-01,17,07CES-69,828.6,821.34,7.26,0
2016-10-01,18,07CES-69,827.54,820.18,7.36,0
2016-10-01,19,07CES-69,828.48,821.25,7.23,0
2016-10-01,20,07CES-69,831.69,824.36,7.34,0
2016-10-01,21,07CES-69,827.4,820.34,7.06,0
2016-10-01,22,07CES-69,827.85,821,6.84,0
2016-10-01,23,07CES-69,772.05,765.95,6.09,0
2016-10-01,24,07CES-69,757.83,752.61,5.22,0
2016-10-01,1,07CHQ-230,826.21,805.11,21.1,0
2016-10-01,2,07CHQ-230,702.35,689.83,12.52,0
2016-10-01,3,07CHQ-230,709.26,709.47,-.21,0
2016-10-01,4,07CHQ-230,521.29,522.97,-1.68,0
2016-10-01,5,07CHQ-230,521.38,522.47,-1.08,0
2016-10-01,6,07CHQ-230,518.82,520.58,-1.76,0
2016-10-01,7,07CHQ-230,518.79,521.42,-2.63,0
2016-10-01,8,07CHQ-230,520.17,527.28,-7.11,0
2016-10-01,9,07CHQ-230,723.96,733.37,-9.41,0
2016-10-01,10,07CHQ-230,520.64,522.66,-2.02,0
2016-10-01,11,07CHQ-230,739.36,737.54,1.82,0
2016-10-01,12,07CHQ-230,822.08,813.18,8.91,0
2016-10-01,13,07CHQ-230,851.63,839.81,11.81,0
2016-10-01,14,07CHQ-230,840.33,821.9,18.43,0
2016-10-01,15,07CHQ-230,838.83,817.62,21.21,0
2016-10-01,16,07CHQ-230,843.28,817.57,25.71,0
2016-10-01,17,07CHQ-230,844.99,821.34,23.65,0
2016-10-01,18,07CHQ-230,845.96,820.18,25.78,0
2016-10-01,19,07CHQ-230,843.8,821.25,22.55,0
2016-10-01,20,07CHQ-230,844.09,824.36,19.74,0
2016-10-01,21,07CHQ-230,838.32,820.34,17.99,0
2016-10-01,22,07CHQ-230,838.74,821,17.73,0
2016-10-01,23,07CHQ-230,781.84,765.95,15.88,0
2016-10-01,24,07CHQ-230,762.85,752.61,10.24,0
2016-10-01,1,07CIP-115,820.09,805.11,14.98,0
2016-10-01,2,07CIP-115,702.14,689.83,12.31,0
2016-10-01,3,07CIP-115,721.95,709.47,12.48,0
2016-10-01,4,07CIP-115,532,522.97,9.03,0
2016-10-01,5,07CIP-115,531.43,522.47,8.97,0
2016-10-01,6,07CIP-115,529.54,520.58,8.96,0
2016-10-01,7,07CIP-115,530.39,521.42,8.97,0
2016-10-01,8,07CIP-115,536.8,527.28,9.52,0
2016-10-01,9,07CIP-115,747.8,733.37,14.43,0
2016-10-01,10,07CIP-115,533.48,522.66,10.81,0
2016-10-01,11,07CIP-115,753.11,737.54,15.57,0
2016-10-01,12,07CIP-115,830.7,813.18,17.52,0
2016-10-01,13,07CIP-115,858.03,839.81,18.22,0
2016-10-01,14,07CIP-115,838.22,821.9,16.32,0
2016-10-01,15,07CIP-115,833.67,817.62,16.05,0
2016-10-01,16,07CIP-115,833.12,817.57,15.55,0
2016-10-01,17,07CIP-115,838.08,821.34,16.74,0
2016-10-01,18,07CIP-115,836.66,820.18,16.48,0
2016-10-01,19,07CIP-115,838.12,821.25,16.87,0
2016-10-01,20,07CIP-115,841.14,824.36,16.78,0
2016-10-01,21,07CIP-115,838.08,820.34,17.74,0
2016-10-01,22,07CIP-115,838.04,821,17.04,0
2016-10-01,23,07CIP-115,781.06,765.95,15.1,0
2016-10-01,24,07CIP-115,766.71,752.61,14.1,0
2016-10-01,1,07CME-115,821.05,805.11,15.93,0
2016-10-01,2,07CME-115,702.89,689.83,13.06,0
2016-10-01,3,07CME-115,722.71,709.47,13.24,0
2016-10-01,4,07CME-115,532.56,522.97,9.59,0
2016-10-01,5,07CME-115,532,522.47,9.54,0
2016-10-01,6,07CME-115,530.1,520.58,9.52,0
2016-10-01,7,07CME-115,530.97,521.42,9.55,0
2016-10-01,8,07CME-115,537.4,527.28,10.12,0
2016-10-01,9,07CME-115,748.68,733.37,15.32,0
2016-10-01,10,07CME-115,534.14,522.66,11.48,0
2016-10-01,11,07CME-115,754.1,737.54,16.56,0
2016-10-01,12,07CME-115,831.8,813.18,18.62,0
2016-10-01,13,07CME-115,859.17,839.81,19.36,0
2016-10-01,14,07CME-115,839.39,821.9,17.49,0
2016-10-01,15,07CME-115,834.82,817.62,17.2,0
2016-10-01,16,07CME-115,834.26,817.57,16.69,0
2016-10-01,17,07CME-115,839.13,821.34,17.79,0
2016-10-01,18,07CME-115,837.67,820.18,17.49,0
2016-10-01,19,07CME-115,839.18,821.25,17.93,0
2016-10-01,20,07CME-115,842.35,824.36,17.99,0
2016-10-01,21,07CME-115,839.15,820.34,18.81,0
2016-10-01,22,07CME-115,839.06,821,18.06,0
2016-10-01,23,07CME-115,781.93,765.95,15.98,0
2016-10-01,24,07CME-115,767.54,752.61,14.92,0
2016-10-01,1,07CNA-69,815.2,805.11,10.09,0
2016-10-01,2,07CNA-69,697.65,689.83,7.82,0
2016-10-01,3,07CNA-69,716.81,709.47,7.34,0
2016-10-01,4,07CNA-69,528.28,522.97,5.3,0
2016-10-01,5,07CNA-69,527.66,522.47,5.19,0
2016-10-01,6,07CNA-69,525.81,520.58,5.23,0
2016-10-01,7,07CNA-69,526.77,521.42,5.35,0
2016-10-01,8,07CNA-69,532.96,527.28,5.68,0
2016-10-01,9,07CNA-69,740.75,733.37,7.39,0
2016-10-01,10,07CNA-69,528.4,522.66,5.74,0
2016-10-01,11,07CNA-69,746.08,737.54,8.54,0
2016-10-01,12,07CNA-69,822.62,813.18,9.44,0
2016-10-01,13,07CNA-69,849.67,839.81,9.85,0
2016-10-01,14,07CNA-69,831.6,821.9,9.7,0
2016-10-01,15,07CNA-69,827.25,817.62,9.63,0
2016-10-01,16,07CNA-69,828.85,817.57,11.28,0
2016-10-01,17,07CNA-69,832.38,821.34,11.04,0
2016-10-01,18,07CNA-69,831.16,820.18,10.98,0
2016-10-01,19,07CNA-69,832.63,821.25,11.38,0
2016-10-01,20,07CNA-69,836.55,824.36,12.19,0
2016-10-01,21,07CNA-69,832.22,820.34,11.88,0
2016-10-01,22,07CNA-69,832.41,821,11.41,0
2016-10-01,23,07CNA-69,776.01,765.95,10.05,0
2016-10-01,24,07CNA-69,761.59,752.61,8.98,0
2016-10-01,1,07CNT-230,823.49,805.11,18.38,0
2016-10-01,2,07CNT-230,700.53,689.83,10.7,0
2016-10-01,3,07CNT-230,707.72,709.47,-1.75,0
2016-10-01,4,07CNT-230,520.49,522.97,-2.48,0
2016-10-01,5,07CNT-230,520.75,522.47,-1.72,0
2016-10-01,6,07CNT-230,518.41,520.58,-2.17,0
2016-10-01,7,07CNT-230,518.47,521.42,-2.95,0
2016-10-01,8,07CNT-230,520.05,527.28,-7.23,0
2016-10-01,9,07CNT-230,723.4,733.37,-9.97,0
2016-10-01,10,07CNT-230,519.96,522.66,-2.71,0
2016-10-01,11,07CNT-230,737.72,737.54,.18,0
2016-10-01,12,07CNT-230,819.46,813.18,6.28,0
2016-10-01,13,07CNT-230,848.04,839.81,8.23,0
2016-10-01,14,07CNT-230,836.21,821.9,14.31,0
2016-10-01,15,07CNT-230,834.31,817.62,16.69,0
2016-10-01,16,07CNT-230,838.37,817.57,20.8,0
2016-10-01,17,07CNT-230,840.4,821.34,19.06,0
2016-10-01,18,07CNT-230,841.67,820.18,21.49,0
2016-10-01,19,07CNT-230,839.9,821.25,18.65,0
