Fecha,Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
2016-09-16,1,07APD-230,749.54,745.15,4.39,0
2016-09-16,2,07APD-230,776.24,765.92,10.32,0
2016-09-16,3,07APD-230,535.22,530.45,4.77,0
2016-09-16,4,07APD-230,504.46,499.35,5.11,0
2016-09-16,5,07APD-230,501.43,496.25,5.18,0
2016-09-16,6,07APD-230,498.47,493.82,4.65,0
2016-09-16,7,07APD-230,499.04,498.6,.44,0
2016-09-16,8,07APD-230,504.39,507.86,-3.47,0
2016-09-16,9,07APD-230,510.93,515.84,-4.91,0
2016-09-16,10,07APD-230,504.91,516.44,-11.53,0
2016-09-16,11,07APD-230,509.92,523.93,-14.01,0
2016-09-16,12,07APD-230,518.58,521.95,-3.38,0
2016-09-16,13,07APD-230,510.89,514.81,-3.92,0
2016-09-16,14,07APD-230,542.77,545.35,-2.58,0
2016-09-16,15,07APD-230,546.93,544.52,2.41,0
2016-09-16,16,07APD-230,517.81,511.36,6.45,0
2016-09-16,17,07APD-230,546.94,540.09,6.84,0
2016-09-16,18,07APD-230,513.33,507.3,6.03,0
2016-09-16,19,07APD-230,509.26,503.59,5.66,0
2016-09-16,20,07APD-230,545.7,544.11,1.6,0
2016-09-16,21,07APD-230,545.77,545.36,.4,0
2016-09-16,22,07APD-230,513.99,513.77,.22,0
2016-09-16,23,07APD-230,520.47,515.94,4.53,0
2016-09-16,24,07APD-230,511.05,514.12,-3.07,0
2016-09-16,1,07CES-69,750.02,745.15,4.87,0
2016-09-16,2,07CES-69,771.25,765.92,5.33,0
2016-09-16,3,07CES-69,533.85,530.45,3.41,0
2016-09-16,4,07CES-69,502.59,499.35,3.24,0
2016-09-16,5,07CES-69,499.49,496.25,3.24,0
2016-09-16,6,07CES-69,496.95,493.82,3.12,0
2016-09-16,7,07CES-69,501.24,498.6,2.65,0
2016-09-16,8,07CES-69,510.41,507.86,2.55,0
2016-09-16,9,07CES-69,518.09,515.84,2.25,0
2016-09-16,10,07CES-69,518.32,516.44,1.88,0
2016-09-16,11,07CES-69,525.72,523.93,1.79,0
2016-09-16,12,07CES-69,524.72,521.95,2.77,0
2016-09-16,13,07CES-69,517.51,514.81,2.7,0
2016-09-16,14,07CES-69,548.24,545.35,2.89,0
2016-09-16,15,07CES-69,547.64,544.52,3.12,0
2016-09-16,16,07CES-69,515.04,511.36,3.68,0
2016-09-16,17,07CES-69,543.88,540.09,3.79,0
2016-09-16,18,07CES-69,510.57,507.3,3.27,0
2016-09-16,19,07CES-69,506.92,503.59,3.33,0
2016-09-16,20,07CES-69,547.65,544.11,3.54,0
2016-09-16,21,07CES-69,548.93,545.36,3.57,0
2016-09-16,22,07CES-69,517.02,513.77,3.26,0
2016-09-16,23,07CES-69,519.41,515.94,3.46,0
2016-09-16,24,07CES-69,516.66,514.12,2.54,0
2016-09-16,1,07CHQ-230,746.43,745.15,1.29,0
