Fecha,Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
2016-08-01,1,07ASJ-115,3671.09,3561.11,109.97,0
2016-08-01,2,07ASJ-115,3510.64,3406.37,104.27,0
2016-08-01,3,07ASJ-115,3118.16,3021.98,96.18,0
2016-08-01,4,07ASJ-115,3093.21,2994.41,98.8,0
2016-08-01,5,07ASJ-115,1510.22,1461.71,48.51,0
2016-08-01,6,07ASJ-115,1418.36,1373.5,44.86,0
2016-08-01,7,07ASJ-115,1359.69,1311.73,47.97,0
2016-08-01,8,07ASJ-115,1375.14,1325.94,49.2,0
2016-08-01,9,07ASJ-115,1374.64,1323.12,51.53,0
2016-08-01,10,07ASJ-115,1542.59,1479.69,62.91,0
2016-08-01,11,07ASJ-115,1456.06,1395.55,60.51,0
2016-08-01,12,07ASJ-115,2999.08,2873.83,125.24,0
2016-08-01,13,07ASJ-115,3056.91,2933.02,123.89,0
2016-08-01,14,07ASJ-115,3266.03,3137.68,128.35,0
2016-08-01,15,07ASJ-115,3503.17,3371.54,131.63,0
2016-08-01,16,07ASJ-115,3691.2,3590.63,100.57,0
2016-08-01,17,07ASJ-115,3703.81,3595.87,107.94,0
2016-08-01,18,07ASJ-115,3723.73,3618.06,105.67,0
2016-08-01,19,07ASJ-115,3599.07,3499.58,99.48,0
2016-08-01,20,07ASJ-115,3528.03,3423.7,104.33,0
2016-08-01,21,07ASJ-115,3570.68,3461.41,109.28,0
2016-08-01,22,07ASJ-115,3597.73,3486.13,111.61,0
2016-08-01,23,07ASJ-115,3724.18,3613.46,110.72,0
2016-08-01,24,07ASJ-115,3628.68,3522.6,106.08,0
2016-08-01,1,07BLE-115,3586.45,3561.11,25.34,0
2016-08-01,2,07BLE-115,3427.81,3406.37,21.44,0
2016-08-01,3,07BLE-115,3037.16,3021.98,15.18,0
2016-08-01,4,07BLE-115,3006.19,2994.41,11.78,0
2016-08-01,5,07BLE-115,1466.98,1461.71,5.27,0
2016-08-01,6,07BLE-115,1378.65,1373.5,5.16,0
2016-08-01,7,07BLE-115,1319.21,1311.73,7.48,0
2016-08-01,8,07BLE-115,1332.91,1325.94,6.97,0
2016-08-01,9,07BLE-115,1330.66,1323.12,7.55,0
2016-08-01,10,07BLE-115,1485.93,1479.69,6.24,0
2016-08-01,11,07BLE-115,1401.87,1395.55,6.32,0
2016-08-01,12,07BLE-115,2886.59,2873.83,12.75,0
2016-08-01,13,07BLE-115,2950.01,2933.02,16.99,0
2016-08-01,14,07BLE-115,3159.35,3137.68,21.67,0
2016-08-01,15,07BLE-115,3398.73,3371.54,27.19,0
2016-08-01,16,07BLE-115,3624.27,3590.63,33.64,0
2016-08-01,17,07BLE-115,3627,3595.87,31.12,0
2016-08-01,18,07BLE-115,3652.22,3618.06,34.16,0
2016-08-01,19,07BLE-115,3531.92,3499.58,32.34,0
2016-08-01,20,07BLE-115,3448.08,3423.7,24.38,0
2016-08-01,21,07BLE-115,3483.88,3461.41,22.48,0
2016-08-01,22,07BLE-115,3508.49,3486.13,22.37,0
2016-08-01,23,07BLE-115,3640.31,3613.46,26.85,0
2016-08-01,24,07BLE-115,3549.49,3522.6,26.89,0
2016-08-01,1,07CAB-115,3667.35,3561.11,106.24,0
2016-08-01,2,07CAB-115,3509.7,3406.37,103.33,0
2016-08-01,3,07CAB-115,3122.21,3021.98,100.23,0
2016-08-01,4,07CAB-115,3100.99,2994.41,106.58,0
2016-08-01,5,07CAB-115,1514.65,1461.71,52.95,0
2016-08-01,6,07CAB-115,1422.39,1373.5,48.9,0
2016-08-01,7,07CAB-115,1363.78,1311.73,52.06,0
2016-08-01,8,07CAB-115,1379.58,1325.94,53.64,0
2016-08-01,9,07CAB-115,1377.91,1323.12,54.79,0
2016-08-01,10,07CAB-115,1546.8,1479.69,67.11,0
2016-08-01,11,07CAB-115,1459.54,1395.55,64,0
2016-08-01,12,07CAB-115,3005.15,2873.83,131.31,0
2016-08-01,13,07CAB-115,3060.26,2933.02,127.24,0
2016-08-01,14,07CAB-115,3266.43,3137.68,128.75,0
2016-08-01,15,07CAB-115,3504.83,3371.54,133.28,0
2016-08-01,16,07CAB-115,3675.63,3590.63,85,0
2016-08-01,17,07CAB-115,3684.41,3595.87,88.53,0
2016-08-01,18,07CAB-115,3701.79,3618.06,83.73,0
2016-08-01,19,07CAB-115,3582.02,3499.58,82.44,0
2016-08-01,20,07CAB-115,3520.33,3423.7,96.63,0
2016-08-01,21,07CAB-115,3565.15,3461.41,103.75,0
2016-08-01,22,07CAB-115,3593.78,3486.13,107.65,0
2016-08-01,23,07CAB-115,3718.5,3613.46,105.04,0
2016-08-01,24,07CAB-115,3623.35,3522.6,100.75,0
2016-08-01,1,07CAD-115,3662.73,3561.11,101.62,0
2016-08-01,2,07CAD-115,3506.16,3406.37,99.79,0
2016-08-01,3,07CAD-115,3120.35,3021.98,98.37,0
2016-08-01,4,07CAD-115,3100.24,2994.41,105.83,0
2016-08-01,5,07CAD-115,1514.36,1461.71,52.65,0
2016-08-01,6,07CAD-115,1422.05,1373.5,48.55,0
2016-08-01,7,07CAD-115,1363.81,1311.73,52.08,0
2016-08-01,8,07CAD-115,1379.49,1325.94,53.55,0
2016-08-01,9,07CAD-115,1377.44,1323.12,54.32,0
2016-08-01,10,07CAD-115,1546.21,1479.69,66.53,0
2016-08-01,11,07CAD-115,1458.73,1395.55,63.18,0
2016-08-01,12,07CAD-115,3003.21,2873.83,129.37,0
2016-08-01,13,07CAD-115,3057.54,2933.02,124.52,0
2016-08-01,14,07CAD-115,3262.88,3137.68,125.2,0
2016-08-01,15,07CAD-115,3501.69,3371.54,130.15,0
2016-08-01,16,07CAD-115,3667.67,3590.63,77.04,0
2016-08-01,17,07CAD-115,3674.79,3595.87,78.92,0
2016-08-01,18,07CAD-115,3691.35,3618.06,73.29,0
2016-08-01,19,07CAD-115,3572.57,3499.58,72.99,0
2016-08-01,20,07CAD-115,3513.15,3423.7,89.45,0
2016-08-01,21,07CAD-115,3558.44,3461.41,97.04,0
2016-08-01,22,07CAD-115,3587.68,3486.13,101.56,0
2016-08-01,23,07CAD-115,3711.81,3613.46,98.35,0
2016-08-01,24,07CAD-115,3617.37,3522.6,94.77,0
2016-08-01,1,07CAS-115,3661.57,3561.11,100.46,0
2016-08-01,2,07CAS-115,3503.57,3406.37,97.21,0
2016-08-01,3,07CAS-115,3115.36,3021.98,93.38,0
2016-08-01,4,07CAS-115,3093.05,2994.41,98.64,0
2016-08-01,5,07CAS-115,1510.62,1461.71,48.91,0
2016-08-01,6,07CAS-115,1418.7,1373.5,45.2,0
2016-08-01,7,07CAS-115,1359.51,1311.73,47.78,0
2016-08-01,8,07CAS-115,1375.18,1325.94,49.24,0
2016-08-01,9,07CAS-115,1373.62,1323.12,50.5,0
2016-08-01,10,07CAS-115,1541.53,1479.69,61.84,0
2016-08-01,11,07CAS-115,1454.65,1395.55,59.11,0
2016-08-01,12,07CAS-115,2995.27,2873.83,121.43,0
2016-08-01,13,07CAS-115,3051.05,2933.02,118.03,0
2016-08-01,14,07CAS-115,3257.54,3137.68,119.86,0
2016-08-01,15,07CAS-115,3495.31,3371.54,123.77,0
2016-08-01,16,07CAS-115,3672.47,3590.63,81.83,0
2016-08-01,17,07CAS-115,3681.8,3595.87,85.92,0
2016-08-01,18,07CAS-115,3699.97,3618.06,81.91,0
2016-08-01,19,07CAS-115,3579.62,3499.58,80.03,0
2016-08-01,20,07CAS-115,3515.84,3423.7,92.14,0
2016-08-01,21,07CAS-115,3559.89,3461.41,98.48,0
2016-08-01,22,07CAS-115,3587.98,3486.13,101.86,0
2016-08-01,23,07CAS-115,3713.23,3613.46,99.77,0
2016-08-01,24,07CAS-115,3618.32,3522.6,95.72,0
2016-08-01,1,07COR-230,3546.63,3561.11,-14.48,0
2016-08-01,2,07COR-230,3392.96,3406.37,-13.4,0
2016-08-01,3,07COR-230,3010.09,3021.98,-11.89,0
2016-08-01,4,07COR-230,2982.63,2994.41,-11.78,0
2016-08-01,5,07COR-230,1455.94,1461.71,-5.77,0
2016-08-01,6,07COR-230,1368.09,1373.5,-5.4,0
2016-08-01,7,07COR-230,1305.45,1311.73,-6.27,0
2016-08-01,8,07COR-230,1319.6,1325.94,-6.34,0
2016-08-01,9,07COR-230,1316.47,1323.12,-6.64,0
2016-08-01,10,07COR-230,1472.19,1479.69,-7.5,0
2016-08-01,11,07COR-230,1388.35,1395.55,-7.2,0
2016-08-01,12,07COR-230,2859.15,2873.83,-14.68,0
2016-08-01,13,07COR-230,2922.23,2933.02,-10.79,0
