Fecha,Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
2016-12-01,1,07ASJ-115,1209.14,1178.31,30.84,0
2016-12-01,2,07ASJ-115,1152.61,1124.57,28.04,0
2016-12-01,3,07ASJ-115,1149.09,1121.56,27.53,0
2016-12-01,4,07ASJ-115,1126.87,1100.49,26.39,0
2016-12-01,5,07ASJ-115,1147.61,1120.69,26.92,0
2016-12-01,6,07ASJ-115,1177.61,1149.38,28.23,0
2016-12-01,7,07ASJ-115,1269.56,1237.81,31.75,0
2016-12-01,8,07ASJ-115,1467.97,1429.28,38.69,0
2016-12-01,9,07ASJ-115,1546.22,1503.55,42.67,0
2016-12-01,10,07ASJ-115,1264.71,1227.64,37.07,0
2016-12-01,11,07ASJ-115,1820.83,1767.29,53.54,0
2016-12-01,12,07ASJ-115,1552.43,1508.45,43.98,0
2016-12-01,13,07ASJ-115,1814.2,1761.91,52.29,0
2016-12-01,14,07ASJ-115,1533.44,1492.16,41.27,0
2016-12-01,15,07ASJ-115,1472.61,1425.84,46.76,0
2016-12-01,16,07ASJ-115,1292.91,1253.3,39.6,0
2016-12-01,17,07ASJ-115,1291.06,1253.19,37.87,0
2016-12-01,18,07ASJ-115,1276.45,1240.53,35.92,0
2016-12-01,19,07ASJ-115,1514.59,1462.34,52.24,0
2016-12-01,20,07ASJ-115,1464.98,1415.07,49.91,0
2016-12-01,21,07ASJ-115,1816.77,1756.7,60.06,0
2016-12-01,22,07ASJ-115,1566.19,1516.32,49.88,0
2016-12-01,23,07ASJ-115,1291.86,1253.82,38.04,0
2016-12-01,24,07ASJ-115,1336.03,1300,36.03,0
2016-12-01,1,07BLE-115,1181.64,1178.31,3.33,0
2016-12-01,2,07BLE-115,1127.61,1124.57,3.04,0
2016-12-01,3,07BLE-115,1124.71,1121.56,3.15,0
2016-12-01,4,07BLE-115,1103.58,1100.49,3.09,0
2016-12-01,5,07BLE-115,1123.97,1120.69,3.28,0
2016-12-01,6,07BLE-115,1153.12,1149.38,3.74,0
2016-12-01,7,07BLE-115,1243,1237.81,5.19,0
2016-12-01,8,07BLE-115,1434.23,1429.28,4.95,0
2016-12-01,9,07BLE-115,1508.13,1503.55,4.59,0
2016-12-01,10,07BLE-115,1233.23,1227.64,5.59,0
2016-12-01,11,07BLE-115,1772.34,1767.29,5.05,0
2016-12-01,12,07BLE-115,1514.1,1508.45,5.65,0
2016-12-01,13,07BLE-115,1768.27,1761.91,6.36,0
2016-12-01,14,07BLE-115,1499.18,1492.16,7.02,0
2016-12-01,15,07BLE-115,1429.6,1425.84,3.76,0
2016-12-01,16,07BLE-115,1257.45,1253.3,4.14,0
2016-12-01,17,07BLE-115,1257.51,1253.19,4.32,0
2016-12-01,18,07BLE-115,1245.57,1240.53,5.04,0
2016-12-01,19,07BLE-115,1469.32,1462.34,6.97,0
2016-12-01,20,07BLE-115,1421.65,1415.07,6.58,0
2016-12-01,21,07BLE-115,1765.28,1756.7,8.57,0
2016-12-01,22,07BLE-115,1524.4,1516.32,8.09,0
2016-12-01,23,07BLE-115,1260.89,1253.82,7.07,0
2016-12-01,24,07BLE-115,1307.81,1300,7.81,0
2016-12-01,1,07CAB-115,1213.43,1178.31,35.12,0
2016-12-01,2,07CAB-115,1156.58,1124.57,32.01,0
2016-12-01,3,07CAB-115,1152.96,1121.56,31.4,0
2016-12-01,4,07CAB-115,1130.63,1100.49,30.14,0
2016-12-01,5,07CAB-115,1151.39,1120.69,30.7,0
2016-12-01,6,07CAB-115,1181.47,1149.38,32.09,0
2016-12-01,7,07CAB-115,1273.56,1237.81,35.75,0
2016-12-01,8,07CAB-115,1472.84,1429.28,43.56,0
2016-12-01,9,07CAB-115,1551.5,1503.55,47.95,0
2016-12-01,10,07CAB-115,1268.92,1227.64,41.28,0
2016-12-01,11,07CAB-115,1823.5,1767.29,56.21,0
2016-12-01,12,07CAB-115,1553.08,1508.45,44.63,0
2016-12-01,13,07CAB-115,1815.03,1761.91,53.12,0
2016-12-01,14,07CAB-115,1531.99,1492.16,39.83,0
2016-12-01,15,07CAB-115,1474.87,1425.84,49.03,0
2016-12-01,16,07CAB-115,1292.99,1253.3,39.68,0
2016-12-01,17,07CAB-115,1293.98,1253.19,40.79,0
2016-12-01,18,07CAB-115,1278.37,1240.53,37.84,0
2016-12-01,19,07CAB-115,1520.55,1462.34,58.21,0
2016-12-01,20,07CAB-115,1471.23,1415.07,56.16,0
2016-12-01,21,07CAB-115,1824.2,1756.7,67.5,0
2016-12-01,22,07CAB-115,1572.05,1516.32,55.73,0
2016-12-01,23,07CAB-115,1296.34,1253.82,42.52,0
2016-12-01,24,07CAB-115,1340.1,1300,40.1,0
2016-12-01,1,07CAD-115,1213.56,1178.31,35.25,0
2016-12-01,2,07CAD-115,1156.69,1124.57,32.12,0
2016-12-01,3,07CAD-115,1153.07,1121.56,31.51,0
2016-12-01,4,07CAD-115,1130.72,1100.49,30.23,0
2016-12-01,5,07CAD-115,1151.48,1120.69,30.78,0
2016-12-01,6,07CAD-115,1181.54,1149.38,32.16,0
2016-12-01,7,07CAD-115,1273.63,1237.81,35.82,0
2016-12-01,8,07CAD-115,1472.78,1429.28,43.5,0
2016-12-01,9,07CAD-115,1551.34,1503.55,47.79,0
2016-12-01,10,07CAD-115,1268.75,1227.64,41.11,0
2016-12-01,11,07CAD-115,1822.87,1767.29,55.58,0
2016-12-01,12,07CAD-115,1552.17,1508.45,43.72,0
2016-12-01,13,07CAD-115,1814,1761.91,52.09,0
2016-12-01,14,07CAD-115,1530.62,1492.16,38.45,0
2016-12-01,15,07CAD-115,1474.35,1425.84,48.5,0
2016-12-01,16,07CAD-115,1292.27,1253.3,38.97,0
2016-12-01,17,07CAD-115,1293.27,1253.19,40.08,0
2016-12-01,18,07CAD-115,1277.39,1240.53,36.86,0
2016-12-01,19,07CAD-115,1520.44,1462.34,58.1,0
2016-12-01,20,07CAD-115,1471.28,1415.07,56.22,0
