Fecha,Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
01/07/2016,1,07ASJ-115,4002.13,3882.47,119.66,0
01/07/2016,2,07ASJ-115,3970.39,3846.59,123.8,0
01/07/2016,3,07ASJ-115,3153.26,3050.29,102.97,0
01/07/2016,4,07ASJ-115,1652.69,1600.32,52.37,0
01/07/2016,5,07ASJ-115,1623.32,1572.8,50.53,0
01/07/2016,6,07ASJ-115,1579.27,1530.87,48.4,0
01/07/2016,7,07ASJ-115,1565.81,1517.75,48.06,0
01/07/2016,8,07ASJ-115,1574.2,1524.83,49.37,0
01/07/2016,9,07ASJ-115,1664.03,1607.12,56.91,0
01/07/2016,10,07ASJ-115,3154.32,3041.25,113.06,0
01/07/2016,11,07ASJ-115,3635.82,3512.43,123.39,0
01/07/2016,12,07ASJ-115,3721.47,3605.51,115.96,0
01/07/2016,13,07ASJ-115,3975.72,3855.72,119.99,0
01/07/2016,14,07ASJ-115,4016.38,3897.34,119.04,0
01/07/2016,15,07ASJ-115,3631.1,3524,107.1,0
01/07/2016,16,07ASJ-115,3976.1,3865.01,111.09,0
01/07/2016,17,07ASJ-115,4054.5,3948.54,105.96,0
01/07/2016,18,07ASJ-115,4058.31,3953.34,104.97,0
01/07/2016,19,07ASJ-115,3897.93,3793.53,104.4,0
01/07/2016,20,07ASJ-115,4009.25,3894.28,114.97,0
01/07/2016,21,07ASJ-115,4016.99,3899,117.99,0
01/07/2016,22,07ASJ-115,4042.67,3927.55,115.12,0
01/07/2016,23,07ASJ-115,4015.9,3894.88,121.01,0
01/07/2016,24,07ASJ-115,4030.39,3918.59,111.8,0
01/07/2016,1,07BLE-115,3910.03,3882.47,27.56,0
01/07/2016,2,07BLE-115,3868.79,3846.59,22.2,0
01/07/2016,3,07BLE-115,3063.4,3050.29,13.11,0
01/07/2016,4,07BLE-115,1606.5,1600.32,6.18,0
01/07/2016,5,07BLE-115,1579.16,1572.8,6.36,0
01/07/2016,6,07BLE-115,1537.43,1530.87,6.56,0
01/07/2016,7,07BLE-115,1524,1517.75,6.26,0
01/07/2016,8,07BLE-115,1530.22,1524.83,5.39,0
01/07/2016,9,07BLE-115,1610.67,1607.12,3.55,0
01/07/2016,10,07BLE-115,3048.07,3041.25,6.82,0
01/07/2016,11,07BLE-115,3525.54,3512.43,13.11,0
01/07/2016,12,07BLE-115,3623.48,3605.51,17.97,0
01/07/2016,13,07BLE-115,3879.26,3855.72,23.54,0
01/07/2016,14,07BLE-115,3924.59,3897.34,27.25,0
01/07/2016,15,07BLE-115,3551.74,3524,27.74,0
01/07/2016,16,07BLE-115,3900.38,3865.01,35.37,0
01/07/2016,17,07BLE-115,3990.25,3948.54,41.7,0
01/07/2016,18,07BLE-115,3996.84,3953.34,43.5,0
01/07/2016,19,07BLE-115,3829.47,3793.53,35.94,0
01/07/2016,20,07BLE-115,3924.28,3894.28,29.99,0
01/07/2016,21,07BLE-115,3927.35,3899,28.35,0
01/07/2016,22,07BLE-115,3960.05,3927.55,32.5,0
01/07/2016,23,07BLE-115,3923.15,3894.88,28.27,0
01/07/2016,24,07BLE-115,3953.29,3918.59,34.7,0
01/07/2016,1,07CAB-115,4000.07,3882.47,117.6,0
01/07/2016,2,07CAB-115,3974.61,3846.59,128.02,0
01/07/2016,3,07CAB-115,3161.56,3050.29,111.26,0
01/07/2016,4,07CAB-115,1657.2,1600.32,56.88,0
01/07/2016,5,07CAB-115,1627.68,1572.8,54.88,0
01/07/2016,6,07CAB-115,1583.37,1530.87,52.5,0
01/07/2016,7,07CAB-115,1569.97,1517.75,52.23,0
01/07/2016,8,07CAB-115,1578.9,1524.83,54.08,0
01/07/2016,9,07CAB-115,1668.95,1607.12,61.83,0
01/07/2016,10,07CAB-115,3163.05,3041.25,121.8,0
01/07/2016,11,07CAB-115,3642.47,3512.43,130.04,0
01/07/2016,12,07CAB-115,3732.93,3605.51,127.42,0
01/07/2016,13,07CAB-115,3982.3,3855.72,126.57,0
01/07/2016,14,07CAB-115,4017.02,3897.34,119.68,0
01/07/2016,15,07CAB-115,3624.66,3524,100.66,0
01/07/2016,16,07CAB-115,3965.73,3865.01,100.72,0
01/07/2016,17,07CAB-115,4040.94,3948.54,92.4,0
01/07/2016,18,07CAB-115,4043.96,3953.34,90.62,0
