Fecha,Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
23/03/2016,1,07ASJ-115,1264.34,1231.31,33.04,0
23/03/2016,2,07ASJ-115,1229.98,1199.49,30.49,0
23/03/2016,3,07ASJ-115,1179.42,1151.09,28.34,0
23/03/2016,4,07ASJ-115,1167.83,1140.32,27.51,0
23/03/2016,5,07ASJ-115,1174.07,1146.39,27.68,0
23/03/2016,6,07ASJ-115,1179.25,1151.12,28.13,0
23/03/2016,7,07ASJ-115,1207.85,1178.62,29.23,0
23/03/2016,8,07ASJ-115,1263.55,1230.96,32.59,0
23/03/2016,9,07ASJ-115,1508.29,1464.01,44.28,0
23/03/2016,10,07ASJ-115,1383.1,1340.22,42.88,0
23/03/2016,11,07ASJ-115,1473.99,1426.64,47.35,0
23/03/2016,12,07ASJ-115,1370.87,1327.7,43.16,0
23/03/2016,13,07ASJ-115,1474.64,1426.33,48.31,0
23/03/2016,14,07ASJ-115,1416.58,1370.16,46.43,0
23/03/2016,15,07ASJ-115,1263.11,1221.57,41.53,0
23/03/2016,16,07ASJ-115,1268.5,1226.95,41.55,0
23/03/2016,17,07ASJ-115,1275.38,1233.44,41.94,0
23/03/2016,18,07ASJ-115,1248.68,1208.42,40.26,0
23/03/2016,19,07ASJ-115,1247.32,1207.1,40.22,0
23/03/2016,20,07ASJ-115,1313.86,1269.75,44.11,0
23/03/2016,21,07ASJ-115,1304.29,1262.2,42.1,0
23/03/2016,22,07ASJ-115,1274.89,1235.97,38.92,0
23/03/2016,23,07ASJ-115,1221.64,1186.54,35.1,0
23/03/2016,24,07ASJ-115,1202.88,1170.79,32.08,0
23/03/2016,1,07BLE-115,1234.46,1231.31,3.15,0
23/03/2016,2,07BLE-115,1202.81,1199.49,3.31,0
23/03/2016,3,07BLE-115,1154.35,1151.09,3.26,0
23/03/2016,4,07BLE-115,1143.36,1140.32,3.04,0
23/03/2016,5,07BLE-115,1149.52,1146.39,3.13,0
23/03/2016,6,07BLE-115,1154.75,1151.12,3.62,0
23/03/2016,7,07BLE-115,1182.36,1178.62,3.74,0
23/03/2016,8,07BLE-115,1234.77,1230.96,3.81,0
23/03/2016,9,07BLE-115,1463.56,1464.01,-0.45,0
23/03/2016,10,07BLE-115,1343.44,1340.22,3.22,0
23/03/2016,11,07BLE-115,1428.51,1426.64,1.87,0
23/03/2016,12,07BLE-115,1331.85,1327.7,4.15,0
23/03/2016,13,07BLE-115,1425.75,1426.33,-0.59,0
23/03/2016,14,07BLE-115,1371.72,1370.16,1.57,0
23/03/2016,15,07BLE-115,1222.09,1221.57,0.52,0
23/03/2016,16,07BLE-115,1227.66,1226.95,0.71,0
23/03/2016,17,07BLE-115,1233.8,1233.44,0.36,0
23/03/2016,18,07BLE-115,1208.65,1208.42,0.23,0
23/03/2016,19,07BLE-115,1206.91,1207.1,-0.19,0
23/03/2016,20,07BLE-115,1270.69,1269.75,0.94,0
