Fecha,Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
2016-11-16,1,07ASJ-115,1680.55,1627.05,53.5,0
2016-11-16,2,07ASJ-115,1444.88,1400.69,44.2,0
2016-11-16,3,07ASJ-115,1380.03,1339.55,40.48,0
2016-11-16,4,07ASJ-115,1202.13,1168.02,34.11,0
2016-11-16,5,07ASJ-115,1186.77,1153.45,33.32,0
2016-11-16,6,07ASJ-115,1244.95,1209.34,35.61,0
2016-11-16,7,07ASJ-115,1415.82,1374.16,41.67,0
2016-11-16,8,07ASJ-115,1521.2,1473.68,47.52,0
2016-11-16,9,07ASJ-115,1695.67,1640.23,55.44,0
2016-11-16,10,07ASJ-115,1655.16,1595.72,59.44,0
2016-11-16,11,07ASJ-115,1701.72,1637.75,63.96,0
2016-11-16,12,07ASJ-115,1693.37,1629.06,64.31,0
2016-11-16,13,07ASJ-115,1703.25,1637.46,65.79,0
2016-11-16,14,07ASJ-115,1725.58,1658.13,67.45,0
2016-11-16,15,07ASJ-115,1726.53,1659.13,67.41,0
2016-11-16,16,07ASJ-115,1727.73,1659.09,68.64,0
2016-11-16,17,07ASJ-115,1727.26,1658.79,68.47,0
2016-11-16,18,07ASJ-115,1723.51,1655.37,68.14,0
2016-11-16,19,07ASJ-115,1735.79,1667.38,68.41,0
2016-11-16,20,07ASJ-115,1742.94,1673.88,69.06,0
2016-11-16,21,07ASJ-115,1730.95,1663.81,67.15,0
2016-11-16,22,07ASJ-115,1699.95,1636.17,63.78,0
2016-11-16,23,07ASJ-115,1697.73,1635.72,62.01,0
2016-11-16,24,07ASJ-115,1553.23,1500.55,52.68,0
2016-11-16,1,07BLE-115,1631.11,1627.05,4.06,0
2016-11-16,2,07BLE-115,1405.06,1400.69,4.37,0
2016-11-16,3,07BLE-115,1344.11,1339.55,4.56,0
2016-11-16,4,07BLE-115,1172.29,1168.02,4.27,0
2016-11-16,5,07BLE-115,1157.54,1153.45,4.09,0
2016-11-16,6,07BLE-115,1214.04,1209.34,4.7,0
2016-11-16,7,07BLE-115,1378.9,1374.16,4.75,0
2016-11-16,8,07BLE-115,1477.7,1473.68,4.02,0
2016-11-16,9,07BLE-115,1644.56,1640.23,4.33,0
2016-11-16,10,07BLE-115,1603.63,1595.72,7.92,0
2016-11-16,11,07BLE-115,1645.38,1637.75,7.63,0
2016-11-16,12,07BLE-115,1638.4,1629.06,9.34,0
2016-11-16,13,07BLE-115,1646.84,1637.46,9.38,0
