Fecha,Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
2016-10-01,1,07ASJ-115,3083.83,2996.03,87.8,0
2016-10-01,2,07ASJ-115,3730.45,3622.34,108.11,0
2016-10-01,3,07ASJ-115,3192.6,3096.38,96.22,0
2016-10-01,4,07ASJ-115,3005.96,2915.44,90.52,0
2016-10-01,5,07ASJ-115,2553.43,2473.75,79.68,0
2016-10-01,6,07ASJ-115,2673.76,2588.02,85.74,0
2016-10-01,7,07ASJ-115,2498.37,2416.26,82.11,0
2016-10-01,8,07ASJ-115,1807.37,1747.79,59.58,0
2016-10-01,9,07ASJ-115,2511.42,2423.18,88.24,0
2016-10-01,10,07ASJ-115,2741.27,2648.55,92.72,0
2016-10-01,11,07ASJ-115,3224.12,3118.53,105.59,0
2016-10-01,12,07ASJ-115,2727.72,2639.58,88.14,0
2016-10-01,13,07ASJ-115,3012.91,2918.39,94.52,0
2016-10-01,14,07ASJ-115,3173.43,3077.51,95.92,0
2016-10-01,15,07ASJ-115,3502.95,3396.1,106.85,0
2016-10-01,16,07ASJ-115,3626.18,3519.58,106.6,0
2016-10-01,17,07ASJ-115,3706.7,3600.77,105.93,0
2016-10-01,18,07ASJ-115,3614.97,3510.66,104.31,0
2016-10-01,19,07ASJ-115,3168.77,3079.23,89.54,0
2016-10-01,20,07ASJ-115,3427.57,3329.77,97.8,0
2016-10-01,21,07ASJ-115,3609.01,3503.26,105.75,0
2016-10-01,22,07ASJ-115,3697.02,3591.77,105.25,0
2016-10-01,23,07ASJ-115,3692.29,3588.76,103.53,0
2016-10-01,24,07ASJ-115,3464.68,3371.91,92.77,0
2016-10-01,1,07BLE-115,3025.47,2996.03,29.44,0
2016-10-01,2,07BLE-115,3655.68,3622.34,33.33,0
2016-10-01,3,07BLE-115,3120.61,3096.38,24.23,0
2016-10-01,4,07BLE-115,2935.02,2915.44,19.59,0
2016-10-01,5,07BLE-115,2487.68,2473.75,13.93,0
2016-10-01,6,07BLE-115,2600.52,2588.02,12.51,0
2016-10-01,7,07BLE-115,2426.28,2416.26,10.02,0
2016-10-01,8,07BLE-115,1754.74,1747.79,6.95,0
2016-10-01,9,07BLE-115,2432.68,2423.18,9.5,0
2016-10-01,10,07BLE-115,2662.22,2648.55,13.67,0
2016-10-01,11,07BLE-115,3138.12,3118.53,19.59,0
