Fecha,Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
2016-09-01,1,07ASJ-115,3512.43,3401.12,111.31,0
2016-09-01,2,07ASJ-115,3339.66,3233.62,106.04,0
2016-09-01,3,07ASJ-115,1710.6,1654.21,56.39,0
2016-09-01,4,07ASJ-115,1644.24,1590.23,54.02,0
2016-09-01,5,07ASJ-115,1610.91,1559.52,51.39,0
2016-09-01,6,07ASJ-115,1613.25,1560.65,52.6,0
2016-09-01,7,07ASJ-115,1606.27,1553.23,53.04,0
2016-09-01,8,07ASJ-115,1589.9,1536.98,52.93,0
2016-09-01,9,07ASJ-115,1674.29,1614.19,60.1,0
2016-09-01,10,07ASJ-115,1659.99,1599.25,60.74,0
2016-09-01,11,07ASJ-115,2951.51,2843.27,108.24,0
2016-09-01,12,07ASJ-115,3228.86,3112.78,116.09,0
2016-09-01,13,07ASJ-115,3472.05,3348.16,123.89,0
2016-09-01,14,07ASJ-115,3671.7,3547.87,123.83,0
2016-09-01,15,07ASJ-115,3467.65,3355.99,111.67,0
2016-09-01,16,07ASJ-115,3701.34,3589.99,111.34,0
2016-09-01,17,07ASJ-115,3611.4,3503.88,107.52,0
2016-09-01,18,07ASJ-115,3587.26,3483.75,103.51,0
2016-09-01,19,07ASJ-115,3465.79,3366.39,99.4,0
2016-09-01,20,07ASJ-115,3291.43,3192.1,99.33,0
2016-09-01,21,07ASJ-115,3464.7,3361.75,102.96,0
2016-09-01,22,07ASJ-115,3607.85,3501.7,106.15,0
2016-09-01,23,07ASJ-115,3643.04,3538.74,104.3,0
2016-09-01,24,07ASJ-115,3798.96,3688.58,110.38,0
2016-09-01,1,07BLE-115,3423.6,3401.12,22.49,0
2016-09-01,2,07BLE-115,3251.07,3233.62,17.45,0
2016-09-01,3,07BLE-115,1661,1654.21,6.78,0
2016-09-01,4,07BLE-115,1596.31,1590.23,6.09,0
2016-09-01,5,07BLE-115,1566.05,1559.52,6.53,0
2016-09-01,6,07BLE-115,1566.08,1560.65,5.43,0
2016-09-01,7,07BLE-115,1558.13,1553.23,4.89,0
2016-09-01,8,07BLE-115,1541.47,1536.98,4.49,0
2016-09-01,9,07BLE-115,1616.75,1614.19,2.56,0
2016-09-01,10,07BLE-115,1600.51,1599.25,1.26,0
2016-09-01,11,07BLE-115,2846.29,2843.27,3.01,0
