Fecha,Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
2017-02-16,1,07ACU-115,417.17,415.41,1.75,0
2017-02-16,2,07ACU-115,755.84,753.67,2.17,0
2017-02-16,3,07ACU-115,417.91,416.6,1.32,0
2017-02-16,4,07ACU-115,417.16,415.74,1.42,0
2017-02-16,5,07ACU-115,429.75,428.5,1.25,0
2017-02-16,6,07ACU-115,417.01,415.38,1.63,0
2017-02-16,7,07ACU-115,501.3,499.45,1.85,0
2017-02-16,8,07ACU-115,507.47,505.16,2.31,0
2017-02-16,9,07ACU-115,423.18,420.78,2.4,0
2017-02-16,10,07ACU-115,434.19,432.07,2.13,0
2017-02-16,11,07ACU-115,439.01,436.82,2.19,0
2017-02-16,12,07ACU-115,441.18,439.08,2.1,0
2017-02-16,13,07ACU-115,439.08,437.07,2.01,0
2017-02-16,14,07ACU-115,439.17,437.19,1.98,0
2017-02-16,15,07ACU-115,508.28,506.02,2.26,0
2017-02-16,16,07ACU-115,441.13,439.14,1.99,0
2017-02-16,17,07ACU-115,438.31,436.21,2.1,0
2017-02-16,18,07ACU-115,497.32,494.78,2.54,0
2017-02-16,19,07ACU-115,501.47,498.85,2.62,0
2017-02-16,20,07ACU-115,503.23,500.44,2.79,0
2017-02-16,21,07ACU-115,499.74,497.26,2.47,0
2017-02-16,22,07ACU-115,439.1,437.06,2.03,0
2017-02-16,23,07ACU-115,428.39,426.45,1.94,0
2017-02-16,24,07ACU-115,423.3,421.46,1.85,0
2017-02-16,1,07APD-230,402.15,415.41,-13.26,0
2017-02-16,2,07APD-230,735.91,753.67,-17.77,0
2017-02-16,3,07APD-230,406.32,416.6,-10.27,0
2017-02-16,4,07APD-230,405.16,415.74,-10.58,0
2017-02-16,5,07APD-230,418.28,428.5,-10.22,0
2017-02-16,6,07APD-230,403.01,415.38,-12.37,0
2017-02-16,7,07APD-230,483.99,499.45,-15.46,0
2017-02-16,8,07APD-230,484.84,505.16,-20.33,0
2017-02-16,9,07APD-230,409.55,420.78,-11.24,0
2017-02-16,10,07APD-230,410.86,432.07,-21.21,0
2017-02-16,11,07APD-230,416.01,436.82,-20.81,0
2017-02-16,12,07APD-230,418.82,439.08,-20.26,0
2017-02-16,13,07APD-230,418.07,437.07,-18.99,0
2017-02-16,14,07APD-230,418.3,437.19,-18.9,0
2017-02-16,15,07APD-230,485.08,506.02,-20.94,0
2017-02-16,16,07APD-230,420.09,439.14,-19.05,0
2017-02-16,17,07APD-230,427.13,436.21,-9.08,0
2017-02-16,18,07APD-230,485.47,494.78,-9.31,0
2017-02-16,19,07APD-230,488.26,498.85,-10.59,0
2017-02-16,20,07APD-230,488.49,500.44,-11.94,0
2017-02-16,21,07APD-230,487.02,497.26,-10.24,0
2017-02-16,22,07APD-230,428.93,437.06,-8.13,0
2017-02-16,23,07APD-230,418.88,426.45,-7.56,0
2017-02-16,24,07APD-230,416.03,421.46,-5.42,0
2017-02-16,1,07CAE-69,417.09,415.41,1.67,0
2017-02-16,2,07CAE-69,757.11,753.67,3.43,0
2017-02-16,3,07CAE-69,418.38,416.6,1.78,0
2017-02-16,4,07CAE-69,417.49,415.74,1.76,0
2017-02-16,5,07CAE-69,430.45,428.5,1.95,0
2017-02-16,6,07CAE-69,417.12,415.38,1.74,0
2017-02-16,7,07CAE-69,501.65,499.45,2.19,0
2017-02-16,8,07CAE-69,507.28,505.16,2.12,0
2017-02-16,9,07CAE-69,423.08,420.78,2.3,0
2017-02-16,10,07CAE-69,434.6,432.07,2.54,0
2017-02-16,11,07CAE-69,439.44,436.82,2.62,0
2017-02-16,12,07CAE-69,441.83,439.08,2.74,0
2017-02-16,13,07CAE-69,439.84,437.07,2.77,0
2017-02-16,14,07CAE-69,439.97,437.19,2.78,0
2017-02-16,15,07CAE-69,509.26,506.02,3.24,0
2017-02-16,16,07CAE-69,441.86,439.14,2.72,0
2017-02-16,17,07CAE-69,438.83,436.21,2.63,0
2017-02-16,18,07CAE-69,497.85,494.78,3.07,0
2017-02-16,19,07CAE-69,502.1,498.85,3.25,0
2017-02-16,20,07CAE-69,503.6,500.44,3.16,0
2017-02-16,21,07CAE-69,500.53,497.26,3.27,0
2017-02-16,22,07CAE-69,439.86,437.06,2.8,0
2017-02-16,23,07CAE-69,429.02,426.45,2.57,0
2017-02-16,24,07CAE-69,423.92,421.46,2.46,0
2017-02-16,1,07CES-69,416.92,415.41,1.5,0
2017-02-16,2,07CES-69,756.86,753.67,3.19,0
2017-02-16,3,07CES-69,418.25,416.6,1.65,0
2017-02-16,4,07CES-69,417.37,415.74,1.63,0
2017-02-16,5,07CES-69,430.27,428.5,1.77,0
2017-02-16,6,07CES-69,416.9,415.38,1.52,0
2017-02-16,7,07CES-69,501.39,499.45,1.94,0
2017-02-16,8,07CES-69,507.04,505.16,1.87,0
2017-02-16,9,07CES-69,422.95,420.78,2.17,0
2017-02-16,10,07CES-69,434.51,432.07,2.44,0
2017-02-16,11,07CES-69,439.3,436.82,2.48,0
2017-02-16,12,07CES-69,441.7,439.08,2.61,0
2017-02-16,13,07CES-69,439.73,437.07,2.66,0
2017-02-16,14,07CES-69,439.86,437.19,2.67,0
2017-02-16,15,07CES-69,509.11,506.02,3.09,0
2017-02-16,16,07CES-69,441.73,439.14,2.59,0
2017-02-16,17,07CES-69,438.67,436.21,2.47,0
2017-02-16,18,07CES-69,497.62,494.78,2.85,0
2017-02-16,19,07CES-69,501.72,498.85,2.87,0
2017-02-16,20,07CES-69,503.18,500.44,2.74,0
2017-02-16,21,07CES-69,500.1,497.26,2.84,0
2017-02-16,22,07CES-69,439.55,437.06,2.49,0
2017-02-16,23,07CES-69,428.79,426.45,2.34,0
