Fecha,Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
2017-06-01,1,07ACU-115,472.73,469.79,2.93,0
2017-06-01,2,07ACU-115,472.4,469.64,2.76,0
2017-06-01,3,07ACU-115,472.34,469.7,2.64,0
2017-06-01,4,07ACU-115,472.32,469.8,2.53,0
2017-06-01,5,07ACU-115,472.32,469.75,2.58,0
2017-06-01,6,07ACU-115,472.39,469.61,2.78,0
2017-06-01,7,07ACU-115,472.44,469.52,2.92,0
2017-06-01,8,07ACU-115,472.54,468.99,3.55,0
2017-06-01,9,07ACU-115,472.67,468.68,3.99,0
2017-06-01,10,07ACU-115,494.58,490.83,3.74,0
2017-06-01,11,07ACU-115,481.96,477.85,4.1,0
2017-06-01,12,07ACU-115,502.37,498.31,4.06,0
2017-06-01,13,07ACU-115,504.17,500.27,3.9,0
2017-06-01,14,07ACU-115,502.7,498.99,3.71,0
2017-06-01,15,07ACU-115,552.55,548.55,4,0
2017-06-01,16,07ACU-115,498.17,495.17,3,0
2017-06-01,17,07ACU-115,548.28,544.86,3.42,0
2017-06-01,18,07ACU-115,499.78,496.38,3.4,0
2017-06-01,19,07ACU-115,495.95,492.47,3.48,0
2017-06-01,20,07ACU-115,503.46,499.51,3.95,0
2017-06-01,21,07ACU-115,554.26,550,4.26,0
2017-06-01,22,07ACU-115,501.56,497.6,3.96,0
2017-06-01,23,07ACU-115,492.94,489.34,3.6,0
2017-06-01,24,07ACU-115,484.01,480.75,3.26,0
2017-06-01,1,07APD-230,468.71,469.79,-1.09,0
2017-06-01,2,07APD-230,469.93,469.64,.29,0
2017-06-01,3,07APD-230,470.81,469.7,1.11,0
2017-06-01,4,07APD-230,471.49,469.8,1.7,0
2017-06-01,5,07APD-230,470.88,469.75,1.13,0
2017-06-01,6,07APD-230,469.41,469.61,-.2,0
2017-06-01,7,07APD-230,466.71,469.52,-2.81,0
2017-06-01,8,07APD-230,460.5,468.99,-8.48,0
2017-06-01,9,07APD-230,457.37,468.68,-11.31,0
2017-06-01,10,07APD-230,485.21,490.83,-5.63,0
2017-06-01,11,07APD-230,467.83,477.85,-10.02,0
2017-06-01,12,07APD-230,490.26,498.31,-8.05,0
2017-06-01,13,07APD-230,493.34,500.27,-6.93,0
2017-06-01,14,07APD-230,494.15,498.99,-4.84,0
