Fecha,Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
2017-03-01,1,07ACU-115,674.96,672.52,2.44,0
2017-03-01,2,07ACU-115,382.56,381.14,1.42,0
2017-03-01,3,07ACU-115,377.15,375.68,1.48,0
2017-03-01,4,07ACU-115,376.72,375.16,1.56,0
2017-03-01,5,07ACU-115,376.72,375.12,1.6,0
2017-03-01,6,07ACU-115,664.26,662.21,2.05,0
2017-03-01,7,07ACU-115,689.33,687.1,2.22,0
2017-03-01,8,07ACU-115,377.2,375.18,2.02,0
2017-03-01,9,07ACU-115,665.41,662.26,3.15,0
2017-03-01,10,07ACU-115,389.77,387.35,2.42,0
2017-03-01,11,07ACU-115,431.97,429.16,2.82,0
2017-03-01,12,07ACU-115,433.9,430.93,2.97,0
2017-03-01,13,07ACU-115,431.57,428.81,2.76,0
2017-03-01,14,07ACU-115,433.42,430.5,2.92,0
2017-03-01,15,07ACU-115,431.81,429.08,2.74,0
2017-03-01,16,07ACU-115,433.1,430.28,2.82,0
2017-03-01,17,07ACU-115,430.63,428.06,2.57,0
2017-03-01,18,07ACU-115,433.57,430.67,2.9,0
2017-03-01,19,07ACU-115,466.56,463.48,3.08,0
2017-03-01,20,07ACU-115,432.14,429.3,2.84,0
2017-03-01,21,07ACU-115,433.6,430.54,3.06,0
2017-03-01,22,07ACU-115,430.09,427.21,2.88,0
2017-03-01,23,07ACU-115,382.15,379.83,2.32,0
2017-03-01,24,07ACU-115,376.6,374.97,1.63,0
2017-03-01,1,07APD-230,658.63,672.52,-13.89,0
2017-03-01,2,07APD-230,371.83,381.14,-9.31,0
2017-03-01,3,07APD-230,366.55,375.68,-9.12,0
2017-03-01,4,07APD-230,365.88,375.16,-9.28,0
2017-03-01,5,07APD-230,365.67,375.12,-9.45,0
2017-03-01,6,07APD-230,648.71,662.21,-13.5,0
2017-03-01,7,07APD-230,676.6,687.1,-10.51,0
2017-03-01,8,07APD-230,370.72,375.18,-4.46,0
2017-03-01,9,07APD-230,655.44,662.26,-6.82,0
2017-03-01,10,07APD-230,379.41,387.35,-7.94,0
2017-03-01,11,07APD-230,415.42,429.16,-13.73,0
2017-03-01,12,07APD-230,416.5,430.93,-14.44,0
2017-03-01,13,07APD-230,415.79,428.81,-13.02,0
2017-03-01,14,07APD-230,416.55,430.5,-13.95,0
2017-03-01,15,07APD-230,416.11,429.08,-12.97,0
2017-03-01,16,07APD-230,416.62,430.28,-13.66,0
2017-03-01,17,07APD-230,415.91,428.06,-12.15,0
2017-03-01,18,07APD-230,417.35,430.67,-13.32,0
2017-03-01,19,07APD-230,450.18,463.48,-13.31,0
2017-03-01,20,07APD-230,417.57,429.3,-11.73,0
2017-03-01,21,07APD-230,417.57,430.54,-12.98,0
2017-03-01,22,07APD-230,415.73,427.21,-11.49,0
