Fecha,Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
2017-04-16,1,07ASJ-115,1518.25,1474.78,43.48,0
2017-04-16,2,07ASJ-115,1447.33,1407.64,39.69,0
2017-04-16,3,07ASJ-115,1413.6,1375.84,37.76,0
2017-04-16,4,07ASJ-115,1717.57,1672.26,45.31,0
2017-04-16,5,07ASJ-115,1584.21,1543.35,40.87,0
2017-04-16,6,07ASJ-115,1579.43,1538.63,40.81,0
2017-04-16,7,07ASJ-115,1519.45,1479.31,40.15,0
2017-04-16,8,07ASJ-115,1525.53,1484.02,41.51,0
2017-04-16,9,07ASJ-115,1717.61,1666.99,50.63,0
2017-04-16,10,07ASJ-115,1746.4,1691.5,54.9,0
2017-04-16,11,07ASJ-115,1799.81,1739.85,59.96,0
2017-04-16,12,07ASJ-115,1801.09,1739.9,61.2,0
2017-04-16,13,07ASJ-115,1447.24,1397.91,49.34,0
2017-04-16,14,07ASJ-115,1457.03,1407.19,49.84,0
2017-04-16,15,07ASJ-115,1457.25,1407.52,49.73,0
2017-04-16,16,07ASJ-115,1511.41,1459.48,51.93,0
2017-04-16,17,07ASJ-115,1668.94,1611.25,57.7,0
2017-04-16,18,07ASJ-115,1726.94,1668.56,58.38,0
2017-04-16,19,07ASJ-115,1643.7,1588.14,55.56,0
2017-04-16,20,07ASJ-115,1743.12,1684.84,58.28,0
2017-04-16,21,07ASJ-115,2079.01,2005.8,73.21,0
2017-04-16,22,07ASJ-115,2051.93,1981.42,70.51,0
2017-04-16,23,07ASJ-115,1834.84,1774.57,60.27,0
2017-04-16,24,07ASJ-115,1965.53,1905.25,60.28,0
2017-04-16,1,07BLE-115,1482.73,1474.78,7.95,0
2017-04-16,2,07BLE-115,1415.11,1407.64,7.47,0
2017-04-16,3,07BLE-115,1382.88,1375.84,7.04,0
2017-04-16,4,07BLE-115,1680.95,1672.26,8.69,0
2017-04-16,5,07BLE-115,1551.88,1543.35,8.54,0
2017-04-16,6,07BLE-115,1547.16,1538.63,8.53,0
2017-04-16,7,07BLE-115,1488.03,1479.31,8.72,0
2017-04-16,8,07BLE-115,1492.48,1484.02,8.47,0
2017-04-16,9,07BLE-115,1676.36,1666.99,9.37,0
2017-04-16,10,07BLE-115,1700.08,1691.5,8.57,0
2017-04-16,11,07BLE-115,1747.42,1739.85,7.57,0
2017-04-16,12,07BLE-115,1747.16,1739.9,7.27,0
2017-04-16,13,07BLE-115,1402.31,1397.91,4.4,0
2017-04-16,14,07BLE-115,1411.92,1407.19,4.73,0
2017-04-16,15,07BLE-115,1412.62,1407.52,5.1,0
2017-04-16,16,07BLE-115,1465.58,1459.48,6.09,0
2017-04-16,17,07BLE-115,1619.02,1611.25,7.78,0
2017-04-16,18,07BLE-115,1676.94,1668.56,8.38,0
2017-04-16,19,07BLE-115,1597.01,1588.14,8.88,0
2017-04-16,20,07BLE-115,1690.29,1684.84,5.45,0
2017-04-16,21,07BLE-115,2010.51,2005.8,4.71,0
2017-04-16,22,07BLE-115,1986.92,1981.42,5.5,0
2017-04-16,23,07BLE-115,1781,1774.57,6.43,0
2017-04-16,24,07BLE-115,1911.83,1905.25,6.58,0
2017-04-16,1,07CAB-115,1523.01,1474.78,48.23,0
2017-04-16,2,07CAB-115,1451.84,1407.64,44.2,0
2017-04-16,3,07CAB-115,1417.88,1375.84,42.04,0
2017-04-16,4,07CAB-115,1722.28,1672.26,50.03,0
2017-04-16,5,07CAB-115,1588.33,1543.35,44.99,0
2017-04-16,6,07CAB-115,1583.38,1538.63,44.75,0
2017-04-16,7,07CAB-115,1523.02,1479.31,43.71,0
2017-04-16,8,07CAB-115,1529.13,1484.02,45.12,0
2017-04-16,9,07CAB-115,1722.16,1666.99,55.18,0
2017-04-16,10,07CAB-115,1751.16,1691.5,59.65,0
2017-04-16,11,07CAB-115,1805.16,1739.85,65.31,0
2017-04-16,12,07CAB-115,1806.48,1739.9,66.59,0
2017-04-16,13,07CAB-115,1451.98,1397.91,54.07,0
2017-04-16,14,07CAB-115,1461.67,1407.19,54.48,0
2017-04-16,15,07CAB-115,1461.7,1407.52,54.19,0
2017-04-16,16,07CAB-115,1516.22,1459.48,56.74,0
2017-04-16,17,07CAB-115,1674.1,1611.25,62.86,0
2017-04-16,18,07CAB-115,1732.7,1668.56,64.14,0
2017-04-16,19,07CAB-115,1649.3,1588.14,61.16,0
2017-04-16,20,07CAB-115,1749.21,1684.84,64.38,0
2017-04-16,21,07CAB-115,2087.36,2005.8,81.57,0
2017-04-16,22,07CAB-115,2060.1,1981.42,78.68,0
2017-04-16,23,07CAB-115,1841.44,1774.57,66.86,0
2017-04-16,24,07CAB-115,1971.86,1905.25,66.61,0
2017-04-16,1,07CAD-115,1522.76,1474.78,47.98,0
2017-04-16,2,07CAD-115,1451.59,1407.64,43.95,0
2017-04-16,3,07CAD-115,1417.64,1375.84,41.81,0
2017-04-16,4,07CAD-115,1722.01,1672.26,49.75,0
2017-04-16,5,07CAD-115,1588.1,1543.35,44.75,0
2017-04-16,6,07CAD-115,1583.14,1538.63,44.51,0
2017-04-16,7,07CAD-115,1522.76,1479.31,43.45,0
2017-04-16,8,07CAD-115,1528.8,1484.02,44.78,0
2017-04-16,9,07CAD-115,1721.64,1666.99,54.65,0
2017-04-16,10,07CAD-115,1750.54,1691.5,59.04,0
2017-04-16,11,07CAD-115,1804.56,1739.85,64.71,0
2017-04-16,12,07CAD-115,1805.91,1739.9,66.01,0
2017-04-16,13,07CAD-115,1451.44,1397.91,53.53,0
2017-04-16,14,07CAD-115,1461.23,1407.19,54.04,0
2017-04-16,15,07CAD-115,1461.28,1407.52,53.76,0
2017-04-16,16,07CAD-115,1515.81,1459.48,56.33,0
2017-04-16,17,07CAD-115,1673.66,1611.25,62.41,0
2017-04-16,18,07CAD-115,1732.28,1668.56,63.72,0
2017-04-16,19,07CAD-115,1648.87,1588.14,60.73,0
2017-04-16,20,07CAD-115,1748.92,1684.84,64.08,0
2017-04-16,21,07CAD-115,2087.07,2005.8,81.27,0
2017-04-16,22,07CAD-115,2059.76,1981.42,78.34,0
2017-04-16,23,07CAD-115,1841.17,1774.57,66.6,0
2017-04-16,24,07CAD-115,1971.62,1905.25,66.38,0
2017-04-16,1,07CAF-115,1523.51,1474.78,48.74,0
2017-04-16,2,07CAF-115,1452.29,1407.64,44.64,0
2017-04-16,3,07CAF-115,1418.3,1375.84,42.46,0
2017-04-16,4,07CAF-115,1722.79,1672.26,50.53,0
2017-04-16,5,07CAF-115,1588.81,1543.35,45.47,0
2017-04-16,6,07CAF-115,1583.85,1538.63,45.22,0
2017-04-16,7,07CAF-115,1523.42,1479.31,44.11,0
2017-04-16,8,07CAF-115,1529.45,1484.02,45.43,0
2017-04-16,9,07CAF-115,1722.4,1666.99,55.41,0
2017-04-16,10,07CAF-115,1751.33,1691.5,59.83,0
2017-04-16,11,07CAF-115,1805.41,1739.85,65.56,0
2017-04-16,12,07CAF-115,1806.78,1739.9,66.88,0
2017-04-16,13,07CAF-115,1452.09,1397.91,54.18,0
2017-04-16,14,07CAF-115,1461.95,1407.19,54.76,0
2017-04-16,15,07CAF-115,1461.99,1407.52,54.48,0
2017-04-16,16,07CAF-115,1516.57,1459.48,57.08,0
2017-04-16,17,07CAF-115,1674.48,1611.25,63.23,0
2017-04-16,18,07CAF-115,1733.11,1668.56,64.55,0
2017-04-16,19,07CAF-115,1649.67,1588.14,61.53,0
2017-04-16,20,07CAF-115,1749.87,1684.84,65.03,0
2017-04-16,21,07CAF-115,2088.34,2005.8,82.54,0
2017-04-16,22,07CAF-115,2060.98,1981.42,79.55,0
2017-04-16,23,07CAF-115,1842.2,1774.57,67.63,0
2017-04-16,24,07CAF-115,1972.64,1905.25,67.39,0
2017-04-16,1,07CAR-115,1483.66,1474.78,8.89,0
2017-04-16,2,07CAR-115,1415.77,1407.64,8.13,0
2017-04-16,3,07CAR-115,1383.25,1375.84,7.42,0
2017-04-16,4,07CAR-115,1685.38,1672.26,13.12,0
2017-04-16,5,07CAR-115,1555.68,1543.35,12.33,0
2017-04-16,6,07CAR-115,1550.62,1538.63,11.99,0
2017-04-16,7,07CAR-115,1491.51,1479.31,12.2,0
2017-04-16,8,07CAR-115,1496.29,1484.02,12.28,0
2017-04-16,9,07CAR-115,1681.68,1666.99,14.7,0
2017-04-16,10,07CAR-115,1705.98,1691.5,14.47,0
2017-04-16,11,07CAR-115,1753.47,1739.85,13.62,0
2017-04-16,12,07CAR-115,1753.52,1739.9,13.62,0
2017-04-16,13,07CAR-115,1405.04,1397.91,7.13,0
2017-04-16,14,07CAR-115,1414.71,1407.19,7.52,0
2017-04-16,15,07CAR-115,1415.46,1407.52,7.94,0
2017-04-16,16,07CAR-115,1468.54,1459.48,9.05,0
2017-04-16,17,07CAR-115,1622.17,1611.25,10.93,0
2017-04-16,18,07CAR-115,1679.38,1668.56,10.82,0
2017-04-16,19,07CAR-115,1599.71,1588.14,11.57,0
2017-04-16,20,07CAR-115,1693.52,1684.84,8.69,0
2017-04-16,21,07CAR-115,2013.63,2005.8,7.83,0
2017-04-16,22,07CAR-115,1990.46,1981.42,9.04,0
2017-04-16,23,07CAR-115,1784.07,1774.57,9.5,0
2017-04-16,24,07CAR-115,1918.41,1905.25,13.16,0
2017-04-16,1,07CAS-115,1519.29,1474.78,44.52,0
2017-04-16,2,07CAS-115,1448.39,1407.64,40.75,0
2017-04-16,3,07CAS-115,1414.61,1375.84,38.77,0
2017-04-16,4,07CAS-115,1718.37,1672.26,46.11,0
2017-04-16,5,07CAS-115,1584.81,1543.35,41.46,0
2017-04-16,6,07CAS-115,1579.92,1538.63,41.29,0
2017-04-16,7,07CAS-115,1519.71,1479.31,40.4,0
2017-04-16,8,07CAS-115,1525.73,1484.02,41.72,0
2017-04-16,9,07CAS-115,1718.03,1666.99,51.04,0
2017-04-16,10,07CAS-115,1746.73,1691.5,55.22,0
2017-04-16,11,07CAS-115,1800.31,1739.85,60.46,0
2017-04-16,12,07CAS-115,1801.53,1739.9,61.64,0
2017-04-16,13,07CAS-115,1447.96,1397.91,50.06,0
2017-04-16,14,07CAS-115,1457.63,1407.19,50.44,0
2017-04-16,15,07CAS-115,1457.68,1407.52,50.16,0
2017-04-16,16,07CAS-115,1512.01,1459.48,52.53,0
2017-04-16,17,07CAS-115,1669.46,1611.25,58.21,0
2017-04-16,18,07CAS-115,1727.86,1668.56,59.29,0
