Fecha,Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
2017-01-01,1,07BLE-115,1460.19,1453.99,6.21,0
2017-01-01,2,07BLE-115,1415.88,1410.33,5.54,0
2017-01-01,3,07BLE-115,1375.52,1370.35,5.18,0
2017-01-01,4,07BLE-115,1476.72,1472.11,4.61,0
2017-01-01,5,07BLE-115,1462.32,1458.17,4.15,0
2017-01-01,6,07BLE-115,1462.54,1458.48,4.06,0
2017-01-01,7,07BLE-115,1472.81,1468.73,4.09,0
2017-01-01,8,07BLE-115,1461.49,1457.97,3.52,0
2017-01-01,9,07BLE-115,1472.27,1468.82,3.46,0
2017-01-01,10,07BLE-115,1483.61,1480.19,3.42,0
2017-01-01,11,07BLE-115,1374.07,1370.46,3.61,0
2017-01-01,12,07BLE-115,1379.12,1375.33,3.79,0
2017-01-01,13,07BLE-115,1401.03,1397.22,3.8,0
2017-01-01,14,07BLE-115,1501.71,1495.02,6.68,0
2017-01-01,15,07BLE-115,1504.48,1497.68,6.8,0
2017-01-01,16,07BLE-115,1463.94,1459.72,4.21,0
2017-01-01,17,07BLE-115,1499.86,1494.73,5.12,0
2017-01-01,18,07BLE-115,1462.21,1459.07,3.14,0
2017-01-01,19,07BLE-115,1579.11,1573.99,5.12,0
2017-01-01,20,07BLE-115,1578.12,1572.79,5.33,0
2017-01-01,21,07BLE-115,1530.6,1525.66,4.95,0
2017-01-01,22,07BLE-115,1487.49,1482.76,4.74,0
2017-01-01,23,07BLE-115,1516.89,1509.87,7.02,0
2017-01-01,24,07BLE-115,1453.55,1447.73,5.82,0
2017-01-01,1,07CAB-115,1497.19,1453.99,43.2,0
2017-01-01,2,07CAB-115,1450.55,1410.33,40.22,0
2017-01-01,3,07CAB-115,1407.8,1370.35,37.45,0
2017-01-01,4,07CAB-115,1511.6,1472.11,39.49,0
2017-01-01,5,07CAB-115,1496.66,1458.17,38.49,0
2017-01-01,6,07CAB-115,1497.34,1458.48,38.86,0
2017-01-01,7,07CAB-115,1508.36,1468.73,39.63,0
2017-01-01,8,07CAB-115,1497.43,1457.97,39.46,0
2017-01-01,9,07CAB-115,1510.69,1468.82,41.88,0
2017-01-01,10,07CAB-115,1525.12,1480.19,44.93,0
2017-01-01,11,07CAB-115,1413.73,1370.46,43.28,0
2017-01-01,12,07CAB-115,1419.48,1375.33,44.15,0
2017-01-01,13,07CAB-115,1442.43,1397.22,45.2,0
2017-01-01,14,07CAB-115,1543.25,1495.02,48.23,0
2017-01-01,15,07CAB-115,1545.86,1497.68,48.18,0
2017-01-01,16,07CAB-115,1507.2,1459.72,47.48,0
2017-01-01,17,07CAB-115,1543.99,1494.73,49.25,0
2017-01-01,18,07CAB-115,1509.59,1459.07,50.52,0
2017-01-01,19,07CAB-115,1632,1573.99,58.01,0
2017-01-01,20,07CAB-115,1630.4,1572.79,57.61,0
2017-01-01,21,07CAB-115,1580.29,1525.66,54.64,0
2017-01-01,22,07CAB-115,1533.57,1482.76,50.81,0
2017-01-01,23,07CAB-115,1558.18,1509.87,48.3,0
2017-01-01,24,07CAB-115,1490.65,1447.73,42.92,0
2017-01-01,1,07CAD-115,1497.08,1453.99,43.1,0
2017-01-01,2,07CAD-115,1450.45,1410.33,40.11,0
2017-01-01,3,07CAD-115,1407.7,1370.35,37.36,0
2017-01-01,4,07CAD-115,1511.45,1472.11,39.35,0
2017-01-01,5,07CAD-115,1496.53,1458.17,38.35,0
2017-01-01,6,07CAD-115,1497.19,1458.48,38.71,0
2017-01-01,7,07CAD-115,1508.18,1468.73,39.45,0
2017-01-01,8,07CAD-115,1497.18,1457.97,39.21,0
2017-01-01,9,07CAD-115,1510.39,1468.82,41.57,0
2017-01-01,10,07CAD-115,1524.78,1480.19,44.59,0
2017-01-01,11,07CAD-115,1413.42,1370.46,42.97,0
2017-01-01,12,07CAD-115,1419.14,1375.33,43.82,0
2017-01-01,13,07CAD-115,1442.12,1397.22,44.9,0
2017-01-01,14,07CAD-115,1542.96,1495.02,47.94,0
2017-01-01,15,07CAD-115,1545.55,1497.68,47.87,0
2017-01-01,16,07CAD-115,1506.91,1459.72,47.18,0
2017-01-01,17,07CAD-115,1543.68,1494.73,48.95,0
2017-01-01,18,07CAD-115,1509.29,1459.07,50.23,0
2017-01-01,19,07CAD-115,1631.77,1573.99,57.78,0
2017-01-01,20,07CAD-115,1630.18,1572.79,57.39,0
2017-01-01,21,07CAD-115,1580.11,1525.66,54.45,0
2017-01-01,22,07CAD-115,1533.43,1482.76,50.68,0
2017-01-01,23,07CAD-115,1558.05,1509.87,48.18,0
2017-01-01,24,07CAD-115,1490.55,1447.73,42.83,0
2017-01-01,1,07CAF-115,1497.79,1453.99,43.8,0
2017-01-01,2,07CAF-115,1451.1,1410.33,40.76,0
2017-01-01,3,07CAF-115,1408.3,1370.35,37.95,0
2017-01-01,4,07CAF-115,1512.08,1472.11,39.98,0
2017-01-01,5,07CAF-115,1497.14,1458.17,38.96,0
2017-01-01,6,07CAF-115,1497.8,1458.48,39.32,0
2017-01-01,7,07CAF-115,1508.8,1468.73,40.07,0
2017-01-01,8,07CAF-115,1497.77,1457.97,39.8,0
2017-01-01,9,07CAF-115,1511,1468.82,42.18,0
2017-01-01,10,07CAF-115,1525.43,1480.19,45.24,0
2017-01-01,11,07CAF-115,1414.04,1370.46,43.59,0
2017-01-01,12,07CAF-115,1419.74,1375.33,44.42,0
2017-01-01,13,07CAF-115,1442.74,1397.22,45.52,0
2017-01-01,14,07CAF-115,1543.62,1495.02,48.6,0
2017-01-01,15,07CAF-115,1546.2,1497.68,48.52,0
2017-01-01,16,07CAF-115,1507.54,1459.72,47.82,0
2017-01-01,17,07CAF-115,1544.34,1494.73,49.61,0
2017-01-01,18,07CAF-115,1509.97,1459.07,50.91,0
2017-01-01,19,07CAF-115,1632.62,1573.99,58.63,0
2017-01-01,20,07CAF-115,1631.03,1572.79,58.24,0
2017-01-01,21,07CAF-115,1580.93,1525.66,55.27,0
2017-01-01,22,07CAF-115,1534.24,1482.76,51.49,0
