Fecha,Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
2017-02-01,1,07BLE-115,1729.04,1722.8,6.24,0
2017-02-01,2,07BLE-115,1643.42,1637.08,6.34,0
2017-02-01,3,07BLE-115,1479.76,1473.68,6.08,0
2017-02-01,4,07BLE-115,1458.23,1452.38,5.85,0
2017-02-01,5,07BLE-115,1458.67,1452.84,5.83,0
2017-02-01,6,07BLE-115,1732.52,1725.32,7.19,0
2017-02-01,7,07BLE-115,1748.22,1742.4,5.82,0
2017-02-01,8,07BLE-115,1887.85,1883.28,4.57,0
2017-02-01,9,07BLE-115,1834.24,1830.78,3.46,0
2017-02-01,10,07BLE-115,1808.93,1806.25,2.68,0
2017-02-01,11,07BLE-115,1743.36,1736.63,6.73,0
2017-02-01,12,07BLE-115,1743.83,1737.22,6.61,0
2017-02-01,13,07BLE-115,1746.5,1739.89,6.62,0
2017-02-01,14,07BLE-115,1801.01,1798.06,2.95,0
2017-02-01,15,07BLE-115,1823.19,1821.01,2.18,0
2017-02-01,16,07BLE-115,1889.99,1888.18,1.81,0
2017-02-01,17,07BLE-115,1982.96,1981.59,1.36,0
2017-02-01,18,07BLE-115,1764.83,1762.27,2.56,0
2017-02-01,19,07BLE-115,2049.25,2048.5,.76,0
2017-02-01,20,07BLE-115,1944.46,1939.82,4.63,0
2017-02-01,21,07BLE-115,2026.82,2025.45,1.37,0
2017-02-01,22,07BLE-115,1896.46,1893.71,2.75,0
2017-02-01,23,07BLE-115,1930.28,1927.08,3.2,0
2017-02-01,24,07BLE-115,1931.97,1925.98,6,0
2017-02-01,1,07CAB-115,1769.35,1722.8,46.55,0
2017-02-01,2,07CAB-115,1679.25,1637.08,42.17,0
2017-02-01,3,07CAB-115,1510.46,1473.68,36.78,0
2017-02-01,4,07CAB-115,1488.22,1452.38,35.83,0
2017-02-01,5,07CAB-115,1488.86,1452.84,36.02,0
2017-02-01,6,07CAB-115,1770.01,1725.32,44.69,0
2017-02-01,7,07CAB-115,1791.66,1742.4,49.26,0
2017-02-01,8,07CAB-115,1939.84,1883.28,56.56,0
2017-02-01,9,07CAB-115,1888.75,1830.78,57.97,0
2017-02-01,10,07CAB-115,1866.42,1806.25,60.17,0
2017-02-01,11,07CAB-115,1785.82,1736.63,49.19,0
2017-02-01,12,07CAB-115,1787.03,1737.22,49.82,0
2017-02-01,13,07CAB-115,1790.05,1739.89,50.16,0
2017-02-01,14,07CAB-115,1859.21,1798.06,61.15,0
2017-02-01,15,07CAB-115,1883.98,1821.01,62.96,0
2017-02-01,16,07CAB-115,1953.78,1888.18,65.6,0
2017-02-01,17,07CAB-115,2051.1,1981.59,69.51,0
2017-02-01,18,07CAB-115,1823.88,1762.27,61.62,0
2017-02-01,19,07CAB-115,2126.66,2048.5,78.16,0
2017-02-01,20,07CAB-115,2010.25,1939.82,70.43,0
2017-02-01,21,07CAB-115,2101.53,2025.45,76.08,0
2017-02-01,22,07CAB-115,1960.88,1893.71,67.17,0
2017-02-01,23,07CAB-115,1989.22,1927.08,62.14,0
2017-02-01,24,07CAB-115,1981.24,1925.98,55.26,0
2017-02-01,1,07CAD-115,1769.64,1722.8,46.84,0
2017-02-01,2,07CAD-115,1679.5,1637.08,42.42,0
2017-02-01,3,07CAD-115,1510.68,1473.68,37,0
2017-02-01,4,07CAD-115,1488.44,1452.38,36.06,0
2017-02-01,5,07CAD-115,1489.08,1452.84,36.24,0
2017-02-01,6,07CAD-115,1770.3,1725.32,44.98,0
2017-02-01,7,07CAD-115,1791.99,1742.4,49.59,0
2017-02-01,8,07CAD-115,1940.08,1883.28,56.8,0
2017-02-01,9,07CAD-115,1888.89,1830.78,58.1,0
