Fecha,Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
2017-06-16,1,07ASJ-115,1807.46,1743.39,64.07,0
2017-06-16,2,07ASJ-115,1708.55,1651.23,57.32,0
2017-06-16,3,07ASJ-115,1744.86,1686.51,58.35,0
2017-06-16,4,07ASJ-115,1577.8,1526.72,51.07,0
2017-06-16,5,07ASJ-115,1552.13,1502.95,49.18,0
2017-06-16,6,07ASJ-115,1530.58,1482.43,48.15,0
2017-06-16,7,07ASJ-115,1524.37,1476.65,47.72,0
2017-06-16,8,07ASJ-115,1558.04,1506.33,51.71,0
2017-06-16,9,07ASJ-115,1685.82,1624.81,61.01,0
2017-06-16,10,07ASJ-115,1800.84,1731.24,69.6,0
2017-06-16,11,07ASJ-115,1638.01,1574.07,63.93,0
2017-06-16,12,07ASJ-115,1726.66,1657.49,69.17,0
2017-06-16,13,07ASJ-115,1757.38,1686.35,71.03,0
2017-06-16,14,07ASJ-115,1818.64,1744.55,74.1,0
2017-06-16,15,07ASJ-115,1906.11,1828.11,78,0
2017-06-16,16,07ASJ-115,1948.32,1870.06,78.27,0
2017-06-16,17,07ASJ-115,2080.7,1997.81,82.89,0
2017-06-16,18,07ASJ-115,2178.22,2095.13,83.09,0
2017-06-16,19,07ASJ-115,2177,2095.58,81.42,0
2017-06-16,20,07ASJ-115,1974.52,1903.86,70.66,0
2017-06-16,21,07ASJ-115,1983.5,1911.55,71.94,0
2017-06-16,22,07ASJ-115,2176.64,2095.41,81.23,0
2017-06-16,23,07ASJ-115,1976.91,1904.79,72.13,0
2017-06-16,24,07ASJ-115,1894.99,1826.76,68.23,0
2017-06-16,1,07BLE-115,1755.92,1743.39,12.52,0
2017-06-16,2,07BLE-115,1664.31,1651.23,13.08,0
2017-06-16,3,07BLE-115,1697.31,1686.51,10.8,0
2017-06-16,4,07BLE-115,1537.17,1526.72,10.45,0
2017-06-16,5,07BLE-115,1513.26,1502.95,10.31,0
2017-06-16,6,07BLE-115,1492.85,1482.43,10.42,0
2017-06-16,7,07BLE-115,1487.08,1476.65,10.44,0
2017-06-16,8,07BLE-115,1515.92,1506.33,9.59,0
2017-06-16,9,07BLE-115,1633.3,1624.81,8.49,0
2017-06-16,10,07BLE-115,1738.78,1731.24,7.54,0
2017-06-16,11,07BLE-115,1583.71,1574.07,9.64,0
2017-06-16,12,07BLE-115,1667.71,1657.49,10.22,0
2017-06-16,13,07BLE-115,1696.82,1686.35,10.47,0
2017-06-16,14,07BLE-115,1755.5,1744.55,10.95,0
2017-06-16,15,07BLE-115,1839.51,1828.11,11.41,0
2017-06-16,16,07BLE-115,1882.68,1870.06,12.62,0
2017-06-16,17,07BLE-115,2011.19,1997.81,13.38,0
2017-06-16,18,07BLE-115,2111.27,2095.13,16.14,0
2017-06-16,19,07BLE-115,2111.13,2095.58,15.55,0
2017-06-16,20,07BLE-115,1918.18,1903.86,14.32,0
2017-06-16,21,07BLE-115,1925.55,1911.55,14,0
2017-06-16,22,07BLE-115,2110.35,2095.41,14.94,0
2017-06-16,23,07BLE-115,1918.6,1904.79,13.81,0
2017-06-16,24,07BLE-115,1839.65,1826.76,12.89,0
2017-06-16,1,07CAB-115,1812.82,1743.39,69.42,0
2017-06-16,2,07CAB-115,1713.19,1651.23,61.97,0
2017-06-16,3,07CAB-115,1750.72,1686.51,64.21,0
2017-06-16,4,07CAB-115,1582.91,1526.72,56.19,0
2017-06-16,5,07CAB-115,1557.04,1502.95,54.09,0
2017-06-16,6,07CAB-115,1535.11,1482.43,52.68,0
2017-06-16,7,07CAB-115,1529.03,1476.65,52.39,0
2017-06-16,8,07CAB-115,1562.57,1506.33,56.24,0
2017-06-16,9,07CAB-115,1690.97,1624.81,66.16,0
2017-06-16,10,07CAB-115,1807.05,1731.24,75.81,0
2017-06-16,11,07CAB-115,1641.91,1574.07,67.83,0
2017-06-16,12,07CAB-115,1730.44,1657.49,72.96,0
