Fecha,Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
2017-05-01,1,07ASJ-115,1440.37,1400.64,39.73,0
2017-05-01,2,07ASJ-115,1364.3,1328.95,35.35,0
2017-05-01,3,07ASJ-115,1512.58,1474.6,37.98,0
2017-05-01,4,07ASJ-115,1439.77,1404.12,35.65,0
2017-05-01,5,07ASJ-115,1439.97,1404.12,35.85,0
2017-05-01,6,07ASJ-115,1511.96,1474.24,37.72,0
2017-05-01,7,07ASJ-115,1451.49,1414.23,37.26,0
2017-05-01,8,07ASJ-115,1456.23,1418.03,38.2,0
2017-05-01,9,07ASJ-115,1382.19,1343.37,38.82,0
2017-05-01,10,07ASJ-115,1472.09,1427.98,44.12,0
2017-05-01,11,07ASJ-115,1650.21,1597.79,52.42,0
2017-05-01,12,07ASJ-115,1512.58,1463.63,48.95,0
2017-05-01,13,07ASJ-115,1584.4,1533.56,50.85,0
2017-05-01,14,07ASJ-115,1633.62,1581.24,52.38,0
2017-05-01,15,07ASJ-115,1633.73,1581.51,52.22,0
2017-05-01,16,07ASJ-115,1663.35,1610.29,53.06,0
2017-05-01,17,07ASJ-115,1565.27,1514.86,50.41,0
2017-05-01,18,07ASJ-115,1707.54,1652.35,55.19,0
2017-05-01,19,07ASJ-115,1825.6,1767.46,58.14,0
2017-05-01,20,07ASJ-115,1857.99,1798.46,59.53,0
2017-05-01,21,07ASJ-115,1834.08,1770.37,63.71,0
2017-05-01,22,07ASJ-115,1747.69,1687.99,59.7,0
2017-05-01,23,07ASJ-115,1864.45,1804.13,60.33,0
2017-05-01,24,07ASJ-115,1587.12,1538.9,48.22,0
2017-05-01,1,07BLE-115,1407.39,1400.64,6.75,0
2017-05-01,2,07BLE-115,1335.07,1328.95,6.13,0
2017-05-01,3,07BLE-115,1482.88,1474.6,8.28,0
2017-05-01,4,07BLE-115,1411.99,1404.12,7.88,0
2017-05-01,5,07BLE-115,1411.98,1404.12,7.86,0
2017-05-01,6,07BLE-115,1482.65,1474.24,8.4,0
2017-05-01,7,07BLE-115,1421,1414.23,6.77,0
2017-05-01,8,07BLE-115,1423.99,1418.03,5.96,0
