Fecha,Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
2017-04-16,1,07ACU-115,461.61,459.12,2.49,0
2017-04-16,2,07ACU-115,458.3,456,2.3,0
2017-04-16,3,07ACU-115,458.73,456.57,2.16,0
2017-04-16,4,07ACU-115,457.86,455.73,2.13,0
2017-04-16,5,07ACU-115,457.65,455.51,2.14,0
2017-04-16,6,07ACU-115,458.4,456.36,2.03,0
2017-04-16,7,07ACU-115,457.35,455.53,1.82,0
2017-04-16,8,07ACU-115,458.44,456.45,1.99,0
2017-04-16,9,07ACU-115,461.49,459.32,2.17,0
2017-04-16,10,07ACU-115,462.57,460.21,2.36,0
2017-04-16,11,07ACU-115,466.88,464.37,2.51,0
2017-04-16,12,07ACU-115,465.57,463.43,2.14,0
2017-04-16,13,07ACU-115,467.12,465.05,2.07,0
2017-04-16,14,07ACU-115,474.58,472.17,2.41,0
2017-04-16,15,07ACU-115,475.74,473.25,2.5,0
2017-04-16,16,07ACU-115,478.29,475.83,2.47,0
2017-04-16,17,07ACU-115,478.08,475.79,2.29,0
2017-04-16,18,07ACU-115,478.05,475.71,2.34,0
2017-04-16,19,07ACU-115,475.87,473.36,2.5,0
2017-04-16,20,07ACU-115,475.71,472.65,3.06,0
2017-04-16,21,07ACU-115,478.69,475.63,3.06,0
2017-04-16,22,07ACU-115,478.61,475.73,2.88,0
2017-04-16,23,07ACU-115,472.4,469.8,2.6,0
2017-04-16,24,07ACU-115,470.67,468.44,2.24,0
2017-04-16,1,07APD-230,452.55,459.12,-6.57,0
2017-04-16,2,07APD-230,451.89,456,-4.12,0
2017-04-16,3,07APD-230,451.37,456.57,-5.2,0
2017-04-16,4,07APD-230,450.86,455.73,-4.87,0
2017-04-16,5,07APD-230,450.61,455.51,-4.91,0
2017-04-16,6,07APD-230,451.17,456.36,-5.2,0
2017-04-16,7,07APD-230,450.18,455.53,-5.36,0
2017-04-16,8,07APD-230,450.05,456.45,-6.4,0
2017-04-16,9,07APD-230,451.71,459.32,-7.6,0
