Fecha,Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
2017-01-11,1,07ACU-115,830.45,829.34,1.11,0
2017-01-11,2,07ACU-115,958.7,958.11,.59,0
2017-01-11,3,07ACU-115,1055.43,1055,.43,0
2017-01-11,4,07ACU-115,990.44,990.53,-.08,0
2017-01-11,5,07ACU-115,1023.06,1022.64,.42,0
2017-01-11,6,07ACU-115,862.51,861.8,.71,0
2017-01-11,7,07ACU-115,606.3,605.38,.92,0
2017-01-11,8,07ACU-115,648.62,647.17,1.45,0
2017-01-11,9,07ACU-115,649.26,647.61,1.65,0
2017-01-11,10,07ACU-115,794.38,792.18,2.2,0
2017-01-11,11,07ACU-115,612.51,611.3,1.21,0
2017-01-11,12,07ACU-115,826.94,824.44,2.5,0
2017-01-11,13,07ACU-115,615.99,614.07,1.92,0
2017-01-11,14,07ACU-115,771.15,768.71,2.44,0
2017-01-11,15,07ACU-115,830.65,829.22,1.43,0
2017-01-11,16,07ACU-115,2037.32,2034.79,2.54,0
2017-01-11,17,07ACU-115,957.66,956.58,1.09,0
2017-01-11,18,07ACU-115,2074.34,2071.31,3.03,0
2017-01-11,19,07ACU-115,1699.26,1695.72,3.54,0
2017-01-11,20,07ACU-115,928.64,926.3,2.34,0
2017-01-11,21,07ACU-115,2010.09,2006.02,4.07,0
2017-01-11,22,07ACU-115,2149.05,2146.63,2.42,0
2017-01-11,23,07ACU-115,830.11,829.28,.83,0
2017-01-11,24,07ACU-115,7535.99,7547.12,-11.14,0
2017-01-11,1,07APD-230,815.84,829.34,-13.5,0
2017-01-11,2,07APD-230,949.12,958.11,-8.99,0
2017-01-11,3,07APD-230,1046.54,1055,-8.46,0
2017-01-11,4,07APD-230,982.36,990.53,-8.17,0
2017-01-11,5,07APD-230,1018.88,1022.64,-3.76,0
2017-01-11,6,07APD-230,856.42,861.8,-5.39,0
2017-01-11,7,07APD-230,596.06,605.38,-9.31,0
2017-01-11,8,07APD-230,628.05,647.17,-19.12,0
2017-01-11,9,07APD-230,628.8,647.61,-18.81,0
2017-01-11,10,07APD-230,766.12,792.18,-26.06,0
2017-01-11,11,07APD-230,589.91,611.3,-21.4,0
2017-01-11,12,07APD-230,793.68,824.44,-30.75,0
2017-01-11,13,07APD-230,591.89,614.07,-22.18,0
2017-01-11,14,07APD-230,739.9,768.71,-28.81,0
2017-01-11,15,07APD-230,805.69,829.22,-23.54,0
2017-01-11,16,07APD-230,1976.63,2034.79,-58.15,0
2017-01-11,17,07APD-230,936.21,956.58,-20.37,0
2017-01-11,18,07APD-230,2030.29,2071.31,-41.02,0
2017-01-11,19,07APD-230,1673.71,1695.72,-22.02,0
2017-01-11,20,07APD-230,911.37,926.3,-14.93,0
2017-01-11,21,07APD-230,1948.02,2006.02,-58,0
2017-01-11,22,07APD-230,2095.29,2146.63,-51.34,0
2017-01-11,23,07APD-230,805.15,829.28,-24.12,0
2017-01-11,24,07APD-230,7468.9,7547.12,-78.22,0
2017-01-11,1,07CAE-69,835.4,829.34,6.06,0
2017-01-11,2,07CAE-69,966.03,958.11,7.92,0
2017-01-11,3,07CAE-69,1064.03,1055,9.02,0
2017-01-11,4,07CAE-69,999.1,990.53,8.58,0
2017-01-11,5,07CAE-69,1031.38,1022.64,8.74,0
2017-01-11,6,07CAE-69,868.66,861.8,6.86,0
2017-01-11,7,07CAE-69,609.88,605.38,4.5,0
2017-01-11,8,07CAE-69,651.42,647.17,4.26,0
2017-01-11,9,07CAE-69,651.92,647.61,4.31,0
2017-01-11,10,07CAE-69,797.36,792.18,5.18,0
2017-01-11,11,07CAE-69,615.5,611.3,4.2,0
2017-01-11,12,07CAE-69,830,824.44,5.57,0
2017-01-11,13,07CAE-69,618.13,614.07,4.06,0
2017-01-11,14,07CAE-69,773.83,768.71,5.12,0
2017-01-11,15,07CAE-69,835.35,829.22,6.13,0
2017-01-11,16,07CAE-69,2050.41,2034.79,15.62,0
2017-01-11,17,07CAE-69,964.12,956.58,7.55,0
2017-01-11,18,07CAE-69,2088.67,2071.31,17.36,0
2017-01-11,19,07CAE-69,1710.84,1695.72,15.12,0
2017-01-11,20,07CAE-69,933.9,926.3,7.6,0
2017-01-11,21,07CAE-69,2019.44,2006.02,13.42,0
2017-01-11,22,07CAE-69,2161.04,2146.63,14.41,0
2017-01-11,23,07CAE-69,834.05,829.28,4.77,0
2017-01-11,24,07CAE-69,7606.33,7547.12,59.21,0
2017-01-11,1,07CES-69,835.56,829.34,6.23,0
2017-01-11,2,07CES-69,966.37,958.11,8.26,0
2017-01-11,3,07CES-69,1064.55,1055,9.55,0
2017-01-11,4,07CES-69,999.6,990.53,9.08,0
2017-01-11,5,07CES-69,1031.8,1022.64,9.16,0
2017-01-11,6,07CES-69,868.9,861.8,7.1,0
2017-01-11,7,07CES-69,609.97,605.38,4.6,0
2017-01-11,8,07CES-69,651.43,647.17,4.27,0
2017-01-11,9,07CES-69,651.91,647.61,4.3,0
2017-01-11,10,07CES-69,797.31,792.18,5.13,0
2017-01-11,11,07CES-69,615.49,611.3,4.18,0
2017-01-11,12,07CES-69,829.99,824.44,5.55,0
2017-01-11,13,07CES-69,618.2,614.07,4.13,0
2017-01-11,14,07CES-69,773.87,768.71,5.15,0
2017-01-11,15,07CES-69,835.46,829.22,6.23,0
2017-01-11,16,07CES-69,2050.72,2034.79,15.94,0
2017-01-11,17,07CES-69,964.14,956.58,7.56,0
2017-01-11,18,07CES-69,2087.86,2071.31,16.55,0
2017-01-11,19,07CES-69,1709.66,1695.72,13.94,0
2017-01-11,20,07CES-69,933.22,926.3,6.92,0
2017-01-11,21,07CES-69,2017.67,2006.02,11.65,0
2017-01-11,22,07CES-69,2159.66,2146.63,13.03,0
2017-01-11,23,07CES-69,833.65,829.28,4.38,0
2017-01-11,24,07CES-69,7606.99,7547.12,59.87,0
2017-01-11,1,07CHQ-230,811.37,829.34,-17.97,0
2017-01-11,2,07CHQ-230,944.2,958.11,-13.91,0
2017-01-11,3,07CHQ-230,1041.23,1055,-13.77,0
2017-01-11,4,07CHQ-230,977.4,990.53,-13.12,0
2017-01-11,5,07CHQ-230,1013.77,1022.64,-8.87,0
2017-01-11,6,07CHQ-230,852.11,861.8,-9.69,0
2017-01-11,7,07CHQ-230,592.93,605.38,-12.44,0
2017-01-11,8,07CHQ-230,624.58,647.17,-22.59,0
2017-01-11,9,07CHQ-230,625.48,647.61,-22.13,0
2017-01-11,10,07CHQ-230,762.12,792.18,-30.07,0
2017-01-11,11,07CHQ-230,586.82,611.3,-24.49,0
2017-01-11,12,07CHQ-230,789.41,824.44,-35.03,0
2017-01-11,13,07CHQ-230,588.72,614.07,-25.35,0
2017-01-11,14,07CHQ-230,735.92,768.71,-32.8,0
2017-01-11,15,07CHQ-230,801.46,829.22,-27.77,0
2017-01-11,16,07CHQ-230,1966.35,2034.79,-68.44,0
2017-01-11,17,07CHQ-230,931.46,956.58,-25.12,0
2017-01-11,18,07CHQ-230,2020.32,2071.31,-50.99,0
2017-01-11,19,07CHQ-230,1665.62,1695.72,-30.11,0
2017-01-11,20,07CHQ-230,906.86,926.3,-19.44,0
2017-01-11,21,07CHQ-230,1937.94,2006.02,-68.08,0
2017-01-11,22,07CHQ-230,2084.07,2146.63,-62.55,0
2017-01-11,23,07CHQ-230,800.69,829.28,-28.58,0
2017-01-11,24,07CHQ-230,7429.69,7547.12,-117.43,0
