Fecha,Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
2017-02-01,1,07ACU-115,446.78,444.45,2.34,0
2017-02-01,2,07ACU-115,615.53,609.9,5.63,0
2017-02-01,3,07ACU-115,621.02,615.12,5.91,0
2017-02-01,4,07ACU-115,625.96,620.03,5.93,0
2017-02-01,5,07ACU-115,617.7,612.33,5.37,0
2017-02-01,6,07ACU-115,617.87,612.22,5.64,0
2017-02-01,7,07ACU-115,618.23,612.64,5.59,0
2017-02-01,8,07ACU-115,624.99,619,5.99,0
2017-02-01,9,07ACU-115,630.35,625.77,4.58,0
2017-02-01,10,07ACU-115,470.91,468.58,2.33,0
2017-02-01,11,07ACU-115,476.34,473.98,2.36,0
2017-02-01,12,07ACU-115,483.75,481.76,1.99,0
2017-02-01,13,07ACU-115,489.85,488.06,1.8,0
2017-02-01,14,07ACU-115,621.4,618.71,2.7,0
2017-02-01,15,07ACU-115,620.11,617.42,2.7,0
2017-02-01,16,07ACU-115,620.63,617.81,2.82,0
2017-02-01,17,07ACU-115,617.19,614.52,2.67,0
2017-02-01,18,07ACU-115,627.74,624.52,3.23,0
2017-02-01,19,07ACU-115,629.22,625.94,3.29,0
2017-02-01,20,07ACU-115,626.56,623.42,3.13,0
2017-02-01,21,07ACU-115,630,626.68,3.32,0
2017-02-01,22,07ACU-115,613.32,610.95,2.37,0
2017-02-01,23,07ACU-115,471.88,470.2,1.68,0
2017-02-01,24,07ACU-115,447.35,445.01,2.34,0
2017-02-01,1,07APD-230,438.18,444.45,-6.26,0
2017-02-01,2,07APD-230,588.14,609.9,-21.76,0
2017-02-01,3,07APD-230,589.49,615.12,-25.62,0
2017-02-01,4,07APD-230,591.71,620.03,-28.31,0
2017-02-01,5,07APD-230,588.21,612.33,-24.12,0
2017-02-01,6,07APD-230,588.82,612.22,-23.41,0
2017-02-01,7,07APD-230,590.1,612.64,-22.54,0
2017-02-01,8,07APD-230,593.73,619,-25.27,0
2017-02-01,9,07APD-230,590.65,625.77,-35.12,0
2017-02-01,10,07APD-230,449.88,468.58,-18.71,0
2017-02-01,11,07APD-230,451.87,473.98,-22.11,0
2017-02-01,12,07APD-230,470.71,481.76,-11.05,0
2017-02-01,13,07APD-230,478.08,488.06,-9.97,0
2017-02-01,14,07APD-230,597.63,618.71,-21.08,0
2017-02-01,15,07APD-230,597.13,617.42,-20.29,0
2017-02-01,16,07APD-230,597.3,617.81,-20.51,0
2017-02-01,17,07APD-230,596.83,614.52,-17.69,0
2017-02-01,18,07APD-230,604.42,624.52,-20.09,0
2017-02-01,19,07APD-230,605.52,625.94,-20.42,0
2017-02-01,20,07APD-230,605.64,623.42,-17.79,0
2017-02-01,21,07APD-230,605.66,626.68,-21.02,0
2017-02-01,22,07APD-230,594.92,610.95,-16.03,0
2017-02-01,23,07APD-230,457.42,470.2,-12.78,0
2017-02-01,24,07APD-230,432.92,445.01,-12.09,0
2017-02-01,1,07CAE-69,447.35,444.45,2.91,0
2017-02-01,2,07CAE-69,612.8,609.9,2.9,0
2017-02-01,3,07CAE-69,617.76,615.12,2.65,0
2017-02-01,4,07CAE-69,622.67,620.03,2.64,0
2017-02-01,5,07CAE-69,615.35,612.33,3.03,0
2017-02-01,6,07CAE-69,615.26,612.22,3.04,0
2017-02-01,7,07CAE-69,615.75,612.64,3.1,0
2017-02-01,8,07CAE-69,622.03,619,3.03,0
2017-02-01,9,07CAE-69,629.71,625.77,3.94,0
2017-02-01,10,07CAE-69,472.03,468.58,3.44,0
2017-02-01,11,07CAE-69,477.54,473.98,3.56,0
2017-02-01,12,07CAE-69,485.57,481.76,3.82,0
2017-02-01,13,07CAE-69,491.81,488.06,3.75,0
2017-02-01,14,07CAE-69,622.75,618.71,4.05,0
2017-02-01,15,07CAE-69,621.6,617.42,4.18,0
2017-02-01,16,07CAE-69,621.96,617.81,4.15,0
2017-02-01,17,07CAE-69,618.78,614.52,4.26,0
2017-02-01,18,07CAE-69,628.74,624.52,4.23,0
2017-02-01,19,07CAE-69,630.48,625.94,4.55,0
2017-02-01,20,07CAE-69,628.1,623.42,4.67,0
2017-02-01,21,07CAE-69,631.06,626.68,4.38,0
2017-02-01,22,07CAE-69,615.53,610.95,4.58,0
2017-02-01,23,07CAE-69,473.49,470.2,3.29,0
2017-02-01,24,07CAE-69,447.66,445.01,2.65,0
2017-02-01,1,07CES-69,447.61,444.45,3.16,0
2017-02-01,2,07CES-69,612.72,609.9,2.82,0
2017-02-01,3,07CES-69,617.64,615.12,2.52,0
2017-02-01,4,07CES-69,622.51,620.03,2.48,0
2017-02-01,5,07CES-69,615.21,612.33,2.88,0
2017-02-01,6,07CES-69,615.03,612.22,2.8,0
2017-02-01,7,07CES-69,615.51,612.64,2.86,0
2017-02-01,8,07CES-69,621.76,619,2.76,0
2017-02-01,9,07CES-69,629.6,625.77,3.83,0
2017-02-01,10,07CES-69,472.05,468.58,3.47,0
2017-02-01,11,07CES-69,477.59,473.98,3.61,0
2017-02-01,12,07CES-69,485.66,481.76,3.91,0
2017-02-01,13,07CES-69,491.97,488.06,3.92,0
2017-02-01,14,07CES-69,622.87,618.71,4.17,0
2017-02-01,15,07CES-69,621.66,617.42,4.24,0
2017-02-01,16,07CES-69,621.9,617.81,4.09,0
2017-02-01,17,07CES-69,618.74,614.52,4.22,0
2017-02-01,18,07CES-69,628.58,624.52,4.06,0
2017-02-01,19,07CES-69,630.15,625.94,4.21,0
2017-02-01,20,07CES-69,627.72,623.42,4.3,0
2017-02-01,21,07CES-69,630.72,626.68,4.04,0
2017-02-01,22,07CES-69,615.34,610.95,4.38,0
2017-02-01,23,07CES-69,473.43,470.2,3.24,0
2017-02-01,24,07CES-69,447.64,445.01,2.63,0
2017-02-01,1,07CHQ-230,436.28,444.45,-8.16,0
2017-02-01,2,07CHQ-230,585.59,609.9,-24.31,0
2017-02-01,3,07CHQ-230,586.95,615.12,-28.16,0
2017-02-01,4,07CHQ-230,589.17,620.03,-30.86,0
2017-02-01,5,07CHQ-230,585.71,612.33,-26.62,0
2017-02-01,6,07CHQ-230,586.33,612.22,-25.9,0
2017-02-01,7,07CHQ-230,587.49,612.64,-25.15,0
2017-02-01,8,07CHQ-230,591.09,619,-27.91,0
2017-02-01,9,07CHQ-230,588.1,625.77,-37.67,0
2017-02-01,10,07CHQ-230,448.05,468.58,-20.53,0
2017-02-01,11,07CHQ-230,450.08,473.98,-23.9,0
2017-02-01,12,07CHQ-230,468.88,481.76,-12.88,0
2017-02-01,13,07CHQ-230,476.23,488.06,-11.83,0
2017-02-01,14,07CHQ-230,595.37,618.71,-23.34,0
2017-02-01,15,07CHQ-230,594.88,617.42,-22.53,0
2017-02-01,16,07CHQ-230,595.08,617.81,-22.73,0
2017-02-01,17,07CHQ-230,594.66,614.52,-19.85,0
2017-02-01,18,07CHQ-230,602.33,624.52,-22.19,0
2017-02-01,19,07CHQ-230,603.46,625.94,-22.48,0
2017-02-01,20,07CHQ-230,603.62,623.42,-19.81,0
2017-02-01,21,07CHQ-230,603.53,626.68,-23.15,0
2017-02-01,22,07CHQ-230,592.7,610.95,-18.26,0
2017-02-01,23,07CHQ-230,455.6,470.2,-14.6,0
2017-02-01,24,07CHQ-230,431.15,445.01,-13.86,0
2017-02-01,1,07CIP-115,446.78,444.45,2.34,0
2017-02-01,2,07CIP-115,617.33,609.9,7.43,0
2017-02-01,3,07CIP-115,623.02,615.12,7.91,0
2017-02-01,4,07CIP-115,627.96,620.03,7.93,0
2017-02-01,5,07CIP-115,620.19,612.33,7.87,0
2017-02-01,6,07CIP-115,620.43,612.22,8.2,0
2017-02-01,7,07CIP-115,620.61,612.64,7.97,0
2017-02-01,8,07CIP-115,626.72,619,7.72,0
2017-02-01,9,07CIP-115,630.88,625.77,5.11,0
2017-02-01,10,07CIP-115,470.85,468.58,2.27,0
2017-02-01,11,07CIP-115,476.16,473.98,2.18,0
2017-02-01,12,07CIP-115,483.32,481.76,1.56,0
2017-02-01,13,07CIP-115,489.07,488.06,1.01,0
2017-02-01,14,07CIP-115,620.66,618.71,1.96,0
2017-02-01,15,07CIP-115,619.36,617.42,1.95,0
2017-02-01,16,07CIP-115,619.96,617.81,2.15,0
2017-02-01,17,07CIP-115,616.39,614.52,1.88,0
2017-02-01,18,07CIP-115,627.05,624.52,2.54,0
2017-02-01,19,07CIP-115,628.68,625.94,2.75,0
2017-02-01,20,07CIP-115,625.92,623.42,2.5,0
2017-02-01,21,07CIP-115,629.14,626.68,2.46,0
2017-02-01,22,07CIP-115,612.85,610.95,1.9,0
2017-02-01,23,07CIP-115,471.59,470.2,1.39,0
2017-02-01,24,07CIP-115,447.44,445.01,2.43,0
2017-02-01,1,07CME-115,447.22,444.45,2.78,0
