Fecha,Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
2017-06-01,1,07ACU-115,490.2,487.6,2.61,0
2017-06-01,2,07ACU-115,485.51,483.07,2.44,0
2017-06-01,3,07ACU-115,487.11,484.8,2.31,0
2017-06-01,4,07ACU-115,485.52,483.28,2.24,0
2017-06-01,5,07ACU-115,488.97,486.87,2.1,0
2017-06-01,6,07ACU-115,490.98,488.68,2.3,0
2017-06-01,7,07ACU-115,489.8,487.16,2.64,0
2017-06-01,8,07ACU-115,492.98,490.04,2.94,0
2017-06-01,9,07ACU-115,503.27,499.98,3.29,0
2017-06-01,10,07ACU-115,505.57,502.09,3.48,0
2017-06-01,11,07ACU-115,512.16,508.39,3.77,0
2017-06-01,12,07ACU-115,561.95,558.16,3.78,0
2017-06-01,13,07ACU-115,557.2,553.78,3.42,0
2017-06-01,14,07ACU-115,696.97,693.16,3.82,0
2017-06-01,15,07ACU-115,697.06,692.97,4.09,0
2017-06-01,16,07ACU-115,506.99,504.42,2.57,0
2017-06-01,17,07ACU-115,502.08,499.73,2.35,0
2017-06-01,18,07ACU-115,707.77,703.32,4.46,0
2017-06-01,19,07ACU-115,702.34,697.98,4.37,0
2017-06-01,20,07ACU-115,697.72,693.04,4.68,0
2017-06-01,21,07ACU-115,505.46,502.01,3.46,0
2017-06-01,22,07ACU-115,697.67,692.84,4.83,0
2017-06-01,23,07ACU-115,495.47,492.37,3.11,0
2017-06-01,24,07ACU-115,491.47,488.53,2.94,0
2017-06-01,1,07APD-230,491.47,487.6,3.87,0
2017-06-01,2,07APD-230,486.27,483.07,3.2,0
2017-06-01,3,07APD-230,487.51,484.8,2.71,0
2017-06-01,4,07APD-230,485.19,483.28,1.92,0
2017-06-01,5,07APD-230,486.35,486.87,-.52,0
2017-06-01,6,07APD-230,486.55,488.68,-2.12,0
2017-06-01,7,07APD-230,484.38,487.16,-2.78,0
2017-06-01,8,07APD-230,484.56,490.04,-5.48,0
2017-06-01,9,07APD-230,490.87,499.98,-9.1,0
2017-06-01,10,07APD-230,491.72,502.09,-10.37,0
2017-06-01,11,07APD-230,495.74,508.39,-12.65,0
2017-06-01,12,07APD-230,546.61,558.16,-11.55,0
2017-06-01,13,07APD-230,545.72,553.78,-8.06,0
2017-06-01,14,07APD-230,684.58,693.16,-8.58,0
2017-06-01,15,07APD-230,685.86,692.97,-7.11,0
2017-06-01,16,07APD-230,501.18,504.42,-3.24,0
2017-06-01,17,07APD-230,499.25,499.73,-.48,0
2017-06-01,18,07APD-230,700.23,703.32,-3.08,0
2017-06-01,19,07APD-230,698.1,697.98,.13,0
2017-06-01,20,07APD-230,693.61,693.04,.57,0
2017-06-01,21,07APD-230,500.46,502.01,-1.55,0
2017-06-01,22,07APD-230,692.33,692.84,-.51,0
2017-06-01,23,07APD-230,494.65,492.37,2.29,0
2017-06-01,24,07APD-230,492.49,488.53,3.97,0
2017-06-01,1,07BJO-69,496.04,487.6,8.45,0
2017-06-01,2,07BJO-69,490.82,483.07,7.75,0
2017-06-01,3,07BJO-69,492.44,484.8,7.64,0
2017-06-01,4,07BJO-69,490.92,483.28,7.65,0
2017-06-01,5,07BJO-69,499.15,486.87,12.29,0
2017-06-01,6,07BJO-69,500.91,488.68,12.23,0
2017-06-01,7,07BJO-69,494.68,487.16,7.51,0
2017-06-01,8,07BJO-69,498.95,490.04,8.91,0
2017-06-01,9,07BJO-69,509.33,499.98,9.35,0
2017-06-01,10,07BJO-69,508.6,502.09,6.51,0
2017-06-01,11,07BJO-69,514.54,508.39,6.15,0
2017-06-01,12,07BJO-69,565.47,558.16,7.31,0
2017-06-01,13,07BJO-69,561.77,553.78,8,0
2017-06-01,14,07BJO-69,703.41,693.16,10.25,0
2017-06-01,15,07BJO-69,703.35,692.97,10.38,0
2017-06-01,16,07BJO-69,512.52,504.42,8.1,0
2017-06-01,17,07BJO-69,508.11,499.73,8.38,0
2017-06-01,18,07BJO-69,713.7,703.32,10.38,0
2017-06-01,19,07BJO-69,708.6,697.98,10.62,0
