Fecha,Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
2017-03-16,1,07ACU-115,507.35,505.79,1.56,0
2017-03-16,2,07ACU-115,479.84,478.1,1.75,0
2017-03-16,3,07ACU-115,466.2,464.06,2.15,0
2017-03-16,4,07ACU-115,466.2,464.1,2.1,0
2017-03-16,5,07ACU-115,466.2,464.08,2.12,0
2017-03-16,6,07ACU-115,466.24,463.98,2.26,0
2017-03-16,7,07ACU-115,492.21,490.58,1.63,0
2017-03-16,8,07ACU-115,524.28,521.5,2.79,0
2017-03-16,9,07ACU-115,508,506.22,1.78,0
2017-03-16,10,07ACU-115,508.79,506.96,1.83,0
2017-03-16,11,07ACU-115,517.08,515.03,2.05,0
2017-03-16,12,07ACU-115,523.25,521.38,1.87,0
2017-03-16,13,07ACU-115,522.2,520.36,1.85,0
2017-03-16,14,07ACU-115,527.64,525.86,1.78,0
2017-03-16,15,07ACU-115,578.22,576.23,1.99,0
2017-03-16,16,07ACU-115,516.03,513.78,2.26,0
2017-03-16,17,07ACU-115,512.86,510.72,2.14,0
2017-03-16,18,07ACU-115,512.22,509.89,2.33,0
2017-03-16,19,07ACU-115,506.68,504.72,1.96,0
2017-03-16,20,07ACU-115,512.48,510.02,2.46,0
2017-03-16,21,07ACU-115,512.1,509.58,2.52,0
2017-03-16,22,07ACU-115,513.5,510.92,2.58,0
2017-03-16,23,07ACU-115,506.66,504.29,2.37,0
2017-03-16,24,07ACU-115,511.36,509.42,1.94,0
2017-03-16,1,07APD-230,508.11,505.79,2.32,0
2017-03-16,2,07APD-230,479.32,478.1,1.22,0
2017-03-16,3,07APD-230,462.91,464.06,-1.15,0
2017-03-16,4,07APD-230,463.67,464.1,-.43,0
2017-03-16,5,07APD-230,462.95,464.08,-1.14,0
2017-03-16,6,07APD-230,461.99,463.98,-1.99,0
2017-03-16,7,07APD-230,491.05,490.58,.47,0
2017-03-16,8,07APD-230,512.5,521.5,-9,0
2017-03-16,9,07APD-230,506.24,506.22,.02,0
2017-03-16,10,07APD-230,507.31,506.96,.35,0
2017-03-16,11,07APD-230,513.24,515.03,-1.79,0
2017-03-16,12,07APD-230,518.72,521.38,-2.66,0
2017-03-16,13,07APD-230,519.34,520.36,-1.02,0
2017-03-16,14,07APD-230,523.31,525.86,-2.55,0
2017-03-16,15,07APD-230,574.06,576.23,-2.17,0
2017-03-16,16,07APD-230,518.97,513.78,5.19,0
2017-03-16,17,07APD-230,517.46,510.72,6.74,0
2017-03-16,18,07APD-230,517.2,509.89,7.31,0
2017-03-16,19,07APD-230,514.26,504.72,9.53,0
2017-03-16,20,07APD-230,517.67,510.02,7.65,0
2017-03-16,21,07APD-230,516.92,509.58,7.34,0
2017-03-16,22,07APD-230,518.5,510.92,7.58,0
2017-03-16,23,07APD-230,512.79,504.29,8.5,0
2017-03-16,24,07APD-230,513.64,509.42,4.22,0
2017-03-16,1,07BJO-69,514.21,505.79,8.41,0
2017-03-16,2,07BJO-69,485.61,478.1,7.51,0
2017-03-16,3,07BJO-69,470.86,464.06,6.8,0
2017-03-16,4,07BJO-69,471.1,464.1,7,0
2017-03-16,5,07BJO-69,471.42,464.08,7.34,0
2017-03-16,6,07BJO-69,471.39,463.98,7.41,0
2017-03-16,7,07BJO-69,499.26,490.58,8.68,0
2017-03-16,8,07BJO-69,529.28,521.5,7.78,0
2017-03-16,9,07BJO-69,515.97,506.22,9.76,0
2017-03-16,10,07BJO-69,516.71,506.96,9.75,0
2017-03-16,11,07BJO-69,524.82,515.03,9.79,0
2017-03-16,12,07BJO-69,531.21,521.38,9.84,0
2017-03-16,13,07BJO-69,530.89,520.36,10.54,0
2017-03-16,14,07BJO-69,536,525.86,10.14,0
2017-03-16,15,07BJO-69,587.01,576.23,10.78,0
2017-03-16,16,07BJO-69,524.87,513.78,11.1,0
2017-03-16,17,07BJO-69,521.7,510.72,10.98,0
2017-03-16,18,07BJO-69,520.47,509.89,10.59,0
2017-03-16,19,07BJO-69,515.7,504.72,10.98,0
2017-03-16,20,07BJO-69,521.1,510.02,11.08,0
2017-03-16,21,07BJO-69,520.62,509.58,11.04,0
2017-03-16,22,07BJO-69,521.55,510.92,10.63,0
2017-03-16,23,07BJO-69,514.89,504.29,10.6,0
2017-03-16,24,07BJO-69,518.87,509.42,9.45,0
2017-03-16,1,07CAE-69,509.29,505.79,3.49,0
2017-03-16,2,07CAE-69,481.16,478.1,3.06,0
2017-03-16,3,07CAE-69,466.83,464.06,2.77,0
2017-03-16,4,07CAE-69,466.92,464.1,2.82,0
2017-03-16,5,07CAE-69,466.92,464.08,2.84,0
2017-03-16,6,07CAE-69,466.8,463.98,2.82,0
2017-03-16,7,07CAE-69,493.92,490.58,3.34,0
2017-03-16,8,07CAE-69,524.64,521.5,3.15,0
2017-03-16,9,07CAE-69,510.12,506.22,3.9,0
2017-03-16,10,07CAE-69,510.95,506.96,3.99,0
2017-03-16,11,07CAE-69,519.11,515.03,4.08,0
2017-03-16,12,07CAE-69,525.48,521.38,4.11,0
2017-03-16,13,07CAE-69,524.45,520.36,4.09,0
2017-03-16,14,07CAE-69,529.97,525.86,4.11,0
2017-03-16,15,07CAE-69,580.83,576.23,4.6,0
2017-03-16,16,07CAE-69,518.42,513.78,4.65,0
2017-03-16,17,07CAE-69,515.33,510.72,4.6,0
2017-03-16,18,07CAE-69,514.37,509.89,4.49,0
2017-03-16,19,07CAE-69,509.34,504.72,4.61,0
2017-03-16,20,07CAE-69,514.85,510.02,4.83,0
2017-03-16,21,07CAE-69,514.39,509.58,4.81,0
2017-03-16,22,07CAE-69,515.57,510.92,4.66,0
2017-03-16,23,07CAE-69,508.69,504.29,4.4,0
2017-03-16,24,07CAE-69,513.22,509.42,3.8,0
2017-03-16,1,07CES-69,509.29,505.79,3.5,0
2017-03-16,2,07CES-69,481.19,478.1,3.09,0
2017-03-16,3,07CES-69,466.85,464.06,2.79,0
2017-03-16,4,07CES-69,466.93,464.1,2.83,0
2017-03-16,5,07CES-69,466.89,464.08,2.81,0
2017-03-16,6,07CES-69,466.74,463.98,2.76,0
2017-03-16,7,07CES-69,494.33,490.58,3.75,0
2017-03-16,8,07CES-69,525.12,521.5,3.62,0
2017-03-16,9,07CES-69,510.72,506.22,4.5,0
2017-03-16,10,07CES-69,511.48,506.96,4.52,0
2017-03-16,11,07CES-69,519.46,515.03,4.44,0
2017-03-16,12,07CES-69,525.84,521.38,4.46,0
2017-03-16,13,07CES-69,524.84,520.36,4.48,0
2017-03-16,14,07CES-69,530.38,525.86,4.52,0
2017-03-16,15,07CES-69,581.13,576.23,4.9,0
2017-03-16,16,07CES-69,518.76,513.78,4.98,0
2017-03-16,17,07CES-69,515.78,510.72,5.05,0
2017-03-16,18,07CES-69,514.8,509.89,4.91,0
2017-03-16,19,07CES-69,509.73,504.72,5,0
2017-03-16,20,07CES-69,515.08,510.02,5.06,0
2017-03-16,21,07CES-69,514.58,509.58,5,0
2017-03-16,22,07CES-69,515.78,510.92,4.87,0
2017-03-16,23,07CES-69,508.99,504.29,4.7,0
2017-03-16,24,07CES-69,513.56,509.42,4.14,0
2017-03-16,1,07CHQ-230,506.3,505.79,.51,0
2017-03-16,2,07CHQ-230,477.53,478.1,-.57,0
2017-03-16,3,07CHQ-230,461.09,464.06,-2.96,0
2017-03-16,4,07CHQ-230,461.85,464.1,-2.25,0
2017-03-16,5,07CHQ-230,461.13,464.08,-2.96,0
2017-03-16,6,07CHQ-230,460.16,463.98,-3.82,0
2017-03-16,7,07CHQ-230,489,490.58,-1.58,0
2017-03-16,8,07CHQ-230,510.22,521.5,-11.28,0
2017-03-16,9,07CHQ-230,504.03,506.22,-2.19,0
2017-03-16,10,07CHQ-230,505.13,506.96,-1.83,0
2017-03-16,11,07CHQ-230,510.99,515.03,-4.04,0
2017-03-16,12,07CHQ-230,516.45,521.38,-4.93,0
2017-03-16,13,07CHQ-230,517.11,520.36,-3.24,0
