Fecha,Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
2017-05-01,1,07ACU-115,491.11,489.02,2.09,0
2017-05-01,2,07ACU-115,487.07,485.14,1.93,0
2017-05-01,3,07ACU-115,484.55,482.61,1.94,0
2017-05-01,4,07ACU-115,483.7,481.8,1.9,0
2017-05-01,5,07ACU-115,484.5,482.69,1.81,0
2017-05-01,6,07ACU-115,489.83,487.92,1.91,0
2017-05-01,7,07ACU-115,483.02,481.12,1.9,0
2017-05-01,8,07ACU-115,486.5,484.21,2.29,0
2017-05-01,9,07ACU-115,494.99,492.2,2.79,0
2017-05-01,10,07ACU-115,502.5,500.2,2.31,0
2017-05-01,11,07ACU-115,504.32,502.37,1.95,0
2017-05-01,12,07ACU-115,561.82,558.96,2.86,0
2017-05-01,13,07ACU-115,558.54,556.17,2.37,0
2017-05-01,14,07ACU-115,555.75,553.57,2.19,0
2017-05-01,15,07ACU-115,553.94,552.15,1.79,0
2017-05-01,16,07ACU-115,723.03,720.18,2.85,0
2017-05-01,17,07ACU-115,745.35,741.65,3.7,0
2017-05-01,18,07ACU-115,751.15,746.7,4.45,0
2017-05-01,19,07ACU-115,740.78,736.33,4.45,0
2017-05-01,20,07ACU-115,746.26,741.61,4.64,0
2017-05-01,21,07ACU-115,1755.09,1750.1,4.99,0
2017-05-01,22,07ACU-115,1709.17,1705.24,3.93,0
2017-05-01,23,07ACU-115,739.76,736.06,3.69,0
2017-05-01,24,07ACU-115,500.08,498.11,1.97,0
2017-05-01,1,07APD-230,487.84,489.02,-1.18,0
2017-05-01,2,07APD-230,484.13,485.14,-1.02,0
2017-05-01,3,07APD-230,481.18,482.61,-1.43,0
2017-05-01,4,07APD-230,479.2,481.8,-2.59,0
2017-05-01,5,07APD-230,479.24,482.69,-3.45,0
2017-05-01,6,07APD-230,480.65,487.92,-7.27,0
2017-05-01,7,07APD-230,474.97,481.12,-6.15,0
2017-05-01,8,07APD-230,478.56,484.21,-5.65,0
2017-05-01,9,07APD-230,484.18,492.2,-8.02,0
2017-05-01,10,07APD-230,489.87,500.2,-10.33,0
2017-05-01,11,07APD-230,492.94,502.37,-9.43,0
2017-05-01,12,07APD-230,546.03,558.96,-12.93,0
2017-05-01,13,07APD-230,546.39,556.17,-9.78,0
2017-05-01,14,07APD-230,546.74,553.57,-6.83,0
2017-05-01,15,07APD-230,548.01,552.15,-4.14,0
2017-05-01,16,07APD-230,720.2,720.18,.02,0
2017-05-01,17,07APD-230,743.38,741.65,1.73,0
2017-05-01,18,07APD-230,750.01,746.7,3.31,0
2017-05-01,19,07APD-230,736.8,736.33,.46,0
2017-05-01,20,07APD-230,740.4,741.61,-1.21,0
2017-05-01,21,07APD-230,1786.13,1750.1,36.04,0
2017-05-01,22,07APD-230,1743.88,1705.24,38.64,0
2017-05-01,23,07APD-230,734.52,736.06,-1.54,0
2017-05-01,24,07APD-230,497.34,498.11,-.78,0
2017-05-01,1,07BJO-69,493.29,489.02,4.26,0
2017-05-01,2,07BJO-69,489.59,485.14,4.45,0
2017-05-01,3,07BJO-69,487,482.61,4.39,0
2017-05-01,4,07BJO-69,486.06,481.8,4.27,0
2017-05-01,5,07BJO-69,486.96,482.69,4.27,0
2017-05-01,6,07BJO-69,491.57,487.92,3.65,0
2017-05-01,7,07BJO-69,485.06,481.12,3.94,0
2017-05-01,8,07BJO-69,488.66,484.21,4.44,0
2017-05-01,9,07BJO-69,496.33,492.2,4.13,0
2017-05-01,10,07BJO-69,504.28,500.2,4.09,0
2017-05-01,11,07BJO-69,507.03,502.37,4.65,0
2017-05-01,12,07BJO-69,563.18,558.96,4.23,0
2017-05-01,13,07BJO-69,561.12,556.17,4.94,0
2017-05-01,14,07BJO-69,559.14,553.57,5.57,0
2017-05-01,15,07BJO-69,558.17,552.15,6.03,0
2017-05-01,16,07BJO-69,729.06,720.18,8.89,0
2017-05-01,17,07BJO-69,751.2,741.65,9.55,0
2017-05-01,18,07BJO-69,756.55,746.7,9.85,0
2017-05-01,19,07BJO-69,745.53,736.33,9.2,0
2017-05-01,20,07BJO-69,751.35,741.61,9.73,0
2017-05-01,21,07BJO-69,1780.8,1750.1,30.7,0
2017-05-01,22,07BJO-69,1734.67,1705.24,29.43,0
2017-05-01,23,07BJO-69,744.62,736.06,8.56,0
2017-05-01,24,07BJO-69,503.64,498.11,5.52,0
2017-05-01,1,07CAE-69,491.26,489.02,2.23,0
2017-05-01,2,07CAE-69,487.28,485.14,2.13,0
2017-05-01,3,07CAE-69,484.64,482.61,2.03,0
2017-05-01,4,07CAE-69,483.82,481.8,2.02,0
2017-05-01,5,07CAE-69,484.71,482.69,2.02,0
2017-05-01,6,07CAE-69,489.67,487.92,1.75,0
2017-05-01,7,07CAE-69,482.79,481.12,1.67,0
2017-05-01,8,07CAE-69,485.91,484.21,1.69,0
2017-05-01,9,07CAE-69,493.82,492.2,1.62,0
2017-05-01,10,07CAE-69,501.92,500.2,1.72,0
2017-05-01,11,07CAE-69,504.83,502.37,2.46,0
2017-05-01,12,07CAE-69,561.55,558.96,2.59,0
2017-05-01,13,07CAE-69,559.01,556.17,2.84,0
2017-05-01,14,07CAE-69,556.67,553.57,3.1,0
2017-05-01,15,07CAE-69,555.43,552.15,3.29,0
2017-05-01,16,07CAE-69,724.95,720.18,4.77,0
2017-05-01,17,07CAE-69,746.74,741.65,5.09,0
2017-05-01,18,07CAE-69,751.84,746.7,5.15,0
2017-05-01,19,07CAE-69,741.25,736.33,4.91,0
2017-05-01,20,07CAE-69,746.91,741.61,5.3,0
2017-05-01,21,07CAE-69,1768.54,1750.1,18.44,0
2017-05-01,22,07CAE-69,1719.23,1705.24,13.99,0
2017-05-01,23,07CAE-69,740.25,736.06,4.19,0
2017-05-01,24,07CAE-69,500.62,498.11,2.51,0
2017-05-01,1,07CES-69,490.96,489.02,1.93,0
2017-05-01,2,07CES-69,487.04,485.14,1.9,0
2017-05-01,3,07CES-69,484.47,482.61,1.86,0
2017-05-01,4,07CES-69,483.63,481.8,1.84,0
2017-05-01,5,07CES-69,484.52,482.69,1.83,0
2017-05-01,6,07CES-69,489.43,487.92,1.51,0
2017-05-01,7,07CES-69,482.61,481.12,1.49,0
