Fecha,Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
2017-04-01,1,07ASJ-115,1570.09,1531.17,38.92,0
2017-04-01,2,07ASJ-115,1748.95,1705.52,43.43,0
2017-04-01,3,07ASJ-115,1726.53,1685.15,41.39,0
2017-04-01,4,07ASJ-115,1657.12,1617.87,39.26,0
2017-04-01,5,07ASJ-115,1657.12,1617.87,39.26,0
2017-04-01,6,07ASJ-115,1659.92,1620.39,39.53,0
2017-04-01,7,07ASJ-115,1399.1,1365.04,34.06,0
2017-04-01,8,07ASJ-115,1688.25,1643.71,44.54,0
2017-04-01,9,07ASJ-115,1730.13,1680.65,49.48,0
2017-04-01,10,07ASJ-115,1970.03,1871.6,98.43,0
2017-04-01,11,07ASJ-115,2063.01,1956.81,106.2,0
2017-04-01,12,07ASJ-115,1849.82,1751.94,97.89,0
2017-04-01,13,07ASJ-115,1869.71,1770.44,99.27,0
2017-04-01,14,07ASJ-115,1908.28,1806.95,101.33,0
2017-04-01,15,07ASJ-115,1908.28,1806.95,101.33,0
2017-04-01,16,07ASJ-115,1829.72,1770.28,59.44,0
2017-04-01,17,07ASJ-115,1737.89,1680.94,56.94,0
2017-04-01,18,07ASJ-115,1729.03,1675.26,53.77,0
2017-04-01,19,07ASJ-115,2056.09,1992.1,64,0
2017-04-01,20,07ASJ-115,2200.93,2128.95,71.99,0
2017-04-01,21,07ASJ-115,2192.88,2122.17,70.72,0
2017-04-01,22,07ASJ-115,2088.52,2024.27,64.25,0
2017-04-01,23,07ASJ-115,2013.8,1954.36,59.44,0
2017-04-01,24,07ASJ-115,1887.12,1835.68,51.44,0
2017-04-01,1,07BLE-115,1534.67,1531.17,3.5,0
2017-04-01,2,07BLE-115,1706.62,1705.52,1.1,0
2017-04-01,3,07BLE-115,1686.61,1685.15,1.47,0
2017-04-01,4,07BLE-115,1619.26,1617.87,1.4,0
2017-04-01,5,07BLE-115,1619.26,1617.87,1.4,0
2017-04-01,6,07BLE-115,1621.72,1620.39,1.33,0
2017-04-01,7,07BLE-115,1365.58,1365.04,.54,0
2017-04-01,8,07BLE-115,1645.43,1643.71,1.72,0
2017-04-01,9,07BLE-115,1682.1,1680.65,1.46,0
2017-04-01,10,07BLE-115,1872.17,1871.6,.57,0
2017-04-01,11,07BLE-115,1957.27,1956.81,.46,0
2017-04-01,12,07BLE-115,1749.43,1751.94,-2.5,0
2017-04-01,13,07BLE-115,1767.83,1770.44,-2.61,0
2017-04-01,14,07BLE-115,1804.33,1806.95,-2.62,0
2017-04-01,15,07BLE-115,1804.33,1806.95,-2.62,0
2017-04-01,16,07BLE-115,1768.92,1770.28,-1.36,0
2017-04-01,17,07BLE-115,1686.47,1680.94,5.52,0
2017-04-01,18,07BLE-115,1684.31,1675.26,9.05,0
2017-04-01,19,07BLE-115,1993.8,1992.1,1.71,0
2017-04-01,20,07BLE-115,2129.22,2128.95,.27,0
2017-04-01,21,07BLE-115,2123,2122.17,.83,0
2017-04-01,22,07BLE-115,2026.71,2024.27,2.44,0
2017-04-01,23,07BLE-115,1956.74,1954.36,2.37,0
2017-04-01,24,07BLE-115,1837.21,1835.68,1.52,0
2017-04-01,1,07CAB-115,1573.91,1531.17,42.74,0
2017-04-01,2,07CAB-115,1754.43,1705.52,48.91,0
2017-04-01,3,07CAB-115,1731.69,1685.15,46.55,0
2017-04-01,4,07CAB-115,1661.97,1617.87,44.1,0
2017-04-01,5,07CAB-115,1661.97,1617.87,44.1,0
2017-04-01,6,07CAB-115,1664.75,1620.39,44.36,0
2017-04-01,7,07CAB-115,1403.52,1365.04,38.49,0
2017-04-01,8,07CAB-115,1693.48,1643.71,49.77,0
2017-04-01,9,07CAB-115,1735.67,1680.65,55.02,0
2017-04-01,10,07CAB-115,1980.52,1871.6,108.93,0
2017-04-01,11,07CAB-115,2074.32,1956.81,117.51,0
2017-04-01,12,07CAB-115,1860.17,1751.94,108.24,0
2017-04-01,13,07CAB-115,1880.31,1770.44,109.87,0
2017-04-01,14,07CAB-115,1919,1806.95,112.05,0
2017-04-01,15,07CAB-115,1919,1806.95,112.05,0
2017-04-01,16,07CAB-115,1836.31,1770.28,66.03,0
2017-04-01,17,07CAB-115,1743.63,1680.94,62.69,0
2017-04-01,18,07CAB-115,1733.94,1675.26,58.68,0
2017-04-01,19,07CAB-115,2063.61,1992.1,71.52,0
2017-04-01,20,07CAB-115,2209.79,2128.95,80.85,0
2017-04-01,21,07CAB-115,2201.56,2122.17,79.39,0
2017-04-01,22,07CAB-115,2096.02,2024.27,71.76,0
2017-04-01,23,07CAB-115,2021.22,1954.36,66.86,0
2017-04-01,24,07CAB-115,1893.57,1835.68,57.89,0
2017-04-01,1,07CAD-115,1573.36,1531.17,42.19,0
2017-04-01,2,07CAD-115,1754.13,1705.52,48.62,0
2017-04-01,3,07CAD-115,1731.43,1685.15,46.28,0
2017-04-01,4,07CAD-115,1661.71,1617.87,43.84,0
2017-04-01,5,07CAD-115,1661.71,1617.87,43.84,0
2017-04-01,6,07CAD-115,1664.48,1620.39,44.09,0
2017-04-01,7,07CAD-115,1403.26,1365.04,38.22,0
2017-04-01,8,07CAD-115,1693.07,1643.71,49.36,0
2017-04-01,9,07CAD-115,1735.21,1680.65,54.57,0
2017-04-01,10,07CAD-115,1979.91,1871.6,108.31,0
2017-04-01,11,07CAD-115,2073.69,1956.81,116.88,0
2017-04-01,12,07CAD-115,1859.58,1751.94,107.64,0
2017-04-01,13,07CAD-115,1879.76,1770.44,109.32,0
2017-04-01,14,07CAD-115,1918.46,1806.95,111.51,0
2017-04-01,15,07CAD-115,1918.46,1806.95,111.51,0
2017-04-01,16,07CAD-115,1835.78,1770.28,65.5,0
2017-04-01,17,07CAD-115,1743.13,1680.94,62.19,0
2017-04-01,18,07CAD-115,1733.14,1675.26,57.88,0
2017-04-01,19,07CAD-115,2062.67,1992.1,70.57,0
2017-04-01,20,07CAD-115,2208.91,2128.95,79.96,0
2017-04-01,21,07CAD-115,2200.7,2122.17,78.54,0
2017-04-01,22,07CAD-115,2095.28,2024.27,71.02,0
2017-04-01,23,07CAD-115,2020.9,1954.36,66.53,0
2017-04-01,24,07CAD-115,1893.29,1835.68,57.61,0
2017-04-01,1,07CAF-115,1573.78,1531.17,42.62,0
2017-04-01,2,07CAF-115,1754.86,1705.52,49.34,0
2017-04-01,3,07CAF-115,1732.12,1685.15,46.97,0
2017-04-01,4,07CAF-115,1662.36,1617.87,44.49,0
2017-04-01,5,07CAF-115,1662.36,1617.87,44.49,0
2017-04-01,6,07CAF-115,1665.14,1620.39,44.75,0
2017-04-01,7,07CAF-115,1403.81,1365.04,38.77,0
2017-04-01,8,07CAF-115,1693.76,1643.71,50.05,0
2017-04-01,9,07CAF-115,1735.97,1680.65,55.32,0
2017-04-01,10,07CAF-115,1980.79,1871.6,109.19,0
2017-04-01,11,07CAF-115,2074.63,1956.81,117.82,0
2017-04-01,12,07CAF-115,1860.43,1751.94,108.49,0
2017-04-01,13,07CAF-115,1880.64,1770.44,110.2,0
2017-04-01,14,07CAF-115,1919.36,1806.95,112.41,0
2017-04-01,15,07CAF-115,1919.36,1806.95,112.41,0
2017-04-01,16,07CAF-115,1836.66,1770.28,66.38,0
2017-04-01,17,07CAF-115,1743.97,1680.94,63.03,0
2017-04-01,18,07CAF-115,1733.68,1675.26,58.42,0
2017-04-01,19,07CAF-115,2063.32,1992.1,71.22,0
2017-04-01,20,07CAF-115,2209.75,2128.95,80.8,0
2017-04-01,21,07CAF-115,2201.55,2122.17,79.38,0
2017-04-01,22,07CAF-115,2096.1,2024.27,71.83,0
2017-04-01,23,07CAF-115,2021.9,1954.36,67.54,0
2017-04-01,24,07CAF-115,1894.15,1835.68,58.47,0
2017-04-01,1,07CAS-115,1570.89,1531.17,39.72,0
2017-04-01,2,07CAS-115,1750.81,1705.52,45.29,0
2017-04-01,3,07CAS-115,1728.25,1685.15,43.1,0
2017-04-01,4,07CAS-115,1658.7,1617.87,40.84,0
2017-04-01,5,07CAS-115,1658.7,1617.87,40.84,0
2017-04-01,6,07CAS-115,1661.46,1620.39,41.07,0
2017-04-01,7,07CAS-115,1400.66,1365.04,35.62,0
2017-04-01,8,07CAS-115,1689.82,1643.71,46.11,0
2017-04-01,9,07CAS-115,1731.67,1680.65,51.02,0
2017-04-01,10,07CAS-115,1975.76,1871.6,104.16,0
2017-04-01,11,07CAS-115,2069.15,1956.81,112.34,0
2017-04-01,12,07CAS-115,1855.43,1751.94,103.5,0
2017-04-01,13,07CAS-115,1875.47,1770.44,105.03,0
2017-04-01,14,07CAS-115,1914.05,1806.95,107.1,0
2017-04-01,15,07CAS-115,1914.05,1806.95,107.1,0
2017-04-01,16,07CAS-115,1831.46,1770.28,61.18,0
2017-04-01,17,07CAS-115,1739.03,1680.94,58.08,0
2017-04-01,18,07CAS-115,1729.71,1675.26,54.45,0
2017-04-01,19,07CAS-115,2058.44,1992.1,66.34,0
2017-04-01,20,07CAS-115,2203.92,2128.95,74.97,0
2017-04-01,21,07CAS-115,2195.78,2122.17,73.61,0
2017-04-01,22,07CAS-115,2090.83,2024.27,66.56,0
2017-04-01,23,07CAS-115,2016.28,1954.36,61.92,0
2017-04-01,24,07CAS-115,1889.32,1835.68,53.64,0
2017-04-01,1,07COR-230,1526.36,1531.17,-4.81,0
2017-04-01,2,07COR-230,1700.67,1705.52,-4.85,0
2017-04-01,3,07COR-230,1680.44,1685.15,-4.71,0
2017-04-01,4,07COR-230,1613.4,1617.87,-4.47,0
2017-04-01,5,07COR-230,1613.4,1617.87,-4.47,0
