Fecha,Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
2017-01-13,1,07BLE-115,1901.68,1888.04,13.65,0
2017-01-13,2,07BLE-115,1912.31,1899.64,12.67,0
2017-01-13,3,07BLE-115,1538.19,1527.87,10.31,0
2017-01-13,4,07BLE-115,1519.94,1510.22,9.71,0
2017-01-13,5,07BLE-115,1527.29,1517.34,9.95,0
2017-01-13,6,07BLE-115,1573.48,1561.86,11.62,0
2017-01-13,7,07BLE-115,1566.35,1556.75,9.6,0
2017-01-13,8,07BLE-115,1870.73,1859.37,11.36,0
2017-01-13,9,07BLE-115,1788.01,1778.3,9.71,0
2017-01-13,10,07BLE-115,1586.59,1579.16,7.44,0
2017-01-13,11,07BLE-115,1814.6,1808.4,6.21,0
2017-01-13,12,07BLE-115,2188.41,2181.93,6.48,0
2017-01-13,13,07BLE-115,2191.7,2184.73,6.98,0
2017-01-13,14,07BLE-115,1875.29,1867.96,7.33,0
2017-01-13,15,07BLE-115,1877.34,1870.12,7.21,0
2017-01-13,16,07BLE-115,1845.84,1837.31,8.53,0
2017-01-13,17,07BLE-115,5889.05,5853.47,35.58,0
2017-01-13,18,07BLE-115,1850.36,1838.42,11.95,0
2017-01-13,19,07BLE-115,5889.05,5866.1,22.95,0
2017-01-13,20,07BLE-115,5889.05,5865.38,23.67,0
2017-01-13,21,07BLE-115,2209.11,2199.52,9.59,0
2017-01-13,22,07BLE-115,5889.05,5864.23,24.82,0
2017-01-13,23,07BLE-115,1890.37,1880.56,9.8,0
2017-01-13,24,07BLE-115,1566.26,1557.26,9,0
2017-01-13,1,07CAB-115,1939.68,1888.04,51.64,0
2017-01-13,2,07CAB-115,1954.58,1899.64,54.93,0
2017-01-13,3,07CAB-115,1567.05,1527.87,39.18,0
2017-01-13,4,07CAB-115,1548.29,1510.22,38.07,0
2017-01-13,5,07CAB-115,1555.31,1517.34,37.98,0
2017-01-13,6,07CAB-115,1602.33,1561.86,40.47,0
