Fecha,Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
2017-02-16,1,07BLE-115,2136.24,2134.48,1.76,0
2017-02-16,2,07BLE-115,2098.92,2096.13,2.79,0
2017-02-16,3,07BLE-115,1774.14,1771.41,2.73,0
2017-02-16,4,07BLE-115,1761.56,1758.61,2.95,0
2017-02-16,5,07BLE-115,1772.17,1769.2,2.97,0
2017-02-16,6,07BLE-115,2099.41,2095.41,4,0
2017-02-16,7,07BLE-115,1703.1,1699.07,4.03,0
2017-02-16,8,07BLE-115,1753.74,1750.31,3.43,0
2017-02-16,9,07BLE-115,2111.96,2110.63,1.33,0
2017-02-16,10,07BLE-115,2074.98,2075.15,-.16,0
2017-02-16,11,07BLE-115,2109.99,2110.16,-.17,0
2017-02-16,12,07BLE-115,2110.43,2110.62,-.19,0
2017-02-16,13,07BLE-115,2087.33,2086.22,1.1,0
2017-02-16,14,07BLE-115,2110.71,2107.9,2.81,0
2017-02-16,15,07BLE-115,2110.39,2107.47,2.92,0
2017-02-16,16,07BLE-115,1745.97,1743.6,2.37,0
2017-02-16,17,07BLE-115,1784.42,1779.15,5.26,0
2017-02-16,18,07BLE-115,2054.4,2048.32,6.09,0
2017-02-16,19,07BLE-115,1745.7,1739.73,5.97,0
2017-02-16,20,07BLE-115,2075.93,2068.86,7.07,0
2017-02-16,21,07BLE-115,2079.53,2073.62,5.92,0
2017-02-16,22,07BLE-115,2158.29,2160.24,-1.95,0
2017-02-16,23,07BLE-115,2310.83,2311.61,-.78,0
2017-02-16,24,07BLE-115,1777.03,1776.14,.9,0
2017-02-16,1,07CAB-115,2191.75,2134.48,57.27,0
2017-02-16,2,07CAB-115,2149.8,2096.13,53.68,0
2017-02-16,3,07CAB-115,1815.3,1771.41,43.89,0
2017-02-16,4,07CAB-115,1801.41,1758.61,42.8,0
2017-02-16,5,07CAB-115,1812.43,1769.2,43.23,0
2017-02-16,6,07CAB-115,2148.92,2095.41,53.51,0
2017-02-16,7,07CAB-115,1745.5,1699.07,46.43,0
2017-02-16,8,07CAB-115,1801.35,1750.31,51.04,0
2017-02-16,9,07CAB-115,2176.02,2110.63,65.39,0
2017-02-16,10,07CAB-115,2187.87,2075.15,112.72,0
2017-02-16,11,07CAB-115,2228.23,2110.16,118.07,0
2017-02-16,12,07CAB-115,2231.03,2110.62,120.41,0
2017-02-16,13,07CAB-115,2207.05,2086.22,120.83,0
2017-02-16,14,07CAB-115,2228.22,2107.9,120.33,0
2017-02-16,15,07CAB-115,2226.81,2107.47,119.33,0
2017-02-16,16,07CAB-115,1803.75,1743.6,60.16,0
2017-02-16,17,07CAB-115,1841.71,1779.15,62.56,0
2017-02-16,18,07CAB-115,2120.66,2048.32,72.34,0
2017-02-16,19,07CAB-115,1801.2,1739.73,61.47,0
2017-02-16,20,07CAB-115,2144.57,2068.86,75.71,0
2017-02-16,21,07CAB-115,2151.61,2073.62,78,0
2017-02-16,22,07CAB-115,2238.14,2160.24,77.91,0
2017-02-16,23,07CAB-115,2387.36,2311.61,75.75,0
2017-02-16,24,07CAB-115,1828.47,1776.14,52.34,0
2017-02-16,1,07CAD-115,2191.5,2134.48,57.03,0
2017-02-16,2,07CAD-115,2149.55,2096.13,53.43,0
2017-02-16,3,07CAD-115,1815.1,1771.41,43.69,0
2017-02-16,4,07CAD-115,1801.2,1758.61,42.59,0
2017-02-16,5,07CAD-115,1812.23,1769.2,43.03,0
2017-02-16,6,07CAD-115,2148.71,2095.41,53.3,0
2017-02-16,7,07CAD-115,1745.28,1699.07,46.21,0
2017-02-16,8,07CAD-115,1801.11,1750.31,50.8,0
2017-02-16,9,07CAD-115,2175.6,2110.63,64.97,0
2017-02-16,10,07CAD-115,2187.38,2075.15,112.23,0
2017-02-16,11,07CAD-115,2227.73,2110.16,117.57,0
2017-02-16,12,07CAD-115,2230.54,2110.62,119.92,0
2017-02-16,13,07CAD-115,2206.54,2086.22,120.31,0
2017-02-16,14,07CAD-115,2227.7,2107.9,119.81,0
2017-02-16,15,07CAD-115,2226.23,2107.47,118.76,0
2017-02-16,16,07CAD-115,1803.28,1743.6,59.68,0
2017-02-16,17,07CAD-115,1841.29,1779.15,62.14,0
2017-02-16,18,07CAD-115,2120.18,2048.32,71.86,0
2017-02-16,19,07CAD-115,1800.55,1739.73,60.82,0
2017-02-16,20,07CAD-115,2143.96,2068.86,75.1,0
2017-02-16,21,07CAD-115,2151.44,2073.62,77.83,0
2017-02-16,22,07CAD-115,2237.9,2160.24,77.66,0
2017-02-16,23,07CAD-115,2387.09,2311.61,75.48,0
2017-02-16,24,07CAD-115,1828.25,1776.14,52.12,0
2017-02-16,1,07CAF-115,2192.36,2134.48,57.88,0
2017-02-16,2,07CAF-115,2150.34,2096.13,54.21,0
2017-02-16,3,07CAF-115,1815.74,1771.41,44.33,0
2017-02-16,4,07CAF-115,1801.82,1758.61,43.22,0
2017-02-16,5,07CAF-115,1812.87,1769.2,43.67,0
2017-02-16,6,07CAF-115,2149.53,2095.41,54.12,0
2017-02-16,7,07CAF-115,1745.99,1699.07,46.92,0
2017-02-16,8,07CAF-115,1801.85,1750.31,51.54,0
2017-02-16,9,07CAF-115,2176.5,2110.63,65.87,0
2017-02-16,10,07CAF-115,2188.29,2075.15,113.14,0
2017-02-16,11,07CAF-115,2228.67,2110.16,118.52,0
2017-02-16,12,07CAF-115,2231.5,2110.62,120.88,0
2017-02-16,13,07CAF-115,2207.5,2086.22,121.27,0
2017-02-16,14,07CAF-115,2228.65,2107.9,120.75,0
2017-02-16,15,07CAF-115,2227.15,2107.47,119.68,0
2017-02-16,16,07CAF-115,1803.99,1743.6,60.39,0
2017-02-16,17,07CAF-115,1842.09,1779.15,62.93,0
2017-02-16,18,07CAF-115,2121.11,2048.32,72.79,0
2017-02-16,19,07CAF-115,1801.16,1739.73,61.43,0
2017-02-16,20,07CAF-115,2144.83,2068.86,75.96,0
2017-02-16,21,07CAF-115,2152.67,2073.62,79.05,0
2017-02-16,22,07CAF-115,2239.1,2160.24,78.87,0
2017-02-16,23,07CAF-115,2388.25,2311.61,76.64,0
2017-02-16,24,07CAF-115,1829.03,1776.14,52.9,0
2017-02-16,1,07CAS-115,2187.29,2134.48,52.82,0
2017-02-16,2,07CAS-115,2145.61,2096.13,49.48,0
2017-02-16,3,07CAS-115,1811.83,1771.41,40.42,0
2017-02-16,4,07CAS-115,1798.03,1758.61,39.42,0
2017-02-16,5,07CAS-115,1809.04,1769.2,39.84,0
2017-02-16,6,07CAS-115,2144.76,2095.41,49.35,0
2017-02-16,7,07CAS-115,1741.91,1699.07,42.84,0
2017-02-16,8,07CAS-115,1797.38,1750.31,47.07,0
2017-02-16,9,07CAS-115,2171.01,2110.63,60.37,0
2017-02-16,10,07CAS-115,2182.69,2075.15,107.55,0
2017-02-16,11,07CAS-115,2222.84,2110.16,112.68,0
2017-02-16,12,07CAS-115,2225.52,2110.62,114.9,0
2017-02-16,13,07CAS-115,2201.53,2086.22,115.3,0
2017-02-16,14,07CAS-115,2222.73,2107.9,114.83,0
2017-02-16,15,07CAS-115,2221.37,2107.47,113.9,0
2017-02-16,16,07CAS-115,1799.21,1743.6,55.61,0
2017-02-16,17,07CAS-115,1836.95,1779.15,57.79,0
2017-02-16,18,07CAS-115,2115.08,2048.32,66.77,0
2017-02-16,19,07CAS-115,1796.61,1739.73,56.88,0
2017-02-16,20,07CAS-115,2138.86,2068.86,70,0
2017-02-16,21,07CAS-115,2145.51,2073.62,71.89,0
2017-02-16,22,07CAS-115,2232.11,2160.24,71.88,0
2017-02-16,23,07CAS-115,2381.51,2311.61,69.89,0
2017-02-16,24,07CAS-115,1824.43,1776.14,48.29,0
2017-02-16,1,07COR-230,2128.93,2134.48,-5.55,0
2017-02-16,2,07COR-230,2090.69,2096.13,-5.44,0
2017-02-16,3,07COR-230,1766.87,1771.41,-4.54,0
2017-02-16,4,07COR-230,1754.12,1758.61,-4.49,0
2017-02-16,5,07COR-230,1764.67,1769.2,-4.53,0
2017-02-16,6,07COR-230,2089.74,2095.41,-5.67,0
2017-02-16,7,07COR-230,1694.03,1699.07,-5.04,0
2017-02-16,8,07COR-230,1744.92,1750.31,-5.38,0
2017-02-16,9,07COR-230,2104.49,2110.63,-6.14,0
2017-02-16,10,07COR-230,2068.95,2075.15,-6.2,0
2017-02-16,11,07COR-230,2103.73,2110.16,-6.43,0
2017-02-16,12,07COR-230,2104.15,2110.62,-6.48,0
2017-02-16,13,07COR-230,2079.35,2086.22,-6.88,0
2017-02-16,14,07COR-230,2100.53,2107.9,-7.37,0
2017-02-16,15,07COR-230,2100.17,2107.47,-7.3,0
2017-02-16,16,07COR-230,1737.83,1743.6,-5.77,0
2017-02-16,17,07COR-230,1773.13,1779.15,-6.03,0
2017-02-16,18,07COR-230,2041.36,2048.32,-6.96,0
2017-02-16,19,07COR-230,1735.11,1739.73,-4.62,0
2017-02-16,20,07COR-230,2063.15,2068.86,-5.72,0
2017-02-16,21,07COR-230,2067.96,2073.62,-5.65,0
2017-02-16,22,07COR-230,2156.41,2160.24,-3.83,0
2017-02-16,23,07COR-230,2307.77,2311.61,-3.84,0
2017-02-16,24,07COR-230,1773.24,1776.14,-2.9,0
2017-02-16,1,07CRE-115,2182.23,2134.48,47.76,0
2017-02-16,2,07CRE-115,2140.81,2096.13,44.68,0
2017-02-16,3,07CRE-115,1807.91,1771.41,36.5,0
2017-02-16,4,07CRE-115,1794.22,1758.61,35.61,0
2017-02-16,5,07CRE-115,1805.2,1769.2,35.99,0
2017-02-16,6,07CRE-115,2140.07,2095.41,44.66,0
2017-02-16,7,07CRE-115,1737.93,1699.07,38.86,0
2017-02-16,8,07CRE-115,1793.01,1750.31,42.7,0
