Fecha,Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
2017-06-01,1,07ASJ-115,1933.71,1875.15,58.57,0
2017-06-01,2,07ASJ-115,1803.52,1751.6,51.92,0
2017-06-01,3,07ASJ-115,1731.83,1683.41,48.42,0
2017-06-01,4,07ASJ-115,1960.41,1908.27,52.14,0
2017-06-01,5,07ASJ-115,1946,1894.75,51.25,0
2017-06-01,6,07ASJ-115,1960.1,1908.12,51.98,0
2017-06-01,7,07ASJ-115,1767.49,1718.57,48.93,0
2017-06-01,8,07ASJ-115,1797.98,1746.14,51.84,0
2017-06-01,9,07ASJ-115,1845.72,1788.04,57.67,0
2017-06-01,10,07ASJ-115,1939.76,1833.92,105.84,0
2017-06-01,11,07ASJ-115,1984.57,1871.67,112.9,0
2017-06-01,12,07ASJ-115,2014.29,1896.57,117.72,0
2017-06-01,13,07ASJ-115,1625.4,1533.31,92.09,0
2017-06-01,14,07ASJ-115,1868.2,1761.69,106.51,0
2017-06-01,15,07ASJ-115,1979.61,1866.41,113.2,0
2017-06-01,16,07ASJ-115,1961.04,1891.21,69.83,0
2017-06-01,17,07ASJ-115,1967.48,1899.04,68.44,0
2017-06-01,18,07ASJ-115,2016.57,1947.1,69.48,0
2017-06-01,19,07ASJ-115,2026.65,1959.31,67.35,0
2017-06-01,20,07ASJ-115,2020.57,1955.33,65.24,0
2017-06-01,21,07ASJ-115,2113.64,2042.12,71.52,0
2017-06-01,22,07ASJ-115,2147.29,2074.01,73.28,0
2017-06-01,23,07ASJ-115,2026.07,1959.32,66.75,0
2017-06-01,24,07ASJ-115,1907.11,1847.23,59.88,0
2017-06-01,1,07BLE-115,1875.93,1875.15,.79,0
2017-06-01,2,07BLE-115,1753.78,1751.6,2.18,0
2017-06-01,3,07BLE-115,1686.19,1683.41,2.78,0
2017-06-01,4,07BLE-115,1912.57,1908.27,4.31,0
2017-06-01,5,07BLE-115,1899.33,1894.75,4.58,0
2017-06-01,6,07BLE-115,1912.55,1908.12,4.43,0
2017-06-01,7,07BLE-115,1721.59,1718.57,3.03,0
2017-06-01,8,07BLE-115,1748.42,1746.14,2.28,0
2017-06-01,9,07BLE-115,1788.69,1788.04,.65,0
2017-06-01,10,07BLE-115,1831.69,1833.92,-2.23,0
2017-06-01,11,07BLE-115,1868.65,1871.67,-3.02,0
2017-06-01,12,07BLE-115,1893.08,1896.57,-3.49,0
2017-06-01,13,07BLE-115,1536.84,1533.31,3.53,0
2017-06-01,14,07BLE-115,1763.27,1761.69,1.58,0
2017-06-01,15,07BLE-115,1868.24,1866.41,1.84,0
2017-06-01,16,07BLE-115,1894.24,1891.21,3.02,0
2017-06-01,17,07BLE-115,1912.74,1899.04,13.7,0
2017-06-01,18,07BLE-115,1960.74,1947.1,13.64,0
2017-06-01,19,07BLE-115,1962.91,1959.31,3.61,0
2017-06-01,20,07BLE-115,1958.95,1955.33,3.62,0
2017-06-01,21,07BLE-115,2044.3,2042.12,2.18,0
2017-06-01,22,07BLE-115,2076.1,2074.01,2.1,0
2017-06-01,23,07BLE-115,1962.61,1959.32,3.29,0
2017-06-01,24,07BLE-115,1851.14,1847.23,3.92,0
2017-06-01,1,07CAB-115,1937.51,1875.15,62.36,0
2017-06-01,2,07CAB-115,1806.73,1751.6,55.13,0
2017-06-01,3,07CAB-115,1734.9,1683.41,51.49,0
2017-06-01,4,07CAB-115,1963.92,1908.27,55.65,0
2017-06-01,5,07CAB-115,1949.41,1894.75,54.67,0
2017-06-01,6,07CAB-115,1963.82,1908.12,55.7,0
2017-06-01,7,07CAB-115,1771.31,1718.57,52.74,0
2017-06-01,8,07CAB-115,1801.58,1746.14,55.44,0
2017-06-01,9,07CAB-115,1849.14,1788.04,61.1,0
2017-06-01,10,07CAB-115,1947.35,1833.92,113.43,0
2017-06-01,11,07CAB-115,1992.71,1871.67,121.04,0
2017-06-01,12,07CAB-115,2022.75,1896.57,126.18,0
2017-06-01,13,07CAB-115,1630.42,1533.31,97.11,0
2017-06-01,14,07CAB-115,1874.12,1761.69,112.43,0
2017-06-01,15,07CAB-115,1986.21,1866.41,119.8,0
2017-06-01,16,07CAB-115,1963.92,1891.21,72.7,0
2017-06-01,17,07CAB-115,1968.97,1899.04,69.93,0
2017-06-01,18,07CAB-115,2018.55,1947.1,71.45,0
2017-06-01,19,07CAB-115,2029.97,1959.31,70.66,0
2017-06-01,20,07CAB-115,2024.18,1955.33,68.84,0
2017-06-01,21,07CAB-115,2118.03,2042.12,75.91,0
2017-06-01,22,07CAB-115,2151.19,2074.01,77.18,0
2017-06-01,23,07CAB-115,2028.38,1959.32,69.06,0
2017-06-01,24,07CAB-115,1909.46,1847.23,62.23,0
2017-06-01,1,07CAD-115,1937.3,1875.15,62.15,0
2017-06-01,2,07CAD-115,1806.52,1751.6,54.92,0
2017-06-01,3,07CAD-115,1734.68,1683.41,51.27,0
2017-06-01,4,07CAD-115,1963.73,1908.27,55.46,0
2017-06-01,5,07CAD-115,1949.22,1894.75,54.47,0
2017-06-01,6,07CAD-115,1963.61,1908.12,55.49,0
2017-06-01,7,07CAD-115,1771.11,1718.57,52.54,0
2017-06-01,8,07CAD-115,1801.28,1746.14,55.14,0
2017-06-01,9,07CAD-115,1848.7,1788.04,60.65,0
2017-06-01,10,07CAD-115,1946.76,1833.92,112.85,0
2017-06-01,11,07CAD-115,1992.09,1871.67,120.42,0
2017-06-01,12,07CAD-115,2022.17,1896.57,125.6,0
2017-06-01,13,07CAD-115,1629.68,1533.31,96.38,0
2017-06-01,14,07CAD-115,1873.26,1761.69,111.57,0
2017-06-01,15,07CAD-115,1985.3,1866.41,118.9,0
2017-06-01,16,07CAD-115,1963.02,1891.21,71.81,0
2017-06-01,17,07CAD-115,1967.75,1899.04,68.71,0
2017-06-01,18,07CAD-115,2017.32,1947.1,70.22,0
2017-06-01,19,07CAD-115,2028.74,1959.31,69.44,0
2017-06-01,20,07CAD-115,2023.01,1955.33,67.68,0
2017-06-01,21,07CAD-115,2116.93,2042.12,74.81,0
2017-06-01,22,07CAD-115,2150.14,2074.01,76.14,0
2017-06-01,23,07CAD-115,2027.46,1959.32,68.14,0
2017-06-01,24,07CAD-115,1908.94,1847.23,61.71,0
2017-06-01,1,07CAF-115,1938.27,1875.15,63.12,0
2017-06-01,2,07CAF-115,1807.37,1751.6,55.77,0
2017-06-01,3,07CAF-115,1735.47,1683.41,52.06,0
2017-06-01,4,07CAF-115,1964.6,1908.27,56.34,0
2017-06-01,5,07CAF-115,1950.07,1894.75,55.33,0
2017-06-01,6,07CAF-115,1964.48,1908.12,56.36,0
2017-06-01,7,07CAF-115,1771.94,1718.57,53.38,0
2017-06-01,8,07CAF-115,1802.09,1746.14,55.96,0
2017-06-01,9,07CAF-115,1849.53,1788.04,61.48,0
2017-06-01,10,07CAF-115,1947.64,1833.92,113.72,0
2017-06-01,11,07CAF-115,1993.01,1871.67,121.34,0
2017-06-01,12,07CAF-115,2023.12,1896.57,126.55,0
2017-06-01,13,07CAF-115,1630.22,1533.31,96.91,0
2017-06-01,14,07CAF-115,1873.87,1761.69,112.18,0
2017-06-01,15,07CAF-115,1985.96,1866.41,119.55,0
2017-06-01,16,07CAF-115,1963.7,1891.21,72.49,0
2017-06-01,17,07CAF-115,1968.14,1899.04,69.1,0
2017-06-01,18,07CAF-115,2017.71,1947.1,70.61,0
2017-06-01,19,07CAF-115,2029.12,1959.31,69.81,0
2017-06-01,20,07CAF-115,2023.39,1955.33,68.06,0
2017-06-01,21,07CAF-115,2117.49,2042.12,75.37,0
2017-06-01,22,07CAF-115,2150.78,2074.01,76.77,0
2017-06-01,23,07CAF-115,2027.99,1959.32,68.67,0
2017-06-01,24,07CAF-115,1909.62,1847.23,62.39,0
2017-06-01,1,07CAR-115,1881.82,1875.15,6.67,0
2017-06-01,2,07CAR-115,1759.56,1751.6,7.96,0
