Fecha,Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
2017-03-16,1,07BLE-115,1745.32,1735.57,9.75,0
2017-03-16,2,07BLE-115,1729.59,1720.39,9.2,0
2017-03-16,3,07BLE-115,1704.91,1696.14,8.77,0
2017-03-16,4,07BLE-115,1665.66,1657.12,8.55,0
2017-03-16,5,07BLE-115,1583.27,1574.82,8.45,0
2017-03-16,6,07BLE-115,1718.97,1709.72,9.25,0
2017-03-16,7,07BLE-115,1751.59,1740.86,10.73,0
2017-03-16,8,07BLE-115,1744.7,1735.23,9.47,0
2017-03-16,9,07BLE-115,1759.53,1751.07,8.45,0
2017-03-16,10,07BLE-115,1780.75,1777.39,3.36,0
2017-03-16,11,07BLE-115,1902.38,1899.41,2.97,0
2017-03-16,12,07BLE-115,1901.74,1897.34,4.41,0
2017-03-16,13,07BLE-115,1892.8,1887.05,5.75,0
2017-03-16,14,07BLE-115,1962.56,1955.77,6.78,0
2017-03-16,15,07BLE-115,1887.83,1880.7,7.13,0
2017-03-16,16,07BLE-115,2019.43,2011.25,8.17,0
2017-03-16,17,07BLE-115,2069.83,2051.16,18.67,0
2017-03-16,18,07BLE-115,4091.9,4053.17,38.73,0
2017-03-16,19,07BLE-115,3778.02,3757.45,20.58,0
2017-03-16,20,07BLE-115,4234.06,4204.98,29.08,0
2017-03-16,21,07BLE-115,4014.46,3989.51,24.95,0
2017-03-16,22,07BLE-115,4170.33,4147.56,22.77,0
2017-03-16,23,07BLE-115,1992.96,1981.72,11.24,0
2017-03-16,24,07BLE-115,1930.26,1922.72,7.55,0
2017-03-16,1,07CAB-115,1790.34,1735.57,54.77,0
2017-03-16,2,07CAB-115,1771.97,1720.39,51.58,0
2017-03-16,3,07CAB-115,1745.03,1696.14,48.89,0
2017-03-16,4,07CAB-115,1704.5,1657.12,47.38,0
2017-03-16,5,07CAB-115,1619.09,1574.82,44.27,0
2017-03-16,6,07CAB-115,1758.9,1709.72,49.18,0
2017-03-16,7,07CAB-115,1793.1,1740.86,52.24,0
2017-03-16,8,07CAB-115,1790.41,1735.23,55.18,0
2017-03-16,9,07CAB-115,1811.68,1751.07,60.6,0
2017-03-16,10,07CAB-115,1887.55,1777.39,110.16,0
2017-03-16,11,07CAB-115,2022.72,1899.41,123.31,0
2017-03-16,12,07CAB-115,2023.1,1897.34,125.77,0
2017-03-16,13,07CAB-115,2014.68,1887.05,127.63,0
2017-03-16,14,07CAB-115,2088.85,1955.77,133.07,0
2017-03-16,15,07CAB-115,2010.37,1880.7,129.67,0
2017-03-16,16,07CAB-115,2096.35,2011.25,85.1,0
2017-03-16,17,07CAB-115,2135.69,2051.16,84.53,0
2017-03-16,18,07CAB-115,4212.27,4053.17,159.1,0
2017-03-16,19,07CAB-115,3895.87,3757.45,138.43,0
2017-03-16,20,07CAB-115,4345.68,4204.98,140.7,0
2017-03-16,21,07CAB-115,4129.45,3989.51,139.94,0
2017-03-16,22,07CAB-115,4300.7,4147.56,153.14,0
2017-03-16,23,07CAB-115,2053.7,1981.72,71.97,0
2017-03-16,24,07CAB-115,1990.85,1922.72,68.14,0
2017-03-16,1,07CAD-115,1790.11,1735.57,54.54,0
2017-03-16,2,07CAD-115,1771.73,1720.39,51.34,0
2017-03-16,3,07CAD-115,1744.82,1696.14,48.68,0
2017-03-16,4,07CAD-115,1704.29,1657.12,47.18,0
2017-03-16,5,07CAD-115,1618.9,1574.82,44.09,0
2017-03-16,6,07CAD-115,1758.7,1709.72,48.97,0
2017-03-16,7,07CAD-115,1792.85,1740.86,51.99,0
2017-03-16,8,07CAD-115,1790.03,1735.23,54.8,0
2017-03-16,9,07CAD-115,1811.14,1751.07,60.07,0
2017-03-16,10,07CAD-115,1886.94,1777.39,109.55,0
2017-03-16,11,07CAD-115,2022.12,1899.41,122.71,0
2017-03-16,12,07CAD-115,2022.52,1897.34,125.18,0
2017-03-16,13,07CAD-115,2014.1,1887.05,127.05,0
2017-03-16,14,07CAD-115,2088.28,1955.77,132.51,0
2017-03-16,15,07CAD-115,2009.9,1880.7,129.2,0
2017-03-16,16,07CAD-115,2095.86,2011.25,84.6,0
2017-03-16,17,07CAD-115,2134.8,2051.16,83.64,0
2017-03-16,18,07CAD-115,4209.77,4053.17,156.6,0
2017-03-16,19,07CAD-115,3892.64,3757.45,135.19,0
2017-03-16,20,07CAD-115,4340.7,4204.98,135.73,0
2017-03-16,21,07CAD-115,4125.93,3989.51,136.42,0
2017-03-16,22,07CAD-115,4298.5,4147.56,150.94,0
2017-03-16,23,07CAD-115,2053.13,1981.72,71.41,0
2017-03-16,24,07CAD-115,1990.7,1922.72,67.99,0
2017-03-16,1,07CAF-115,1790.99,1735.57,55.42,0
2017-03-16,2,07CAF-115,1772.56,1720.39,52.17,0
2017-03-16,3,07CAF-115,1745.6,1696.14,49.47,0
2017-03-16,4,07CAF-115,1705.06,1657.12,47.94,0
2017-03-16,5,07CAF-115,1619.61,1574.82,44.79,0
2017-03-16,6,07CAF-115,1759.49,1709.72,49.77,0
2017-03-16,7,07CAF-115,1793.69,1740.86,52.82,0
2017-03-16,8,07CAF-115,1790.84,1735.23,55.61,0
2017-03-16,9,07CAF-115,1811.97,1751.07,60.9,0
2017-03-16,10,07CAF-115,1887.92,1777.39,110.53,0
2017-03-16,11,07CAF-115,2023.2,1899.41,123.8,0
2017-03-16,12,07CAF-115,2023.62,1897.34,126.29,0
2017-03-16,13,07CAF-115,2015.21,1887.05,128.16,0
2017-03-16,14,07CAF-115,2089.44,1955.77,133.67,0
2017-03-16,15,07CAF-115,2011.06,1880.7,130.36,0
2017-03-16,16,07CAF-115,2097.1,2011.25,85.85,0
2017-03-16,17,07CAF-115,2135.76,2051.16,84.6,0
2017-03-16,18,07CAF-115,4211.01,4053.17,157.84,0
2017-03-16,19,07CAF-115,3892.98,3757.45,135.54,0
2017-03-16,20,07CAF-115,4339.82,4204.98,134.84,0
2017-03-16,21,07CAF-115,4126.05,3989.51,136.55,0
2017-03-16,22,07CAF-115,4299.92,4147.56,152.36,0
2017-03-16,23,07CAF-115,2054.13,1981.72,72.41,0
2017-03-16,24,07CAF-115,1991.88,1922.72,69.16,0
2017-03-16,1,07CAS-115,1786.09,1735.57,50.53,0
2017-03-16,2,07CAS-115,1767.97,1720.39,47.58,0
2017-03-16,3,07CAS-115,1741.25,1696.14,45.11,0
2017-03-16,4,07CAS-115,1700.83,1657.12,43.71,0
2017-03-16,5,07CAS-115,1615.64,1574.82,40.82,0
2017-03-16,6,07CAS-115,1755.06,1709.72,45.34,0
2017-03-16,7,07CAS-115,1788.98,1740.86,48.11,0
2017-03-16,8,07CAS-115,1786.11,1735.23,50.88,0
2017-03-16,9,07CAS-115,1807.01,1751.07,55.94,0
2017-03-16,10,07CAS-115,1882.26,1777.39,104.87,0
2017-03-16,11,07CAS-115,2016.77,1899.41,117.36,0
2017-03-16,12,07CAS-115,2017.03,1897.34,119.69,0
2017-03-16,13,07CAS-115,2008.51,1887.05,121.46,0
2017-03-16,14,07CAS-115,2082.42,1955.77,126.64,0
2017-03-16,15,07CAS-115,2004.03,1880.7,123.33,0
2017-03-16,16,07CAS-115,2089.5,2011.25,78.24,0
2017-03-16,17,07CAS-115,2129.04,2051.16,77.88,0
2017-03-16,18,07CAS-115,4200.06,4053.17,146.89,0
2017-03-16,19,07CAS-115,3885.8,3757.45,128.35,0
2017-03-16,20,07CAS-115,4336.42,4204.98,131.44,0
2017-03-16,21,07CAS-115,4119.61,3989.51,130.1,0
2017-03-16,22,07CAS-115,4289.15,4147.56,141.59,0
2017-03-16,23,07CAS-115,2048.06,1981.72,66.34,0
2017-03-16,24,07CAS-115,1985.36,1922.72,62.64,0
2017-03-16,1,07COR-230,1728.38,1735.57,-7.19,0
2017-03-16,2,07COR-230,1713.65,1720.39,-6.74,0
2017-03-16,3,07COR-230,1689.73,1696.14,-6.4,0
2017-03-16,4,07COR-230,1650.9,1657.12,-6.22,0
2017-03-16,5,07COR-230,1568.91,1574.82,-5.91,0
2017-03-16,6,07COR-230,1703.21,1709.72,-6.51,0
2017-03-16,7,07COR-230,1733.75,1740.86,-7.11,0
2017-03-16,8,07COR-230,1728.09,1735.23,-7.14,0
2017-03-16,9,07COR-230,1743.77,1751.07,-7.31,0
2017-03-16,10,07COR-230,1770.59,1777.39,-6.8,0
2017-03-16,11,07COR-230,1892.04,1899.41,-7.37,0
2017-03-16,12,07COR-230,1889.57,1897.34,-7.77,0
2017-03-16,13,07COR-230,1878.92,1887.05,-8.14,0
2017-03-16,14,07COR-230,1947.12,1955.77,-8.65,0
2017-03-16,15,07COR-230,1872.12,1880.7,-8.58,0
2017-03-16,16,07COR-230,2002.09,2011.25,-9.17,0
2017-03-16,17,07COR-230,2041.82,2051.16,-9.35,0
2017-03-16,18,07COR-230,4034.75,4053.17,-18.43,0
2017-03-16,19,07COR-230,3745.55,3757.45,-11.9,0
2017-03-16,20,07COR-230,4191.72,4204.98,-13.26,0
2017-03-16,21,07COR-230,3976.93,3989.51,-12.58,0
2017-03-16,22,07COR-230,4134.47,4147.56,-13.09,0
2017-03-16,23,07COR-230,1975.46,1981.72,-6.26,0
2017-03-16,24,07COR-230,1917.26,1922.72,-5.45,0
2017-03-16,1,07CRE-115,1781.22,1735.57,45.66,0
