Fecha,Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
2017-05-01,1,07ASJ-115,1449.64,1408.65,40.99,0
2017-05-01,2,07ASJ-115,1506.54,1466.13,40.41,0
2017-05-01,3,07ASJ-115,1826.02,1778.26,47.76,0
2017-05-01,4,07ASJ-115,1733.3,1689.06,44.24,0
2017-05-01,5,07ASJ-115,1708.75,1665.91,42.84,0
2017-05-01,6,07ASJ-115,1685.75,1643.39,42.37,0
2017-05-01,7,07ASJ-115,1598.74,1558.34,40.4,0
2017-05-01,8,07ASJ-115,1451.05,1412.73,38.32,0
2017-05-01,9,07ASJ-115,1716.64,1666.91,49.73,0
2017-05-01,10,07ASJ-115,1803.98,1712.57,91.41,0
2017-05-01,11,07ASJ-115,1898.7,1798.48,100.23,0
2017-05-01,12,07ASJ-115,1901.06,1798.82,102.24,0
2017-05-01,13,07ASJ-115,1901.59,1798.39,103.2,0
2017-05-01,14,07ASJ-115,1900.23,1796.63,103.61,0
2017-05-01,15,07ASJ-115,1900.82,1796.96,103.86,0
2017-05-01,16,07ASJ-115,1859.17,1796.1,63.07,0
2017-05-01,17,07ASJ-115,1852.56,1788.76,63.79,0
2017-05-01,18,07ASJ-115,1849.4,1786.15,63.25,0
2017-05-01,19,07ASJ-115,1921.4,1857.07,64.32,0
2017-05-01,20,07ASJ-115,1956.22,1891.88,64.34,0
2017-05-01,21,07ASJ-115,1974.14,1906.19,67.95,0
2017-05-01,22,07ASJ-115,1972.88,1905.4,67.48,0
2017-05-01,23,07ASJ-115,1967.68,1903.54,64.14,0
2017-05-01,24,07ASJ-115,1501.15,1455.7,45.45,0
2017-05-01,1,07BLE-115,1414.87,1408.65,6.22,0
2017-05-01,2,07BLE-115,1474.7,1466.13,8.57,0
2017-05-01,3,07BLE-115,1787.56,1778.26,9.3,0
2017-05-01,4,07BLE-115,1698.18,1689.06,9.12,0
2017-05-01,5,07BLE-115,1674.87,1665.91,8.96,0
2017-05-01,6,07BLE-115,1652.07,1643.39,8.69,0
2017-05-01,7,07BLE-115,1566.25,1558.34,7.91,0
2017-05-01,8,07BLE-115,1418.81,1412.73,6.08,0
2017-05-01,9,07BLE-115,1672.49,1666.91,5.58,0
2017-05-01,10,07BLE-115,1716.65,1712.57,4.08,0
2017-05-01,11,07BLE-115,1802.39,1798.48,3.91,0
2017-05-01,12,07BLE-115,1802.61,1798.82,3.79,0
2017-05-01,13,07BLE-115,1802.56,1798.39,4.17,0
2017-05-01,14,07BLE-115,1801.81,1796.63,5.18,0
2017-05-01,15,07BLE-115,1802.33,1796.96,5.36,0
2017-05-01,16,07BLE-115,1803.61,1796.1,7.52,0
2017-05-01,17,07BLE-115,1802.01,1788.76,13.24,0
2017-05-01,18,07BLE-115,1800.64,1786.15,14.5,0
2017-05-01,19,07BLE-115,1863.01,1857.07,5.94,0
2017-05-01,20,07BLE-115,1898.12,1891.88,6.24,0
2017-05-01,21,07BLE-115,1909.82,1906.19,3.63,0
2017-05-01,22,07BLE-115,1909.28,1905.4,3.89,0
2017-05-01,23,07BLE-115,1911.24,1903.54,7.7,0
2017-05-01,24,07BLE-115,1460.88,1455.7,5.18,0
2017-05-01,1,07CAB-115,1453.12,1408.65,44.47,0
2017-05-01,2,07CAB-115,1509.86,1466.13,43.73,0
2017-05-01,3,07CAB-115,1829.8,1778.26,51.53,0
2017-05-01,4,07CAB-115,1736.69,1689.06,47.63,0
2017-05-01,5,07CAB-115,1712,1665.91,46.09,0
2017-05-01,6,07CAB-115,1688.96,1643.39,45.58,0
2017-05-01,7,07CAB-115,1601.95,1558.34,43.62,0
2017-05-01,8,07CAB-115,1454.33,1412.73,41.6,0
2017-05-01,9,07CAB-115,1720.29,1666.91,53.38,0
2017-05-01,10,07CAB-115,1811.34,1712.57,98.77,0
