Fecha,Hora,Zona de Carga,Precio Zonal  ($/MWh),Componente energia  ($/MWh),Componente perdidas  ($/MWh),Componente Congestion  ($/MWh)
2016-08-16,1,ENSENADA,909.03,865.45,43.59,0
2016-08-16,2,ENSENADA,854.09,813.92,40.17,0
2016-08-16,3,ENSENADA,773.12,737.36,35.77,0
2016-08-16,4,ENSENADA,719.67,686.59,33.08,0
2016-08-16,5,ENSENADA,567.04,539.96,27.09,0
2016-08-16,6,ENSENADA,807.44,769.23,38.21,0
2016-08-16,7,ENSENADA,785.25,749.63,35.62,0
2016-08-16,8,ENSENADA,787.17,749.44,37.73,0
2016-08-16,9,ENSENADA,857.55,813.92,43.63,0
2016-08-16,10,ENSENADA,938.56,890.59,47.97,0
2016-08-16,11,ENSENADA,941.69,890.61,51.07,0
2016-08-16,12,ENSENADA,943.86,890.59,53.27,0
2016-08-16,13,ENSENADA,917.05,865.36,51.7,0
2016-08-16,14,ENSENADA,917.61,865.47,52.14,0
2016-08-16,15,ENSENADA,918.18,865.06,53.12,0
2016-08-16,16,ENSENADA,918.51,865.22,53.29,0
2016-08-16,17,ENSENADA,918.64,865.37,53.27,0
2016-08-16,18,ENSENADA,943.35,890.58,52.77,0
2016-08-16,19,ENSENADA,917.23,865.51,51.73,0
2016-08-16,20,ENSENADA,943.8,890.61,53.2,0
2016-08-16,21,ENSENADA,892.44,839.73,52.71,0
2016-08-16,22,ENSENADA,919.39,865.31,54.08,0
2016-08-16,23,ENSENADA,913.33,865.28,48.05,0
2016-08-16,24,ENSENADA,883.69,839.89,43.8,0
2016-08-16,1,MEXICALI,926.97,865.45,61.53,0
2016-08-16,2,MEXICALI,861.55,813.92,47.63,0
2016-08-16,3,MEXICALI,773.68,737.36,36.32,0
2016-08-16,4,MEXICALI,715.6,686.59,29.01,0
2016-08-16,5,MEXICALI,559.84,539.96,19.89,0
2016-08-16,6,MEXICALI,793.52,769.23,24.29,0
2016-08-16,7,MEXICALI,768.57,749.63,18.94,0
2016-08-16,8,MEXICALI,773.29,749.44,23.85,0
2016-08-16,9,MEXICALI,848.4,813.92,34.48,0
2016-08-16,10,MEXICALI,927.19,890.59,36.59,0
2016-08-16,11,MEXICALI,932.85,890.61,42.24,0
2016-08-16,12,MEXICALI,938.41,890.59,47.82,0
2016-08-16,13,MEXICALI,914.23,865.36,48.87,0
2016-08-16,14,MEXICALI,918.66,865.47,53.19,0
2016-08-16,15,MEXICALI,921.33,865.06,56.27,0
2016-08-16,16,MEXICALI,922.83,865.22,57.6,0
2016-08-16,17,MEXICALI,924.12,865.37,58.75,0
2016-08-16,18,MEXICALI,958.79,890.58,68.21,0
2016-08-16,19,MEXICALI,925.5,865.51,60,0
2016-08-16,20,MEXICALI,952.4,890.61,61.79,0
2016-08-16,21,MEXICALI,893.51,839.73,53.79,0
2016-08-16,22,MEXICALI,920.8,865.31,55.49,0
2016-08-16,23,MEXICALI,922.57,865.28,57.29,0
2016-08-16,24,MEXICALI,894.57,839.89,54.68,0
2016-08-16,1,SANLUIS,935.31,865.45,69.86,0
2016-08-16,2,SANLUIS,869.28,813.92,55.35,0
2016-08-16,3,SANLUIS,780.63,737.36,43.28,0
2016-08-16,4,SANLUIS,721.51,686.59,34.92,0
2016-08-16,5,SANLUIS,564.09,539.96,24.14,0
2016-08-16,6,SANLUIS,798.76,769.23,29.53,0
2016-08-16,7,SANLUIS,772.73,749.63,23.1,0
2016-08-16,8,SANLUIS,777.8,749.44,28.36,0
2016-08-16,9,SANLUIS,854.13,813.92,40.21,0
2016-08-16,10,SANLUIS,934.08,890.59,43.49,0
2016-08-16,11,SANLUIS,940.91,890.61,50.3,0
2016-08-16,12,SANLUIS,947.76,890.59,57.17,0
2016-08-16,13,SANLUIS,923.62,865.36,58.26,0
2016-08-16,14,SANLUIS,929.19,865.47,63.72,0
2016-08-16,15,SANLUIS,931.84,865.06,66.78,0
2016-08-16,16,SANLUIS,933.47,865.22,68.24,0
2016-08-16,17,SANLUIS,934.72,865.37,69.35,0
2016-08-16,18,SANLUIS,969.45,890.58,78.87,0
2016-08-16,19,SANLUIS,935.8,865.51,70.3,0
2016-08-16,20,SANLUIS,961.85,890.61,71.24,0
2016-08-16,21,SANLUIS,902.79,839.73,63.06,0
2016-08-16,22,SANLUIS,930.81,865.31,65.5,0
2016-08-16,23,SANLUIS,933.15,865.28,67.88,0
2016-08-16,24,SANLUIS,904.77,839.89,64.88,0
2016-08-16,1,TIJUANA,883.21,865.45,17.76,0
2016-08-16,2,TIJUANA,829.51,813.92,15.59,0
2016-08-16,3,TIJUANA,750.74,737.36,13.38,0
2016-08-16,4,TIJUANA,698.6,686.59,12.01,0
2016-08-16,5,TIJUANA,549.15,539.96,9.19,0
2016-08-16,6,TIJUANA,784.73,769.23,15.5,0
2016-08-16,7,TIJUANA,764.78,749.63,15.15,0
2016-08-16,8,TIJUANA,764.11,749.44,14.67,0
2016-08-16,9,TIJUANA,827.38,813.92,13.46,0
2016-08-16,10,TIJUANA,906,890.59,15.4,0
2016-08-16,11,TIJUANA,906.53,890.61,15.92,0
2016-08-16,12,TIJUANA,906.91,890.59,16.32,0
2016-08-16,13,TIJUANA,881.25,865.36,15.89,0
2016-08-16,14,TIJUANA,881.53,865.48,16.06,0
2016-08-16,15,TIJUANA,881,865.06,15.94,0
2016-08-16,16,TIJUANA,885.93,865.22,20.71,0
2016-08-16,17,TIJUANA,885.83,865.37,20.45,0
2016-08-16,18,TIJUANA,911.28,890.58,20.7,0
2016-08-16,19,TIJUANA,884.9,865.51,19.4,0
2016-08-16,20,TIJUANA,910.19,890.61,19.58,0
2016-08-16,21,TIJUANA,858.47,839.73,18.74,0
2016-08-16,22,TIJUANA,884.71,865.31,19.39,0
2016-08-16,23,TIJUANA,884.26,865.28,18.98,0
2016-08-16,24,TIJUANA,857.63,839.89,17.75,0
2016-08-17,1,ENSENADA,942.37,895.56,46.82,0
2016-08-17,2,ENSENADA,915.51,868.85,46.65,0
2016-08-17,3,ENSENADA,796.33,755.46,40.87,0
2016-08-17,4,ENSENADA,731.76,694.7,37.06,0
2016-08-17,5,ENSENADA,860.75,816.58,44.16,0
2016-08-17,6,ENSENADA,830.92,788.72,42.2,0
2016-08-17,7,ENSENADA,801.85,762.34,39.52,0
2016-08-17,8,ENSENADA,795.45,755.32,40.13,0
2016-08-17,9,ENSENADA,889.91,842.2,47.71,0
2016-08-17,10,ENSENADA,947.8,895.39,52.41,0
2016-08-17,11,ENSENADA,949.4,895.39,54.02,0
2016-08-17,12,ENSENADA,950.67,895.36,55.31,0
2016-08-17,13,ENSENADA,923.52,868.64,54.88,0
2016-08-17,14,ENSENADA,952.91,895.23,57.68,0
2016-08-17,15,ENSENADA,980.44,921.78,58.66,0
2016-08-17,16,ENSENADA,951.31,895.37,55.94,0
2016-08-17,17,ENSENADA,952.16,895.62,56.55,0
2016-08-17,18,ENSENADA,950.87,895.52,55.35,0
2016-08-17,19,ENSENADA,951,895.46,55.54,0
2016-08-17,20,ENSENADA,951.33,895.41,55.92,0
2016-08-17,21,ENSENADA,955.25,895.37,59.89,0
2016-08-17,22,ENSENADA,953.17,895.5,57.67,0
2016-08-17,23,ENSENADA,950.09,895.58,54.52,0
2016-08-17,24,ENSENADA,975.05,921.8,53.26,0
2016-08-17,1,MEXICALI,953.1,895.56,57.55,0
