Fecha,Hora,Zona de Carga,Precio Zonal  ($/MWh),Componente energia  ($/MWh),Componente perdidas  ($/MWh),Componente Congestion  ($/MWh)
2016-12-01,1,ENSENADA,631.29,605.57,25.72,0
2016-12-01,2,ENSENADA,573.38,550.38,22.99,0
2016-12-01,3,ENSENADA,571.63,549.1,22.53,0
2016-12-01,4,ENSENADA,569.59,547.05,22.54,0
2016-12-01,5,ENSENADA,574.29,551.26,23.03,0
2016-12-01,6,ENSENADA,591.29,566.84,24.45,0
2016-12-01,7,ENSENADA,619.16,591.93,27.24,0
2016-12-01,8,ENSENADA,626.51,598.29,28.22,0
2016-12-01,9,ENSENADA,632.38,603.43,28.95,0
2016-12-01,10,ENSENADA,636.36,607.63,28.73,0
2016-12-01,11,ENSENADA,620.8,595.18,25.62,0
2016-12-01,12,ENSENADA,634.58,607.56,27.02,0
2016-12-01,13,ENSENADA,634.64,611.34,23.3,0
2016-12-01,14,ENSENADA,630.2,607.82,22.38,0
2016-12-01,15,ENSENADA,631.04,608.14,22.89,0
2016-12-01,16,ENSENADA,630.23,607.64,22.59,0
2016-12-01,17,ENSENADA,661.51,638.24,23.26,0
2016-12-01,18,ENSENADA,626.93,602.34,24.58,0
2016-12-01,19,ENSENADA,660.04,634.7,25.34,0
2016-12-01,20,ENSENADA,626.45,603.3,23.15,0
2016-12-01,21,ENSENADA,618.12,595.82,22.3,0
2016-12-01,22,ENSENADA,629.36,608.18,21.18,0
2016-12-01,23,ENSENADA,576.68,559.25,17.43,0
2016-12-01,24,ENSENADA,568.8,552.52,16.27,0
2016-12-01,1,MEXICALI,584.98,605.57,-20.6,0
2016-12-01,2,MEXICALI,536.18,550.38,-14.21,0
2016-12-01,3,MEXICALI,540.6,549.1,-8.51,0
2016-12-01,4,MEXICALI,538.49,547.05,-8.56,0
2016-12-01,5,MEXICALI,543.36,551.26,-7.9,0
2016-12-01,6,MEXICALI,561.64,566.84,-5.2,0
2016-12-01,7,MEXICALI,582.65,591.93,-9.28,0
2016-12-01,8,MEXICALI,584.83,598.29,-13.46,0
2016-12-01,9,MEXICALI,587.43,603.43,-16,0
2016-12-01,10,MEXICALI,590.38,607.63,-17.25,0
2016-12-01,11,MEXICALI,585.02,595.18,-10.15,0
2016-12-01,12,MEXICALI,592.38,607.56,-15.18,0
2016-12-01,13,MEXICALI,593.9,611.34,-17.43,0
2016-12-01,14,MEXICALI,592.65,607.82,-15.16,0
2016-12-01,15,MEXICALI,592.68,608.14,-15.47,0
2016-12-01,16,MEXICALI,592.53,607.64,-15.11,0
2016-12-01,17,MEXICALI,622.01,638.24,-16.23,0
2016-12-01,18,MEXICALI,593.02,602.34,-9.33,0
2016-12-01,19,MEXICALI,622.38,634.7,-12.32,0
2016-12-01,20,MEXICALI,593.05,603.3,-10.25,0
2016-12-01,21,MEXICALI,588.36,595.82,-7.46,0
2016-12-01,22,MEXICALI,593.23,608.18,-14.95,0
2016-12-01,23,MEXICALI,553.32,559.25,-5.92,0
2016-12-01,24,MEXICALI,549.77,552.52,-2.75,0
2016-12-01,1,SANLUIS,581.5,605.57,-24.07,0
2016-12-01,2,SANLUIS,533.13,550.38,-17.25,0
2016-12-01,3,SANLUIS,537.75,549.1,-11.35,0
2016-12-01,4,SANLUIS,535.64,547.05,-11.41,0
2016-12-01,5,SANLUIS,540.67,551.26,-10.59,0
2016-12-01,6,SANLUIS,559.39,566.84,-7.45,0
2016-12-01,7,SANLUIS,580.14,591.93,-11.79,0
2016-12-01,8,SANLUIS,582.06,598.29,-16.24,0
2016-12-01,9,SANLUIS,584.57,603.43,-18.86,0
2016-12-01,10,SANLUIS,587.64,607.63,-19.99,0
2016-12-01,11,SANLUIS,582.81,595.18,-12.37,0
2016-12-01,12,SANLUIS,590.07,607.56,-17.49,0
2016-12-01,13,SANLUIS,591.49,611.34,-19.85,0
2016-12-01,14,SANLUIS,590.42,607.82,-17.39,0
2016-12-01,15,SANLUIS,590.35,608.14,-17.79,0
2016-12-01,16,SANLUIS,590.3,607.64,-17.34,0
2016-12-01,17,SANLUIS,620.04,638.24,-18.2,0
2016-12-01,18,SANLUIS,591.8,602.34,-10.54,0
2016-12-01,19,SANLUIS,621.04,634.7,-13.66,0
2016-12-01,20,SANLUIS,591.61,603.3,-11.69,0
2016-12-01,21,SANLUIS,586.91,595.82,-8.91,0
2016-12-01,22,SANLUIS,590.85,608.18,-17.33,0
2016-12-01,23,SANLUIS,550.91,559.25,-8.33,0
2016-12-01,24,SANLUIS,547.2,552.52,-5.33,0
2016-12-01,1,TIJUANA,612.32,605.57,6.75,0
2016-12-01,2,TIJUANA,556.39,550.38,6,0
2016-12-01,3,TIJUANA,555.33,549.1,6.23,0
2016-12-01,4,TIJUANA,553.11,547.05,6.06,0
2016-12-01,5,TIJUANA,557.49,551.26,6.23,0
2016-12-01,6,TIJUANA,573.8,566.84,6.96,0
2016-12-01,7,TIJUANA,599.49,591.93,7.56,0
2016-12-01,8,TIJUANA,606.68,598.29,8.39,0
2016-12-01,9,TIJUANA,612.17,603.43,8.73,0
2016-12-01,10,TIJUANA,616.66,607.63,9.03,0
2016-12-01,11,TIJUANA,604.71,595.18,9.53,0
2016-12-01,12,TIJUANA,616.96,607.56,9.4,0
2016-12-01,13,TIJUANA,620.55,611.34,9.22,0
2016-12-01,14,TIJUANA,617.2,607.82,9.38,0
2016-12-01,15,TIJUANA,617.55,608.14,9.4,0
2016-12-01,16,TIJUANA,617.04,607.64,9.4,0
2016-12-01,17,TIJUANA,648.29,638.24,10.05,0
2016-12-01,18,TIJUANA,613.24,602.34,10.9,0
2016-12-01,19,TIJUANA,646.01,634.7,11.31,0
2016-12-01,20,TIJUANA,613.98,603.3,10.68,0
2016-12-01,21,TIJUANA,606.14,595.82,10.32,0
2016-12-01,22,TIJUANA,617.56,608.18,9.38,0
2016-12-01,23,TIJUANA,567.7,559.25,8.45,0
2016-12-01,24,TIJUANA,560.42,552.52,7.9,0
2016-12-02,1,ENSENADA,549.68,533.89,15.79,0
2016-12-02,2,ENSENADA,540.2,524.33,15.87,0
2016-12-02,3,ENSENADA,568.69,551.63,17.06,0
2016-12-02,4,ENSENADA,541.85,525.56,16.29,0
2016-12-02,5,ENSENADA,541.68,525.55,16.14,0
2016-12-02,6,ENSENADA,549.9,533.97,15.93,0
2016-12-02,7,ENSENADA,562.52,546.06,16.46,0
2016-12-02,8,ENSENADA,584.38,565.79,18.6,0
2016-12-02,9,ENSENADA,955.7,925.14,30.56,0
2016-12-02,10,ENSENADA,956.24,926.01,30.22,0
2016-12-02,11,ENSENADA,991.94,959.91,32.03,0
2016-12-02,12,ENSENADA,985.57,953.56,32.01,0
2016-12-02,13,ENSENADA,968.44,937.33,31.11,0
2016-12-02,14,ENSENADA,958.66,928.08,30.58,0
2016-12-02,15,ENSENADA,914.21,882.8,31.42,0
2016-12-02,16,ENSENADA,906.9,875.76,31.14,0
2016-12-02,17,ENSENADA,659.28,635.78,23.5,0
2016-12-02,18,ENSENADA,693.13,665.32,27.81,0
2016-12-02,19,ENSENADA,665.91,638.51,27.41,0
2016-12-02,20,ENSENADA,676.14,649.08,27.06,0
2016-12-02,21,ENSENADA,661.19,636.68,24.51,0
2016-12-02,22,ENSENADA,796.86,768.77,28.09,0
2016-12-02,23,ENSENADA,698.06,670.32,27.74,0
2016-12-02,24,ENSENADA,660.49,635.03,25.47,0
2016-12-02,1,MEXICALI,528.89,533.89,-5,0
2016-12-02,2,MEXICALI,517.33,524.33,-7,0
2016-12-02,3,MEXICALI,543.65,551.63,-7.98,0
2016-12-02,4,MEXICALI,518.69,525.56,-6.88,0
2016-12-02,5,MEXICALI,519.81,525.55,-5.74,0
2016-12-02,6,MEXICALI,529.92,533.97,-4.05,0
2016-12-02,7,MEXICALI,545.45,546.06,-.61,0
2016-12-02,8,MEXICALI,560.91,565.79,-4.88,0
2016-12-02,9,MEXICALI,902.26,925.14,-22.88,0
2016-12-02,10,MEXICALI,903.29,926.01,-22.72,0
