Fecha,Hora,Zona de Carga,Precio Zonal  ($/MWh),Componente energia  ($/MWh),Componente perdidas  ($/MWh),Componente Congestion  ($/MWh)
27/01/2016,1,ENSENADA,336.45,325.2,11.25,0
27/01/2016,2,ENSENADA,335.11,324.06,11.05,0
27/01/2016,3,ENSENADA,334.48,323.35,11.13,0
27/01/2016,4,ENSENADA,336.43,323.06,13.37,0
27/01/2016,5,ENSENADA,335.06,323.68,11.38,0
27/01/2016,6,ENSENADA,336.75,324.71,12.05,0
27/01/2016,7,ENSENADA,337.08,325.18,11.9,0
27/01/2016,8,ENSENADA,334.17,321.02,13.16,0
27/01/2016,9,ENSENADA,342.26,329.49,12.77,0
27/01/2016,10,ENSENADA,345.58,332.26,13.32,0
27/01/2016,11,ENSENADA,346.72,333.61,13.11,0
27/01/2016,12,ENSENADA,347.62,334.59,13.03,0
27/01/2016,13,ENSENADA,347.66,334.23,13.43,0
27/01/2016,14,ENSENADA,345.38,332.56,12.82,0
27/01/2016,15,ENSENADA,344.91,332.45,12.46,0
27/01/2016,16,ENSENADA,346.86,333.82,13.04,0
27/01/2016,17,ENSENADA,344.58,331.76,12.81,0
27/01/2016,18,ENSENADA,346.83,333.06,13.77,0
27/01/2016,19,ENSENADA,391.95,374.9,17.04,0
27/01/2016,20,ENSENADA,350.93,335.68,15.26,0
27/01/2016,21,ENSENADA,347.73,333.51,14.22,0
27/01/2016,22,ENSENADA,342.48,329.28,13.2,0
27/01/2016,23,ENSENADA,334.01,321.89,12.13,0
27/01/2016,24,ENSENADA,333.92,322.52,11.4,0
27/01/2016,1,MEXICALI,317.53,325.2,-7.67,0
27/01/2016,2,MEXICALI,317.27,324.06,-6.79,0
27/01/2016,3,MEXICALI,317.14,323.35,-6.22,0
27/01/2016,4,MEXICALI,317.21,323.06,-5.84,0
27/01/2016,5,MEXICALI,317.63,323.68,-6.04,0
27/01/2016,6,MEXICALI,317.59,324.71,-7.12,0
27/01/2016,7,MEXICALI,317.66,325.18,-7.52,0
27/01/2016,8,MEXICALI,316.62,321.02,-4.39,0
27/01/2016,9,MEXICALI,321.78,329.49,-7.71,0
27/01/2016,10,MEXICALI,322.13,332.26,-10.13,0
27/01/2016,11,MEXICALI,324.07,333.61,-9.55,0
27/01/2016,12,MEXICALI,324.37,334.59,-10.22,0
27/01/2016,13,MEXICALI,324.34,334.23,-9.89,0
27/01/2016,14,MEXICALI,322.58,332.56,-9.98,0
27/01/2016,15,MEXICALI,322.29,332.45,-10.17,0
27/01/2016,16,MEXICALI,323.89,333.82,-9.93,0
27/01/2016,17,MEXICALI,321.97,331.76,-9.8,0
27/01/2016,18,MEXICALI,324.47,333.06,-8.6,0
27/01/2016,19,MEXICALI,363.06,374.9,-11.85,0
27/01/2016,20,MEXICALI,325.66,335.67,-10.02,0
27/01/2016,21,MEXICALI,324.32,333.51,-9.19,0
27/01/2016,22,MEXICALI,321.9,329.28,-7.37,0
27/01/2016,23,MEXICALI,316.99,321.89,-4.89,0
27/01/2016,24,MEXICALI,316.44,322.52,-6.08,0
27/01/2016,1,SANLUIS,314.54,325.2,-10.66,0
27/01/2016,2,SANLUIS,314.31,324.06,-9.76,0
27/01/2016,3,SANLUIS,314.24,323.35,-9.12,0
27/01/2016,4,SANLUIS,314.33,323.06,-8.73,0
27/01/2016,5,SANLUIS,314.83,323.68,-8.84,0
27/01/2016,6,SANLUIS,315,324.71,-9.71,0
27/01/2016,7,SANLUIS,314.99,325.18,-10.19,0
27/01/2016,8,SANLUIS,314.06,321.02,-6.96,0
27/01/2016,9,SANLUIS,319.21,329.49,-10.28,0
27/01/2016,10,SANLUIS,320.35,332.26,-11.9,0
27/01/2016,11,SANLUIS,322.28,333.61,-11.33,0
27/01/2016,12,SANLUIS,322.6,334.59,-11.99,0
27/01/2016,13,SANLUIS,322.46,334.23,-11.77,0
27/01/2016,14,SANLUIS,320.11,332.56,-12.45,0
27/01/2016,15,SANLUIS,319.92,332.45,-12.54,0
