Fecha,Hora,Zona de Carga,Precio Zonal  ($/MWh),Componente energia  ($/MWh),Componente perdidas  ($/MWh),Componente Congestion  ($/MWh)
16/07/2016,1,ENSENADA,699.82,659.59,40.23,0
16/07/2016,2,ENSENADA,508.41,478.44,29.98,0
16/07/2016,3,ENSENADA,500.59,471.47,29.12,0
16/07/2016,4,ENSENADA,486.51,458.55,27.96,0
16/07/2016,5,ENSENADA,473.89,446.93,26.96,0
16/07/2016,6,ENSENADA,477.06,450.77,26.29,0
16/07/2016,7,ENSENADA,473.32,447.53,25.79,0
16/07/2016,8,ENSENADA,480.58,452.84,27.74,0
16/07/2016,9,ENSENADA,483.31,454.32,28.99,0
16/07/2016,10,ENSENADA,498.46,468.38,30.08,0
16/07/2016,11,ENSENADA,686.95,644.19,42.76,0
16/07/2016,12,ENSENADA,788.18,736.6,51.59,0
16/07/2016,13,ENSENADA,847.03,804.87,42.16,0
16/07/2016,14,ENSENADA,873.09,829.18,43.91,0
16/07/2016,15,ENSENADA,873.46,829.14,44.32,0
16/07/2016,16,ENSENADA,864.57,804.91,59.65,0
16/07/2016,17,ENSENADA,888.25,828.99,59.26,0
16/07/2016,18,ENSENADA,886.98,828.96,58.02,0
16/07/2016,19,ENSENADA,861.32,804.68,56.64,0
16/07/2016,20,ENSENADA,895.88,853.02,42.87,0
16/07/2016,21,ENSENADA,888.09,829.09,59.01,0
16/07/2016,22,ENSENADA,887.99,828.85,59.14,0
16/07/2016,23,ENSENADA,766.32,718.15,48.17,0
16/07/2016,24,ENSENADA,664.42,625.73,38.69,0
16/07/2016,1,MEXICALI,686.05,659.59,26.46,0
16/07/2016,2,MEXICALI,492.81,478.44,14.37,0
16/07/2016,3,MEXICALI,482.21,471.47,10.74,0
16/07/2016,4,MEXICALI,465.92,458.55,7.37,0
16/07/2016,5,MEXICALI,451.46,446.93,4.53,0
16/07/2016,6,MEXICALI,451.75,450.77,0.98,0
16/07/2016,7,MEXICALI,448.06,447.53,0.53,0
16/07/2016,8,MEXICALI,450.52,452.84,-2.32,0
16/07/2016,9,MEXICALI,455.78,454.32,1.46,0
16/07/2016,10,MEXICALI,475.04,468.38,6.66,0
16/07/2016,11,MEXICALI,662.36,644.19,18.17,0
16/07/2016,12,MEXICALI,766.99,736.6,30.39,0
16/07/2016,13,MEXICALI,849.51,804.87,44.63,0
16/07/2016,14,MEXICALI,881.94,829.18,52.77,0
16/07/2016,15,MEXICALI,883.27,829.14,54.13,0
16/07/2016,16,MEXICALI,821.36,804.91,16.45,0
16/07/2016,17,MEXICALI,846.94,828.99,17.95,0
