Fecha,Hora,Zona de Carga,Precio Zonal  ($/MWh),Componente energia  ($/MWh),Componente perdidas  ($/MWh),Componente Congestion  ($/MWh)
16/06/2016,1,ENSENADA,655.89,626.46,29.43,0
16/06/2016,2,ENSENADA,755.48,723.19,32.29,0
16/06/2016,3,ENSENADA,606.19,580.93,25.26,0
16/06/2016,4,ENSENADA,413.3,396.53,16.77,0
16/06/2016,5,ENSENADA,412.92,395.97,16.95,0
16/06/2016,6,ENSENADA,413.03,395.93,17.11,0
16/06/2016,7,ENSENADA,415.99,398.09,17.9,0
16/06/2016,8,ENSENADA,692.99,661.95,31.04,0
16/06/2016,9,ENSENADA,630.44,601.16,29.28,0
16/06/2016,10,ENSENADA,641.63,610.77,30.86,0
16/06/2016,11,ENSENADA,653.92,621.41,32.51,0
16/06/2016,12,ENSENADA,718.14,682.27,35.87,0
16/06/2016,13,ENSENADA,696.33,661.97,34.36,0
16/06/2016,14,ENSENADA,739.47,702.86,36.62,0
16/06/2016,15,ENSENADA,741.57,702.98,38.58,0
16/06/2016,16,ENSENADA,763,723.29,39.71,0
16/06/2016,17,ENSENADA,763.34,723.36,39.99,0
16/06/2016,18,ENSENADA,762.11,723.35,38.76,0
16/06/2016,19,ENSENADA,761.25,723.16,38.1,0
16/06/2016,20,ENSENADA,675.07,641.82,33.25,0
16/06/2016,21,ENSENADA,762.32,723.42,38.91,0
16/06/2016,22,ENSENADA,739.29,703.01,36.28,0
16/06/2016,23,ENSENADA,689.93,657.53,32.4,0
16/06/2016,24,ENSENADA,671.16,641.86,29.3,0
16/06/2016,1,MEXICALI,648.01,626.46,21.55,0
16/06/2016,2,MEXICALI,740.7,723.19,17.51,0
16/06/2016,3,MEXICALI,590.32,580.93,9.39,0
16/06/2016,4,MEXICALI,401.38,396.53,4.84,0
16/06/2016,5,MEXICALI,399.94,395.97,3.97,0
16/06/2016,6,MEXICALI,399.01,395.93,3.08,0
16/06/2016,7,MEXICALI,399.93,398.09,1.84,0
16/06/2016,8,MEXICALI,664.38,661.95,2.43,0
16/06/2016,9,MEXICALI,609.23,601.16,8.07,0
16/06/2016,10,MEXICALI,621.47,610.77,10.71,0
16/06/2016,11,MEXICALI,633.44,621.41,12.03,0
16/06/2016,12,MEXICALI,699.16,682.27,16.89,0
16/06/2016,13,MEXICALI,679.79,661.97,17.82,0
16/06/2016,14,MEXICALI,726.29,702.86,23.44,0
16/06/2016,15,MEXICALI,730.41,702.99,27.43,0
16/06/2016,16,MEXICALI,764.09,723.29,40.8,0
16/06/2016,17,MEXICALI,765.77,723.36,42.41,0
16/06/2016,18,MEXICALI,754.95,723.35,31.59,0
16/06/2016,19,MEXICALI,747.61,723.16,24.46,0
16/06/2016,20,MEXICALI,659.06,641.82,17.24,0
16/06/2016,21,MEXICALI,742.62,723.42,19.2,0
16/06/2016,22,MEXICALI,733.91,703.01,30.9,0
16/06/2016,23,MEXICALI,687.76,657.53,30.23,0
16/06/2016,24,MEXICALI,672.53,641.86,30.67,0
16/06/2016,1,SANLUIS,650.65,626.46,24.19,0
16/06/2016,2,SANLUIS,743.02,723.19,19.83,0
16/06/2016,3,SANLUIS,591.83,580.93,10.89,0
16/06/2016,4,SANLUIS,402.17,396.53,5.63,0
16/06/2016,5,SANLUIS,400.49,395.97,4.52,0
16/06/2016,6,SANLUIS,399.06,395.93,3.13,0
16/06/2016,7,SANLUIS,399.72,398.09,1.63,0
16/06/2016,8,SANLUIS,664.14,661.95,2.19,0
16/06/2016,9,SANLUIS,608.47,601.16,7.32,0
16/06/2016,10,SANLUIS,621.4,610.77,10.63,0
16/06/2016,11,SANLUIS,634.08,621.41,12.66,0
16/06/2016,12,SANLUIS,700,682.27,17.72,0
16/06/2016,13,SANLUIS,680.63,661.97,18.66,0
16/06/2016,14,SANLUIS,727.58,702.86,24.73,0
16/06/2016,15,SANLUIS,731.92,702.98,28.94,0
