Fecha,Hora,Zona de Carga,Precio Zonal  ($/MWh),Componente energia  ($/MWh),Componente perdidas  ($/MWh),Componente Congestion  ($/MWh)
16/03/2016,1,ENSENADA,336.77,324.99,11.79,0
16/03/2016,2,ENSENADA,337.63,325.84,11.79,0
16/03/2016,3,ENSENADA,336.89,325.06,11.83,0
16/03/2016,4,ENSENADA,336.88,324.88,12.01,0
16/03/2016,5,ENSENADA,337.25,324.97,12.28,0
16/03/2016,6,ENSENADA,337.07,324.7,12.37,0
16/03/2016,7,ENSENADA,336.72,324.13,12.6,0
16/03/2016,8,ENSENADA,339.22,326.11,13.11,0
16/03/2016,9,ENSENADA,339.89,326.13,13.76,0
16/03/2016,10,ENSENADA,341.35,327.58,13.77,0
16/03/2016,11,ENSENADA,341.12,327.57,13.55,0
16/03/2016,12,ENSENADA,342.41,327.89,14.52,0
16/03/2016,13,ENSENADA,345.15,330.88,14.27,0
16/03/2016,14,ENSENADA,346.59,331.84,14.75,0
16/03/2016,15,ENSENADA,347.74,332.9,14.84,0
16/03/2016,16,ENSENADA,346.86,332.65,14.21,0
16/03/2016,17,ENSENADA,346.22,331.98,14.24,0
16/03/2016,18,ENSENADA,346.11,331.62,14.49,0
16/03/2016,19,ENSENADA,346.08,331.32,14.76,0
16/03/2016,20,ENSENADA,377.68,359.81,17.87,0
16/03/2016,21,ENSENADA,378.77,360.64,18.13,0
16/03/2016,22,ENSENADA,377.98,361.27,16.72,0
16/03/2016,23,ENSENADA,343.2,328.78,14.42,0
16/03/2016,24,ENSENADA,340.01,326.75,13.26,0
16/03/2016,1,MEXICALI,320.94,324.99,-4.05,0
16/03/2016,2,MEXICALI,320.91,325.84,-4.94,0
16/03/2016,3,MEXICALI,320.69,325.06,-4.37,0
16/03/2016,4,MEXICALI,320.69,324.88,-4.19,0
16/03/2016,5,MEXICALI,320.68,324.97,-4.29,0
16/03/2016,6,MEXICALI,321.05,324.7,-3.65,0
16/03/2016,7,MEXICALI,321.35,324.13,-2.78,0
16/03/2016,8,MEXICALI,323.85,326.11,-2.26,0
16/03/2016,9,MEXICALI,324.56,326.13,-1.58,0
16/03/2016,10,MEXICALI,325.13,327.58,-2.45,0
16/03/2016,11,MEXICALI,325.15,327.57,-2.41,0
16/03/2016,12,MEXICALI,324.98,327.89,-2.91,0
16/03/2016,13,MEXICALI,325.52,330.88,-5.37,0
16/03/2016,14,MEXICALI,326,331.84,-5.84,0
16/03/2016,15,MEXICALI,326.37,332.9,-6.53,0
16/03/2016,16,MEXICALI,326.61,332.65,-6.04,0
