Fecha,Hora,Zona de Carga,Precio Zonal  ($/MWh),Componente energia  ($/MWh),Componente perdidas  ($/MWh),Componente Congestion  ($/MWh)
2016-11-16,1,ENSENADA,405.74,389.08,16.66,0
2016-11-16,2,ENSENADA,702.65,674.58,28.06,0
2016-11-16,3,ENSENADA,405.24,389.14,16.1,0
2016-11-16,4,ENSENADA,405.01,388.87,16.14,0
2016-11-16,5,ENSENADA,412.33,394.87,17.47,0
2016-11-16,6,ENSENADA,755.28,722.13,33.14,0
2016-11-16,7,ENSENADA,807.08,769.78,37.3,0
2016-11-16,8,ENSENADA,682.92,650.91,32,0
2016-11-16,9,ENSENADA,489.26,464.62,24.64,0
2016-11-16,10,ENSENADA,451.41,428.48,22.93,0
2016-11-16,11,ENSENADA,449.15,426.5,22.65,0
2016-11-16,12,ENSENADA,785.13,746.04,39.1,0
2016-11-16,13,ENSENADA,816.36,776.83,39.53,0
2016-11-16,14,ENSENADA,741.87,706.83,35.04,0
2016-11-16,15,ENSENADA,579.86,552.07,27.79,0
2016-11-16,16,ENSENADA,734.08,697.72,36.36,0
2016-11-16,17,ENSENADA,709.2,674.99,34.2,0
2016-11-16,18,ENSENADA,735.06,698.42,36.64,0
2016-11-16,19,ENSENADA,703.81,674.96,28.86,0
2016-11-16,20,ENSENADA,703.09,674.99,28.11,0
2016-11-16,21,ENSENADA,726.59,698.71,27.89,0
2016-11-16,22,ENSENADA,440.24,424.14,16.1,0
2016-11-16,23,ENSENADA,444.95,429.55,15.4,0
2016-11-16,24,ENSENADA,439.25,424.91,14.35,0
2016-11-16,1,MEXICALI,378.39,389.08,-10.69,0
2016-11-16,2,MEXICALI,662.29,674.58,-12.29,0
2016-11-16,3,MEXICALI,381.05,389.14,-8.09,0
2016-11-16,4,MEXICALI,380.39,388.87,-8.48,0
2016-11-16,5,MEXICALI,387.08,394.87,-7.79,0
2016-11-16,6,MEXICALI,711.07,722.13,-11.07,0
2016-11-16,7,MEXICALI,755.73,769.78,-14.05,0
2016-11-16,8,MEXICALI,627.37,650.91,-23.54,0
2016-11-16,9,MEXICALI,455.64,464.62,-8.99,0
2016-11-16,10,MEXICALI,431.94,428.48,3.46,0
2016-11-16,11,MEXICALI,430.03,426.5,3.53,0
2016-11-16,12,MEXICALI,753.15,746.04,7.11,0
2016-11-16,13,MEXICALI,784.67,776.83,7.84,0
2016-11-16,14,MEXICALI,714.17,706.83,7.34,0
2016-11-16,15,MEXICALI,558.12,552.07,6.05,0
2016-11-16,16,MEXICALI,705.45,697.72,7.73,0
2016-11-16,17,MEXICALI,681.25,674.99,6.26,0
2016-11-16,18,MEXICALI,704.92,698.42,6.51,0
2016-11-16,19,MEXICALI,681.06,674.96,6.1,0
2016-11-16,20,MEXICALI,680.35,674.99,5.37,0
2016-11-16,21,MEXICALI,704.6,698.71,5.89,0
2016-11-16,22,MEXICALI,427.61,424.14,3.47,0
2016-11-16,23,MEXICALI,432.77,429.55,3.22,0
2016-11-16,24,MEXICALI,427.81,424.91,2.91,0
2016-11-16,1,SANLUIS,376.84,389.08,-12.24,0
2016-11-16,2,SANLUIS,659.56,674.58,-15.02,0
2016-11-16,3,SANLUIS,379.38,389.14,-9.76,0
2016-11-16,4,SANLUIS,378.67,388.87,-10.2,0
2016-11-16,5,SANLUIS,385.42,394.87,-9.45,0
2016-11-16,6,SANLUIS,708.28,722.13,-13.86,0
2016-11-16,7,SANLUIS,752.61,769.78,-17.17,0
2016-11-16,8,SANLUIS,624.7,650.91,-26.22,0
2016-11-16,9,SANLUIS,453.87,464.62,-10.75,0
2016-11-16,10,SANLUIS,430.82,428.48,2.34,0
2016-11-16,11,SANLUIS,429.09,426.5,2.59,0
2016-11-16,12,SANLUIS,751.69,746.04,5.65,0
2016-11-16,13,SANLUIS,783.4,776.83,6.57,0
2016-11-16,14,SANLUIS,713.31,706.83,6.48,0
2016-11-16,15,SANLUIS,557.46,552.07,5.39,0
2016-11-16,16,SANLUIS,704.52,697.72,6.8,0
2016-11-16,17,SANLUIS,680.74,674.99,5.75,0
2016-11-16,18,SANLUIS,705.07,698.42,6.66,0
2016-11-16,19,SANLUIS,681.28,674.96,6.33,0
2016-11-16,20,SANLUIS,680.49,674.99,5.5,0
2016-11-16,21,SANLUIS,702.59,698.71,3.88,0
2016-11-16,22,SANLUIS,426.31,424.14,2.17,0
2016-11-16,23,SANLUIS,431.49,429.55,1.94,0
2016-11-16,24,SANLUIS,426.64,424.91,1.74,0
2016-11-16,1,TIJUANA,393.69,389.08,4.61,0
2016-11-16,2,TIJUANA,682.73,674.58,8.15,0
2016-11-16,3,TIJUANA,393.56,389.14,4.42,0
2016-11-16,4,TIJUANA,393.2,388.87,4.32,0
2016-11-16,5,TIJUANA,399.35,394.87,4.48,0
2016-11-16,6,TIJUANA,730.92,722.13,8.79,0
2016-11-16,7,TIJUANA,780.06,769.78,10.28,0
2016-11-16,8,TIJUANA,659.64,650.91,8.73,0
2016-11-16,9,TIJUANA,472.02,464.62,7.4,0
2016-11-16,10,TIJUANA,435.99,428.48,7.51,0
2016-11-16,11,TIJUANA,434.12,426.5,7.62,0
2016-11-16,12,TIJUANA,759.62,746.04,13.59,0
2016-11-16,13,TIJUANA,790.87,776.83,14.04,0
2016-11-16,14,TIJUANA,719.79,706.83,12.96,0
2016-11-16,15,TIJUANA,562.32,552.07,10.25,0
2016-11-16,16,TIJUANA,710.58,697.72,12.86,0
2016-11-16,17,TIJUANA,687.26,674.99,12.27,0
2016-11-16,18,TIJUANA,711.62,698.42,13.2,0
2016-11-16,19,TIJUANA,687.71,674.96,12.75,0
2016-11-16,20,TIJUANA,687.43,674.98,12.45,0
2016-11-16,21,TIJUANA,711.9,698.71,13.19,0
2016-11-16,22,TIJUANA,431.63,424.14,7.49,0
2016-11-16,23,TIJUANA,436.58,429.55,7.03,0
2016-11-16,24,TIJUANA,431.48,424.91,6.58,0
2016-11-17,1,ENSENADA,435.05,416.25,18.8,0
2016-11-17,2,ENSENADA,438.54,420.69,17.85,0
2016-11-17,3,ENSENADA,428.79,411.25,17.54,0
2016-11-17,4,ENSENADA,427.51,410.54,16.97,0
2016-11-17,5,ENSENADA,428.28,411.2,17.08,0
2016-11-17,6,ENSENADA,467.49,448.56,18.93,0
2016-11-17,7,ENSENADA,480.91,460.77,20.15,0
2016-11-17,8,ENSENADA,474.14,452.71,21.43,0
2016-11-17,9,ENSENADA,477.55,456.54,21,0
2016-11-17,10,ENSENADA,473.27,452.74,20.53,0
2016-11-17,11,ENSENADA,457.7,438.41,19.3,0
2016-11-17,12,ENSENADA,492.29,469.96,22.33,0
2016-11-17,13,ENSENADA,461.92,441.27,20.66,0
2016-11-17,14,ENSENADA,461.5,441.17,20.32,0
2016-11-17,15,ENSENADA,461.69,441.66,20.03,0
2016-11-17,16,ENSENADA,456.84,438.17,18.66,0
2016-11-17,17,ENSENADA,445.31,426.77,18.55,0
2016-11-17,18,ENSENADA,669.39,640.93,28.46,0
2016-11-17,19,ENSENADA,688.9,664.04,24.86,0
2016-11-17,20,ENSENADA,453.13,438.54,14.6,0
2016-11-17,21,ENSENADA,661.46,640.86,20.6,0
2016-11-17,22,ENSENADA,432.32,420.56,11.76,0
2016-11-17,23,ENSENADA,681.89,664.08,17.8,0
2016-11-17,24,ENSENADA,420.07,409.99,10.09,0
2016-11-17,1,MEXICALI,407.05,416.25,-9.21,0
2016-11-17,2,MEXICALI,414.17,420.69,-6.52,0
2016-11-17,3,MEXICALI,404.32,411.25,-6.93,0
2016-11-17,4,MEXICALI,403.54,410.54,-7,0
2016-11-17,5,MEXICALI,404.35,411.2,-6.85,0
2016-11-17,6,MEXICALI,437.19,448.56,-11.36,0
2016-11-17,7,MEXICALI,444.85,460.77,-15.91,0
2016-11-17,8,MEXICALI,439.78,452.71,-12.93,0
2016-11-17,9,MEXICALI,445.32,456.54,-11.23,0
2016-11-17,10,MEXICALI,456.24,452.74,3.5,0
2016-11-17,11,MEXICALI,441.51,438.41,3.1,0
2016-11-17,12,MEXICALI,473.35,469.96,3.39,0
2016-11-17,13,MEXICALI,444.52,441.27,3.25,0
2016-11-17,14,MEXICALI,444.5,441.17,3.32,0
2016-11-17,15,MEXICALI,444.89,441.66,3.24,0
2016-11-17,16,MEXICALI,441.34,438.17,3.16,0
2016-11-17,17,MEXICALI,429.61,426.77,2.84,0
2016-11-17,18,MEXICALI,645.75,640.93,4.82,0
2016-11-17,19,MEXICALI,669.05,664.04,5.01,0
2016-11-17,20,MEXICALI,441.68,438.54,3.14,0
2016-11-17,21,MEXICALI,645.25,640.86,4.39,0
2016-11-17,22,MEXICALI,423.38,420.56,2.82,0
2016-11-17,23,MEXICALI,668.12,664.08,4.04,0
2016-11-17,24,MEXICALI,412.34,409.99,2.36,0
2016-11-17,1,SANLUIS,405.47,416.25,-10.78,0
2016-11-17,2,SANLUIS,412.51,420.69,-8.18,0
2016-11-17,3,SANLUIS,402.56,411.25,-8.68,0
2016-11-17,4,SANLUIS,401.79,410.54,-8.76,0
2016-11-17,5,SANLUIS,402.76,411.2,-8.44,0
2016-11-17,6,SANLUIS,435.53,448.56,-13.02,0
2016-11-17,7,SANLUIS,442.9,460.77,-17.87,0
2016-11-17,8,SANLUIS,437.84,452.7,-14.87,0
2016-11-17,9,SANLUIS,443.29,456.54,-13.26,0
