Fecha,Hora,Zona de Carga,Precio Zonal  ($/MWh),Componente energia  ($/MWh),Componente perdidas  ($/MWh),Componente Congestion  ($/MWh)
2016-10-16,1,ENSENADA,476.26,456.9,19.36,0
2016-10-16,2,ENSENADA,471.8,453.37,18.42,0
2016-10-16,3,ENSENADA,468.58,450.7,17.88,0
2016-10-16,4,ENSENADA,465.67,448.4,17.27,0
2016-10-16,5,ENSENADA,469.43,452.23,17.2,0
2016-10-16,6,ENSENADA,468.44,451.12,17.33,0
2016-10-16,7,ENSENADA,468.38,451.08,17.3,0
2016-10-16,8,ENSENADA,471.09,452.44,18.65,0
2016-10-16,9,ENSENADA,473.77,455.74,18.03,0
2016-10-16,10,ENSENADA,476.98,458.35,18.63,0
2016-10-16,11,ENSENADA,481.22,462.26,18.97,0
2016-10-16,12,ENSENADA,483.69,464.28,19.41,0
2016-10-16,13,ENSENADA,485.78,466.03,19.76,0
2016-10-16,14,ENSENADA,837,802.48,34.52,0
2016-10-16,15,ENSENADA,919.73,881.06,38.67,0
2016-10-16,16,ENSENADA,892.79,854.84,37.95,0
2016-10-16,17,ENSENADA,892.3,854.61,37.69,0
2016-10-16,18,ENSENADA,890.38,854.64,35.74,0
2016-10-16,19,ENSENADA,500.38,479.48,20.9,0
2016-10-16,20,ENSENADA,811.94,776.48,35.46,0
2016-10-16,21,ENSENADA,757.59,724.69,32.9,0
2016-10-16,22,ENSENADA,508.83,487.54,21.29,0
2016-10-16,23,ENSENADA,836.51,802.72,33.79,0
2016-10-16,24,ENSENADA,476.09,457.85,18.24,0
2016-10-16,1,MEXICALI,452.84,456.9,-4.07,0
2016-10-16,2,MEXICALI,450.66,453.37,-2.72,0
2016-10-16,3,MEXICALI,448.77,450.7,-1.93,0
2016-10-16,4,MEXICALI,447.01,448.4,-1.39,0
2016-10-16,5,MEXICALI,447.69,452.23,-4.54,0
2016-10-16,6,MEXICALI,446.39,451.12,-4.73,0
2016-10-16,7,MEXICALI,446.33,451.08,-4.75,0
2016-10-16,8,MEXICALI,445.95,452.44,-6.49,0
2016-10-16,9,MEXICALI,447.5,455.74,-8.24,0
2016-10-16,10,MEXICALI,448.3,458.35,-10.05,0
2016-10-16,11,MEXICALI,451.46,462.26,-10.79,0
2016-10-16,12,MEXICALI,454.24,464.28,-10.04,0
2016-10-16,13,MEXICALI,459.32,466.03,-6.71,0
2016-10-16,14,MEXICALI,797.57,802.48,-4.92,0
2016-10-16,15,MEXICALI,881.69,881.06,.63,0
2016-10-16,16,MEXICALI,858.94,854.84,4.1,0
2016-10-16,17,MEXICALI,860.1,854.61,5.49,0
2016-10-16,18,MEXICALI,856.44,854.65,1.8,0
2016-10-16,19,MEXICALI,480.36,479.48,.88,0
2016-10-16,20,MEXICALI,780.32,776.48,3.84,0
2016-10-16,21,MEXICALI,730.09,724.69,5.41,0
2016-10-16,22,MEXICALI,488.94,487.54,1.41,0
2016-10-16,23,MEXICALI,803.41,802.72,.69,0
2016-10-16,24,MEXICALI,454.97,457.85,-2.88,0
2016-10-16,1,SANLUIS,453,456.9,-3.9,0
2016-10-16,2,SANLUIS,450.62,453.37,-2.76,0
2016-10-16,3,SANLUIS,448.55,450.7,-2.16,0
2016-10-16,4,SANLUIS,446.55,448.4,-1.86,0
2016-10-16,5,SANLUIS,446.97,452.23,-5.27,0
2016-10-16,6,SANLUIS,445.43,451.12,-5.69,0
2016-10-16,7,SANLUIS,445.26,451.08,-5.83,0
2016-10-16,8,SANLUIS,444.63,452.44,-7.81,0
2016-10-16,9,SANLUIS,446.2,455.74,-9.54,0
2016-10-16,10,SANLUIS,447.21,458.35,-11.14,0
2016-10-16,11,SANLUIS,450.65,462.26,-11.61,0
2016-10-16,12,SANLUIS,453.76,464.28,-10.52,0
2016-10-16,13,SANLUIS,459.29,466.03,-6.74,0
2016-10-16,14,SANLUIS,798.27,802.48,-4.22,0
2016-10-16,15,SANLUIS,883.07,881.06,2.01,0
2016-10-16,16,SANLUIS,860.38,854.84,5.55,0
2016-10-16,17,SANLUIS,861.44,854.61,6.83,0
2016-10-16,18,SANLUIS,857.27,854.64,2.63,0
2016-10-16,19,SANLUIS,480.81,479.48,1.33,0
2016-10-16,20,SANLUIS,781.88,776.48,5.39,0
2016-10-16,21,SANLUIS,731.86,724.69,7.17,0
2016-10-16,22,SANLUIS,490.13,487.54,2.59,0
2016-10-16,23,SANLUIS,804.91,802.72,2.19,0
2016-10-16,24,SANLUIS,455.38,457.85,-2.48,0
2016-10-16,1,TIJUANA,461.64,456.9,4.73,0
2016-10-16,2,TIJUANA,457.93,453.37,4.56,0
2016-10-16,3,TIJUANA,455.14,450.7,4.43,0
2016-10-16,4,TIJUANA,452.77,448.4,4.37,0
2016-10-16,5,TIJUANA,456.35,452.23,4.12,0
2016-10-16,6,TIJUANA,455.27,451.12,4.15,0
2016-10-16,7,TIJUANA,455.21,451.08,4.13,0
2016-10-16,8,TIJUANA,456.58,452.44,4.14,0
2016-10-16,9,TIJUANA,460.12,455.74,4.38,0
2016-10-16,10,TIJUANA,462.91,458.35,4.56,0
2016-10-16,11,TIJUANA,467.12,462.26,4.86,0
2016-10-16,12,TIJUANA,469.44,464.28,5.16,0
2016-10-16,13,TIJUANA,471.55,466.03,5.52,0
2016-10-16,14,TIJUANA,812.55,802.49,10.07,0
2016-10-16,15,TIJUANA,892.65,881.06,11.59,0
2016-10-16,16,TIJUANA,866.18,854.84,11.35,0
2016-10-16,17,TIJUANA,865.95,854.61,11.33,0
2016-10-16,18,TIJUANA,865.59,854.64,10.94,0
2016-10-16,19,TIJUANA,486.13,479.48,6.65,0
2016-10-16,20,TIJUANA,788.48,776.48,12,0
2016-10-16,21,TIJUANA,735.65,724.69,10.96,0
2016-10-16,22,TIJUANA,494.72,487.54,7.18,0
2016-10-16,23,TIJUANA,812.82,802.72,10.1,0
2016-10-16,24,TIJUANA,462.78,457.85,4.92,0
2016-10-17,1,ENSENADA,479.56,459.56,20,0
2016-10-17,2,ENSENADA,477.4,457.81,19.59,0
2016-10-17,3,ENSENADA,473.97,455.22,18.75,0
2016-10-17,4,ENSENADA,473.4,454.65,18.75,0
2016-10-17,5,ENSENADA,472.76,454.07,18.69,0
2016-10-17,6,ENSENADA,477.95,458.68,19.26,0
2016-10-17,7,ENSENADA,483.39,463.37,20.02,0
2016-10-17,8,ENSENADA,489.26,468.72,20.55,0
2016-10-17,9,ENSENADA,734.48,702.45,32.03,0
2016-10-17,10,ENSENADA,756.65,723.44,33.22,0
2016-10-17,11,ENSENADA,841.07,803.02,38.05,0
2016-10-17,12,ENSENADA,759.59,724.01,35.58,0
2016-10-17,13,ENSENADA,739.78,704.07,35.71,0
2016-10-17,14,ENSENADA,719.7,683.74,35.96,0
2016-10-17,15,ENSENADA,720.7,683.87,36.83,0
2016-10-17,16,ENSENADA,788.79,749.04,39.75,0
2016-10-17,17,ENSENADA,782.43,743.98,38.45,0
2016-10-17,18,ENSENADA,895.47,851.26,44.21,0
2016-10-17,19,ENSENADA,805.11,764.21,40.91,0
2016-10-17,20,ENSENADA,906.98,860.75,46.23,0
2016-10-17,21,ENSENADA,848.5,804.48,44.01,0
2016-10-17,22,ENSENADA,854.41,812.24,42.16,0
2016-10-17,23,ENSENADA,923.94,880.98,42.96,0
2016-10-17,24,ENSENADA,813.24,777.23,36.01,0
2016-10-17,1,MEXICALI,454.92,459.56,-4.64,0
2016-10-17,2,MEXICALI,453.14,457.81,-4.67,0
2016-10-17,3,MEXICALI,450.98,455.22,-4.24,0
2016-10-17,4,MEXICALI,450.16,454.65,-4.49,0
2016-10-17,5,MEXICALI,448.84,454.07,-5.23,0
2016-10-17,6,MEXICALI,449.9,458.68,-8.78,0
2016-10-17,7,MEXICALI,452.24,463.37,-11.13,0
2016-10-17,8,MEXICALI,454.02,468.72,-14.7,0
2016-10-17,9,MEXICALI,660.05,702.45,-42.4,0
2016-10-17,10,MEXICALI,685.15,723.44,-38.29,0
2016-10-17,11,MEXICALI,767.6,803.02,-35.41,0
2016-10-17,12,MEXICALI,697.82,724.01,-26.19,0
2016-10-17,13,MEXICALI,683.92,704.07,-20.15,0
2016-10-17,14,MEXICALI,662.25,683.74,-21.48,0
2016-10-17,15,MEXICALI,666.7,683.87,-17.17,0
2016-10-17,16,MEXICALI,733.72,749.04,-15.32,0
2016-10-17,17,MEXICALI,727.18,743.98,-16.8,0
2016-10-17,18,MEXICALI,827.62,851.26,-23.64,0
2016-10-17,19,MEXICALI,744.09,764.21,-20.12,0
2016-10-17,20,MEXICALI,842.76,860.75,-18,0
2016-10-17,21,MEXICALI,805.34,804.48,.86,0
2016-10-17,22,MEXICALI,813.62,812.24,1.38,0
2016-10-17,23,MEXICALI,881.08,880.98,.1,0
2016-10-17,24,MEXICALI,776.1,777.23,-1.14,0
2016-10-17,1,SANLUIS,454.63,459.56,-4.93,0
2016-10-17,2,SANLUIS,452.64,457.81,-5.17,0
2016-10-17,3,SANLUIS,450.26,455.22,-4.96,0
2016-10-17,4,SANLUIS,449.23,454.65,-5.42,0
2016-10-17,5,SANLUIS,447.76,454.07,-6.3,0
2016-10-17,6,SANLUIS,448.61,458.68,-10.07,0
2016-10-17,7,SANLUIS,450.8,463.37,-12.57,0
2016-10-17,8,SANLUIS,452.28,468.72,-16.44,0
2016-10-17,9,SANLUIS,653.91,702.45,-48.54,0
2016-10-17,10,SANLUIS,679.86,723.44,-43.57,0
2016-10-17,11,SANLUIS,763.09,803.02,-39.92,0
2016-10-17,12,SANLUIS,694.32,724.01,-29.69,0
2016-10-17,13,SANLUIS,681.04,704.07,-23.03,0
2016-10-17,14,SANLUIS,660.23,683.74,-23.5,0
2016-10-17,15,SANLUIS,665.92,683.87,-17.95,0
2016-10-17,16,SANLUIS,733.13,749.04,-15.91,0
2016-10-17,17,SANLUIS,726.86,743.98,-17.12,0
2016-10-17,18,SANLUIS,827,851.26,-24.26,0
2016-10-17,19,SANLUIS,742.01,764.21,-22.2,0
2016-10-17,20,SANLUIS,840.57,860.75,-20.18,0
2016-10-17,21,SANLUIS,805.73,804.48,1.25,0
2016-10-17,22,SANLUIS,813.78,812.24,1.54,0
2016-10-17,23,SANLUIS,880.55,880.98,-.43,0
2016-10-17,24,SANLUIS,775.36,777.23,-1.87,0
2016-10-17,1,TIJUANA,464.64,459.56,5.08,0
2016-10-17,2,TIJUANA,462.62,457.81,4.8,0
2016-10-17,3,TIJUANA,459.89,455.22,4.67,0
2016-10-17,4,TIJUANA,459.41,454.65,4.76,0
2016-10-17,5,TIJUANA,458.86,454.07,4.79,0
2016-10-17,6,TIJUANA,463.9,458.68,5.22,0
2016-10-17,7,TIJUANA,468.96,463.37,5.59,0
2016-10-17,8,TIJUANA,474.9,468.72,6.18,0
2016-10-17,9,TIJUANA,713.09,702.45,10.64,0
2016-10-17,10,TIJUANA,735.24,723.44,11.8,0
2016-10-17,11,TIJUANA,817.23,803.02,14.21,0
2016-10-17,12,TIJUANA,737.63,724.01,13.62,0
2016-10-17,13,TIJUANA,717.77,704.07,13.7,0
2016-10-17,14,TIJUANA,697,683.74,13.26,0
2016-10-17,15,TIJUANA,697.16,683.87,13.29,0
2016-10-17,16,TIJUANA,763.56,749.04,14.52,0
2016-10-17,17,TIJUANA,757.46,743.98,13.48,0
2016-10-17,18,TIJUANA,865.82,851.26,14.56,0
2016-10-17,19,TIJUANA,778.09,764.21,13.89,0
2016-10-17,20,TIJUANA,877.85,860.75,17.1,0
2016-10-17,21,TIJUANA,819.84,804.48,15.36,0
2016-10-17,22,TIJUANA,826.91,812.24,14.66,0
2016-10-17,23,TIJUANA,895.44,880.98,14.46,0
2016-10-17,24,TIJUANA,788.68,777.23,11.45,0
2016-10-18,1,ENSENADA,760.63,728.71,31.93,0
2016-10-18,2,ENSENADA,523.11,501.66,21.45,0
2016-10-18,3,ENSENADA,517.5,496.86,20.65,0
2016-10-18,4,ENSENADA,513.83,493.3,20.53,0
2016-10-18,5,ENSENADA,512.66,491.49,21.16,0
2016-10-18,6,ENSENADA,544.13,521.49,22.64,0
2016-10-18,7,ENSENADA,531.49,509.51,21.98,0
2016-10-18,8,ENSENADA,522.1,499.58,22.52,0
2016-10-18,9,ENSENADA,549.71,525.45,24.26,0
2016-10-18,10,ENSENADA,553.04,528.12,24.92,0
2016-10-18,11,ENSENADA,544.27,517.94,26.33,0
2016-10-18,12,ENSENADA,793.17,755.96,37.21,0
2016-10-18,13,ENSENADA,794.69,755.92,38.77,0
2016-10-18,14,ENSENADA,795.57,755.83,39.74,0
2016-10-18,15,ENSENADA,823.64,782.02,41.62,0
2016-10-18,16,ENSENADA,768.37,729.81,38.56,0
2016-10-18,17,ENSENADA,793.42,755.93,37.49,0
2016-10-18,18,ENSENADA,522.37,497.7,24.67,0
2016-10-18,19,ENSENADA,823,782.46,40.54,0
2016-10-18,20,ENSENADA,831.61,790.35,41.27,0
2016-10-18,21,ENSENADA,821.96,782.13,39.83,0
2016-10-18,22,ENSENADA,808.97,770.12,38.85,0
2016-10-18,23,ENSENADA,549.07,524.59,24.48,0
2016-10-18,24,ENSENADA,518.84,497.06,21.77,0
2016-10-18,1,MEXICALI,717.71,728.71,-10.99,0
2016-10-18,2,MEXICALI,493.12,501.66,-8.54,0
2016-10-18,3,MEXICALI,489.4,496.86,-7.45,0
2016-10-18,4,MEXICALI,486.43,493.3,-6.88,0
