Fecha,Hora,Zona de Carga,Precio Zonal  ($/MWh),Componente energia  ($/MWh),Componente perdidas  ($/MWh),Componente Congestion  ($/MWh)
2016-09-01,1,ENSENADA,821.85,782.66,39.19,0
2016-09-01,2,ENSENADA,732.17,697.96,34.21,0
2016-09-01,3,ENSENADA,811.89,775.77,36.13,0
2016-09-01,4,ENSENADA,755.74,722.84,32.9,0
2016-09-01,5,ENSENADA,714.43,683.13,31.3,0
2016-09-01,6,ENSENADA,514.52,491.93,22.59,0
2016-09-01,7,ENSENADA,510.54,487.32,23.22,0
2016-09-01,8,ENSENADA,842.13,801.83,40.31,0
2016-09-01,9,ENSENADA,790.18,750.19,39.99,0
2016-09-01,10,ENSENADA,874.04,827.97,46.07,0
2016-09-01,11,ENSENADA,930.77,880.38,50.39,0
2016-09-01,12,ENSENADA,934.04,880.56,53.48,0
2016-09-01,13,ENSENADA,933.43,880.61,52.81,0
2016-09-01,14,ENSENADA,933.98,880.4,53.58,0
2016-09-01,15,ENSENADA,932.61,880.34,52.27,0
2016-09-01,16,ENSENADA,931.18,880.22,50.96,0
2016-09-01,17,ENSENADA,931.67,880.4,51.27,0
2016-09-01,18,ENSENADA,932.96,880.46,52.5,0
2016-09-01,19,ENSENADA,931.77,880.42,51.35,0
2016-09-01,20,ENSENADA,933.46,880.35,53.11,0
2016-09-01,21,ENSENADA,935.09,880.47,54.63,0
2016-09-01,22,ENSENADA,903.49,854.35,49.14,0
2016-09-01,23,ENSENADA,930.2,880.45,49.75,0
2016-09-01,24,ENSENADA,899.49,854.29,45.2,0
2016-09-01,1,MEXICALI,821.75,782.66,39.09,0
2016-09-01,2,MEXICALI,726.61,697.96,28.65,0
2016-09-01,3,MEXICALI,799.87,775.77,24.1,0
2016-09-01,4,MEXICALI,740.46,722.84,17.62,0
2016-09-01,5,MEXICALI,696.14,683.13,13.01,0
2016-09-01,6,MEXICALI,499.25,491.93,7.32,0
2016-09-01,7,MEXICALI,491.63,487.32,4.31,0
2016-09-01,8,MEXICALI,815.27,801.83,13.45,0
2016-09-01,9,MEXICALI,769.14,750.18,18.96,0
2016-09-01,10,MEXICALI,859.78,827.97,31.81,0
2016-09-01,11,MEXICALI,918.58,880.38,38.2,0
2016-09-01,12,MEXICALI,918.78,880.56,38.21,0
2016-09-01,13,MEXICALI,930.4,880.61,49.78,0
2016-09-01,14,MEXICALI,929.78,880.4,49.38,0
2016-09-01,15,MEXICALI,927.32,880.34,46.98,0
2016-09-01,16,MEXICALI,932.2,880.22,51.99,0
2016-09-01,17,MEXICALI,934.29,880.4,53.89,0
2016-09-01,18,MEXICALI,932.86,880.46,52.4,0
2016-09-01,19,MEXICALI,934.96,880.42,54.54,0
2016-09-01,20,MEXICALI,927.46,880.35,47.11,0
2016-09-01,21,MEXICALI,923.33,880.47,42.87,0
2016-09-01,22,MEXICALI,899.39,854.35,45.04,0
2016-09-01,23,MEXICALI,931.88,880.45,51.43,0
2016-09-01,24,MEXICALI,903.56,854.29,49.28,0
2016-09-01,1,SANLUIS,828.85,782.66,46.19,0
2016-09-01,2,SANLUIS,732.35,697.96,34.4,0
2016-09-01,3,SANLUIS,805.97,775.77,30.21,0
2016-09-01,4,SANLUIS,745.82,722.84,22.98,0
2016-09-01,5,SANLUIS,700.79,683.13,17.66,0
2016-09-01,6,SANLUIS,502.32,491.93,10.39,0
2016-09-01,7,SANLUIS,493.92,487.32,6.6,0
2016-09-01,8,SANLUIS,819.29,801.83,17.46,0
2016-09-01,9,SANLUIS,773.83,750.19,23.64,0
2016-09-01,10,SANLUIS,865.29,827.97,37.31,0
2016-09-01,11,SANLUIS,925.17,880.38,44.79,0
2016-09-01,12,SANLUIS,926.84,880.56,46.27,0
2016-09-01,13,SANLUIS,938.87,880.61,58.26,0
2016-09-01,14,SANLUIS,938.97,880.4,58.56,0
2016-09-01,15,SANLUIS,936.26,880.34,55.92,0
2016-09-01,16,SANLUIS,941.28,880.22,61.07,0
2016-09-01,17,SANLUIS,943.29,880.4,62.89,0
2016-09-01,18,SANLUIS,941.23,880.46,60.77,0
2016-09-01,19,SANLUIS,942.64,880.42,62.22,0
2016-09-01,20,SANLUIS,935.71,880.35,55.36,0
2016-09-01,21,SANLUIS,932.3,880.47,51.84,0
2016-09-01,22,SANLUIS,908.07,854.35,53.72,0
2016-09-01,23,SANLUIS,940.25,880.45,59.8,0
2016-09-01,24,SANLUIS,910.87,854.29,56.58,0
2016-09-01,1,TIJUANA,797.41,782.66,14.76,0
2016-09-01,2,TIJUANA,710.1,697.96,12.15,0
2016-09-01,3,TIJUANA,788.36,775.77,12.59,0
2016-09-01,4,TIJUANA,734.08,722.84,11.24,0
2016-09-01,5,TIJUANA,693.45,683.13,10.33,0
2016-09-01,6,TIJUANA,499.35,491.93,7.42,0
2016-09-01,7,TIJUANA,494.74,487.32,7.42,0
2016-09-01,8,TIJUANA,815.73,801.83,13.91,0
2016-09-01,9,TIJUANA,762.35,750.19,12.17,0
2016-09-01,10,TIJUANA,842.5,827.98,14.53,0
2016-09-01,11,TIJUANA,896.57,880.38,16.19,0
2016-09-01,12,TIJUANA,897.12,880.56,16.56,0
2016-09-01,13,TIJUANA,897.55,880.61,16.94,0
2016-09-01,14,TIJUANA,897.35,880.4,16.95,0
2016-09-01,15,TIJUANA,897.12,880.34,16.78,0
2016-09-01,16,TIJUANA,900.66,880.22,20.44,0
2016-09-01,17,TIJUANA,900.64,880.4,20.24,0
2016-09-01,18,TIJUANA,900.03,880.46,19.56,0
2016-09-01,19,TIJUANA,899.76,880.42,19.33,0
2016-09-01,20,TIJUANA,899.81,880.35,19.46,0
2016-09-01,21,TIJUANA,900.04,880.47,19.58,0
2016-09-01,22,TIJUANA,873.12,854.35,18.77,0
2016-09-01,23,TIJUANA,898.98,880.45,18.53,0
2016-09-01,24,TIJUANA,871.27,854.29,16.98,0
2016-09-02,1,ENSENADA,777.55,740.88,36.67,0
2016-09-02,2,ENSENADA,531.93,506.85,25.09,0
2016-09-02,3,ENSENADA,785.52,748,37.52,0
2016-09-02,4,ENSENADA,731.3,696.59,34.71,0
2016-09-02,5,ENSENADA,694.81,661.84,32.98,0
2016-09-02,6,ENSENADA,528.84,503.9,24.94,0
2016-09-02,7,ENSENADA,529.66,505.37,24.29,0
2016-09-02,8,ENSENADA,695.1,661.73,33.38,0
2016-09-02,9,ENSENADA,802.49,760.97,41.52,0
2016-09-02,10,ENSENADA,929.69,878.3,51.38,0
2016-09-02,11,ENSENADA,931.04,878.48,52.56,0
2016-09-02,12,ENSENADA,930.77,878.45,52.32,0
