Fecha,Hora,Zona de Carga,Precio Zonal  ($/MWh),Componente energia  ($/MWh),Componente perdidas  ($/MWh),Componente Congestion  ($/MWh)
01/04/2016,1,CONSTITUCION,1106.71,1082.96,23.75,0
01/04/2016,2,CONSTITUCION,1069.77,1046.42,23.35,0
01/04/2016,3,CONSTITUCION,980.23,957.31,22.92,0
01/04/2016,4,CONSTITUCION,941.67,922.17,19.5,0
01/04/2016,5,CONSTITUCION,940.68,922.02,18.66,0
01/04/2016,6,CONSTITUCION,981.06,957.31,23.75,0
01/04/2016,7,CONSTITUCION,1079.2,1055.02,24.18,0
01/04/2016,8,CONSTITUCION,1226.24,1185.59,40.65,0
01/04/2016,9,CONSTITUCION,1349.54,1300.77,48.78,0
01/04/2016,10,CONSTITUCION,1366.57,1314.19,52.38,0
01/04/2016,11,CONSTITUCION,1336.79,1304.47,32.31,0
01/04/2016,12,CONSTITUCION,1340.47,1306.96,33.51,0
01/04/2016,13,CONSTITUCION,1347.95,1314.18,33.77,0
01/04/2016,14,CONSTITUCION,1342.82,1327.22,15.61,0
01/04/2016,15,CONSTITUCION,1343.29,1327.36,15.93,0
01/04/2016,16,CONSTITUCION,1343.03,1330.01,13.02,0
01/04/2016,17,CONSTITUCION,1256.36,1223.89,32.47,0
01/04/2016,18,CONSTITUCION,1256.09,1224.34,31.75,0
01/04/2016,19,CONSTITUCION,1262.28,1241.62,20.66,0
01/04/2016,20,CONSTITUCION,1314.26,1290.76,23.5,0
01/04/2016,21,CONSTITUCION,1309.76,1287.87,21.89,0
01/04/2016,22,CONSTITUCION,1264.63,1246.58,18.06,0
01/04/2016,23,CONSTITUCION,1256.97,1249.76,7.21,0
01/04/2016,24,CONSTITUCION,1313.06,1316.11,-3.05,0
01/04/2016,1,LA PAZ,1091.55,1082.96,8.59,0
01/04/2016,2,LA PAZ,1054.67,1046.42,8.25,0
01/04/2016,3,LA PAZ,965.26,957.31,7.96,0
01/04/2016,4,LA PAZ,929.31,922.17,7.14,0
01/04/2016,5,LA PAZ,928.86,922.02,6.84,0
01/04/2016,6,LA PAZ,965.46,957.31,8.15,0
01/04/2016,7,LA PAZ,1063.61,1055.02,8.59,0
01/04/2016,8,LA PAZ,1197.2,1185.59,11.61,0
01/04/2016,9,LA PAZ,1312.62,1300.77,11.85,0
01/04/2016,10,LA PAZ,1325.5,1314.19,11.31,0
01/04/2016,11,LA PAZ,1314.6,1304.47,10.13,0
01/04/2016,12,LA PAZ,1317.49,1306.96,10.53,0
01/04/2016,13,LA PAZ,1324.43,1314.18,10.25,0
01/04/2016,14,LA PAZ,1332.12,1327.22,4.9,0
01/04/2016,15,LA PAZ,1331.87,1327.36,4.5,0
