Fecha,Hora,Zona de Carga,Precio Zonal  ($/MWh),Componente energia  ($/MWh),Componente perdidas  ($/MWh),Componente Congestion  ($/MWh)
2016-08-16,1,CONSTITUCION,1355.33,1369.28,-13.95,0
2016-08-16,2,CONSTITUCION,1434.35,1413.65,20.7,0
2016-08-16,3,CONSTITUCION,1354.16,1333.04,21.12,0
2016-08-16,4,CONSTITUCION,1324.97,1306.3,18.68,0
2016-08-16,5,CONSTITUCION,1204.41,1183.27,21.14,0
2016-08-16,6,CONSTITUCION,1186.58,1167.13,19.45,0
2016-08-16,7,CONSTITUCION,1178.24,1154.43,23.81,0
2016-08-16,8,CONSTITUCION,1094.66,1069.25,25.41,0
2016-08-16,9,CONSTITUCION,1210.66,1183.27,27.4,0
2016-08-16,10,CONSTITUCION,1376.75,1347.58,29.18,0
2016-08-16,11,CONSTITUCION,1347.77,1348.48,-.72,0
2016-08-16,12,CONSTITUCION,1363.38,1365.55,-2.18,0
2016-08-16,13,CONSTITUCION,1457.35,1471.45,-14.1,0
2016-08-16,14,CONSTITUCION,1389.94,1383.19,6.75,0
2016-08-16,15,CONSTITUCION,1398.05,1387.72,10.34,0
2016-08-16,16,CONSTITUCION,1416.01,1403.75,12.27,0
2016-08-16,17,CONSTITUCION,1513.85,1517.02,-3.18,0
2016-08-16,18,CONSTITUCION,1502.36,1502.74,-.38,0
2016-08-16,19,CONSTITUCION,1400.77,1392.98,7.79,0
2016-08-16,20,CONSTITUCION,1374.16,1375.24,-1.07,0
2016-08-16,21,CONSTITUCION,1384.8,1385.62,-.82,0
2016-08-16,22,CONSTITUCION,1399.47,1395.49,3.97,0
2016-08-16,23,CONSTITUCION,1425.15,1421.62,3.53,0
2016-08-16,24,CONSTITUCION,1394.03,1386.26,7.77,0
2016-08-16,1,LA PAZ,1384.19,1369.28,14.91,0
2016-08-16,2,LA PAZ,1430.1,1413.65,16.45,0
2016-08-16,3,LA PAZ,1348.77,1333.04,15.72,0
2016-08-16,4,LA PAZ,1322.05,1306.3,15.76,0
2016-08-16,5,LA PAZ,1197.2,1183.27,13.93,0
2016-08-16,6,LA PAZ,1180.61,1167.13,13.48,0
2016-08-16,7,LA PAZ,1166.82,1154.43,12.39,0
2016-08-16,8,LA PAZ,1080.17,1069.25,10.92,0
2016-08-16,9,LA PAZ,1195.51,1183.27,12.24,0
2016-08-16,10,LA PAZ,1360.27,1347.58,12.69,0
2016-08-16,11,LA PAZ,1360.07,1348.48,11.58,0
2016-08-16,12,LA PAZ,1376.63,1365.55,11.08,0
2016-08-16,13,LA PAZ,1483.13,1471.45,11.68,0
2016-08-16,14,LA PAZ,1396.16,1383.19,12.98,0
2016-08-16,15,LA PAZ,1401.36,1387.72,13.64,0
2016-08-16,16,LA PAZ,1417.94,1403.75,14.2,0
2016-08-16,17,LA PAZ,1532.41,1517.02,15.39,0
2016-08-16,18,LA PAZ,1518.61,1502.74,15.88,0
2016-08-16,19,LA PAZ,1408.21,1392.98,15.23,0
2016-08-16,20,LA PAZ,1389.97,1375.24,14.73,0
2016-08-16,21,LA PAZ,1399.28,1385.62,13.66,0
2016-08-16,22,LA PAZ,1409.08,1395.49,13.59,0
2016-08-16,23,LA PAZ,1435.74,1421.62,14.11,0
2016-08-16,24,LA PAZ,1401.27,1386.26,15,0
2016-08-16,1,LOS CABOS,1437.96,1369.28,68.68,0
2016-08-16,2,LOS CABOS,1480.03,1413.65,66.38,0
2016-08-16,3,LOS CABOS,1393.29,1333.04,60.25,0
2016-08-16,4,LOS CABOS,1363.39,1306.3,57.09,0
2016-08-16,5,LOS CABOS,1233.34,1183.27,50.07,0
2016-08-16,6,LOS CABOS,1215.29,1167.13,48.16,0
2016-08-16,7,LOS CABOS,1202.44,1154.43,48.01,0
2016-08-16,8,LOS CABOS,1114.47,1069.25,45.21,0
2016-08-16,9,LOS CABOS,1235.56,1183.27,52.29,0
2016-08-16,10,LOS CABOS,1413.75,1347.58,66.17,0
2016-08-16,11,LOS CABOS,1418.15,1348.48,69.67,0
2016-08-16,12,LOS CABOS,1437.97,1365.55,72.42,0
2016-08-16,13,LOS CABOS,1550.79,1471.45,79.33,0
2016-08-16,14,LOS CABOS,1456.18,1383.19,72.99,0
2016-08-16,15,LOS CABOS,1459.99,1387.72,72.27,0
2016-08-16,16,LOS CABOS,1477.7,1403.75,73.95,0
2016-08-16,17,LOS CABOS,1596.76,1517.02,79.74,0
2016-08-16,18,LOS CABOS,1582.26,1502.74,79.52,0
2016-08-16,19,LOS CABOS,1464.87,1392.98,71.89,0
2016-08-16,20,LOS CABOS,1444.39,1375.24,69.15,0
2016-08-16,21,LOS CABOS,1457.23,1385.62,71.61,0
2016-08-16,22,LOS CABOS,1469.41,1395.49,73.92,0
2016-08-16,23,LOS CABOS,1497.19,1421.62,75.57,0
2016-08-16,24,LOS CABOS,1456.76,1386.26,70.5,0
2016-08-17,1,CONSTITUCION,1567.68,1580.46,-12.77,0
2016-08-17,2,CONSTITUCION,1429.25,1427.1,2.15,0
2016-08-17,3,CONSTITUCION,1516.84,1539.6,-22.76,0
2016-08-17,4,CONSTITUCION,1390.78,1394.94,-4.16,0
2016-08-17,5,CONSTITUCION,1359.09,1361.95,-2.87,0
2016-08-17,6,CONSTITUCION,1335.63,1341.73,-6.1,0
2016-08-17,7,CONSTITUCION,1298.29,1304.33,-6.04,0
2016-08-17,8,CONSTITUCION,1358.24,1368.69,-10.46,0
2016-08-17,9,CONSTITUCION,1386.11,1401.23,-15.12,0
2016-08-17,10,CONSTITUCION,1505.08,1533.88,-28.8,0
2016-08-17,11,CONSTITUCION,1418,1428.01,-10,0
2016-08-17,12,CONSTITUCION,1424.76,1429.34,-4.58,0
2016-08-17,13,CONSTITUCION,1436.43,1438.58,-2.15,0
2016-08-17,14,CONSTITUCION,1447.12,1442.73,4.39,0
2016-08-17,15,CONSTITUCION,1462.73,1455.16,7.57,0
2016-08-17,16,CONSTITUCION,1526.39,1529.23,-2.85,0
2016-08-17,17,CONSTITUCION,1574.33,1565.97,8.36,0
2016-08-17,18,CONSTITUCION,1531.01,1527.81,3.2,0
2016-08-17,19,CONSTITUCION,1455.47,1455.22,.25,0
2016-08-17,20,CONSTITUCION,1465.43,1484.62,-19.19,0
2016-08-17,21,CONSTITUCION,1435.49,1445.34,-9.85,0
2016-08-17,22,CONSTITUCION,1530.73,1548.02,-17.29,0
2016-08-17,23,CONSTITUCION,3047.65,3069.87,-22.22,0
2016-08-17,24,CONSTITUCION,1473.46,1472.28,1.18,0
2016-08-17,1,LA PAZ,1596.76,1580.46,16.3,0
2016-08-17,2,LA PAZ,1443.08,1427.1,15.99,0
2016-08-17,3,LA PAZ,1554.7,1539.6,15.1,0
2016-08-17,4,LA PAZ,1409.59,1394.94,14.65,0
