Fecha,Hora,Zona de Carga,Precio Zonal  ($/MWh),Componente energia  ($/MWh),Componente perdidas  ($/MWh),Componente Congestion  ($/MWh)
2016-12-16,1,CONSTITUCION,1424.82,1430.93,-6.11,0
2016-12-16,2,CONSTITUCION,1378.48,1385.48,-7,0
2016-12-16,3,CONSTITUCION,1358.18,1366.64,-8.47,0
2016-12-16,4,CONSTITUCION,1341.76,1348.44,-6.68,0
2016-12-16,5,CONSTITUCION,1411.03,1386.99,24.03,0
2016-12-16,6,CONSTITUCION,1485.29,1458.93,26.36,0
2016-12-16,7,CONSTITUCION,1432.09,1403.42,28.67,0
2016-12-16,8,CONSTITUCION,1461.9,1436.63,25.27,0
2016-12-16,9,CONSTITUCION,1488.66,1460.66,28,0
2016-12-16,10,CONSTITUCION,1649.55,1638.4,11.16,0
2016-12-16,11,CONSTITUCION,1525.2,1544.34,-19.14,0
2016-12-16,12,CONSTITUCION,1670.74,1722.76,-52.02,0
2016-12-16,13,CONSTITUCION,1678.9,1736.34,-57.44,0
2016-12-16,14,CONSTITUCION,1693.63,1752.26,-58.63,0
2016-12-16,15,CONSTITUCION,1727.11,1798.63,-71.52,0
2016-12-16,16,CONSTITUCION,1725.77,1763.11,-37.34,0
2016-12-16,17,CONSTITUCION,1748.74,1796.13,-47.39,0
2016-12-16,18,CONSTITUCION,1497.92,1488.56,9.37,0
2016-12-16,19,CONSTITUCION,1714.82,1749.7,-34.88,0
2016-12-16,20,CONSTITUCION,1720.73,1750.12,-29.39,0
2016-12-16,21,CONSTITUCION,1570.72,1577.23,-6.51,0
2016-12-16,22,CONSTITUCION,1675.79,1651.55,24.25,0
2016-12-16,23,CONSTITUCION,1479.9,1445.46,34.44,0
2016-12-16,24,CONSTITUCION,1494.92,1428.12,66.8,0
2016-12-16,1,LA PAZ,1444.44,1430.93,13.51,0
2016-12-16,2,LA PAZ,1398.29,1385.49,12.8,0
2016-12-16,3,LA PAZ,1378.82,1366.64,12.17,0
