Fecha,Hora,Zona de Carga,Precio Zonal  ($/MWh),Componente energia  ($/MWh),Componente perdidas  ($/MWh),Componente Congestion  ($/MWh)
01/07/2016,1,CONSTITUCION,3834.21,3882.47,-48.26,0
01/07/2016,2,CONSTITUCION,3780,3846.59,-66.59,0
01/07/2016,3,CONSTITUCION,2983.68,3050.29,-66.62,0
01/07/2016,4,CONSTITUCION,1563.43,1600.32,-36.89,0
01/07/2016,5,CONSTITUCION,1540.87,1572.8,-31.92,0
01/07/2016,6,CONSTITUCION,1502.99,1530.87,-27.88,0
01/07/2016,7,CONSTITUCION,1489.09,1517.75,-28.66,0
01/07/2016,8,CONSTITUCION,1509.14,1524.83,-15.68,0
01/07/2016,9,CONSTITUCION,1580.66,1607.12,-26.47,0
01/07/2016,10,CONSTITUCION,2998.31,3041.25,-42.94,0
01/07/2016,11,CONSTITUCION,3485.23,3512.43,-27.2,0
01/07/2016,12,CONSTITUCION,3602.57,3605.51,-2.94,0
01/07/2016,13,CONSTITUCION,3877.54,3855.72,21.82,0
01/07/2016,14,CONSTITUCION,3947.91,3897.34,50.58,0
01/07/2016,15,CONSTITUCION,3578.01,3524,54.02,0
01/07/2016,16,CONSTITUCION,3945.48,3865.01,80.47,0
01/07/2016,17,CONSTITUCION,3983.93,3948.54,35.38,0
01/07/2016,18,CONSTITUCION,3999.74,3953.34,46.4,0
01/07/2016,19,CONSTITUCION,3792.72,3793.53,-0.82,0
01/07/2016,20,CONSTITUCION,3857.4,3894.28,-36.88,0
01/07/2016,21,CONSTITUCION,3867.9,3899,-31.11,0
01/07/2016,22,CONSTITUCION,3920.79,3927.55,-6.76,0
01/07/2016,23,CONSTITUCION,3889.76,3894.88,-5.12,0
01/07/2016,24,CONSTITUCION,3914.52,3918.59,-4.07,0
01/07/2016,1,LA PAZ,3935.1,3882.47,52.63,0
01/07/2016,2,LA PAZ,3890.92,3846.59,44.33,0
01/07/2016,3,LA PAZ,3079.09,3050.29,28.8,0
01/07/2016,4,LA PAZ,1614.21,1600.32,13.89,0
01/07/2016,5,LA PAZ,1586.4,1572.8,13.61,0
01/07/2016,6,LA PAZ,1544.52,1530.87,13.65,0
01/07/2016,7,LA PAZ,1530.87,1517.75,13.13,0
01/07/2016,8,LA PAZ,1537.38,1524.83,12.55,0
01/07/2016,9,LA PAZ,1618.91,1607.12,11.79,0
01/07/2016,10,LA PAZ,3063.99,3041.25,22.73,0
01/07/2016,11,LA PAZ,3545.89,3512.43,33.46,0
01/07/2016,12,LA PAZ,3646.05,3605.51,40.54,0
01/07/2016,13,LA PAZ,3904.82,3855.72,49.1,0
01/07/2016,14,LA PAZ,3951.63,3897.34,54.29,0
01/07/2016,15,LA PAZ,3578.07,3524,54.07,0
01/07/2016,16,LA PAZ,3931.64,3865.01,66.63,0
