Fecha,Hora,Zona de Carga,Precio Zonal  ($/MWh),Componente energia  ($/MWh),Componente perdidas  ($/MWh),Componente Congestion  ($/MWh)
01/06/2016,1,CONSTITUCION,3296.38,3537.43,-241.05,0
01/06/2016,2,CONSTITUCION,3055.02,3287.67,-232.65,0
01/06/2016,3,CONSTITUCION,3038.92,3284.1,-245.18,0
01/06/2016,4,CONSTITUCION,1478.56,1592,-113.44,0
01/06/2016,5,CONSTITUCION,1450.77,1556.89,-106.12,0
01/06/2016,6,CONSTITUCION,1469.07,1576.76,-107.69,0
01/06/2016,7,CONSTITUCION,2939.59,3154.73,-215.14,0
01/06/2016,8,CONSTITUCION,2944.25,3153.28,-209.03,0
01/06/2016,9,CONSTITUCION,3443.88,3678.94,-235.06,0
01/06/2016,10,CONSTITUCION,3209.94,3399.01,-189.07,0
01/06/2016,11,CONSTITUCION,3227.51,3407.09,-179.58,0
01/06/2016,12,CONSTITUCION,3447.95,3634.81,-186.86,0
01/06/2016,13,CONSTITUCION,3571.86,3748.06,-176.2,0
01/06/2016,14,CONSTITUCION,3532.09,3727.63,-195.54,0
01/06/2016,15,CONSTITUCION,3679.79,3870.53,-190.74,0
01/06/2016,16,CONSTITUCION,3802.01,3984.97,-182.96,0
01/06/2016,17,CONSTITUCION,3804.61,3999.1,-194.49,0
01/06/2016,18,CONSTITUCION,3810.77,3994.31,-183.54,0
01/06/2016,19,CONSTITUCION,3608.32,3808.89,-200.58,0
01/06/2016,20,CONSTITUCION,3261.24,3457.58,-196.34,0
01/06/2016,21,CONSTITUCION,3674.36,3878.03,-203.67,0
01/06/2016,22,CONSTITUCION,3622.87,3803.33,-180.46,0
01/06/2016,23,CONSTITUCION,3759.29,3998.12,-238.83,0
01/06/2016,24,CONSTITUCION,3584.83,3843.52,-258.69,0
01/06/2016,1,LA PAZ,3523.29,3537.43,-14.13,0
01/06/2016,2,LA PAZ,3271.86,3287.67,-15.81,0
01/06/2016,3,LA PAZ,3265.81,3284.1,-18.3,0
01/06/2016,4,LA PAZ,1582.91,1592,-9.09,0
01/06/2016,5,LA PAZ,1548.56,1556.89,-8.33,0
01/06/2016,6,LA PAZ,1568.44,1576.76,-8.32,0
01/06/2016,7,LA PAZ,3139.04,3154.73,-15.69,0
01/06/2016,8,LA PAZ,3136.54,3153.28,-16.74,0
01/06/2016,9,LA PAZ,3664.5,3678.94,-14.44,0
01/06/2016,10,LA PAZ,3389.4,3399.01,-9.61,0
01/06/2016,11,LA PAZ,3401.11,3407.09,-5.98,0
01/06/2016,12,LA PAZ,3633.42,3634.81,-1.39,0
01/06/2016,13,LA PAZ,3749.31,3748.06,1.26,0
01/06/2016,14,LA PAZ,3731.82,3727.63,4.2,0
01/06/2016,15,LA PAZ,3879.31,3870.53,8.77,0
01/06/2016,16,LA PAZ,3997.75,3984.97,12.78,0
01/06/2016,17,LA PAZ,4015.11,3999.11,16.01,0
01/06/2016,18,LA PAZ,4010.81,3994.31,16.5,0
01/06/2016,19,LA PAZ,3818.57,3808.89,9.67,0
01/06/2016,20,LA PAZ,3460.12,3457.58,2.54,0
01/06/2016,21,LA PAZ,3885.76,3878.03,7.74,0
01/06/2016,22,LA PAZ,3812.7,3803.33,9.37,0
01/06/2016,23,LA PAZ,4003.23,3998.12,5.11,0
01/06/2016,24,LA PAZ,3839.18,3843.52,-4.34,0
01/06/2016,1,LOS CABOS,3651.26,3537.43,113.83,0
01/06/2016,2,LOS CABOS,3395.91,3287.67,108.24,0
01/06/2016,3,LOS CABOS,3394.83,3284.1,110.73,0
01/06/2016,4,LOS CABOS,1645.67,1592,53.67,0
01/06/2016,5,LOS CABOS,1608.7,1556.89,51.82,0
01/06/2016,6,LOS CABOS,1629.27,1576.76,52.51,0
01/06/2016,7,LOS CABOS,3258.86,3154.73,104.13,0
01/06/2016,8,LOS CABOS,3259.03,3153.28,105.75,0
01/06/2016,9,LOS CABOS,3805.92,3678.94,126.98,0
01/06/2016,10,LOS CABOS,3505.06,3399.01,106.05,0
01/06/2016,11,LOS CABOS,3508.98,3407.09,101.89,0
01/06/2016,12,LOS CABOS,3736.82,3634.81,102.01,0
01/06/2016,13,LOS CABOS,3848.57,3748.06,100.51,0
01/06/2016,14,LOS CABOS,3834.61,3727.63,106.98,0
01/06/2016,15,LOS CABOS,3980.12,3870.53,109.59,0
01/06/2016,16,LOS CABOS,4094.72,3984.97,109.75,0
01/06/2016,17,LOS CABOS,4106.62,3999.1,107.51,0
01/06/2016,18,LOS CABOS,4100.35,3994.31,106.04,0
01/06/2016,19,LOS CABOS,3908.51,3808.89,99.61,0
01/06/2016,20,LOS CABOS,3554.77,3457.58,97.19,0
01/06/2016,21,LOS CABOS,3981.21,3878.03,103.18,0
01/06/2016,22,LOS CABOS,3908.53,3803.33,105.21,0
01/06/2016,23,LOS CABOS,4113.38,3998.12,115.26,0
01/06/2016,24,LOS CABOS,3964.86,3843.52,121.34,0
02/06/2016,1,CONSTITUCION,3305.74,3571.29,-265.55,0
02/06/2016,2,CONSTITUCION,3055.31,3303.05,-247.75,0
02/06/2016,3,CONSTITUCION,3029.64,3287.26,-257.62,0
02/06/2016,4,CONSTITUCION,1448.13,1566.6,-118.46,0
02/06/2016,5,CONSTITUCION,1423.64,1520.65,-97,0
02/06/2016,6,CONSTITUCION,1455.67,1564.8,-109.13,0
02/06/2016,7,CONSTITUCION,1474.13,1585.13,-111,0
02/06/2016,8,CONSTITUCION,2950.65,3155.6,-204.95,0
02/06/2016,9,CONSTITUCION,3071.02,3288.57,-217.55,0
02/06/2016,10,CONSTITUCION,3009.13,3196.51,-187.38,0
02/06/2016,11,CONSTITUCION,3237.69,3421.36,-183.67,0
02/06/2016,12,CONSTITUCION,3458.91,3647.97,-189.05,0
02/06/2016,13,CONSTITUCION,3474.42,3644.54,-170.12,0
02/06/2016,14,CONSTITUCION,3723.77,3872.83,-149.06,0
02/06/2016,15,CONSTITUCION,3806.53,3979.77,-173.24,0
02/06/2016,16,CONSTITUCION,3827.21,4000.11,-172.9,0
02/06/2016,17,CONSTITUCION,3846.96,4014.58,-167.62,0
02/06/2016,18,CONSTITUCION,3825.37,4009.41,-184.04,0
02/06/2016,19,CONSTITUCION,3686.93,3882.62,-195.69,0
02/06/2016,20,CONSTITUCION,3400.15,3599.59,-199.44,0
02/06/2016,21,CONSTITUCION,3810.53,3991.68,-181.15,0
02/06/2016,22,CONSTITUCION,3814.71,3996.83,-182.11,0
02/06/2016,23,CONSTITUCION,3788.27,3983.24,-194.96,0
02/06/2016,24,CONSTITUCION,3394.46,3602.59,-208.13,0
02/06/2016,1,LA PAZ,3565.62,3571.29,-5.67,0
02/06/2016,2,LA PAZ,3292.24,3303.05,-10.82,0
02/06/2016,3,LA PAZ,3273.58,3287.26,-13.68,0
02/06/2016,4,LA PAZ,1559.46,1566.6,-7.14,0
02/06/2016,5,LA PAZ,1514.49,1520.65,-6.16,0
02/06/2016,6,LA PAZ,1558.46,1564.8,-6.34,0
02/06/2016,7,LA PAZ,1577.99,1585.13,-7.14,0
02/06/2016,8,LA PAZ,3140.42,3155.6,-15.18,0
02/06/2016,9,LA PAZ,3277.1,3288.57,-11.46,0
02/06/2016,10,LA PAZ,3186.95,3196.51,-9.56,0
02/06/2016,11,LA PAZ,3415.36,3421.36,-6,0
02/06/2016,12,LA PAZ,3649.53,3647.97,1.57,0
02/06/2016,13,LA PAZ,3648.69,3644.54,4.15,0
02/06/2016,14,LA PAZ,3881.54,3872.83,8.71,0
02/06/2016,15,LA PAZ,3992.61,3979.77,12.84,0
02/06/2016,16,LA PAZ,4016.67,4000.11,16.56,0
02/06/2016,17,LA PAZ,4035.84,4014.58,21.25,0
02/06/2016,18,LA PAZ,4032.43,4009.41,23.02,0
02/06/2016,19,LA PAZ,3899.57,3882.62,16.95,0
02/06/2016,20,LA PAZ,3610,3599.59,10.41,0
02/06/2016,21,LA PAZ,4008.28,3991.68,16.6,0
02/06/2016,22,LA PAZ,4013.24,3996.83,16.41,0
02/06/2016,23,LA PAZ,3997.87,3983.24,14.63,0
02/06/2016,24,LA PAZ,3609.33,3602.59,6.74,0
02/06/2016,1,LOS CABOS,3680.7,3571.29,109.41,0
02/06/2016,2,LOS CABOS,3407.94,3303.05,104.89,0
02/06/2016,3,LOS CABOS,3394.04,3287.26,106.79,0
02/06/2016,4,LOS CABOS,1617.9,1566.6,51.31,0
02/06/2016,5,LOS CABOS,1569.68,1520.65,49.03,0
02/06/2016,6,LOS CABOS,1615.16,1564.8,50.36,0
02/06/2016,7,LOS CABOS,1636.54,1585.13,51.42,0
02/06/2016,8,LOS CABOS,3259.56,3155.6,103.96,0
02/06/2016,9,LOS CABOS,3395.91,3288.57,107.34,0
02/06/2016,10,LOS CABOS,3300.34,3196.51,103.83,0
02/06/2016,11,LOS CABOS,3527.21,3421.36,105.84,0
02/06/2016,12,LOS CABOS,3751.76,3647.97,103.79,0
02/06/2016,13,LOS CABOS,3750.75,3644.54,106.21,0
02/06/2016,14,LOS CABOS,3977.62,3872.83,104.78,0
02/06/2016,15,LOS CABOS,4083.75,3979.77,103.98,0
02/06/2016,16,LOS CABOS,4102.71,4000.11,102.6,0
02/06/2016,17,LOS CABOS,4116.28,4014.58,101.7,0
02/06/2016,18,LOS CABOS,4107.77,4009.41,98.37,0
02/06/2016,19,LOS CABOS,3980.3,3882.62,97.68,0
02/06/2016,20,LOS CABOS,3695.68,3599.59,96.09,0
02/06/2016,21,LOS CABOS,4092.18,3991.68,100.49,0
02/06/2016,22,LOS CABOS,4098.72,3996.83,101.89,0
02/06/2016,23,LOS CABOS,4084.71,3983.24,101.47,0
02/06/2016,24,LOS CABOS,3695.68,3602.59,93.09,0
03/06/2016,1,CONSTITUCION,3197.32,3442.79,-245.48,0
03/06/2016,2,CONSTITUCION,3319.47,3571.81,-252.34,0
03/06/2016,3,CONSTITUCION,3053.06,3292.37,-239.31,0
03/06/2016,4,CONSTITUCION,3160.15,3418.93,-258.79,0
03/06/2016,5,CONSTITUCION,2927.4,3154.55,-227.15,0
03/06/2016,6,CONSTITUCION,3048.98,3288.37,-239.38,0
03/06/2016,7,CONSTITUCION,3059.22,3288.53,-229.31,0
03/06/2016,8,CONSTITUCION,2957.96,3152.54,-194.58,0
03/06/2016,9,CONSTITUCION,3309.46,3537.41,-227.95,0
