Fecha,Hora,Zona de Carga,Precio Zonal  ($/MWh),Componente energia  ($/MWh),Componente perdidas  ($/MWh),Componente Congestion  ($/MWh)
16/05/2016,1,CONSTITUCION,1420.25,1499.88,-79.62,0
16/05/2016,2,CONSTITUCION,1450.81,1540.57,-89.75,0
16/05/2016,3,CONSTITUCION,1387.32,1470.39,-83.07,0
16/05/2016,4,CONSTITUCION,1358.93,1442.13,-83.19,0
16/05/2016,5,CONSTITUCION,1332.46,1416.05,-83.58,0
16/05/2016,6,CONSTITUCION,1351.78,1433.78,-82.01,0
16/05/2016,7,CONSTITUCION,1355.55,1434.17,-78.62,0
16/05/2016,8,CONSTITUCION,1316.8,1386.57,-69.77,0
16/05/2016,9,CONSTITUCION,1393.22,1468.48,-75.27,0
16/05/2016,10,CONSTITUCION,1422.69,1495.07,-72.38,0
16/05/2016,11,CONSTITUCION,1433.57,1513.01,-79.44,0
16/05/2016,12,CONSTITUCION,1448,1520.95,-72.95,0
16/05/2016,13,CONSTITUCION,1455.87,1528.37,-72.5,0
16/05/2016,14,CONSTITUCION,1457.83,1532.15,-74.32,0
16/05/2016,15,CONSTITUCION,1466.56,1538.89,-72.34,0
16/05/2016,16,CONSTITUCION,2964.52,3108.65,-144.12,0
16/05/2016,17,CONSTITUCION,3203.66,3358.17,-154.52,0
16/05/2016,18,CONSTITUCION,3072.81,3235.03,-162.22,0
16/05/2016,19,CONSTITUCION,1459.27,1531.81,-72.54,0
16/05/2016,20,CONSTITUCION,1449.61,1520.33,-70.72,0
16/05/2016,21,CONSTITUCION,1448.83,1532.83,-84,0
16/05/2016,22,CONSTITUCION,1456.14,1533.05,-76.92,0
16/05/2016,23,CONSTITUCION,1452.34,1524.64,-72.3,0
16/05/2016,24,CONSTITUCION,1416.26,1499.37,-83.11,0
16/05/2016,1,LA PAZ,1497.28,1499.88,-2.6,0
16/05/2016,2,LA PAZ,1535.93,1540.57,-4.63,0
16/05/2016,3,LA PAZ,1467.03,1470.39,-3.37,0
16/05/2016,4,LA PAZ,1439.53,1442.13,-2.6,0
16/05/2016,5,LA PAZ,1413.51,1416.05,-2.53,0
16/05/2016,6,LA PAZ,1431.27,1433.78,-2.52,0
16/05/2016,7,LA PAZ,1432.61,1434.17,-1.56,0
16/05/2016,8,LA PAZ,1385.32,1386.57,-1.25,0
16/05/2016,9,LA PAZ,1467.9,1468.48,-0.58,0
16/05/2016,10,LA PAZ,1493.23,1495.07,-1.84,0
16/05/2016,11,LA PAZ,1509.71,1513.01,-3.3,0
16/05/2016,12,LA PAZ,1519.03,1520.95,-1.91,0
16/05/2016,13,LA PAZ,1526.2,1528.37,-2.17,0
16/05/2016,14,LA PAZ,1530.12,1532.15,-2.03,0
16/05/2016,15,LA PAZ,1537.05,1538.89,-1.85,0
16/05/2016,16,LA PAZ,3103,3108.65,-5.65,0
16/05/2016,17,LA PAZ,3354.51,3358.17,-3.66,0
16/05/2016,18,LA PAZ,3232.22,3235.03,-2.8,0
16/05/2016,19,LA PAZ,1531.09,1531.81,-0.72,0
16/05/2016,20,LA PAZ,1518.23,1520.33,-2.11,0
16/05/2016,21,LA PAZ,1529.28,1532.83,-3.55,0
16/05/2016,22,LA PAZ,1529.72,1533.05,-3.33,0
16/05/2016,23,LA PAZ,1521.7,1524.64,-2.94,0
16/05/2016,24,LA PAZ,1496.56,1499.37,-2.81,0
16/05/2016,1,LOS CABOS,1559.89,1499.88,60.01,0
16/05/2016,2,LOS CABOS,1600.86,1540.57,60.3,0
16/05/2016,3,LOS CABOS,1525.87,1470.39,55.48,0
16/05/2016,4,LOS CABOS,1494.61,1442.13,52.49,0
16/05/2016,5,LOS CABOS,1466.61,1416.05,50.56,0
16/05/2016,6,LOS CABOS,1485.03,1433.78,51.24,0
16/05/2016,7,LOS CABOS,1486.03,1434.17,51.86,0
16/05/2016,8,LOS CABOS,1436.71,1386.57,50.14,0
16/05/2016,9,LOS CABOS,1535.77,1468.48,67.29,0
16/05/2016,10,LOS CABOS,1556.45,1495.07,61.38,0
16/05/2016,11,LOS CABOS,1578.59,1513.01,65.58,0
16/05/2016,12,LOS CABOS,1585.67,1520.95,64.72,0
16/05/2016,13,LOS CABOS,1594.12,1528.37,65.75,0
16/05/2016,14,LOS CABOS,1598.19,1532.15,66.04,0
16/05/2016,15,LOS CABOS,1605.71,1538.89,66.82,0
16/05/2016,16,LOS CABOS,3246.26,3108.65,137.62,0
16/05/2016,17,LOS CABOS,3509.99,3358.17,151.82,0
16/05/2016,18,LOS CABOS,3375.16,3235.03,140.14,0
16/05/2016,19,LOS CABOS,1596.66,1531.81,64.85,0
16/05/2016,20,LOS CABOS,1583.08,1520.33,62.75,0
16/05/2016,21,LOS CABOS,1599.65,1532.83,66.82,0
16/05/2016,22,LOS CABOS,1599.89,1533.05,66.83,0
16/05/2016,23,LOS CABOS,1589.03,1524.64,64.4,0
16/05/2016,24,LOS CABOS,1560.06,1499.37,60.69,0
17/05/2016,1,CONSTITUCION,1425.24,1517.61,-92.37,0
17/05/2016,2,CONSTITUCION,1413.57,1503.55,-89.98,0
17/05/2016,3,CONSTITUCION,1455.65,1574.99,-119.34,0
17/05/2016,4,CONSTITUCION,1395.1,1491.56,-96.45,0
17/05/2016,5,CONSTITUCION,1386.16,1485.21,-99.06,0
17/05/2016,6,CONSTITUCION,1387.03,1492.88,-105.85,0
17/05/2016,7,CONSTITUCION,1467.92,1584.2,-116.27,0
17/05/2016,8,CONSTITUCION,1462.82,1579.03,-116.2,0
17/05/2016,9,CONSTITUCION,1416.13,1508.33,-92.2,0
17/05/2016,10,CONSTITUCION,1437.54,1528.04,-90.5,0
17/05/2016,11,CONSTITUCION,1451.54,1545.95,-94.41,0
17/05/2016,12,CONSTITUCION,3019.41,3243.74,-224.33,0
17/05/2016,13,CONSTITUCION,3042.67,3242.92,-200.24,0
17/05/2016,14,CONSTITUCION,3297.12,3493.96,-196.84,0
17/05/2016,15,CONSTITUCION,3183.06,3370.68,-187.63,0
17/05/2016,16,CONSTITUCION,3273.5,3479.54,-206.04,0
17/05/2016,17,CONSTITUCION,3409.35,3590.88,-181.53,0
17/05/2016,18,CONSTITUCION,3324.33,3524.94,-200.61,0
17/05/2016,19,CONSTITUCION,3086.84,3283.98,-197.14,0
17/05/2016,20,CONSTITUCION,2942.58,3141.4,-198.82,0
17/05/2016,21,CONSTITUCION,3333.17,3548.17,-215,0
17/05/2016,22,CONSTITUCION,3293.44,3505.89,-212.45,0
17/05/2016,23,CONSTITUCION,2975.21,3167.59,-192.38,0
17/05/2016,24,CONSTITUCION,1439.32,1536.95,-97.63,0
17/05/2016,1,LA PAZ,1509.65,1517.61,-7.96,0
17/05/2016,2,LA PAZ,1496.76,1503.55,-6.79,0
17/05/2016,3,LA PAZ,1564.85,1574.99,-10.15,0
17/05/2016,4,LA PAZ,1482.61,1491.56,-8.95,0
17/05/2016,5,LA PAZ,1476.55,1485.21,-8.66,0
17/05/2016,6,LA PAZ,1483.75,1492.88,-9.13,0
17/05/2016,7,LA PAZ,1574.46,1584.19,-9.73,0
17/05/2016,8,LA PAZ,1568.77,1579.03,-10.25,0
17/05/2016,9,LA PAZ,1501.92,1508.33,-6.4,0
17/05/2016,10,LA PAZ,1521.33,1528.04,-6.72,0
17/05/2016,11,LA PAZ,1537.42,1545.95,-8.54,0
17/05/2016,12,LA PAZ,3226.46,3243.73,-17.28,0
17/05/2016,13,LA PAZ,3228.39,3242.92,-14.53,0
17/05/2016,14,LA PAZ,3480.13,3493.96,-13.83,0
17/05/2016,15,LA PAZ,3360.22,3370.68,-10.46,0
17/05/2016,16,LA PAZ,3470.64,3479.54,-8.9,0
17/05/2016,17,LA PAZ,3584.03,3590.88,-6.85,0
17/05/2016,18,LA PAZ,3516.46,3524.94,-8.49,0
17/05/2016,19,LA PAZ,3272.14,3283.98,-11.85,0
17/05/2016,20,LA PAZ,3125.39,3141.4,-16.01,0
17/05/2016,21,LA PAZ,3534.4,3548.17,-13.78,0
17/05/2016,22,LA PAZ,3492.16,3505.89,-13.73,0
17/05/2016,23,LA PAZ,3151.24,3167.59,-16.35,0
17/05/2016,24,LA PAZ,1529.07,1536.95,-7.88,0
17/05/2016,1,LOS CABOS,1571.91,1517.61,54.3,0
17/05/2016,2,LOS CABOS,1553.88,1503.55,50.33,0
17/05/2016,3,LOS CABOS,1628.58,1574.99,53.59,0
17/05/2016,4,LOS CABOS,1541.18,1491.56,49.62,0
17/05/2016,5,LOS CABOS,1534.12,1485.21,48.91,0
17/05/2016,6,LOS CABOS,1542.39,1492.88,49.51,0
17/05/2016,7,LOS CABOS,1638.69,1584.2,54.49,0
17/05/2016,8,LOS CABOS,1634.38,1579.03,55.35,0
17/05/2016,9,LOS CABOS,1562.6,1508.33,54.28,0
17/05/2016,10,LOS CABOS,1585.27,1528.04,57.22,0
17/05/2016,11,LOS CABOS,1607.46,1545.95,61.51,0
17/05/2016,12,LOS CABOS,3372.78,3243.73,129.05,0
17/05/2016,13,LOS CABOS,3372.91,3242.91,129.99,0
17/05/2016,14,LOS CABOS,3630.4,3493.96,136.44,0
17/05/2016,15,LOS CABOS,3492.82,3370.68,122.14,0
17/05/2016,16,LOS CABOS,3604.92,3479.54,125.38,0
17/05/2016,17,LOS CABOS,3717.75,3590.88,126.87,0
17/05/2016,18,LOS CABOS,3650.51,3524.94,125.57,0
17/05/2016,19,LOS CABOS,3404.54,3283.98,120.56,0
17/05/2016,20,LOS CABOS,3259.95,3141.4,118.55,0
17/05/2016,21,LOS CABOS,3676.37,3548.17,128.2,0
17/05/2016,22,LOS CABOS,3633.23,3505.89,127.35,0
17/05/2016,23,LOS CABOS,3286.58,3167.59,118.99,0
17/05/2016,24,LOS CABOS,1593.87,1536.95,56.92,0
18/05/2016,1,CONSTITUCION,1512.43,1516.54,-4.11,0
18/05/2016,2,CONSTITUCION,1497.71,1498.85,-1.14,0
18/05/2016,3,CONSTITUCION,1472.94,1479.05,-6.1,0
18/05/2016,4,CONSTITUCION,1469.27,1486.04,-16.77,0
18/05/2016,5,CONSTITUCION,1462.27,1476.67,-14.4,0
18/05/2016,6,CONSTITUCION,1468.51,1479.71,-11.2,0
18/05/2016,7,CONSTITUCION,1472.27,1485.64,-13.37,0
18/05/2016,8,CONSTITUCION,1465.08,1471.62,-6.54,0
18/05/2016,9,CONSTITUCION,1472.22,1477.63,-5.41,0
18/05/2016,10,CONSTITUCION,1505.14,1514.77,-9.64,0
18/05/2016,11,CONSTITUCION,1524.41,1523.21,1.2,0
18/05/2016,12,CONSTITUCION,1535.86,1534.36,1.5,0
18/05/2016,13,CONSTITUCION,3301.14,3257.9,43.24,0
18/05/2016,14,CONSTITUCION,3422.8,3373.15,49.65,0
18/05/2016,15,CONSTITUCION,3548.84,3485.55,63.29,0
18/05/2016,16,CONSTITUCION,3683.89,3617.23,66.66,0
18/05/2016,17,CONSTITUCION,3797.85,3729.75,68.11,0
18/05/2016,18,CONSTITUCION,3801.58,3730.52,71.06,0
18/05/2016,19,CONSTITUCION,3462.77,3415.2,47.57,0
18/05/2016,20,CONSTITUCION,3198.83,3170.97,27.86,0
18/05/2016,21,CONSTITUCION,3684.3,3624.65,59.65,0
18/05/2016,22,CONSTITUCION,3607.6,3556.17,51.43,0
18/05/2016,23,CONSTITUCION,3312.63,3274.53,38.09,0
18/05/2016,24,CONSTITUCION,1529.64,1529.17,0.47,0
18/05/2016,1,LA PAZ,1519.59,1516.54,3.05,0
18/05/2016,2,LA PAZ,1503.36,1498.85,4.51,0
18/05/2016,3,LA PAZ,1483.53,1479.05,4.48,0
18/05/2016,4,LA PAZ,1488.23,1486.04,2.19,0
18/05/2016,5,LA PAZ,1479.16,1476.67,2.49,0
18/05/2016,6,LA PAZ,1482.68,1479.71,2.97,0
18/05/2016,7,LA PAZ,1488.15,1485.65,2.5,0
18/05/2016,8,LA PAZ,1474.5,1471.63,2.87,0
18/05/2016,9,LA PAZ,1481.45,1477.63,3.82,0
18/05/2016,10,LA PAZ,1516.24,1514.77,1.47,0
18/05/2016,11,LA PAZ,1524.77,1523.21,1.56,0
18/05/2016,12,LA PAZ,1536.12,1534.36,1.76,0
18/05/2016,13,LA PAZ,3266.09,3257.9,8.18,0
18/05/2016,14,LA PAZ,3385.96,3373.15,12.81,0
18/05/2016,15,LA PAZ,3500.15,3485.55,14.6,0
