Fecha,Hora,Zona de Carga,Precio Zonal  ($/MWh),Componente energia  ($/MWh),Componente perdidas  ($/MWh),Componente Congestion  ($/MWh)
2016-11-01,1,CONSTITUCION,3742.14,3555.02,187.12,0
2016-11-01,2,CONSTITUCION,3830.8,3669.93,160.88,0
2016-11-01,3,CONSTITUCION,3610.65,3484.88,125.77,0
2016-11-01,4,CONSTITUCION,3628.49,3510.45,118.04,0
2016-11-01,5,CONSTITUCION,3401.34,3305.64,95.7,0
2016-11-01,6,CONSTITUCION,3384.6,3284.85,99.76,0
2016-11-01,7,CONSTITUCION,3407.78,3302.63,105.14,0
2016-11-01,8,CONSTITUCION,3500.78,3395.92,104.86,0
2016-11-01,9,CONSTITUCION,3546.22,3417.75,128.47,0
2016-11-01,10,CONSTITUCION,3694.12,3532.92,161.2,0
2016-11-01,11,CONSTITUCION,3896.79,3712.28,184.51,0
2016-11-01,12,CONSTITUCION,3617.71,3518.17,99.55,0
2016-11-01,13,CONSTITUCION,3721.82,3601.82,120.01,0
2016-11-01,14,CONSTITUCION,3868.81,3720.43,148.38,0
2016-11-01,15,CONSTITUCION,3909.28,3732.7,176.58,0
2016-11-01,16,CONSTITUCION,3928.87,3813.24,115.63,0
2016-11-01,17,CONSTITUCION,3932.03,3814.4,117.63,0
2016-11-01,18,CONSTITUCION,3823.36,3727.96,95.4,0
2016-11-01,19,CONSTITUCION,3808.18,3725.82,82.37,0
2016-11-01,20,CONSTITUCION,3906.76,3807.12,99.64,0
2016-11-01,21,CONSTITUCION,3911.16,3811.28,99.89,0
2016-11-01,22,CONSTITUCION,3906.58,3809.52,97.06,0
2016-11-01,23,CONSTITUCION,3776.36,3693.34,83.02,0
2016-11-01,24,CONSTITUCION,4010.59,3756.12,254.47,0
2016-11-01,1,LA PAZ,3605.88,3555.02,50.87,0
2016-11-01,2,LA PAZ,3713.63,3669.93,43.7,0
2016-11-01,3,LA PAZ,3521.82,3484.88,36.94,0
2016-11-01,4,LA PAZ,3551.36,3510.45,40.91,0
2016-11-01,5,LA PAZ,3340.27,3305.64,34.63,0
2016-11-01,6,LA PAZ,3318.77,3284.85,33.92,0
2016-11-01,7,LA PAZ,3335.46,3302.63,32.83,0
2016-11-01,8,LA PAZ,3422.26,3395.92,26.34,0
2016-11-01,9,LA PAZ,3468.22,3417.75,50.47,0
2016-11-01,10,LA PAZ,3597.63,3532.92,64.71,0
2016-11-01,11,LA PAZ,3784.55,3712.28,72.27,0
2016-11-01,12,LA PAZ,3627.29,3518.17,109.12,0
2016-11-01,13,LA PAZ,3721.34,3601.82,119.52,0
2016-11-01,14,LA PAZ,3854.45,3720.43,134.02,0
2016-11-01,15,LA PAZ,3880.8,3732.7,148.1,0
2016-11-01,16,LA PAZ,3868.4,3813.24,55.17,0
2016-11-01,17,LA PAZ,3869.62,3814.4,55.23,0
2016-11-01,18,LA PAZ,3778.3,3727.96,50.34,0
2016-11-01,19,LA PAZ,3777.22,3725.82,51.4,0
2016-11-01,20,LA PAZ,3864.19,3807.12,57.07,0
2016-11-01,21,LA PAZ,3869.1,3811.28,57.82,0
2016-11-01,22,LA PAZ,3868.75,3809.52,59.23,0
2016-11-01,23,LA PAZ,3748.4,3693.34,55.07,0
2016-11-01,24,LA PAZ,3820.4,3756.12,64.28,0
2016-11-01,1,LOS CABOS,3645.16,3555.02,90.15,0
2016-11-01,2,LOS CABOS,3774.52,3669.93,104.6,0
2016-11-01,3,LOS CABOS,3589.2,3484.88,104.32,0
2016-11-01,4,LOS CABOS,3606.59,3510.45,96.14,0
2016-11-01,5,LOS CABOS,3401.12,3305.64,95.48,0
2016-11-01,6,LOS CABOS,3380.09,3284.85,95.24,0
2016-11-01,7,LOS CABOS,3399.88,3302.63,97.25,0
2016-11-01,8,LOS CABOS,3500.36,3395.92,104.44,0
2016-11-01,9,LOS CABOS,3530.82,3417.75,113.08,0
2016-11-01,10,LOS CABOS,3634.8,3532.93,101.87,0
2016-11-01,11,LOS CABOS,3818.22,3712.28,105.93,0
2016-11-01,12,LOS CABOS,3629.75,3518.17,111.58,0
2016-11-01,13,LOS CABOS,3713.73,3601.82,111.91,0
2016-11-01,14,LOS CABOS,3834.84,3720.43,114.41,0
2016-11-01,15,LOS CABOS,3840.72,3732.7,108.02,0
2016-11-01,16,LOS CABOS,3918.78,3813.24,105.55,0
2016-11-01,17,LOS CABOS,3920.69,3814.4,106.29,0
2016-11-01,18,LOS CABOS,3836.01,3727.96,108.05,0
2016-11-01,19,LOS CABOS,3832.17,3725.82,106.35,0
2016-11-01,20,LOS CABOS,3909.83,3807.12,102.71,0
2016-11-01,21,LOS CABOS,3913.43,3811.28,102.16,0
2016-11-01,22,LOS CABOS,3910.02,3809.52,100.51,0
2016-11-01,23,LOS CABOS,3792.31,3693.34,98.97,0
2016-11-01,24,LOS CABOS,3839.09,3756.12,82.97,0
2016-11-02,1,CONSTITUCION,3850.19,3707.15,143.04,0
2016-11-02,2,CONSTITUCION,3846.35,3719.87,126.48,0
2016-11-02,3,CONSTITUCION,3571.67,3470.68,100.99,0
2016-11-02,4,CONSTITUCION,3439.57,3358.9,80.67,0
2016-11-02,5,CONSTITUCION,3165.35,3096.76,68.59,0
2016-11-02,6,CONSTITUCION,3139.62,3072.41,67.21,0
2016-11-02,7,CONSTITUCION,3031.54,2966.71,64.83,0
2016-11-02,8,CONSTITUCION,3256.9,3186.24,70.66,0
2016-11-02,9,CONSTITUCION,3487.48,3380.68,106.8,0
2016-11-02,10,CONSTITUCION,3795.76,3645.64,150.12,0
2016-11-02,11,CONSTITUCION,3796.63,3624.07,172.56,0
2016-11-02,12,CONSTITUCION,4053.29,3741.43,311.86,0
2016-11-02,13,CONSTITUCION,3688.52,3571.97,116.55,0
2016-11-02,14,CONSTITUCION,3789.63,3645.64,143.99,0
2016-11-02,15,CONSTITUCION,3911.1,3741.43,169.67,0
