Fecha,Hora,Zona de Carga,Precio Zonal  ($/MWh),Componente energia  ($/MWh),Componente perdidas  ($/MWh),Componente Congestion  ($/MWh)
2016-10-16,1,CONSTITUCION,3531.12,3434.43,96.69,0
2016-10-16,2,CONSTITUCION,3725.15,3634.28,90.87,0
2016-10-16,3,CONSTITUCION,3367.42,3306.59,60.83,0
2016-10-16,4,CONSTITUCION,3812.11,3759,53.11,0
2016-10-16,5,CONSTITUCION,3541.06,3506.52,34.54,0
2016-10-16,6,CONSTITUCION,3403.41,3378.18,25.24,0
2016-10-16,7,CONSTITUCION,3391.91,3372.29,19.62,0
2016-10-16,8,CONSTITUCION,2863.92,2866.59,-2.66,0
2016-10-16,9,CONSTITUCION,3085.32,3082.45,2.87,0
2016-10-16,10,CONSTITUCION,3500.88,3484.65,16.23,0
2016-10-16,11,CONSTITUCION,3079.89,3058.14,21.75,0
2016-10-16,12,CONSTITUCION,3290.75,3245.14,45.6,0
2016-10-16,13,CONSTITUCION,3499.76,3442.45,57.3,0
2016-10-16,14,CONSTITUCION,3424.07,3351.36,72.71,0
2016-10-16,15,CONSTITUCION,3565.26,3480.12,85.14,0
2016-10-16,16,CONSTITUCION,3651.5,3560.12,91.38,0
2016-10-16,17,CONSTITUCION,3727.58,3623.88,103.7,0
2016-10-16,18,CONSTITUCION,3698.12,3597.91,100.21,0
2016-10-16,19,CONSTITUCION,3576.93,3502.21,74.72,0
2016-10-16,20,CONSTITUCION,3723.44,3640.93,82.51,0
2016-10-16,21,CONSTITUCION,3702.72,3589.39,113.33,0
2016-10-16,22,CONSTITUCION,3864.93,3729.81,135.12,0
2016-10-16,23,CONSTITUCION,3844.67,3710.27,134.4,0
2016-10-16,24,CONSTITUCION,3948.25,3820.61,127.64,0
2016-10-16,1,LA PAZ,3488.14,3434.43,53.71,0
2016-10-16,2,LA PAZ,3696.28,3634.28,62,0
2016-10-16,3,LA PAZ,3358.12,3306.59,51.53,0
2016-10-16,4,LA PAZ,3813.93,3759,54.93,0
2016-10-16,5,LA PAZ,3553.98,3506.52,47.46,0
2016-10-16,6,LA PAZ,3421.31,3378.18,43.13,0
2016-10-16,7,LA PAZ,3413.01,3372.29,40.72,0
2016-10-16,8,LA PAZ,2894.87,2866.59,28.28,0
2016-10-16,9,LA PAZ,3112.9,3082.45,30.45,0
2016-10-16,10,LA PAZ,3520.24,3484.65,35.59,0
2016-10-16,11,LA PAZ,3088.46,3058.14,30.32,0
2016-10-16,12,LA PAZ,3281.94,3245.14,36.79,0
2016-10-16,13,LA PAZ,3485.8,3442.45,43.34,0
2016-10-16,14,LA PAZ,3392.53,3351.36,41.17,0
2016-10-16,15,LA PAZ,3527.67,3480.12,47.55,0
2016-10-16,16,LA PAZ,3611.53,3560.12,51.41,0
2016-10-16,17,LA PAZ,3678.93,3623.88,55.06,0
2016-10-16,18,LA PAZ,3653.79,3597.91,55.87,0
2016-10-16,19,LA PAZ,3554.53,3502.21,52.33,0
2016-10-16,20,LA PAZ,3695.57,3640.93,54.64,0
2016-10-16,21,LA PAZ,3652.13,3589.39,62.74,0
2016-10-16,22,LA PAZ,3800.55,3729.81,70.75,0
2016-10-16,23,LA PAZ,3783.28,3710.27,73.01,0
2016-10-16,24,LA PAZ,3901.46,3820.61,80.85,0
2016-10-16,1,LOS CABOS,3554.86,3434.43,120.43,0
2016-10-16,2,LOS CABOS,3750.98,3634.28,116.7,0
2016-10-16,3,LOS CABOS,3418.72,3306.59,112.13,0
2016-10-16,4,LOS CABOS,3889.87,3759,130.87,0
2016-10-16,5,LOS CABOS,3633.71,3506.52,127.19,0
2016-10-16,6,LOS CABOS,3503.81,3378.18,125.63,0
2016-10-16,7,LOS CABOS,3500.9,3372.29,128.61,0
2016-10-16,8,LOS CABOS,2984.43,2866.58,117.85,0
2016-10-16,9,LOS CABOS,3211.65,3082.45,129.2,0
2016-10-16,10,LOS CABOS,3628.67,3484.65,144.02,0
2016-10-16,11,LOS CABOS,3184.12,3058.14,125.98,0
2016-10-16,12,LOS CABOS,3372.79,3245.14,127.65,0
2016-10-16,13,LOS CABOS,3572.72,3442.45,130.27,0
2016-10-16,14,LOS CABOS,3482.08,3351.36,130.72,0
2016-10-16,15,LOS CABOS,3610.7,3480.12,130.59,0
2016-10-16,16,LOS CABOS,3691.62,3560.12,131.5,0
2016-10-16,17,LOS CABOS,3754.58,3623.88,130.7,0
2016-10-16,18,LOS CABOS,3725.9,3597.91,127.99,0
2016-10-16,19,LOS CABOS,3628.87,3502.21,126.66,0
2016-10-16,20,LOS CABOS,3773.81,3640.93,132.88,0
2016-10-16,21,LOS CABOS,3708.72,3589.39,119.33,0
2016-10-16,22,LOS CABOS,3847.24,3729.81,117.44,0
2016-10-16,23,LOS CABOS,3823.13,3710.27,112.85,0
2016-10-16,24,LOS CABOS,3923.98,3820.61,103.37,0
2016-10-17,1,CONSTITUCION,3839.82,3727.43,112.39,0
2016-10-17,2,CONSTITUCION,3539.34,3456.91,82.43,0
2016-10-17,3,CONSTITUCION,3408.45,3347.43,61.03,0
2016-10-17,4,CONSTITUCION,3052.58,3013.29,39.29,0
2016-10-17,5,CONSTITUCION,3043.63,3013.22,30.41,0
2016-10-17,6,CONSTITUCION,1815.78,1800.82,14.96,0
2016-10-17,7,CONSTITUCION,1814.82,1799.54,15.28,0
2016-10-17,8,CONSTITUCION,1803.56,1790.95,12.61,0
2016-10-17,9,CONSTITUCION,3070.43,3027.95,42.48,0
2016-10-17,10,CONSTITUCION,3178.96,3106.66,72.3,0
2016-10-17,11,CONSTITUCION,3516.92,3423.62,93.31,0
2016-10-17,12,CONSTITUCION,3492.94,3360.03,132.91,0
2016-10-17,13,CONSTITUCION,3712.51,3544.26,168.25,0
2016-10-17,14,CONSTITUCION,3717.44,3518.02,199.42,0
2016-10-17,15,CONSTITUCION,3946.78,3709.92,236.85,0
2016-10-17,16,CONSTITUCION,3996.71,3744.41,252.3,0
2016-10-17,17,CONSTITUCION,4071.25,3804.89,266.36,0
2016-10-17,18,CONSTITUCION,3999.03,3757.38,241.64,0
2016-10-17,19,CONSTITUCION,3779.87,3593.93,185.94,0
2016-10-17,20,CONSTITUCION,3861.79,3670.32,191.46,0
2016-10-17,21,CONSTITUCION,3980.37,3767.96,212.41,0
2016-10-17,22,CONSTITUCION,4050.25,3834.71,215.54,0
2016-10-17,23,CONSTITUCION,3989.58,3784.73,204.85,0
2016-10-17,24,CONSTITUCION,3749.37,3581.96,167.42,0
2016-10-17,1,LA PAZ,3789.48,3727.43,62.05,0
2016-10-17,2,LA PAZ,3507.57,3456.91,50.66,0
2016-10-17,3,LA PAZ,3392.04,3347.43,44.61,0
2016-10-17,4,LA PAZ,3049.4,3013.29,36.11,0
2016-10-17,5,LA PAZ,3044.75,3013.22,31.53,0
2016-10-17,6,LA PAZ,1819.15,1800.82,18.32,0
2016-10-17,7,LA PAZ,1817.04,1799.54,17.51,0
2016-10-17,8,LA PAZ,1808.07,1790.95,17.12,0
2016-10-17,9,LA PAZ,3059.05,3027.95,31.1,0
2016-10-17,10,LA PAZ,3142.36,3106.66,35.7,0
2016-10-17,11,LA PAZ,3465.52,3423.62,41.9,0
2016-10-17,12,LA PAZ,3404.07,3360.03,44.03,0
2016-10-17,13,LA PAZ,3594.49,3544.26,50.23,0
2016-10-17,14,LA PAZ,3573.93,3518.02,55.91,0
2016-10-17,15,LA PAZ,3773.26,3709.92,63.34,0
2016-10-17,16,LA PAZ,3813.27,3744.41,68.86,0
2016-10-17,17,LA PAZ,3877.13,3804.89,72.23,0
2016-10-17,18,LA PAZ,3829.17,3757.39,71.78,0
2016-10-17,19,LA PAZ,3654.24,3593.93,60.32,0
2016-10-17,20,LA PAZ,3731.66,3670.32,61.34,0
2016-10-17,21,LA PAZ,3833.31,3767.96,65.35,0
2016-10-17,22,LA PAZ,3905.83,3834.71,71.12,0
2016-10-17,23,LA PAZ,3855.53,3784.73,70.81,0
2016-10-17,24,LA PAZ,3645.24,3581.95,63.29,0
2016-10-17,1,LOS CABOS,3848.8,3727.43,121.37,0
2016-10-17,2,LOS CABOS,3578.15,3456.91,121.25,0
2016-10-17,3,LOS CABOS,3464.32,3347.43,116.89,0
2016-10-17,4,LOS CABOS,3123.62,3013.29,110.33,0
2016-10-17,5,LOS CABOS,3128.71,3013.22,115.5,0
2016-10-17,6,LOS CABOS,1869.94,1800.82,69.12,0
2016-10-17,7,LOS CABOS,1869.45,1799.54,69.92,0
2016-10-17,8,LOS CABOS,1876.23,1790.95,85.28,0
2016-10-17,9,LOS CABOS,3175.58,3027.95,147.63,0
2016-10-17,10,LOS CABOS,3246.73,3106.66,140.07,0
2016-10-17,11,LOS CABOS,3567.16,3423.62,143.54,0
2016-10-17,12,LOS CABOS,3504.61,3360.03,144.58,0
2016-10-17,13,LOS CABOS,3689.72,3544.26,145.46,0
2016-10-17,14,LOS CABOS,3648.99,3518.02,130.97,0
2016-10-17,15,LOS CABOS,3835.57,3709.92,125.65,0
2016-10-17,16,LOS CABOS,3855.8,3744.41,111.39,0
2016-10-17,17,LOS CABOS,3916.84,3804.89,111.95,0
2016-10-17,18,LOS CABOS,3867.47,3757.39,110.08,0
2016-10-17,19,LOS CABOS,3714.76,3593.93,120.83,0
2016-10-17,20,LOS CABOS,3790.03,3670.32,119.71,0
2016-10-17,21,LOS CABOS,3886.87,3767.96,118.91,0
2016-10-17,22,LOS CABOS,3947.8,3834.71,113.09,0
2016-10-17,23,LOS CABOS,3895.36,3784.73,110.63,0
2016-10-17,24,LOS CABOS,3695.46,3581.95,113.51,0
2016-10-18,1,CONSTITUCION,3181.64,3100.78,80.86,0
2016-10-18,2,CONSTITUCION,1836.64,1802.65,33.99,0
2016-10-18,3,CONSTITUCION,1792.95,1770.17,22.78,0
2016-10-18,4,CONSTITUCION,1774.34,1758.25,16.09,0
2016-10-18,5,CONSTITUCION,1744.47,1733.02,11.45,0
2016-10-18,6,CONSTITUCION,1732.94,1721.73,11.21,0
2016-10-18,7,CONSTITUCION,1733.02,1722.2,10.82,0
2016-10-18,8,CONSTITUCION,1735.76,1719.3,16.47,0
2016-10-18,9,CONSTITUCION,1807.36,1778.66,28.7,0
2016-10-18,10,CONSTITUCION,1846.22,1801.2,45.02,0
2016-10-18,11,CONSTITUCION,3306.23,3208.41,97.83,0
2016-10-18,12,CONSTITUCION,3044.04,2946.45,97.59,0
2016-10-18,13,CONSTITUCION,3504.13,3372.91,131.22,0
2016-10-18,14,CONSTITUCION,3721.64,3564.05,157.59,0
2016-10-18,15,CONSTITUCION,3520.9,3355.14,165.76,0
2016-10-18,16,CONSTITUCION,3837.06,3631.79,205.27,0
2016-10-18,17,CONSTITUCION,3704.31,3500.71,203.59,0
2016-10-18,18,CONSTITUCION,3842.49,3644.56,197.92,0
2016-10-18,19,CONSTITUCION,3495.73,3359.02,136.71,0
2016-10-18,20,CONSTITUCION,3549.88,3415.89,133.99,0
2016-10-18,21,CONSTITUCION,3687.19,3535.24,151.94,0
2016-10-18,22,CONSTITUCION,3713.34,3549.15,164.19,0
2016-10-18,23,CONSTITUCION,3608.22,3450.51,157.71,0
2016-10-18,24,CONSTITUCION,3699.14,3554.72,144.42,0
2016-10-18,1,LA PAZ,3132.48,3100.78,31.69,0
2016-10-18,2,LA PAZ,1817.82,1802.65,15.16,0
2016-10-18,3,LA PAZ,1786.43,1770.17,16.26,0
2016-10-18,4,LA PAZ,1773.38,1758.25,15.13,0
2016-10-18,5,LA PAZ,1748.51,1733.02,15.49,0
2016-10-18,6,LA PAZ,1737.86,1721.73,16.13,0
2016-10-18,7,LA PAZ,1737.96,1722.2,15.76,0
2016-10-18,8,LA PAZ,1739.75,1719.3,20.45,0
2016-10-18,9,LA PAZ,1797.64,1778.66,18.98,0
2016-10-18,10,LA PAZ,1818.3,1801.2,17.11,0
2016-10-18,11,LA PAZ,3243.81,3208.41,35.4,0
