Fecha,Hora,Zona de Carga,Precio Zonal  ($/MWh),Componente energia  ($/MWh),Componente perdidas  ($/MWh),Componente Congestion  ($/MWh)
2016-09-01,1,CONSTITUCION,3330.33,3401.12,-70.79,0
2016-09-01,2,CONSTITUCION,3147.79,3233.62,-85.83,0
2016-09-01,3,CONSTITUCION,1601.59,1654.21,-52.62,0
2016-09-01,4,CONSTITUCION,1544.6,1590.23,-45.62,0
2016-09-01,5,CONSTITUCION,1512.36,1559.52,-47.16,0
2016-09-01,6,CONSTITUCION,1512.18,1560.65,-48.47,0
2016-09-01,7,CONSTITUCION,1504.62,1553.23,-48.62,0
2016-09-01,8,CONSTITUCION,1491.73,1536.98,-45.25,0
2016-09-01,9,CONSTITUCION,1558.7,1614.19,-55.49,0
2016-09-01,10,CONSTITUCION,1555.26,1599.25,-44,0
2016-09-01,11,CONSTITUCION,2776.29,2843.27,-66.99,0
2016-09-01,12,CONSTITUCION,3039.25,3112.78,-73.53,0
2016-09-01,13,CONSTITUCION,3292,3348.16,-56.16,0
2016-09-01,14,CONSTITUCION,3517.83,3547.87,-30.04,0
2016-09-01,15,CONSTITUCION,3355.24,3355.99,-.75,0
2016-09-01,16,CONSTITUCION,3602.06,3589.99,12.07,0
2016-09-01,17,CONSTITUCION,3543.16,3503.88,39.28,0
2016-09-01,18,CONSTITUCION,3515.01,3483.75,31.27,0
2016-09-01,19,CONSTITUCION,3368.81,3366.39,2.42,0
2016-09-01,20,CONSTITUCION,3158.18,3192.1,-33.93,0
2016-09-01,21,CONSTITUCION,3341.23,3361.75,-20.52,0
2016-09-01,22,CONSTITUCION,3511.31,3501.7,9.62,0
2016-09-01,23,CONSTITUCION,3559.77,3538.74,21.03,0
2016-09-01,24,CONSTITUCION,3693.24,3688.58,4.66,0
2016-09-01,1,LA PAZ,3445.43,3401.12,44.31,0
2016-09-01,2,LA PAZ,3268.97,3233.62,35.34,0
2016-09-01,3,LA PAZ,1669.38,1654.21,15.17,0
2016-09-01,4,LA PAZ,1603.83,1590.23,13.61,0
2016-09-01,5,LA PAZ,1573.18,1559.52,13.66,0
2016-09-01,6,LA PAZ,1572.8,1560.65,12.15,0
2016-09-01,7,LA PAZ,1564.59,1553.23,11.36,0
2016-09-01,8,LA PAZ,1547.85,1536.98,10.87,0
2016-09-01,9,LA PAZ,1624.17,1614.19,9.98,0
2016-09-01,10,LA PAZ,1607.12,1599.25,7.87,0
2016-09-01,11,LA PAZ,2858.03,2843.27,14.76,0
2016-09-01,12,LA PAZ,3132.26,3112.78,19.49,0
2016-09-01,13,LA PAZ,3375.57,3348.16,27.41,0
2016-09-01,14,LA PAZ,3584.93,3547.87,37.07,0
2016-09-01,15,LA PAZ,3397.73,3355.99,41.75,0
2016-09-01,16,LA PAZ,3644.61,3589.99,54.61,0
2016-09-01,17,LA PAZ,3558.47,3503.88,54.6,0
2016-09-01,18,LA PAZ,3539.68,3483.75,55.93,0
2016-09-01,19,LA PAZ,3415.82,3366.39,49.43,0
2016-09-01,20,LA PAZ,3228.91,3192.1,36.8,0
2016-09-01,21,LA PAZ,3403.29,3361.75,41.55,0
2016-09-01,22,LA PAZ,3551.68,3501.7,49.99,0
2016-09-01,23,LA PAZ,3592.08,3538.74,53.34,0
2016-09-01,24,LA PAZ,3741.29,3688.58,52.7,0
2016-09-01,1,LOS CABOS,3530.59,3401.12,129.47,0
2016-09-01,2,LOS CABOS,3357.95,3233.62,124.33,0
2016-09-01,3,LOS CABOS,1721.34,1654.21,67.12,0
2016-09-01,4,LOS CABOS,1654.75,1590.23,64.53,0
2016-09-01,5,LOS CABOS,1620.52,1559.52,61,0
2016-09-01,6,LOS CABOS,1623.43,1560.65,62.78,0
2016-09-01,7,LOS CABOS,1616.36,1553.23,63.13,0
2016-09-01,8,LOS CABOS,1599.41,1536.98,62.43,0
