Fecha,Hora,Zona de Carga,Precio Zonal  ($/MWh),Componente energia  ($/MWh),Componente perdidas  ($/MWh),Componente Congestion  ($/MWh)
2016-04-16,1,ACAPULCO,902.43,835.3,67.13,0
2016-04-16,2,ACAPULCO,779.06,717.73,61.33,0
2016-04-16,3,ACAPULCO,749.82,688.75,61.06,.01
2016-04-16,4,ACAPULCO,715.12,657.02,58.1,0
2016-04-16,5,ACAPULCO,723.03,663.17,59.85,0
2016-04-16,6,ACAPULCO,704.07,657.81,46.27,0
2016-04-16,7,ACAPULCO,721.92,665.56,56.35,0
2016-04-16,8,ACAPULCO,770.97,718.81,52.15,.01
2016-04-16,9,ACAPULCO,788.88,738.81,50.07,0
2016-04-16,10,ACAPULCO,783.39,728.81,54.58,0
2016-04-16,11,ACAPULCO,855.05,807.08,47.97,0
2016-04-16,12,ACAPULCO,805.87,767.74,38.14,0
2016-04-16,13,ACAPULCO,841.88,792.47,49.41,0
2016-04-16,14,ACAPULCO,927.52,860.8,66.72,0
2016-04-16,15,ACAPULCO,805.85,765.06,40.79,0
2016-04-16,16,ACAPULCO,969.72,898.93,70.79,0
2016-04-16,17,ACAPULCO,756.03,714.62,41.41,0
2016-04-16,18,ACAPULCO,766.19,723.77,42.41,0
2016-04-16,19,ACAPULCO,821.29,788.31,32.99,0
2016-04-16,20,ACAPULCO,903.22,832.65,70.57,0
2016-04-16,21,ACAPULCO,896.69,827.54,69.14,0
2016-04-16,22,ACAPULCO,978.04,903.24,74.8,0
2016-04-16,23,ACAPULCO,874.18,800.47,73.71,0
2016-04-16,24,ACAPULCO,881.43,805.02,76.39,.02
2016-04-16,1,AGUASCALIENTES,852.44,835.3,17.14,0
2016-04-16,2,AGUASCALIENTES,729.12,717.73,11.39,0
2016-04-16,3,AGUASCALIENTES,695.93,688.75,7.19,-.01
2016-04-16,4,AGUASCALIENTES,663.62,657.02,6.6,0
2016-04-16,5,AGUASCALIENTES,668.54,663.17,5.37,0
2016-04-16,6,AGUASCALIENTES,664.59,657.81,6.79,0
2016-04-16,7,AGUASCALIENTES,673.38,665.56,7.82,0
