Fecha,Hora,Zona de Carga,Precio Zonal  ($/MWh),Componente energia  ($/MWh),Componente perdidas  ($/MWh),Componente Congestion  ($/MWh)
2016-08-16,1,ACAPULCO,940.12,882.55,57.57,0
2016-08-16,2,ACAPULCO,746.55,690.42,56.13,0
2016-08-16,3,ACAPULCO,663.69,612.38,51.3,0
2016-08-16,4,ACAPULCO,622.75,573.66,49.09,0
2016-08-16,5,ACAPULCO,546.21,520.01,26.21,0
2016-08-16,6,ACAPULCO,624.88,585.45,39.43,0
2016-08-16,7,ACAPULCO,703.57,669.52,34.05,0
2016-08-16,8,ACAPULCO,730.81,694.34,36.47,0
2016-08-16,9,ACAPULCO,874.79,820.19,54.56,.05
2016-08-16,10,ACAPULCO,905.48,866.54,38.94,0
2016-08-16,11,ACAPULCO,945.98,928.94,17.04,0
2016-08-16,12,ACAPULCO,983.01,944.31,38.71,0
2016-08-16,13,ACAPULCO,1002.31,980.68,21.63,0
2016-08-16,14,ACAPULCO,1028.49,994.64,33.85,0
2016-08-16,15,ACAPULCO,989.37,967.72,21.65,0
2016-08-16,16,ACAPULCO,1004.81,980.95,23.86,0
2016-08-16,17,ACAPULCO,992.31,959.29,33.02,0
2016-08-16,18,ACAPULCO,1011.65,977.92,33.73,0
2016-08-16,19,ACAPULCO,974.7,948.14,26.56,0
2016-08-16,20,ACAPULCO,964.61,897.78,66.83,0
2016-08-16,21,ACAPULCO,1000.28,916.88,83.4,0
2016-08-16,22,ACAPULCO,1009.61,930,79.62,0
2016-08-16,23,ACAPULCO,983.87,926.81,57.06,0
2016-08-16,24,ACAPULCO,1011.8,935.83,75.97,0
2016-08-16,1,AGUASCALIENTES,925.06,882.55,42.51,0
2016-08-16,2,AGUASCALIENTES,718.24,690.42,27.82,0
2016-08-16,3,AGUASCALIENTES,634.5,612.39,22.12,0
2016-08-16,4,AGUASCALIENTES,593.49,573.66,19.82,0
2016-08-16,5,AGUASCALIENTES,537.41,520.01,17.4,0
2016-08-16,6,AGUASCALIENTES,605.1,585.45,19.64,0
2016-08-16,7,AGUASCALIENTES,690.7,669.52,21.17,0
2016-08-16,8,AGUASCALIENTES,713.92,694.34,19.58,0
2016-08-16,9,AGUASCALIENTES,844.59,820.19,24.41,-.01
2016-08-16,10,AGUASCALIENTES,900.83,866.54,34.29,0
2016-08-16,11,AGUASCALIENTES,975.57,928.94,46.63,0
2016-08-16,12,AGUASCALIENTES,997.18,944.31,52.88,0
2016-08-16,13,AGUASCALIENTES,1020.68,980.68,39.99,0
2016-08-16,14,AGUASCALIENTES,1038.59,994.64,43.95,0
2016-08-16,15,AGUASCALIENTES,1008.43,967.72,40.72,0
2016-08-16,16,AGUASCALIENTES,1024.69,980.95,43.75,0
2016-08-16,17,AGUASCALIENTES,1006.35,959.29,47.06,0
2016-08-16,18,AGUASCALIENTES,1018.25,977.92,40.32,0
2016-08-16,19,AGUASCALIENTES,996.38,948.14,48.23,0
2016-08-16,20,AGUASCALIENTES,941.35,897.78,43.57,0
2016-08-16,21,AGUASCALIENTES,954.51,916.88,37.63,0
2016-08-16,22,AGUASCALIENTES,974.55,930,44.55,0
2016-08-16,23,AGUASCALIENTES,963.79,926.81,36.98,0
2016-08-16,24,AGUASCALIENTES,984.48,935.83,48.65,0
2016-08-16,1,APATZINGAN,934.91,882.55,52.36,0
2016-08-16,2,APATZINGAN,726.78,690.42,36.36,0
2016-08-16,3,APATZINGAN,645.96,612.39,33.57,0
2016-08-16,4,APATZINGAN,604.53,573.66,30.87,0
2016-08-16,5,APATZINGAN,546.77,520.01,26.76,0
2016-08-16,6,APATZINGAN,615.01,585.45,29.56,0
2016-08-16,7,APATZINGAN,703.61,669.52,34.08,0
2016-08-16,8,APATZINGAN,730.91,694.34,36.56,0
2016-08-16,9,APATZINGAN,866.58,820.19,46.02,.37
2016-08-16,10,APATZINGAN,921.61,866.54,55.07,0
2016-08-16,11,APATZINGAN,980.89,928.94,51.95,0
2016-08-16,12,APATZINGAN,1000.62,944.31,56.32,0
2016-08-16,13,APATZINGAN,1029.72,980.68,49.03,0
2016-08-16,14,APATZINGAN,1052.07,994.64,57.43,0
2016-08-16,15,APATZINGAN,1013.92,967.72,46.2,0
2016-08-16,16,APATZINGAN,1029.28,980.95,48.33,0
2016-08-16,17,APATZINGAN,1014.57,959.29,55.28,0
2016-08-16,18,APATZINGAN,1031.22,977.92,53.29,0
2016-08-16,19,APATZINGAN,1010.09,948.14,61.95,0
2016-08-16,20,APATZINGAN,952.12,897.78,54.34,0
2016-08-16,21,APATZINGAN,976.12,916.88,59.24,0
2016-08-16,22,APATZINGAN,1000.59,930,70.59,0
2016-08-16,23,APATZINGAN,984.04,926.81,57.23,0
2016-08-16,24,APATZINGAN,1002.33,935.83,66.49,0
2016-08-16,1,CABORCA,960.46,882.55,77.91,0
2016-08-16,2,CABORCA,695.23,690.42,4.81,0
2016-08-16,3,CABORCA,617.47,612.38,5.09,0
2016-08-16,4,CABORCA,584.93,573.66,11.26,0
2016-08-16,5,CABORCA,520.2,520.01,.19,0
2016-08-16,6,CABORCA,576.42,585.45,-9.03,0
2016-08-16,7,CABORCA,639.22,669.52,-30.3,0
2016-08-16,8,CABORCA,657.95,694.34,-36.39,0
2016-08-16,9,CABORCA,677.17,820.19,-91.41,-51.6
2016-08-16,10,CABORCA,811.18,866.54,-55.37,0
2016-08-16,11,CABORCA,926,928.94,-2.94,0
2016-08-16,12,CABORCA,978.03,944.31,33.72,0
2016-08-16,13,CABORCA,1011.32,980.68,30.64,0
2016-08-16,14,CABORCA,1052.36,994.64,57.72,0
2016-08-16,15,CABORCA,1044.15,967.72,76.44,0
2016-08-16,16,CABORCA,1074.93,980.95,93.98,0
2016-08-16,17,CABORCA,1070.22,959.29,110.94,0
2016-08-16,18,CABORCA,1080.01,977.92,102.09,0
2016-08-16,19,CABORCA,1076.1,948.14,127.96,0
2016-08-16,20,CABORCA,983.19,897.78,85.4,0
2016-08-16,21,CABORCA,952.51,916.88,35.62,0
2016-08-16,22,CABORCA,969.74,930,39.75,0
2016-08-16,23,CABORCA,970.33,926.81,43.51,0
2016-08-16,24,CABORCA,994.49,935.83,58.66,0
2016-08-16,1,CAMARGO,959.4,882.55,76.85,0
2016-08-16,2,CAMARGO,723.33,690.42,32.91,0
2016-08-16,3,CAMARGO,629.72,612.39,17.34,0
2016-08-16,4,CAMARGO,587.46,573.66,13.8,0
2016-08-16,5,CAMARGO,527.63,520.01,7.62,0
2016-08-16,6,CAMARGO,590.36,585.45,4.91,0
2016-08-16,7,CAMARGO,667.64,669.52,-1.89,0
2016-08-16,8,CAMARGO,684.98,694.34,-9.36,0
2016-08-16,9,CAMARGO,789.43,820.19,-16.47,-14.28
2016-08-16,10,CAMARGO,891.27,866.54,24.73,0
2016-08-16,11,CAMARGO,1001.03,928.94,72.09,0
2016-08-16,12,CAMARGO,1042.35,944.31,98.04,0
2016-08-16,13,CAMARGO,1075.25,980.68,94.57,0
2016-08-16,14,CAMARGO,1110.68,994.64,116.04,0
2016-08-16,15,CAMARGO,1090.74,967.72,123.03,0
2016-08-16,16,CAMARGO,1118.07,980.95,137.13,0
2016-08-16,17,CAMARGO,1100.34,959.29,141.05,0
2016-08-16,18,CAMARGO,1106.56,977.92,128.63,0
2016-08-16,19,CAMARGO,1082.72,948.14,134.58,0
2016-08-16,20,CAMARGO,996.49,897.78,98.7,0
2016-08-16,21,CAMARGO,984.08,916.88,67.2,0
2016-08-16,22,CAMARGO,1010.98,930,80.98,0
2016-08-16,23,CAMARGO,1005.67,926.81,78.86,0
2016-08-16,24,CAMARGO,1022.77,935.83,86.93,0
2016-08-16,1,CAMPECHE,952.13,882.55,69.58,0
2016-08-16,2,CAMPECHE,753.48,690.42,63.06,0
2016-08-16,3,CAMPECHE,675.28,612.38,62.89,0
